homo_sapiens,pan_troglodytes
ENSG00000198130,ENSPTRG00000017013,48.3051
ENSG00000260665,ENSPTRG00000040153,45.4973
ENSG00000261784,ENSPTRG00000028773,45.503
ENSG00000260129,ENSPTRG00000040153,45.5183
ENSG00000261201,ENSPTRG00000040153,46.4
ENSG00000261201,ENSPTRG00000007626,46.6019
ENSG00000260596,ENSPTRG00000039445,47.1354
ENSG00000260596,ENSPTRG00000028773,45.9339
ENSG00000260596,ENSPTRG00000031045,46.4327
ENSG00000262022,ENSPTRG00000005733,47.7937
ENSG00000260117,ENSPTRG00000022523,48.9704
ENSG00000187939,ENSPTRG00000005735,46.5741
ENSG00000260789,ENSPTRG00000007625,46.8002
ENSG00000260789,ENSPTRG00000003128,46.1746
ENSG00000260789,ENSPTRG00000007544,46.9253
ENSG00000260789,ENSPTRG00000000009,46.361
ENSG00000151689,ENSPTRG00000007698,48.9838
ENSG00000151689,ENSPTRG00000000081,47.8261
ENSG00000151689,ENSPTRG00000019956,49.5922
ENSG00000151689,ENSPTRG00000019432,49.7537
ENSG00000151689,ENSPTRG00000017013,49.3099
ENSG00000151689,ENSPTRG00000003137,49.2013
ENSG00000151689,ENSPTRG00000020014,48.6905
ENSG00000151689,ENSPTRG00000028438,49.1765
ENSG00000151689,ENSPTRG00000013809,49.2868
ENSG00000151689,ENSPTRG00000019964,49.353
ENSG00000151689,ENSPTRG00000013808,49.1212
ENSG00000151689,ENSPTRG00000003118,49.0686
ENSG00000262334,ENSPTRG00000014072,47.4102
ENSG00000259823,ENSPTRG00000000041,48.0628
ENSG00000261352,ENSPTRG00000003194,38.4416
ENSG00000263255,ENSPTRG00000009893,39.5626
ENSG00000262204,ENSPTRG00000028736,48.8139
ENSG00000259816,ENSPTRG00000019931,46.1952
ENSG00000259816,ENSPTRG00000021699,48.8029
ENSG00000262622,ENSPTRG00000016929,48.4312
ENSG00000262770,ENSPTRG00000003249,48.5465
ENSG00000262742,ENSPTRG00000017081,36.49
ENSG00000262742,ENSPTRG00000017081,15.8911
ENSG00000262742,ENSPTRG00000017081,38.2275
ENSG00000262742,ENSPTRG00000013791,49.1656
ENSG00000262742,ENSPTRG00000009890,48.3288
ENSG00000262742,ENSPTRG00000021842,48.8864
ENSG00000262742,ENSPTRG00000009890,48.5635
ENSG00000262742,ENSPTRG00000000123,48.8796
ENSG00000262742,ENSPTRG00000018954,49.4279
ENSG00000262742,ENSPTRG00000031254,48.8696
ENSG00000262742,ENSPTRG00000020996,48.7662
ENSG00000262742,ENSPTRG00000031254,48.4211
ENSG00000262742,ENSPTRG00000019963,46.9979
ENSG00000151690,ENSPTRG00000013918,49.8168
ENSG00000151690,ENSPTRG00000017069,48.5493
ENSG00000151690,ENSPTRG00000017041,49.2391
ENSG00000151690,ENSPTRG00000019956,50.6352
ENSG00000151690,ENSPTRG00000018946,49.0351
ENSG00000151690,ENSPTRG00000029472,49.1634
ENSG00000151690,ENSPTRG00000018966,49.8481
ENSG00000151690,ENSPTRG00000014147,48.9168
ENSG00000262578,ENSPTRG00000009893,31.8436
ENSG00000263040,ENSPTRG00000019962,48.1595
ENSG00000263040,ENSPTRG00000019956,48.3126
ENSG00000263040,ENSPTRG00000031042,48.1959
ENSG00000262249,ENSPTRG00000009893,32.6402
ENSG00000262249,ENSPTRG00000017066,48.6198
ENSG00000263135,ENSPTRG00000016949,48.9443
ENSG00000262101,ENSPTRG00000020996,48.259
ENSG00000262969,ENSPTRG00000000239,48.83
ENSG00000262969,ENSPTRG00000013921,48.737
ENSG00000262103,ENSPTRG00000019057,48.8159
ENSG00000261993,ENSPTRG00000003379,49.5
ENSG00000262606,ENSPTRG00000017066,48.6604
ENSG00000189362,ENSPTRG00000022471,48.9462
ENSG00000189362,ENSPTRG00000021728,49.7685
ENSG00000262393,ENSPTRG00000040645,49.501
ENSG00000262379,ENSPTRG00000016949,49.2654
ENSG00000262889,ENSPTRG00000034337,49.6774
ENSG00000262908,ENSPTRG00000016913,48.9336
ENSG00000262634,ENSPTRG00000017042,49.1222
ENSG00000138386,ENSPTRG00000013809,50.1695
ENSG00000138386,ENSPTRG00000000269,49.8239
ENSG00000138386,ENSPTRG00000013809,50.2752
ENSG00000138386,ENSPTRG00000019024,48.6017
ENSG00000138386,ENSPTRG00000020015,48.6462
ENSG00000138386,ENSPTRG00000000124,50.2283
ENSG00000138386,ENSPTRG00000040367,49.4465
ENSG00000138386,ENSPTRG00000013791,48.4628
ENSG00000138386,ENSPTRG00000022504,47.9229
ENSG00000138386,ENSPTRG00000041444,48.7699
ENSG00000138386,ENSPTRG00000022504,47.9229
ENSG00000261899,ENSPTRG00000034369,50
ENSG00000261899,ENSPTRG00000028760,47.976
ENSG00000261899,ENSPTRG00000013940,49.5423
ENSG00000261899,ENSPTRG00000013793,49.1712
ENSG00000262914,ENSPTRG00000028736,48.8139
ENSG00000262697,ENSPTRG00000016929,48.4312
ENSG00000263210,ENSPTRG00000003249,48.5465
ENSG00000263247,ENSPTRG00000019962,48.1595
ENSG00000263247,ENSPTRG00000019956,48.3126
ENSG00000263247,ENSPTRG00000031042,48.1959
ENSG00000262757,ENSPTRG00000016949,48.9443
ENSG00000262955,ENSPTRG00000020996,48.259
ENSG00000115419,ENSPTRG00000020015,48.1589
ENSG00000115419,ENSPTRG00000020015,47.7095
ENSG00000115419,ENSPTRG00000040645,49.348
ENSG00000115419,ENSPTRG00000022501,49.2083
ENSG00000115419,ENSPTRG00000022501,49.0196
ENSG00000115419,ENSPTRG00000028817,49.6835
ENSG00000115419,ENSPTRG00000028817,48.4848
ENSG00000263284,ENSPTRG00000000239,48.83
ENSG00000263284,ENSPTRG00000013921,48.737
ENSG00000261984,ENSPTRG00000019057,48.8159
ENSG00000262859,ENSPTRG00000003379,49.5
ENSG00000263318,ENSPTRG00000017066,48.6604
ENSG00000263028,ENSPTRG00000040645,49.501
ENSG00000263097,ENSPTRG00000016949,49.5593
ENSG00000262525,ENSPTRG00000034337,49.6774
ENSG00000262612,ENSPTRG00000016949,48.7829
ENSG00000262111,ENSPTRG00000016913,48.9627
ENSG00000261155,ENSPTRG00000040525,46.4126
ENSG00000262139,ENSPTRG00000019951,48.8616
ENSG00000262139,ENSPTRG00000004565,45.8941
ENSG00000262139,ENSPTRG00000005873,49.3588
ENSG00000262139,ENSPTRG00000013786,48.9315
ENSG00000262145,ENSPTRG00000003390,48.6747
ENSG00000262217,ENSPTRG00000003388,48.7725
ENSG00000262788,ENSPTRG00000007612,48.9664
ENSG00000115415,ENSPTRG00000019063,48.8863
ENSG00000115415,ENSPTRG00000018950,49.0152
ENSG00000115415,ENSPTRG00000018993,49.0795
ENSG00000115415,ENSPTRG00000018994,49.1003
ENSG00000115415,ENSPTRG00000019121,47.8261
ENSG00000115415,ENSPTRG00000000100,49.3007
ENSG00000115415,ENSPTRG00000038816,49.2063
ENSG00000115415,ENSPTRG00000009890,49.3145
ENSG00000123427,ENSPTRG00000031314,48.4848
ENSG00000123427,ENSPTRG00000004015,48.3254
ENSG00000123427,ENSPTRG00000016956,48.6539
ENSG00000123427,ENSPTRG00000018934,49.2035
ENSG00000260873,ENSPTRG00000020021,49.3105
ENSG00000260873,ENSPTRG00000014049,47.8173
ENSG00000260873,ENSPTRG00000014080,48.3209
ENSG00000260873,ENSPTRG00000042236,48.1928
ENSG00000260873,ENSPTRG00000028794,48.2143
ENSG00000260873,ENSPTRG00000017695,49.8099
ENSG00000260587,ENSPTRG00000020090,47.6641
ENSG00000259880,ENSPTRG00000042084,47.9618
ENSG00000182791,ENSPTRG00000007641,48.8165
ENSG00000259956,ENSPTRG00000020050,49.2546
ENSG00000260623,ENSPTRG00000019034,49.1644
ENSG00000260623,ENSPTRG00000019034,49.0918
ENSG00000260623,ENSPTRG00000003328,49.0962
ENSG00000173992,ENSPTRG00000003184,47.4825
ENSG00000173992,ENSPTRG00000000041,47.1338
ENSG00000173992,ENSPTRG00000016687,49.8069
ENSG00000261443,ENSPTRG00000016672,49.2452
ENSG00000261443,ENSPTRG00000023245,49.1594
ENSG00000185055,ENSPTRG00000041256,48.7838
ENSG00000185055,ENSPTRG00000014650,49.1865
ENSG00000185055,ENSPTRG00000007525,48.4516
ENSG00000185055,ENSPTRG00000018992,49.5119
ENSG00000262243,ENSPTRG00000014040,49.4382
ENSG00000262243,ENSPTRG00000014040,49.2215
ENSG00000262243,ENSPTRG00000014040,49.1738
ENSG00000262243,ENSPTRG00000021690,48.6486
ENSG00000257921,ENSPTRG00000038829,47.7212
ENSG00000263138,ENSPTRG00000005681,48.7263
ENSG00000263138,ENSPTRG00000014582,48.274
ENSG00000263138,ENSPTRG00000004015,46.875
ENSG00000080224,ENSPTRG00000017039,48.6395
ENSG00000080224,ENSPTRG00000003207,48.9801
ENSG00000080224,ENSPTRG00000005774,49.9072
ENSG00000080224,ENSPTRG00000020996,49.4055
ENSG00000080224,ENSPTRG00000020029,49.2415
ENSG00000080224,ENSPTRG00000022476,49.6303
ENSG00000080224,ENSPTRG00000020011,48.4266
ENSG00000260513,ENSPTRG00000003194,38.7548
ENSG00000261972,ENSPTRG00000028304,49.6014
ENSG00000261972,ENSPTRG00000031492,49.1071
ENSG00000261972,ENSPTRG00000003257,49.4264
ENSG00000261972,ENSPTRG00000028304,48.9443
ENSG00000261972,ENSPTRG00000014630,48.768
ENSG00000261972,ENSPTRG00000014156,48.9515
ENSG00000261972,ENSPTRG00000039924,49.4774
ENSG00000115808,ENSPTRG00000016935,48.8247
ENSG00000115808,ENSPTRG00000021706,48.2094
ENSG00000261657,ENSPTRG00000018994,49.5324
ENSG00000261657,ENSPTRG00000020068,48.9051
ENSG00000123297,ENSPTRG00000005863,49.4673
ENSG00000123297,ENSPTRG00000028844,49.2611
ENSG00000123297,ENSPTRG00000004015,48.9409
ENSG00000123297,ENSPTRG00000000124,48.4887
ENSG00000123297,ENSPTRG00000013918,49.236
ENSG00000123297,ENSPTRG00000028760,48.1858
ENSG00000123297,ENSPTRG00000004015,48.8172
ENSG00000123297,ENSPTRG00000017039,48.9493
ENSG00000123297,ENSPTRG00000005789,49.2414
ENSG00000260069,ENSPTRG00000023886,48.4308
ENSG00000260069,ENSPTRG00000031492,48.357
ENSG00000138378,ENSPTRG00000005679,48.5735
ENSG00000138378,ENSPTRG00000041927,48.8661
ENSG00000138378,ENSPTRG00000028774,49.4526
ENSG00000138378,ENSPTRG00000028817,48.519
ENSG00000138378,ENSPTRG00000028774,48.8576
ENSG00000138378,ENSPTRG00000003172,47.8903
ENSG00000260199,ENSPTRG00000040047,48.852
ENSG00000260717,ENSPTRG00000019963,48.3051
ENSG00000260717,ENSPTRG00000029472,48.3452
ENSG00000260717,ENSPTRG00000017013,48.9172
ENSG00000260717,ENSPTRG00000014150,48.4663
ENSG00000260717,ENSPTRG00000029472,48.589
ENSG00000260717,ENSPTRG00000029472,48.3254
ENSG00000260717,ENSPTRG00000019956,48.4171
ENSG00000260717,ENSPTRG00000029472,48.3645
ENSG00000259795,ENSPTRG00000007687,48.3684
ENSG00000259795,ENSPTRG00000003118,48.6243
ENSG00000260287,ENSPTRG00000003118,48.6295
ENSG00000146776,ENSPTRG00000018959,50.3046
ENSG00000146776,ENSPTRG00000033940,49.7115
ENSG00000146776,ENSPTRG00000007650,48.9557
ENSG00000146776,ENSPTRG00000033940,49.4406
ENSG00000146776,ENSPTRG00000021665,48.8435
ENSG00000146776,ENSPTRG00000005687,48.8789
ENSG00000146776,ENSPTRG00000007650,48.9036
ENSG00000259801,ENSPTRG00000003118,48.6683
ENSG00000261256,ENSPTRG00000007584,48.3199
ENSG00000260952,ENSPTRG00000009883,49.0011
ENSG00000260164,ENSPTRG00000007527,47.9561
ENSG00000260164,ENSPTRG00000000265,47.9268
ENSG00000260164,ENSPTRG00000014080,48.5955
ENSG00000260164,ENSPTRG00000040625,48.9822
ENSG00000260164,ENSPTRG00000019956,48.2079
ENSG00000260164,ENSPTRG00000039924,47.6619
ENSG00000261300,ENSPTRG00000040297,48.7465
ENSG00000261300,ENSPTRG00000028760,48.3961
ENSG00000261300,ENSPTRG00000042329,45.898
ENSG00000143457,ENSPTRG00000028737,48.6162
ENSG00000143457,ENSPTRG00000023539,49.0236
ENSG00000143457,ENSPTRG00000040452,49.2582
ENSG00000128641,ENSPTRG00000005728,49.1259
ENSG00000128641,ENSPTRG00000020015,48.7067
ENSG00000128641,ENSPTRG00000017069,48.7013
ENSG00000128641,ENSPTRG00000013890,48.8344
ENSG00000128641,ENSPTRG00000040646,49.262
ENSG00000128641,ENSPTRG00000016929,49.1603
ENSG00000128641,ENSPTRG00000019961,51.0695
ENSG00000128641,ENSPTRG00000013790,49.0134
ENSG00000128641,ENSPTRG00000022501,49.1783
ENSG00000128641,ENSPTRG00000019004,48.8398
ENSG00000260508,ENSPTRG00000005679,48.4838
ENSG00000239306,ENSPTRG00000014084,48.338
ENSG00000239306,ENSPTRG00000003184,48.1767
ENSG00000239306,ENSPTRG00000007547,48.0594
ENSG00000239306,ENSPTRG00000014080,46.7213
ENSG00000239306,ENSPTRG00000014062,48.6559
ENSG00000261508,ENSPTRG00000003184,47.4282
ENSG00000262595,ENSPTRG00000003123,47.6037
ENSG00000262595,ENSPTRG00000000081,46.7354
ENSG00000143452,ENSPTRG00000005745,48.6065
ENSG00000143452,ENSPTRG00000005745,48.2213
ENSG00000143452,ENSPTRG00000005745,48.0496
ENSG00000143452,ENSPTRG00000018927,49.5575
ENSG00000143452,ENSPTRG00000019121,48.5135
ENSG00000143452,ENSPTRG00000009893,48.7493
ENSG00000263310,ENSPTRG00000016696,46.5283
ENSG00000263310,ENSPTRG00000016696,46.3228
ENSG00000263310,ENSPTRG00000038951,48.4487
ENSG00000008869,ENSPTRG00000039826,49.8845
ENSG00000008869,ENSPTRG00000018938,49.3266
ENSG00000008869,ENSPTRG00000016893,49.318
ENSG00000262782,ENSPTRG00000003144,49.031
ENSG00000261149,ENSPTRG00000004531,47.9
ENSG00000261149,ENSPTRG00000004531,47.4959
ENSG00000261149,ENSPTRG00000003143,49.2418
ENSG00000261149,ENSPTRG00000000150,46.3512
ENSG00000261149,ENSPTRG00000016923,48.3063
ENSG00000261530,ENSPTRG00000021649,50
ENSG00000261530,ENSPTRG00000003383,48.7216
ENSG00000261023,ENSPTRG00000019956,49.4545
ENSG00000261023,ENSPTRG00000013852,49.6174
ENSG00000261023,ENSPTRG00000013852,49.6187
ENSG00000261023,ENSPTRG00000003300,49.6757
ENSG00000261023,ENSPTRG00000003300,49.2449
ENSG00000163131,ENSPTRG00000003258,47.3338
ENSG00000163131,ENSPTRG00000003346,47.7975
ENSG00000261074,ENSPTRG00000013811,49.2274
ENSG00000261074,ENSPTRG00000018858,48.4136
ENSG00000135407,ENSPTRG00000014659,48.945
ENSG00000135407,ENSPTRG00000021637,47.1831
ENSG00000135407,ENSPTRG00000023831,49.0643
ENSG00000260220,ENSPTRG00000007684,47.2451
ENSG00000260130,ENSPTRG00000019944,1.57559
ENSG00000260130,ENSPTRG00000013927,49.1286
ENSG00000143387,ENSPTRG00000019120,49.2317
ENSG00000143387,ENSPTRG00000040047,50.3185
ENSG00000113966,ENSPTRG00000021668,48.7484
ENSG00000113966,ENSPTRG00000019963,48.7696
ENSG00000113966,ENSPTRG00000028817,48.1481
ENSG00000113966,ENSPTRG00000021821,48.2734
ENSG00000113966,ENSPTRG00000021821,48.0741
ENSG00000260383,ENSPTRG00000000017,45.8528
ENSG00000260383,ENSPTRG00000007588,47.1917
ENSG00000260383,ENSPTRG00000007549,47.2105
ENSG00000248643,ENSPTRG00000003184,47.5096
ENSG00000248643,ENSPTRG00000028760,48.1303
ENSG00000248643,ENSPTRG00000000064,48.0826
ENSG00000248643,ENSPTRG00000014641,48.8429
ENSG00000261236,ENSPTRG00000007610,46.8085
ENSG00000261236,ENSPTRG00000007663,46.6974
ENSG00000173559,ENSPTRG00000018985,49.129
ENSG00000173559,ENSPTRG00000020014,50.0593
ENSG00000173559,ENSPTRG00000005745,48.2428
ENSG00000173559,ENSPTRG00000016949,48.8525
ENSG00000143437,ENSPTRG00000014060,49.6419
ENSG00000143437,ENSPTRG00000003349,49.1803
ENSG00000143437,ENSPTRG00000009847,49.1701
ENSG00000143437,ENSPTRG00000014072,48.7021
ENSG00000128536,ENSPTRG00000039378,48.7018
ENSG00000128536,ENSPTRG00000021771,49.4873
ENSG00000128536,ENSPTRG00000021814,47.1162
ENSG00000128536,ENSPTRG00000039973,49.5851
ENSG00000128536,ENSPTRG00000019947,49.1846
ENSG00000128536,ENSPTRG00000042362,48.8157
ENSG00000128536,ENSPTRG00000014670,48.6168
ENSG00000261132,ENSPTRG00000007544,47.1259
ENSG00000261132,ENSPTRG00000007544,47.0588
ENSG00000261132,ENSPTRG00000014080,47.5936
ENSG00000172209,ENSPTRG00000019004,48.5695
ENSG00000163171,ENSPTRG00000020019,49.3684
ENSG00000163171,ENSPTRG00000000041,49.5486
ENSG00000163171,ENSPTRG00000022526,49.7377
ENSG00000163171,ENSPTRG00000028731,50.1845
ENSG00000261698,ENSPTRG00000007610,46.8064
ENSG00000261698,ENSPTRG00000003184,45.9606
ENSG00000168497,ENSPTRG00000021725,49.0864
ENSG00000105865,ENSPTRG00000005696,48.0379
ENSG00000105865,ENSPTRG00000042501,48.6545
ENSG00000261678,ENSPTRG00000040153,45.1638
ENSG00000261587,ENSPTRG00000028745,46.4615
ENSG00000261587,ENSPTRG00000003184,46.5539
ENSG00000261587,ENSPTRG00000039445,46.3448
ENSG00000144339,ENSPTRG00000003383,48.311
ENSG00000144339,ENSPTRG00000028666,48.9631
ENSG00000144339,ENSPTRG00000040343,48.5731
ENSG00000262826,ENSPTRG00000019087,49.0013
ENSG00000262826,ENSPTRG00000003144,48.9297
ENSG00000262826,ENSPTRG00000003144,49.0994
ENSG00000233280,ENSPTRG00000003384,48.8034
ENSG00000080200,ENSPTRG00000009858,49.0799
ENSG00000080200,ENSPTRG00000028845,50
ENSG00000080200,ENSPTRG00000005863,48.6763
ENSG00000261042,ENSPTRG00000003175,48.0808
ENSG00000261042,ENSPTRG00000042298,47.3684
ENSG00000261042,ENSPTRG00000000017,46.5566
ENSG00000261042,ENSPTRG00000031045,46.8715
ENSG00000261042,ENSPTRG00000028760,46.1883
ENSG00000261042,ENSPTRG00000000017,46.7642
ENSG00000261042,ENSPTRG00000007610,46.7163
ENSG00000261042,ENSPTRG00000016673,46.9937
ENSG00000261042,ENSPTRG00000041651,47.5207
ENSG00000261042,ENSPTRG00000003128,46.745
ENSG00000261042,ENSPTRG00000028760,47.973
ENSG00000115841,ENSPTRG00000028817,48.7569
ENSG00000115841,ENSPTRG00000016990,48.0811
ENSG00000115841,ENSPTRG00000013785,48.3437
ENSG00000115841,ENSPTRG00000013786,48.5965
ENSG00000115841,ENSPTRG00000009893,48.4635
ENSG00000115841,ENSPTRG00000018954,48.3133
ENSG00000115841,ENSPTRG00000013785,49.113
ENSG00000115841,ENSPTRG00000021699,49.6564
ENSG00000115841,ENSPTRG00000017086,47.8962
ENSG00000173933,ENSPTRG00000005684,48.5242
ENSG00000173933,ENSPTRG00000016990,48.2423
ENSG00000173933,ENSPTRG00000000017,48.3267
ENSG00000173933,ENSPTRG00000005728,49.1409
ENSG00000173933,ENSPTRG00000022504,48.8372
ENSG00000173933,ENSPTRG00000042377,49.62
ENSG00000173933,ENSPTRG00000007628,47.4425
ENSG00000173933,ENSPTRG00000021649,48.6239
ENSG00000173933,ENSPTRG00000000155,49.456
ENSG00000173933,ENSPTRG00000031023,49.1413
ENSG00000173933,ENSPTRG00000000132,49.246
ENSG00000262773,ENSPTRG00000009829,48.9941
ENSG00000262773,ENSPTRG00000003194,48.7794
ENSG00000262773,ENSPTRG00000042501,48.5022
ENSG00000262773,ENSPTRG00000042501,48.6169
ENSG00000262773,ENSPTRG00000042501,48.2255
ENSG00000262773,ENSPTRG00000042501,48.2255
ENSG00000262773,ENSPTRG00000014650,48.8665
ENSG00000196950,ENSPTRG00000013809,48.7352
ENSG00000196950,ENSPTRG00000016997,48.472
ENSG00000196950,ENSPTRG00000017069,48.2901
ENSG00000196950,ENSPTRG00000031446,49.8516
ENSG00000196950,ENSPTRG00000000269,50.0888
ENSG00000196950,ENSPTRG00000018919,48.6706
ENSG00000263163,ENSPTRG00000018865,48.1647
ENSG00000263163,ENSPTRG00000003184,47.3102
ENSG00000263163,ENSPTRG00000042077,48.7298
ENSG00000263163,ENSPTRG00000042077,49.6718
ENSG00000061987,ENSPTRG00000017038,48.4178
ENSG00000061987,ENSPTRG00000013793,48.1892
ENSG00000061987,ENSPTRG00000005878,48.8003
ENSG00000061987,ENSPTRG00000013793,48.6814
ENSG00000061987,ENSPTRG00000018982,48.4309
ENSG00000061987,ENSPTRG00000031254,49.1349
ENSG00000061987,ENSPTRG00000016972,48.4974
ENSG00000061987,ENSPTRG00000014661,48.6167
ENSG00000261539,ENSPTRG00000033888,46.6705
ENSG00000261539,ENSPTRG00000031045,47.0588
ENSG00000261539,ENSPTRG00000003174,46.0545
ENSG00000261539,ENSPTRG00000031314,46.5306
ENSG00000152133,ENSPTRG00000018991,48.4127
ENSG00000152133,ENSPTRG00000013867,48.3473
ENSG00000261992,ENSPTRG00000021645,50.575
ENSG00000175215,ENSPTRG00000007652,49.635
ENSG00000175215,ENSPTRG00000007607,48.3187
ENSG00000175215,ENSPTRG00000030824,48.808
ENSG00000175215,ENSPTRG00000004015,48.0769
ENSG00000175215,ENSPTRG00000013918,47.7941
ENSG00000262452,ENSPTRG00000021649,48.5926
ENSG00000262452,ENSPTRG00000005728,48.8255
ENSG00000143379,ENSPTRG00000003389,47.5298
ENSG00000143379,ENSPTRG00000014196,49.4478
ENSG00000143379,ENSPTRG00000034369,48.9521
ENSG00000143379,ENSPTRG00000019120,49.3234
ENSG00000143379,ENSPTRG00000004555,49.0455
ENSG00000143379,ENSPTRG00000014196,49.3468
ENSG00000143379,ENSPTRG00000019106,48.6124
ENSG00000143379,ENSPTRG00000021653,49.1697
ENSG00000143379,ENSPTRG00000024355,48.9831
ENSG00000118997,ENSPTRG00000019120,48.8889
ENSG00000118997,ENSPTRG00000005680,48.935
ENSG00000118997,ENSPTRG00000022785,49.5017
ENSG00000118997,ENSPTRG00000017039,48.8384
ENSG00000118997,ENSPTRG00000013809,49.5528
ENSG00000262563,ENSPTRG00000023556,49.1763
ENSG00000262563,ENSPTRG00000021835,49.7674
ENSG00000262563,ENSPTRG00000028774,50
ENSG00000173621,ENSPTRG00000003184,46.0645
ENSG00000173621,ENSPTRG00000007565,47.0177
ENSG00000173621,ENSPTRG00000003120,46.542
ENSG00000263298,ENSPTRG00000018966,46.7435
ENSG00000261694,ENSPTRG00000028760,46.8992
ENSG00000261694,ENSPTRG00000007558,47.0402
ENSG00000261694,ENSPTRG00000003154,46.7419
ENSG00000260334,ENSPTRG00000028438,47.0213
ENSG00000173237,ENSPTRG00000014067,47.6832
ENSG00000261125,ENSPTRG00000016923,48.7521
ENSG00000261125,ENSPTRG00000042298,49.4867
ENSG00000261125,ENSPTRG00000030817,49.0741
ENSG00000261125,ENSPTRG00000000085,48.865
ENSG00000261125,ENSPTRG00000000024,48.4218
ENSG00000261125,ENSPTRG00000000024,48.461
ENSG00000261125,ENSPTRG00000003179,48.4278
ENSG00000170854,ENSPTRG00000023831,48.5802
ENSG00000170854,ENSPTRG00000017048,48.9962
ENSG00000170854,ENSPTRG00000023354,49.328
ENSG00000170854,ENSPTRG00000041209,47.5465
ENSG00000170854,ENSPTRG00000034369,48.1638
ENSG00000170854,ENSPTRG00000028731,49.5482
ENSG00000170854,ENSPTRG00000042466,48.851
ENSG00000261577,ENSPTRG00000007545,47.6349
ENSG00000261577,ENSPTRG00000007545,47.6562
ENSG00000261577,ENSPTRG00000018865,48.0126
ENSG00000261577,ENSPTRG00000029528,46.2114
ENSG00000261577,ENSPTRG00000029528,46.7444
ENSG00000261577,ENSPTRG00000039445,47.1038
ENSG00000261577,ENSPTRG00000000041,47.7345
ENSG00000261577,ENSPTRG00000031327,49.3174
ENSG00000075790,ENSPTRG00000017067,48.6877
ENSG00000075790,ENSPTRG00000018954,48.4076
ENSG00000075790,ENSPTRG00000016949,48.8332
ENSG00000075790,ENSPTRG00000009849,50.4021
ENSG00000075790,ENSPTRG00000017006,50.211
ENSG00000075790,ENSPTRG00000005877,49.3988
ENSG00000075790,ENSPTRG00000003400,47.6876
ENSG00000075790,ENSPTRG00000028731,51.004
ENSG00000075790,ENSPTRG00000000124,49.2655
ENSG00000075790,ENSPTRG00000034312,49.4806
ENSG00000075790,ENSPTRG00000005713,49.3677
ENSG00000075790,ENSPTRG00000034312,49.4806
ENSG00000081320,ENSPTRG00000005733,47.7965
ENSG00000081320,ENSPTRG00000028817,48.9938
ENSG00000081320,ENSPTRG00000017069,50.0986
ENSG00000081320,ENSPTRG00000003389,50.0882
ENSG00000261230,ENSPTRG00000007626,47.5852
ENSG00000261230,ENSPTRG00000007645,47.7813
ENSG00000261230,ENSPTRG00000028731,47.6285
ENSG00000055332,ENSPTRG00000016972,49.1336
ENSG00000055332,ENSPTRG00000018996,48.3366
ENSG00000055332,ENSPTRG00000017069,48.1752
ENSG00000055332,ENSPTRG00000017069,49.8227
ENSG00000055332,ENSPTRG00000018989,49.0102
ENSG00000173227,ENSPTRG00000007645,48.3458
ENSG00000173227,ENSPTRG00000003160,47.199
ENSG00000173227,ENSPTRG00000003160,46.478
ENSG00000173227,ENSPTRG00000005739,47.3862
ENSG00000143418,ENSPTRG00000000111,49.2512
ENSG00000143418,ENSPTRG00000009853,49.6406
ENSG00000143418,ENSPTRG00000003184,50.3492
ENSG00000143418,ENSPTRG00000014034,49.4231
ENSG00000143418,ENSPTRG00000040367,48.8024
ENSG00000143418,ENSPTRG00000014117,48.1444
ENSG00000143418,ENSPTRG00000030824,48.8839
ENSG00000143418,ENSPTRG00000014080,48.7805
ENSG00000143418,ENSPTRG00000031327,48.6239
ENSG00000143418,ENSPTRG00000019024,49.7006
ENSG00000138411,ENSPTRG00000019123,48.2212
ENSG00000138411,ENSPTRG00000019123,45.8706
ENSG00000138411,ENSPTRG00000019963,47.7419
ENSG00000138411,ENSPTRG00000031327,47.7113
ENSG00000259858,ENSPTRG00000016687,49.4937
ENSG00000259858,ENSPTRG00000022503,49.4559
ENSG00000259858,ENSPTRG00000040033,49.8282
ENSG00000259858,ENSPTRG00000023787,49.6131
ENSG00000261163,ENSPTRG00000005694,47.2063
ENSG00000173914,ENSPTRG00000004573,49.3801
ENSG00000173914,ENSPTRG00000014580,48.587
ENSG00000173914,ENSPTRG00000007683,49.8049
ENSG00000173914,ENSPTRG00000000063,48.2122
ENSG00000261258,ENSPTRG00000004572,48.6423
ENSG00000261258,ENSPTRG00000014062,49.2462
ENSG00000261258,ENSPTRG00000004572,48.7961
ENSG00000261258,ENSPTRG00000007650,48.855
ENSG00000138061,ENSPTRG00000017067,48.3896
ENSG00000138061,ENSPTRG00000009878,48.0442
ENSG00000261301,ENSPTRG00000003318,46.1116
ENSG00000166896,ENSPTRG00000003390,48.6747
ENSG00000261180,ENSPTRG00000021706,49.3022
ENSG00000261180,ENSPTRG00000004550,49.507
ENSG00000261180,ENSPTRG00000021690,47.3054
ENSG00000261180,ENSPTRG00000018992,49.7981
ENSG00000057019,ENSPTRG00000022471,48.6932
ENSG00000057019,ENSPTRG00000017028,48.9012
ENSG00000057019,ENSPTRG00000017052,49.639
ENSG00000262254,ENSPTRG00000004550,48.8832
ENSG00000258231,ENSPTRG00000041924,48.9979
ENSG00000260753,ENSPTRG00000007644,48.8419
ENSG00000260753,ENSPTRG00000003177,49.0783
ENSG00000260753,ENSPTRG00000019135,49.641
ENSG00000260753,ENSPTRG00000041690,49.726
