pan_troglodytes,gorilla_gorilla
ENSPTRG00000000079,ENSGGOG00000014451,49.9068
ENSPTRG00000003118,ENSGGOG00000014343,46.2156
ENSPTRG00000000081,ENSGGOG00000024843,45.0106
ENSPTRG00000000082,ENSGGOG00000016587,47.7791
ENSPTRG00000000084,ENSGGOG00000014163,47.9012
ENSPTRG00000020045,ENSGGOG00000024900,48.8584
ENSPTRG00000023120,ENSGGOG00000025860,48.2156
ENSPTRG00000018944,ENSGGOG00000001490,48.7571
ENSPTRG00000041763,ENSGGOG00000006443,48.741
ENSPTRG00000041716,ENSGGOG00000006443,48.741
ENSPTRG00000041052,ENSGGOG00000027804,56.6667
ENSPTRG00000039529,ENSGGOG00000027065,48.381
ENSPTRG00000039529,ENSGGOG00000023433,46.748
ENSPTRG00000020046,ENSGGOG00000024674,48.1432
ENSPTRG00000041720,ENSGGOG00000008275,47.8689
ENSPTRG00000020047,ENSGGOG00000007551,48.088
ENSPTRG00000041899,ENSGGOG00000009024,47.9212
ENSPTRG00000024080,ENSGGOG00000016427,49.7978
ENSPTRG00000040807,ENSGGOG00000009024,47.9212
ENSPTRG00000000085,ENSGGOG00000026915,47.4194
ENSPTRG00000000085,ENSGGOG00000016587,48.8081
ENSPTRG00000042336,ENSGGOG00000022517,48.2103
ENSPTRG00000042266,ENSGGOG00000027065,48.4762
ENSPTRG00000042266,ENSGGOG00000023433,47.1545
ENSPTRG00000034540,ENSGGOG00000026899,45.3501
ENSPTRG00000005677,ENSGGOG00000016192,49.6128
ENSPTRG00000039167,ENSGGOG00000026988,48
ENSPTRG00000022505,ENSGGOG00000012725,49.3658
ENSPTRG00000040418,ENSGGOG00000005391,48.9177
ENSPTRG00000026567,ENSGGOG00000016192,49.1184
ENSPTRG00000005679,ENSGGOG00000026860,48.8996
ENSPTRG00000022504,ENSGGOG00000026036,48.4521
ENSPTRG00000001027,ENSGGOG00000027936,48.8012
ENSPTRG00000001027,ENSGGOG00000013205,48.8782
ENSPTRG00000000088,ENSGGOG00000014406,47.8075
ENSPTRG00000020048,ENSGGOG00000000082,48.0163
ENSPTRG00000022503,ENSGGOG00000014572,48.8516
ENSPTRG00000005680,ENSGGOG00000010362,49.0299
ENSPTRG00000020049,ENSGGOG00000010879,47.5313
ENSPTRG00000017057,ENSGGOG00000008196,49.2282
ENSPTRG00000017057,ENSGGOG00000008196,49.2881
ENSPTRG00000020050,ENSGGOG00000015536,47.5517
ENSPTRG00000018945,ENSGGOG00000005177,47.5748
ENSPTRG00000034469,ENSGGOG00000004553,42.1053
ENSPTRG00000017056,ENSGGOG00000012686,48.8818
ENSPTRG00000018946,ENSGGOG00000028568,49.1935
ENSPTRG00000041209,ENSGGOG00000028529,48.218
ENSPTRG00000003120,ENSGGOG00000023628,47.136
ENSPTRG00000034402,ENSGGOG00000027362,48.8201
ENSPTRG00000003121,ENSGGOG00000014343,46.356
ENSPTRG00000017055,ENSGGOG00000027616,49.2278
ENSPTRG00000020051,ENSGGOG00000010812,48.2575
ENSPTRG00000013795,ENSGGOG00000001822,46.8264
ENSPTRG00000000112,ENSGGOG00000012496,48.7865
ENSPTRG00000041849,ENSGGOG00000010082,49.0129
ENSPTRG00000003161,ENSGGOG00000013986,47.7876
ENSPTRG00000020058,ENSGGOG00000002467,49.7702
ENSPTRG00000005698,ENSGGOG00000014157,50.1948
ENSPTRG00000003166,ENSGGOG00000011424,48.0589
ENSPTRG00000023686,ENSGGOG00000010257,48.4536
ENSPTRG00000005701,ENSGGOG00000022673,49.1505
ENSPTRG00000013797,ENSGGOG00000008282,49.4347
ENSPTRG00000020059,ENSGGOG00000016192,49.1076
ENSPTRG00000018962,ENSGGOG00000013122,48.793
ENSPTRG00000018963,ENSGGOG00000022961,49.2958
ENSPTRG00000030841,ENSGGOG00000008319,47.2756
ENSPTRG00000030841,ENSGGOG00000016582,47.3193
ENSPTRG00000005703,ENSGGOG00000012522,48.8649
ENSPTRG00000000113,ENSGGOG00000016587,48.2072
ENSPTRG00000013798,ENSGGOG00000001822,48.9044
ENSPTRG00000005704,ENSGGOG00000028402,49.2678
ENSPTRG00000018964,ENSGGOG00000010070,49.2984
ENSPTRG00000000114,ENSGGOG00000011619,49.4696
ENSPTRG00000013799,ENSGGOG00000013267,48.7594
ENSPTRG00000017028,ENSGGOG00000006202,48.984
ENSPTRG00000000115,ENSGGOG00000026036,49.2455
ENSPTRG00000020061,ENSGGOG00000005626,47.95
ENSPTRG00000018965,ENSGGOG00000012718,48.5519
ENSPTRG00000013800,ENSGGOG00000022961,48.9075
ENSPTRG00000000120,ENSGGOG00000016587,48.0437
ENSPTRG00000005705,ENSGGOG00000013267,48.6598
ENSPTRG00000013803,ENSGGOG00000010070,49.0851
ENSPTRG00000017026,ENSGGOG00000002467,48.6742
ENSPTRG00000018966,ENSGGOG00000016206,48.6267
ENSPTRG00000020062,ENSGGOG00000014343,46.8468
ENSPTRG00000013807,ENSGGOG00000026274,49.0179
ENSPTRG00000031238,ENSGGOG00000012315,49.4149
ENSPTRG00000017025,ENSGGOG00000012718,48.7824
ENSPTRG00000017025,ENSGGOG00000012718,48.6733
ENSPTRG00000031237,ENSGGOG00000012466,48.7085
ENSPTRG00000032583,ENSGGOG00000015734,49.0413
ENSPTRG00000014030,ENSGGOG00000026223,48.6986
ENSPTRG00000017023,ENSGGOG00000010070,48.8372
ENSPTRG00000017023,ENSGGOG00000016192,49.2875
ENSPTRG00000017023,ENSGGOG00000016192,49.2625
ENSPTRG00000028817,ENSGGOG00000025841,48.3926
ENSPTRG00000028817,ENSGGOG00000025841,48.6443
ENSPTRG00000028817,ENSGGOG00000000612,48.2251
ENSPTRG00000020065,ENSGGOG00000004730,48.9458
ENSPTRG00000040561,ENSGGOG00000023976,43.681
ENSPTRG00000033746,ENSGGOG00000002291,48.2993
ENSPTRG00000033940,ENSGGOG00000000224,48.3483
ENSPTRG00000034203,ENSGGOG00000006703,48.1283
ENSPTRG00000013808,ENSGGOG00000006828,49.2007
ENSPTRG00000014033,ENSGGOG00000014406,47.1828
ENSPTRG00000003171,ENSGGOG00000023972,48.1141
ENSPTRG00000017022,ENSGGOG00000010070,48.8705
ENSPTRG00000005710,ENSGGOG00000015882,49.6973
ENSPTRG00000005710,ENSGGOG00000025061,48.1994
ENSPTRG00000003172,ENSGGOG00000026915,47.1939
ENSPTRG00000018968,ENSGGOG00000012303,48.9443
ENSPTRG00000003173,ENSGGOG00000010879,45.8586
ENSPTRG00000018970,ENSGGOG00000001822,47.874
ENSPTRG00000000119,ENSGGOG00000024938,49.6399
ENSPTRG00000005711,ENSGGOG00000012676,49.3502
ENSPTRG00000000121,ENSGGOG00000009450,49.0836
ENSPTRG00000003174,ENSGGOG00000001083,46.6703
ENSPTRG00000003174,ENSGGOG00000023080,45.2261
ENSPTRG00000017020,ENSGGOG00000015979,49.1239
ENSPTRG00000018975,ENSGGOG00000011768,48.538
ENSPTRG00000013809,ENSGGOG00000025346,48.2353
ENSPTRG00000003175,ENSGGOG00000022355,47.6793
ENSPTRG00000018976,ENSGGOG00000001490,49.1774
ENSPTRG00000003177,ENSGGOG00000001853,47.1649
ENSPTRG00000007525,ENSGGOG00000005082,49.739
ENSPTRG00000029528,ENSGGOG00000016493,44.9275
ENSPTRG00000042089,ENSGGOG00000023150,48.1132
ENSPTRG00000007526,ENSGGOG00000003603,47.9304
ENSPTRG00000013810,ENSGGOG00000026926,48.6325
ENSPTRG00000014034,ENSGGOG00000010812,48.5121
ENSPTRG00000003178,ENSGGOG00000006624,47.1816
ENSPTRG00000007527,ENSGGOG00000007745,47.4633
ENSPTRG00000003179,ENSGGOG00000007745,47.5743
ENSPTRG00000020066,ENSGGOG00000016725,48.7027
ENSPTRG00000017019,ENSGGOG00000028402,49.4585
ENSPTRG00000018979,ENSGGOG00000015683,48.6464
ENSPTRG00000005712,ENSGGOG00000010169,49.2633
ENSPTRG00000018980,ENSGGOG00000023866,49.3582
ENSPTRG00000013811,ENSGGOG00000023977,49.2977
ENSPTRG00000017018,ENSGGOG00000008319,47.8894
ENSPTRG00000017015,ENSGGOG00000022699,48.6697
ENSPTRG00000018981,ENSGGOG00000001490,48.8266
ENSPTRG00000007528,ENSGGOG00000005329,47.1311
ENSPTRG00000014036,ENSGGOG00000003136,48.9863
ENSPTRG00000000122,ENSGGOG00000015635,49.682
ENSPTRG00000018982,ENSGGOG00000025378,49.0709
ENSPTRG00000007529,ENSGGOG00000014343,47.7555
ENSPTRG00000000123,ENSGGOG00000016192,48.3955
ENSPTRG00000014037,ENSGGOG00000014572,49.4096
ENSPTRG00000003182,ENSGGOG00000026995,46.7532
ENSPTRG00000020067,ENSGGOG00000012303,48.7556
ENSPTRG00000039042,ENSGGOG00000005923,49.5863
ENSPTRG00000020068,ENSGGOG00000015406,49.4961
ENSPTRG00000003184,ENSGGOG00000006271,45.0749
ENSPTRG00000003185,ENSGGOG00000027893,47.6035
ENSPTRG00000028747,ENSGGOG00000013205,49.662
ENSPTRG00000005713,ENSGGOG00000001312,48.3422
ENSPTRG00000020069,ENSGGOG00000009450,49.2299
ENSPTRG00000000124,ENSGGOG00000006919,48.2711
ENSPTRG00000000124,ENSGGOG00000025812,47.541
ENSPTRG00000000125,ENSGGOG00000023794,48.1073
ENSPTRG00000000125,ENSGGOG00000023794,47.0668
ENSPTRG00000007530,ENSGGOG00000025565,46.9432
ENSPTRG00000031328,ENSGGOG00000024097,46.3869
ENSPTRG00000000126,ENSGGOG00000003712,50.2212
ENSPTRG00000031327,ENSGGOG00000023035,46.0784
ENSPTRG00000040297,ENSGGOG00000007609,47.3118
ENSPTRG00000020070,ENSGGOG00000005746,49.4711
ENSPTRG00000007533,ENSGGOG00000001828,48.9318
ENSPTRG00000017013,ENSGGOG00000024544,21.6495
ENSPTRG00000021620,ENSGGOG00000008275,47.7809
ENSPTRG00000003188,ENSGGOG00000009880,49.026
ENSPTRG00000017012,ENSGGOG00000022262,49.421
ENSPTRG00000014038,ENSGGOG00000000667,49.2809
ENSPTRG00000017011,ENSGGOG00000010070,48.9169
ENSPTRG00000023871,ENSGGOG00000034921,49.094
ENSPTRG00000032585,ENSGGOG00000025868,33.3333
ENSPTRG00000018983,ENSGGOG00000016542,49.2479
ENSPTRG00000007535,ENSGGOG00000001501,48.4294
ENSPTRG00000014040,ENSGGOG00000014663,48.5971
ENSPTRG00000020072,ENSGGOG00000015635,48.4268
ENSPTRG00000005715,ENSGGOG00000001312,48.7388
ENSPTRG00000018984,ENSGGOG00000015749,49.3343
ENSPTRG00000013812,ENSGGOG00000027541,49.4309
ENSPTRG00000014041,ENSGGOG00000027478,49.1917
ENSPTRG00000021625,ENSGGOG00000000889,49.0637
ENSPTRG00000031322,ENSGGOG00000016493,47.2727
ENSPTRG00000020073,ENSGGOG00000012276,49.6875
ENSPTRG00000017010,ENSGGOG00000010070,49.0078
ENSPTRG00000021630,ENSGGOG00000010601,49.3783
ENSPTRG00000013813,ENSGGOG00000000438,49.1296
ENSPTRG00000007536,ENSGGOG00000002865,46.9559
ENSPTRG00000022476,ENSGGOG00000001891,47.9624
ENSPTRG00000040538,ENSGGOG00000003617,47.2579
ENSPTRG00000021635,ENSGGOG00000002249,49.9304
ENSPTRG00000021635,ENSGGOG00000023474,50.0176
ENSPTRG00000031023,ENSGGOG00000024581,48.3926
ENSPTRG00000017008,ENSGGOG00000002467,48.4215
ENSPTRG00000020074,ENSGGOG00000010076,48.4659
ENSPTRG00000013814,ENSGGOG00000012718,49.6688
ENSPTRG00000014044,ENSGGOG00000007457,49.3228
ENSPTRG00000014046,ENSGGOG00000008248,48.6826
ENSPTRG00000007537,ENSGGOG00000003587,47.9497
ENSPTRG00000028321,ENSGGOG00000001522,45.5782
ENSPTRG00000013817,ENSGGOG00000022382,40.7778
ENSPTRG00000007541,ENSGGOG00000016493,49.0088
ENSPTRG00000021640,ENSGGOG00000001490,49.4119
ENSPTRG00000007540,ENSGGOG00000014406,46.9337
ENSPTRG00000020075,ENSGGOG00000007620,49.5077
ENSPTRG00000017007,ENSGGOG00000007800,49.2651
ENSPTRG00000018985,ENSGGOG00000008196,48.9086
ENSPTRG00000013819,ENSGGOG00000012898,48.8734
ENSPTRG00000018986,ENSGGOG00000024850,49.6507
ENSPTRG00000007542,ENSGGOG00000016198,48.1084
ENSPTRG00000000127,ENSGGOG00000027530,49.0593
ENSPTRG00000021641,ENSGGOG00000027171,49.7019
ENSPTRG00000005717,ENSGGOG00000013200,49.2923
ENSPTRG00000014047,ENSGGOG00000013018,48.6792
ENSPTRG00000005718,ENSGGOG00000010545,47.9486
ENSPTRG00000017006,ENSGGOG00000027258,48.5955
ENSPTRG00000020076,ENSGGOG00000022833,47.4923
ENSPTRG00000028792,ENSGGOG00000023035,47.381
ENSPTRG00000014048,ENSGGOG00000011253,48.885
ENSPTRG00000021637,ENSGGOG00000006703,45.509
ENSPTRG00000017005,ENSGGOG00000014514,48.2687
ENSPTRG00000017004,ENSGGOG00000002578,49.3895
ENSPTRG00000017004,ENSGGOG00000026911,47.7352
ENSPTRG00000021645,ENSGGOG00000016656,48.8027
ENSPTRG00000017002,ENSGGOG00000014223,48.8908
ENSPTRG00000007543,ENSGGOG00000016587,47.5128
ENSPTRG00000018988,ENSGGOG00000015882,48.7725
ENSPTRG00000014558,ENSGGOG00000027530,49.07
ENSPTRG00000029512,ENSGGOG00000027906,48.3051
ENSPTRG00000029512,ENSGGOG00000011399,41.4141
ENSPTRG00000007558,ENSGGOG00000016493,44.8931
ENSPTRG00000014049,ENSGGOG00000023870,46.8672
ENSPTRG00000041336,ENSGGOG00000016537,48.8889
ENSPTRG00000007544,ENSGGOG00000001083,46.0151
ENSPTRG00000007545,ENSGGOG00000014406,47.148
ENSPTRG00000005719,ENSGGOG00000002467,49.2496
ENSPTRG00000028745,ENSGGOG00000012466,45.5172
ENSPTRG00000003194,ENSGGOG00000026860,40.3566
ENSPTRG00000020078,ENSGGOG00000012775,49.5649
ENSPTRG00000003197,ENSGGOG00000006624,48.2943
ENSPTRG00000000130,ENSGGOG00000005082,48.9944
ENSPTRG00000021649,ENSGGOG00000022322,48.1283
ENSPTRG00000018989,ENSGGOG00000011543,48.7076
ENSPTRG00000007546,ENSGGOG00000003636,47.6664
ENSPTRG00000003198,ENSGGOG00000027137,48.1707
ENSPTRG00000018990,ENSGGOG00000005185,49.7617
ENSPTRG00000013820,ENSGGOG00000005564,49.7661
ENSPTRG00000021653,ENSGGOG00000034992,48.3078
ENSPTRG00000038951,ENSGGOG00000028291,50.2069
ENSPTRG00000014053,ENSGGOG00000012500,48.6986
ENSPTRG00000000131,ENSGGOG00000013717,44.7678
ENSPTRG00000003199,ENSGGOG00000003259,47.2737
ENSPTRG00000020079,ENSGGOG00000006624,49.0141
ENSPTRG00000013821,ENSGGOG00000028211,49.177
ENSPTRG00000003200,ENSGGOG00000015536,49.8714
ENSPTRG00000007547,ENSGGOG00000024674,46.5026
ENSPTRG00000020081,ENSGGOG00000023915,47.7727
ENSPTRG00000000132,ENSGGOG00000002206,47.8756
ENSPTRG00000005721,ENSGGOG00000003736,50.03
ENSPTRG00000018991,ENSGGOG00000022699,48.8998
ENSPTRG00000020082,ENSGGOG00000027867,44.9227
ENSPTRG00000020083,ENSGGOG00000025049,49.8973
ENSPTRG00000017003,ENSGGOG00000024432,49.5448
ENSPTRG00000021655,ENSGGOG00000005680,48.2213
ENSPTRG00000017000,ENSGGOG00000009504,49.3536
ENSPTRG00000017000,ENSGGOG00000022153,49.5556
ENSPTRG00000007548,ENSGGOG00000027494,46.1454
ENSPTRG00000014560,ENSGGOG00000024432,49.6261
ENSPTRG00000020084,ENSGGOG00000008903,48.5201
ENSPTRG00000021656,ENSGGOG00000008903,49.5837
ENSPTRG00000007549,ENSGGOG00000023813,47.9167
ENSPTRG00000000133,ENSGGOG00000005224,48.1117
ENSPTRG00000016999,ENSGGOG00000016192,48.5595
ENSPTRG00000003202,ENSGGOG00000004995,48.6544
ENSPTRG00000021657,ENSGGOG00000028067,48.8701
ENSPTRG00000014055,ENSGGOG00000015536,48.5974
ENSPTRG00000021658,ENSGGOG00000005626,49.1282
ENSPTRG00000007551,ENSGGOG00000003587,48.073
ENSPTRG00000014562,ENSGGOG00000034921,49.4403
ENSPTRG00000000134,ENSGGOG00000012496,47.9133
ENSPTRG00000013823,ENSGGOG00000008282,49.501
ENSPTRG00000028742,ENSGGOG00000026094,36.1111
ENSPTRG00000020085,ENSGGOG00000016735,49.1939
ENSPTRG00000013824,ENSGGOG00000016206,48.7722
ENSPTRG00000000136,ENSGGOG00000013122,49.23
ENSPTRG00000016998,ENSGGOG00000001305,48.0205
ENSPTRG00000003204,ENSGGOG00000016587,48.9093
ENSPTRG00000018992,ENSGGOG00000016102,48.75
ENSPTRG00000013825,ENSGGOG00000013205,49.6599
ENSPTRG00000013825,ENSGGOG00000034921,49.4916
ENSPTRG00000016997,ENSGGOG00000002460,48.3499
ENSPTRG00000014563,ENSGGOG00000013541,49.1912
ENSPTRG00000018993,ENSGGOG00000022123,48.5597
ENSPTRG00000013829,ENSGGOG00000022351,49.2248
ENSPTRG00000041256,ENSGGOG00000026301,48.7421
ENSPTRG00000038649,ENSGGOG00000022053,47.9167
ENSPTRG00000000137,ENSGGOG00000025865,48.696
ENSPTRG00000003207,ENSGGOG00000010445,49.2476
ENSPTRG00000007552,ENSGGOG00000010879,47.1583
ENSPTRG00000031451,ENSGGOG00000025345,36.0153
ENSPTRG00000013839,ENSGGOG00000024630,46.2963
ENSPTRG00000031446,ENSGGOG00000025345,26.5873
ENSPTRG00000031446,ENSGGOG00000002618,43.908
ENSPTRG00000021659,ENSGGOG00000025199,46.6227
ENSPTRG00000021659,ENSGGOG00000028052,48.7484
ENSPTRG00000013842,ENSGGOG00000025345,17.0833
ENSPTRG00000013846,ENSGGOG00000015734,50.007
ENSPTRG00000021662,ENSGGOG00000016296,49.2819
ENSPTRG00000018994,ENSGGOG00000001081,49.1111
ENSPTRG00000007553,ENSGGOG00000023628,47.5093
ENSPTRG00000020086,ENSGGOG00000023328,48.8936
ENSPTRG00000014057,ENSGGOG00000010879,47.4985
ENSPTRG00000000138,ENSGGOG00000015635,46.5936
ENSPTRG00000014564,ENSGGOG00000023218,48.5075
ENSPTRG00000014058,ENSGGOG00000009450,48.8752
ENSPTRG00000007554,ENSGGOG00000000224,46.455
ENSPTRG00000016996,ENSGGOG00000026926,48.7869
ENSPTRG00000018995,ENSGGOG00000001490,49.3524
ENSPTRG00000021663,ENSGGOG00000013768,49.156
ENSPTRG00000033976,ENSGGOG00000003148,51.4286
ENSPTRG00000014565,ENSGGOG00000011543,48.8941
ENSPTRG00000000140,ENSGGOG00000006928,49.3053
ENSPTRG00000005722,ENSGGOG00000027893,46.8566
ENSPTRG00000007555,ENSGGOG00000027642,45.4751
ENSPTRG00000005723,ENSGGOG00000006838,48.9955
ENSPTRG00000003212,ENSGGOG00000016873,49.0928
ENSPTRG00000007557,ENSGGOG00000004545,45.4128
ENSPTRG00000013847,ENSGGOG00000010423,48.6039
ENSPTRG00000003217,ENSGGOG00000005419,48.3871
ENSPTRG00000005724,ENSGGOG00000028132,48.502
ENSPTRG00000007560,ENSGGOG00000014428,47.5362
ENSPTRG00000041382,ENSGGOG00000016459,42.6934
ENSPTRG00000003219,ENSGGOG00000025400,49.3812
ENSPTRG00000021665,ENSGGOG00000005307,49.3766
ENSPTRG00000007561,ENSGGOG00000015319,47.6304
ENSPTRG00000014568,ENSGGOG00000014327,48.7119
ENSPTRG00000013848,ENSGGOG00000006754,49.672
ENSPTRG00000021667,ENSGGOG00000002460,49.1345
ENSPTRG00000028317,ENSGGOG00000024994,4.83092
ENSPTRG00000003220,ENSGGOG00000024866,49.7311
ENSPTRG00000028737,ENSGGOG00000023328,49.7131
ENSPTRG00000022836,ENSGGOG00000010094,38.4452
ENSPTRG00000028736,ENSGGOG00000010094,38.4375
ENSPTRG00000023556,ENSGGOG00000026645,25.7862
ENSPTRG00000003229,ENSGGOG00000026645,26.7503
ENSPTRG00000021668,ENSGGOG00000005564,49.1633
ENSPTRG00000014570,ENSGGOG00000015271,49.4779
ENSPTRG00000016994,ENSGGOG00000034879,49.2801
ENSPTRG00000005725,ENSGGOG00000004406,49.7521
ENSPTRG00000005725,ENSGGOG00000026926,49.9069
ENSPTRG00000003232,ENSGGOG00000015683,48.635
ENSPTRG00000028316,ENSGGOG00000028133,48.7759
ENSPTRG00000007563,ENSGGOG00000013424,46.9506
ENSPTRG00000023831,ENSGGOG00000010070,49.0123
ENSPTRG00000040047,ENSGGOG00000025434,48.6443
ENSPTRG00000005726,ENSGGOG00000012517,48.1953
ENSPTRG00000005727,ENSGGOG00000026926,48.9687
ENSPTRG00000003238,ENSGGOG00000027668,48.3204
ENSPTRG00000028731,ENSGGOG00000002492,47.3441
ENSPTRG00000028731,ENSGGOG00000022355,48.2824
ENSPTRG00000028731,ENSGGOG00000006919,48.0066
ENSPTRG00000028731,ENSGGOG00000022355,48.0076
ENSPTRG00000005728,ENSGGOG00000025955,0.621118
ENSPTRG00000018996,ENSGGOG00000027362,49.1929
ENSPTRG00000018997,ENSGGOG00000001257,49.8202
ENSPTRG00000000142,ENSGGOG00000011755,49.0356
ENSPTRG00000005729,ENSGGOG00000007378,48.1643
ENSPTRG00000016993,ENSGGOG00000026836,48.9066
ENSPTRG00000005730,ENSGGOG00000025393,48.8604
ENSPTRG00000022526,ENSGGOG00000003716,48.652
ENSPTRG00000007564,ENSGGOG00000027642,45.9967
ENSPTRG00000003245,ENSGGOG00000000892,28.9617
ENSPTRG00000018998,ENSGGOG00000005564,49.0312
ENSPTRG00000003249,ENSGGOG00000027690,40.7407
ENSPTRG00000003249,ENSGGOG00000027690,38.5684
ENSPTRG00000019000,ENSGGOG00000028402,48.0268
ENSPTRG00000021673,ENSGGOG00000026223,49.0441
ENSPTRG00000028729,ENSGGOG00000027665,48.2011
ENSPTRG00000021674,ENSGGOG00000027924,48.2471
ENSPTRG00000013849,ENSGGOG00000015734,49.5399
ENSPTRG00000007565,ENSGGOG00000023005,47.1449
ENSPTRG00000016991,ENSGGOG00000016206,48.655
ENSPTRG00000019002,ENSGGOG00000022961,49.0688
ENSPTRG00000042362,ENSGGOG00000027903,47.5641
ENSPTRG00000003257,ENSGGOG00000027744,48.4971
ENSPTRG00000021675,ENSGGOG00000022699,49.0115
ENSPTRG00000014060,ENSGGOG00000010169,48.3051
ENSPTRG00000013850,ENSGGOG00000025261,49.1688
ENSPTRG00000039101,ENSGGOG00000023483,49.4585
ENSPTRG00000007568,ENSGGOG00000026899,46.2121
ENSPTRG00000005732,ENSGGOG00000026846,49.0821
ENSPTRG00000007569,ENSGGOG00000014406,47.7011
ENSPTRG00000013851,ENSGGOG00000024050,48.2239
ENSPTRG00000016990,ENSGGOG00000024270,48.8225
ENSPTRG00000005733,ENSGGOG00000023474,48.7993
ENSPTRG00000013852,ENSGGOG00000016974,50.3004
ENSPTRG00000000143,ENSGGOG00000011998,49.0205
ENSPTRG00000016989,ENSGGOG00000015979,48.8651
ENSPTRG00000005734,ENSGGOG00000021943,49.0939
ENSPTRG00000040665,ENSGGOG00000013267,48.7457
ENSPTRG00000005735,ENSGGOG00000016493,45.6907
ENSPTRG00000005736,ENSGGOG00000006710,48.4667
ENSPTRG00000000144,ENSGGOG00000008435,48.0549
ENSPTRG00000000144,ENSGGOG00000001257,49.6171
ENSPTRG00000005738,ENSGGOG00000023915,47.4359
ENSPTRG00000019003,ENSGGOG00000016296,47.9126
ENSPTRG00000005739,ENSGGOG00000027378,47.3373
ENSPTRG00000000145,ENSGGOG00000023813,48.4536
ENSPTRG00000005740,ENSGGOG00000025049,49.1812
ENSPTRG00000007570,ENSGGOG00000007620,48.7083
ENSPTRG00000007580,ENSGGOG00000015536,46.7956
ENSPTRG00000007580,ENSGGOG00000015536,46.7959
ENSPTRG00000003258,ENSGGOG00000006202,49.4125
ENSPTRG00000003258,ENSGGOG00000022948,48.5714
ENSPTRG00000019004,ENSGGOG00000027844,48.5059
ENSPTRG00000013854,ENSGGOG00000013424,48.9912
ENSPTRG00000000146,ENSGGOG00000010879,47.0154
ENSPTRG00000000147,ENSGGOG00000002721,48.0883
ENSPTRG00000003259,ENSGGOG00000027541,48.9513
ENSPTRG00000022491,ENSGGOG00000024660,49.2691
ENSPTRG00000019006,ENSGGOG00000026036,49.1549
ENSPTRG00000028322,ENSGGOG00000006703,46.8697
ENSPTRG00000039177,ENSGGOG00000013016,49.499
ENSPTRG00000023010,ENSGGOG00000009275,46.9675
ENSPTRG00000023010,ENSGGOG00000009275,46.9675
ENSPTRG00000021644,ENSGGOG00000006703,46.8697
ENSPTRG00000019007,ENSGGOG00000024850,49.2922
ENSPTRG00000013856,ENSGGOG00000001501,48.694
ENSPTRG00000013856,ENSGGOG00000001501,48.7112
ENSPTRG00000000148,ENSGGOG00000025805,47.576
ENSPTRG00000014061,ENSGGOG00000005082,48.2659
ENSPTRG00000022494,ENSGGOG00000023474,49.4667
ENSPTRG00000016988,ENSGGOG00000002309,49.2891
ENSPTRG00000007584,ENSGGOG00000015243,47.5109
ENSPTRG00000000149,ENSGGOG00000003704,48.4656
ENSPTRG00000014062,ENSGGOG00000023280,45.302
ENSPTRG00000042614,ENSGGOG00000011755,49.475
ENSPTRG00000007582,ENSGGOG00000003617,46.5587
ENSPTRG00000014064,ENSGGOG00000014663,48.4023
ENSPTRG00000007587,ENSGGOG00000000700,49.3857
ENSPTRG00000038881,ENSGGOG00000014842,48.839
ENSPTRG00000013857,ENSGGOG00000005082,49.2297
ENSPTRG00000028728,ENSGGOG00000022234,30.2935
ENSPTRG00000000150,ENSGGOG00000028263,46.6252
ENSPTRG00000003280,ENSGGOG00000007378,47.6734
ENSPTRG00000003281,ENSGGOG00000007551,48.5803
ENSPTRG00000022475,ENSGGOG00000025865,48.9787
ENSPTRG00000021676,ENSGGOG00000022623,49.529
ENSPTRG00000000151,ENSGGOG00000000052,47.3136
ENSPTRG00000019010,ENSGGOG00000028568,49.9796
ENSPTRG00000005742,ENSGGOG00000014267,49.2885
ENSPTRG00000019011,ENSGGOG00000010407,50.5364
ENSPTRG00000019012,ENSGGOG00000003636,50.6781
ENSPTRG00000023787,ENSGGOG00000027530,49.2032
ENSPTRG00000023597,ENSGGOG00000003281,49.5949
ENSPTRG00000021677,ENSGGOG00000009603,49.9685
ENSPTRG00000019015,ENSGGOG00000016534,49.487
ENSPTRG00000039535,ENSGGOG00000003617,47.2569
ENSPTRG00000003282,ENSGGOG00000010913,1.04822
ENSPTRG00000019017,ENSGGOG00000003136,49.9751
ENSPTRG00000019018,ENSGGOG00000006828,49.5736
ENSPTRG00000019018,ENSGGOG00000024199,49.5631
ENSPTRG00000019018,ENSGGOG00000023899,49.4388
ENSPTRG00000019018,ENSGGOG00000022397,49.4774
ENSPTRG00000000152,ENSGGOG00000005626,47.1295
ENSPTRG00000021679,ENSGGOG00000006837,49.0459
ENSPTRG00000003283,ENSGGOG00000015717,47.5696
ENSPTRG00000007588,ENSGGOG00000023813,48.2254
ENSPTRG00000019019,ENSGGOG00000022262,49.0471
ENSPTRG00000019020,ENSGGOG00000022262,49.6974
ENSPTRG00000000153,ENSGGOG00000015536,48.1494
ENSPTRG00000028643,ENSGGOG00000028402,48.5259
ENSPTRG00000019022,ENSGGOG00000001083,47.3628
ENSPTRG00000019024,ENSGGOG00000013267,1.79551
ENSPTRG00000003284,ENSGGOG00000011132,47.308
ENSPTRG00000003285,ENSGGOG00000009528,48.1903
ENSPTRG00000000154,ENSGGOG00000007551,49.0242
ENSPTRG00000005743,ENSGGOG00000014261,49.4106
ENSPTRG00000005743,ENSGGOG00000025412,48.6034
