pan_troglodytes,pongo_abelii
ENSPTRG00000000079,ENSPPYG00000018367,49.7826
ENSPTRG00000003118,ENSPPYG00000018937,46.3303
ENSPTRG00000000081,ENSPPYG00000020102,46.2845
ENSPTRG00000000082,ENSPPYG00000019533,48.0245
ENSPTRG00000000084,ENSPPYG00000019988,46.9753
ENSPTRG00000020045,ENSPPYG00000018939,48.4932
ENSPTRG00000023120,ENSPPYG00000019247,46.2415
ENSPTRG00000018944,ENSPPYG00000018234,48.847
ENSPTRG00000041763,ENSPPYG00000019584,48.8609
ENSPTRG00000041716,ENSPPYG00000019584,48.9209
ENSPTRG00000041052,ENSPPYG00000018603,53.3333
ENSPTRG00000039529,ENSPPYG00000018705,48.8571
ENSPTRG00000039529,ENSPPYG00000018657,47.561
ENSPTRG00000020046,ENSPPYG00000018409,14.8541
ENSPTRG00000041720,ENSPPYG00000019678,48.1967
ENSPTRG00000020047,ENSPPYG00000018911,48.6652
ENSPTRG00000041899,ENSPPYG00000019804,46.8271
ENSPTRG00000024080,ENSPPYG00000018597,48.8336
ENSPTRG00000040807,ENSPPYG00000019804,46.8271
ENSPTRG00000000085,ENSPPYG00000019027,46.129
ENSPTRG00000000085,ENSPPYG00000019533,48.9025
ENSPTRG00000042336,ENSPPYG00000019978,48.3221
ENSPTRG00000042266,ENSPPYG00000018705,48.9524
ENSPTRG00000042266,ENSPPYG00000018657,48.374
ENSPTRG00000034540,ENSPPYG00000020322,46.186
ENSPTRG00000005677,ENSPPYG00000019265,49.3224
ENSPTRG00000039167,ENSPPYG00000017794,46.6667
ENSPTRG00000022505,ENSPPYG00000020462,32.4524
ENSPTRG00000040418,ENSPPYG00000019361,48.4848
ENSPTRG00000026567,ENSPPYG00000019247,48.7406
ENSPTRG00000005679,ENSPPYG00000018567,48.8996
ENSPTRG00000022504,ENSPPYG00000019247,48.0922
ENSPTRG00000001027,ENSPPYG00000019980,41.6473
ENSPTRG00000001027,ENSPPYG00000019980,40.3846
ENSPTRG00000000088,ENSPPYG00000020088,47.4583
ENSPTRG00000020048,ENSPPYG00000018411,2.71739
ENSPTRG00000022503,ENSPPYG00000020372,39.5917
ENSPTRG00000005680,ENSPPYG00000020763,49.5369
ENSPTRG00000020049,ENSPPYG00000019988,46.2804
ENSPTRG00000017057,ENSPPYG00000018653,48.557
ENSPTRG00000017057,ENSPPYG00000018653,48.5424
ENSPTRG00000020050,ENSPPYG00000018413,12.0239
ENSPTRG00000018945,ENSPPYG00000018113,46.4834
ENSPTRG00000034469,ENSPPYG00000020725,40.8772
ENSPTRG00000017056,ENSPPYG00000018827,48.9031
ENSPTRG00000018946,ENSPPYG00000017569,49.1935
ENSPTRG00000041209,ENSPPYG00000017575,44.6541
ENSPTRG00000003120,ENSPPYG00000018593,46.5148
ENSPTRG00000034402,ENSPPYG00000017768,37.3894
ENSPTRG00000003121,ENSPPYG00000018311,46.4158
ENSPTRG00000017055,ENSPPYG00000017825,49.26
ENSPTRG00000020051,ENSPPYG00000018981,47.785
ENSPTRG00000013795,ENSPPYG00000019213,48.5225
ENSPTRG00000000112,ENSPPYG00000019353,48.9099
ENSPTRG00000041849,ENSPPYG00000017859,49.3546
ENSPTRG00000003161,ENSPPYG00000020823,46.9027
ENSPTRG00000020058,ENSPPYG00000018421,4.9026
ENSPTRG00000005698,ENSPPYG00000019439,49.9722
ENSPTRG00000003166,ENSPPYG00000017937,46.8541
ENSPTRG00000023686,ENSPPYG00000017825,48.3599
ENSPTRG00000005701,ENSPPYG00000019247,49.2112
ENSPTRG00000013797,ENSPPYG00000018561,48.4925
ENSPTRG00000020059,ENSPPYG00000018489,49.1533
ENSPTRG00000018962,ENSPPYG00000018617,48.4592
ENSPTRG00000018963,ENSPPYG00000018735,48.5298
ENSPTRG00000030841,ENSPPYG00000019373,47.7564
ENSPTRG00000030841,ENSPPYG00000019361,47.7855
ENSPTRG00000005703,ENSPPYG00000017825,48.5637
ENSPTRG00000000113,ENSPPYG00000018411,48.0666
ENSPTRG00000013798,ENSPPYG00000019213,48.7203
ENSPTRG00000005704,ENSPPYG00000017995,49.3026
ENSPTRG00000018964,ENSPPYG00000017750,13.9586
ENSPTRG00000000114,ENSPPYG00000017444,49.6946
ENSPTRG00000013799,ENSPPYG00000018749,48.9169
ENSPTRG00000017028,ENSPPYG00000020519,48.5222
ENSPTRG00000000115,ENSPPYG00000019247,48.3539
ENSPTRG00000020061,ENSPPYG00000018423,36.5471
ENSPTRG00000018965,ENSPPYG00000017925,48.9852
ENSPTRG00000013800,ENSPPYG00000019227,48.8059
ENSPTRG00000000120,ENSPPYG00000019533,48.0437
ENSPTRG00000005705,ENSPPYG00000019299,49.4433
ENSPTRG00000013803,ENSPPYG00000020597,48.6476
ENSPTRG00000017026,ENSPPYG00000020218,48.84
ENSPTRG00000018966,ENSPPYG00000017843,36.4635
ENSPTRG00000020062,ENSPPYG00000018311,46.1579
ENSPTRG00000013807,ENSPPYG00000019247,47.737
ENSPTRG00000031238,ENSPPYG00000019089,48.4248
ENSPTRG00000017025,ENSPPYG00000017720,50.1975
ENSPTRG00000017025,ENSPPYG00000017720,50.1156
ENSPTRG00000031237,ENSPPYG00000019015,49.631
ENSPTRG00000032583,ENSPPYG00000020456,49.4308
ENSPTRG00000014030,ENSPPYG00000020543,40.0685
ENSPTRG00000017023,ENSPPYG00000018169,49.1179
ENSPTRG00000017023,ENSPPYG00000020900,48.9435
ENSPTRG00000017023,ENSPPYG00000020900,48.9184
ENSPTRG00000028817,ENSPPYG00000019906,18.2741
ENSPTRG00000028817,ENSPPYG00000019906,7.17703
ENSPTRG00000028817,ENSPPYG00000019906,48.4848
ENSPTRG00000020065,ENSPPYG00000018955,48.996
ENSPTRG00000040561,ENSPPYG00000018995,47.8528
ENSPTRG00000033746,ENSPPYG00000020751,47.8458
ENSPTRG00000033940,ENSPPYG00000018969,47.8979
ENSPTRG00000034203,ENSPPYG00000019001,47.5936
ENSPTRG00000013808,ENSPPYG00000019167,49.4375
ENSPTRG00000014033,ENSPPYG00000019912,10.4638
ENSPTRG00000003171,ENSPPYG00000018185,48.3559
ENSPTRG00000017022,ENSPPYG00000019634,47.0256
ENSPTRG00000005710,ENSPPYG00000020264,50.0826
ENSPTRG00000005710,ENSPPYG00000017575,45.9834
ENSPTRG00000003172,ENSPPYG00000020751,47.449
ENSPTRG00000018968,ENSPPYG00000018471,49.4927
ENSPTRG00000003173,ENSPPYG00000018517,45.9933
ENSPTRG00000018970,ENSPPYG00000017746,1.97969
ENSPTRG00000000119,ENSPPYG00000017400,49.5291
ENSPTRG00000005711,ENSPPYG00000019586,49.2037
ENSPTRG00000000121,ENSPPYG00000018987,49.16
ENSPTRG00000003174,ENSPPYG00000018311,47.2658
ENSPTRG00000003174,ENSPPYG00000019169,44.8911
ENSPTRG00000017020,ENSPPYG00000017903,49.1239
ENSPTRG00000018975,ENSPPYG00000017744,0.511696
ENSPTRG00000013809,ENSPPYG00000018347,48.6275
ENSPTRG00000003175,ENSPPYG00000020705,46.8354
ENSPTRG00000018976,ENSPPYG00000020605,49.1321
ENSPTRG00000003177,ENSPPYG00000018585,47.7663
ENSPTRG00000007525,ENSPPYG00000019247,48.0984
ENSPTRG00000029528,ENSPPYG00000020322,44.9275
ENSPTRG00000042089,ENSPPYG00000017575,44.9686
ENSPTRG00000007526,ENSPPYG00000019988,47.8704
ENSPTRG00000013810,ENSPPYG00000018827,48.5747
ENSPTRG00000014034,ENSPPYG00000019914,18.3043
ENSPTRG00000003178,ENSPPYG00000019988,46.277
ENSPTRG00000007527,ENSPPYG00000017993,47.8304
ENSPTRG00000003179,ENSPPYG00000019812,47.5117
ENSPTRG00000020066,ENSPPYG00000018427,8.81081
ENSPTRG00000017019,ENSPPYG00000018373,49.4585
ENSPTRG00000018979,ENSPPYG00000017740,46.6159
ENSPTRG00000005712,ENSPPYG00000020328,49.183
ENSPTRG00000018980,ENSPPYG00000017563,48.8915
ENSPTRG00000013811,ENSPPYG00000019257,49.2151
ENSPTRG00000017018,ENSPPYG00000018290,48.1805
ENSPTRG00000017015,ENSPPYG00000020747,48.8705
ENSPTRG00000018981,ENSPPYG00000019213,48.9244
ENSPTRG00000007528,ENSPPYG00000019924,47.4044
ENSPTRG00000014036,ENSPPYG00000019646,49.0806
ENSPTRG00000000122,ENSPPYG00000019247,48.0565
ENSPTRG00000018982,ENSPPYG00000017736,44.7244
ENSPTRG00000007529,ENSPPYG00000018969,47.7077
ENSPTRG00000000123,ENSPPYG00000019247,48.5265
ENSPTRG00000014037,ENSPPYG00000020631,49.4096
ENSPTRG00000003182,ENSPPYG00000018933,48.4848
ENSPTRG00000020067,ENSPPYG00000020775,50.0119
ENSPTRG00000039042,ENSPPYG00000019988,48.7588
ENSPTRG00000020068,ENSPPYG00000018429,3.35946
ENSPTRG00000003184,ENSPPYG00000019810,44.602
ENSPTRG00000003185,ENSPPYG00000019802,48.1481
ENSPTRG00000028747,ENSPPYG00000017452,49.3837
ENSPTRG00000005713,ENSPPYG00000020495,48.6561
ENSPTRG00000020069,ENSPPYG00000017362,49.1158
ENSPTRG00000000124,ENSPPYG00000020924,48.686
ENSPTRG00000000124,ENSPPYG00000017575,44.2623
ENSPTRG00000000125,ENSPPYG00000018835,48.265
ENSPTRG00000000125,ENSPPYG00000019962,48.1583
ENSPTRG00000007530,ENSPPYG00000018258,46.0699
ENSPTRG00000031328,ENSPPYG00000020705,46.3869
ENSPTRG00000000126,ENSPPYG00000020270,50.051
ENSPTRG00000031327,ENSPPYG00000019015,45.8824
ENSPTRG00000040297,ENSPPYG00000020515,48.0287
ENSPTRG00000020070,ENSPPYG00000018431,11.7589
ENSPTRG00000007533,ENSPPYG00000020886,48.0358
ENSPTRG00000017013,ENSPPYG00000019483,49.0427
ENSPTRG00000021620,ENSPPYG00000019762,46.8366
ENSPTRG00000003188,ENSPPYG00000019455,48.4488
ENSPTRG00000017012,ENSPPYG00000019267,49.5704
ENSPTRG00000014038,ENSPPYG00000018427,49.0412
ENSPTRG00000017011,ENSPPYG00000018292,48.8775
ENSPTRG00000023871,ENSPPYG00000020625,49.2308
ENSPTRG00000032585,ENSPPYG00000017734,6.58915
ENSPTRG00000018983,ENSPPYG00000019265,48.6351
ENSPTRG00000007535,ENSPPYG00000017430,48.4639
ENSPTRG00000014040,ENSPPYG00000019790,48.8777
ENSPTRG00000020072,ENSPPYG00000018433,41.9973
ENSPTRG00000005715,ENSPPYG00000019375,48.9911
ENSPTRG00000018984,ENSPPYG00000017732,37.6109
ENSPTRG00000013812,ENSPPYG00000018653,48.878
ENSPTRG00000014041,ENSPPYG00000019511,48.8222
ENSPTRG00000021625,ENSPPYG00000019646,48.9232
ENSPTRG00000031322,ENSPPYG00000018165,47.7273
ENSPTRG00000020073,ENSPPYG00000018431,48.2386
ENSPTRG00000017010,ENSPPYG00000020619,48.9015
ENSPTRG00000021630,ENSPPYG00000020096,38.7211
ENSPTRG00000013813,ENSPPYG00000018449,48.6783
ENSPTRG00000007536,ENSPPYG00000019614,46.6514
ENSPTRG00000022476,ENSPPYG00000020044,48.0669
ENSPTRG00000040538,ENSPPYG00000019678,47.1412
ENSPTRG00000021635,ENSPPYG00000020448,47.6862
ENSPTRG00000021635,ENSPPYG00000020448,48.6814
ENSPTRG00000031023,ENSPPYG00000019015,48.2234
ENSPTRG00000017008,ENSPPYG00000020603,48.9551
ENSPTRG00000020074,ENSPPYG00000018433,48.9205
ENSPTRG00000013814,ENSPPYG00000017949,50.0724
ENSPTRG00000014044,ENSPPYG00000018887,49.017
ENSPTRG00000014046,ENSPPYG00000020258,48.0838
ENSPTRG00000007537,ENSPPYG00000019768,47.503
ENSPTRG00000028321,ENSPPYG00000020110,40.8163
ENSPTRG00000013817,ENSPPYG00000017563,48.6667
ENSPTRG00000007541,ENSPPYG00000018175,48.6784
ENSPTRG00000021640,ENSPPYG00000019243,49.4904
ENSPTRG00000007540,ENSPPYG00000019880,46.8502
ENSPTRG00000020075,ENSPPYG00000018435,2.88326
ENSPTRG00000017007,ENSPPYG00000019167,49.2107
ENSPTRG00000018985,ENSPPYG00000020625,48.9427
ENSPTRG00000013819,ENSPPYG00000017859,48.8477
ENSPTRG00000018986,ENSPPYG00000020210,49.2893
ENSPTRG00000007542,ENSPPYG00000018937,47.2257
ENSPTRG00000000127,ENSPPYG00000017925,49.3598
ENSPTRG00000021641,ENSPPYG00000019247,47.392
ENSPTRG00000005717,ENSPPYG00000020663,49.4692
ENSPTRG00000014047,ENSPPYG00000020076,48.5849
ENSPTRG00000005718,ENSPPYG00000018387,47.8144
ENSPTRG00000017006,ENSPPYG00000017575,44.6629
ENSPTRG00000020076,ENSPPYG00000019988,47.9876
ENSPTRG00000028792,ENSPPYG00000020110,36.9048
ENSPTRG00000014048,ENSPPYG00000017883,48.885
ENSPTRG00000021637,ENSPPYG00000020110,46.1078
ENSPTRG00000017005,ENSPPYG00000019247,47.6454
ENSPTRG00000017004,ENSPPYG00000019485,49.4767
ENSPTRG00000017004,ENSPPYG00000020358,47.0383
ENSPTRG00000021645,ENSPPYG00000017861,48.9005
ENSPTRG00000017002,ENSPPYG00000018857,48.6308
ENSPTRG00000007543,ENSPPYG00000019533,47.7949
ENSPTRG00000018988,ENSPPYG00000019137,49.2089
ENSPTRG00000014558,ENSPPYG00000017909,48.677
ENSPTRG00000029512,ENSPPYG00000017575,45.7627
ENSPTRG00000029512,ENSPPYG00000020068,50
ENSPTRG00000007558,ENSPPYG00000018949,44.6556
ENSPTRG00000014049,ENSPPYG00000019810,46.1153
ENSPTRG00000041336,ENSPPYG00000019247,48.3951
ENSPTRG00000007544,ENSPPYG00000018311,46.7132
ENSPTRG00000007545,ENSPPYG00000017993,47.1841
ENSPTRG00000005719,ENSPPYG00000020156,47.7719
ENSPTRG00000028745,ENSPPYG00000019818,46.2069
ENSPTRG00000003194,ENSPPYG00000019970,37.4932
ENSPTRG00000020078,ENSPPYG00000018437,42.9719
ENSPTRG00000003197,ENSPPYG00000018049,48.2274
ENSPTRG00000000130,ENSPPYG00000017875,48.3508
ENSPTRG00000021649,ENSPPYG00000020128,37.7897
ENSPTRG00000018989,ENSPPYG00000017933,48.4653
ENSPTRG00000007546,ENSPPYG00000019880,47.7429
ENSPTRG00000003198,ENSPPYG00000019800,47.561
ENSPTRG00000018990,ENSPPYG00000019247,48.6726
ENSPTRG00000013820,ENSPPYG00000017917,49.3567
ENSPTRG00000021653,ENSPPYG00000018947,47.8608
ENSPTRG00000038951,ENSPPYG00000018835,49.6552
ENSPTRG00000014053,ENSPPYG00000018157,48.3871
ENSPTRG00000000131,ENSPPYG00000017821,46.192
ENSPTRG00000003199,ENSPPYG00000020258,47.2737
ENSPTRG00000020079,ENSPPYG00000019594,48.5211
ENSPTRG00000013821,ENSPPYG00000017639,48.9755
ENSPTRG00000003200,ENSPPYG00000020527,49.3912
ENSPTRG00000007547,ENSPPYG00000018921,45.8549
ENSPTRG00000020081,ENSPPYG00000018665,47.1582
ENSPTRG00000000132,ENSPPYG00000019770,47.2539
ENSPTRG00000005721,ENSPPYG00000020254,49.6304
ENSPTRG00000018991,ENSPPYG00000017724,7.76284
ENSPTRG00000020082,ENSPPYG00000018443,3.31126
ENSPTRG00000020083,ENSPPYG00000017530,49.4867
ENSPTRG00000017003,ENSPPYG00000018725,48.3113
ENSPTRG00000021655,ENSPPYG00000019988,48.1555
ENSPTRG00000017000,ENSPPYG00000020729,49.4922
ENSPTRG00000017000,ENSPPYG00000020565,49.4287
ENSPTRG00000007548,ENSPPYG00000018959,46.5859
ENSPTRG00000014560,ENSPPYG00000018597,49.3569
ENSPTRG00000020084,ENSPPYG00000018445,33.3222
ENSPTRG00000021656,ENSPPYG00000020519,49.152
ENSPTRG00000007549,ENSPPYG00000019736,47.4012
ENSPTRG00000000133,ENSPPYG00000017452,48.1707
ENSPTRG00000016999,ENSPPYG00000017524,48.513
ENSPTRG00000003202,ENSPPYG00000019658,48.5488
ENSPTRG00000021657,ENSPPYG00000020120,15.3955
ENSPTRG00000014055,ENSPPYG00000019702,49.0433
ENSPTRG00000021658,ENSPPYG00000020860,48.3761
ENSPTRG00000007551,ENSPPYG00000019880,47.7079
ENSPTRG00000014562,ENSPPYG00000019149,49.1294
ENSPTRG00000000134,ENSPPYG00000020006,48.0337
ENSPTRG00000013823,ENSPPYG00000019247,47.7046
ENSPTRG00000028742,ENSPPYG00000019946,46.7014
ENSPTRG00000020085,ENSPPYG00000018445,46.4924
ENSPTRG00000013824,ENSPPYG00000019213,48.6833
ENSPTRG00000000136,ENSPPYG00000018617,49.1116
ENSPTRG00000016998,ENSPPYG00000019247,46.7742
ENSPTRG00000003204,ENSPPYG00000019533,49.058
ENSPTRG00000018992,ENSPPYG00000019387,48.9286
ENSPTRG00000013825,ENSPPYG00000017849,49.3575
ENSPTRG00000013825,ENSPPYG00000017861,49.419
ENSPTRG00000016997,ENSPPYG00000018755,48.1949
ENSPTRG00000014563,ENSPPYG00000019980,48.9423
ENSPTRG00000018993,ENSPPYG00000017722,33.3791
ENSPTRG00000013829,ENSPPYG00000019265,48.948
ENSPTRG00000041256,ENSPPYG00000020753,47.1698
ENSPTRG00000038649,ENSPPYG00000020914,48.9583
ENSPTRG00000000137,ENSPPYG00000018681,48.859
ENSPTRG00000003207,ENSPPYG00000019149,48.2445
ENSPTRG00000007552,ENSPPYG00000018049,46.5494
ENSPTRG00000031451,ENSPPYG00000020350,47.1264
ENSPTRG00000013839,ENSPPYG00000020745,49.0741
ENSPTRG00000031446,ENSPPYG00000020914,46.8254
ENSPTRG00000031446,ENSPPYG00000017575,46.8966
ENSPTRG00000021659,ENSPPYG00000020122,12.8501
ENSPTRG00000021659,ENSPPYG00000020122,30.0395
ENSPTRG00000013842,ENSPPYG00000020914,46.6667
ENSPTRG00000013846,ENSPPYG00000020250,49.687
ENSPTRG00000021662,ENSPPYG00000020481,49.0575
ENSPTRG00000018994,ENSPPYG00000019600,48.7111
ENSPTRG00000007553,ENSPPYG00000019988,46.4508
ENSPTRG00000020086,ENSPPYG00000018447,17.2377
ENSPTRG00000014057,ENSPPYG00000018937,47.2514
ENSPTRG00000000138,ENSPPYG00000019810,46.7502
ENSPTRG00000014564,ENSPPYG00000019511,48.6392
ENSPTRG00000014058,ENSPPYG00000017360,48.73
ENSPTRG00000007554,ENSPPYG00000018311,47.037
ENSPTRG00000016996,ENSPPYG00000017959,48.8242
ENSPTRG00000018995,ENSPPYG00000017720,2.54578
ENSPTRG00000021663,ENSPPYG00000020124,0.831444
ENSPTRG00000033976,ENSPPYG00000017653,49.5238
ENSPTRG00000014565,ENSPPYG00000018695,48.506
ENSPTRG00000000140,ENSPPYG00000017849,49.1628
ENSPTRG00000005722,ENSPPYG00000017987,46.9548
ENSPTRG00000007555,ENSPPYG00000019810,46.003
ENSPTRG00000005723,ENSPPYG00000020162,48.4933
ENSPTRG00000003212,ENSPPYG00000019453,48.9373
ENSPTRG00000007557,ENSPPYG00000019810,45.0459
ENSPTRG00000013847,ENSPPYG00000019990,48.2937
ENSPTRG00000003217,ENSPPYG00000019760,48.8479
ENSPTRG00000005724,ENSPPYG00000017955,48.7281
ENSPTRG00000007560,ENSPPYG00000020004,47.971
ENSPTRG00000041382,ENSPPYG00000019576,46.2273
ENSPTRG00000003219,ENSPPYG00000020545,48.2946
ENSPTRG00000021665,ENSPPYG00000019247,48.3791
ENSPTRG00000007561,ENSPPYG00000017504,47.7262
ENSPTRG00000014568,ENSPPYG00000019642,47.6971
ENSPTRG00000013848,ENSPPYG00000020178,49.8126
ENSPTRG00000021667,ENSPPYG00000020126,26.7252
ENSPTRG00000028317,ENSPPYG00000018763,49.9195
ENSPTRG00000003220,ENSPPYG00000019453,49.8289
ENSPTRG00000028737,ENSPPYG00000018725,48.6011
ENSPTRG00000022836,ENSPPYG00000020206,39.6166
ENSPTRG00000028736,ENSPPYG00000020206,40.5208
ENSPTRG00000023556,ENSPPYG00000020206,28.6164
ENSPTRG00000003229,ENSPPYG00000020206,29.1536
ENSPTRG00000021668,ENSPPYG00000020112,47.8088
ENSPTRG00000014570,ENSPPYG00000019305,49.3218
ENSPTRG00000016994,ENSPPYG00000018813,48.7784
ENSPTRG00000005725,ENSPPYG00000017784,49.5661
ENSPTRG00000005725,ENSPPYG00000017784,49.6378
ENSPTRG00000003232,ENSPPYG00000020222,48.8372
ENSPTRG00000028316,ENSPPYG00000018589,48.4934
ENSPTRG00000007563,ENSPPYG00000020258,47.0032
ENSPTRG00000023831,ENSPPYG00000018749,48.8066
ENSPTRG00000040047,ENSPPYG00000018623,48.4848
ENSPTRG00000005726,ENSPPYG00000018827,49.4471
ENSPTRG00000005727,ENSPPYG00000017921,48.4365
ENSPTRG00000003238,ENSPPYG00000020874,49.2248
ENSPTRG00000028731,ENSPPYG00000017575,46.4203
ENSPTRG00000028731,ENSPPYG00000019071,46.7557
ENSPTRG00000028731,ENSPPYG00000019071,48.1728
ENSPTRG00000028731,ENSPPYG00000019071,46.8691
ENSPTRG00000005728,ENSPPYG00000019233,48.2402
ENSPTRG00000018996,ENSPPYG00000019247,48.3474
ENSPTRG00000018997,ENSPPYG00000017718,38.6722
ENSPTRG00000000142,ENSPPYG00000019537,49.0593
ENSPTRG00000005729,ENSPPYG00000019650,48.0769
ENSPTRG00000016993,ENSPPYG00000018857,48.7575
ENSPTRG00000005730,ENSPPYG00000019207,48.2906
ENSPTRG00000022526,ENSPPYG00000017740,48.8971
ENSPTRG00000007564,ENSPPYG00000019810,45.915
ENSPTRG00000003245,ENSPPYG00000020206,42.623
ENSPTRG00000018998,ENSPPYG00000018268,48.5257
ENSPTRG00000003249,ENSPPYG00000020206,45.7912
ENSPTRG00000003249,ENSPPYG00000020206,42.2009
ENSPTRG00000019000,ENSPPYG00000017716,28.2593
ENSPTRG00000021673,ENSPPYG00000019247,47.9412
ENSPTRG00000028729,ENSPPYG00000019323,45.6085
ENSPTRG00000021674,ENSPPYG00000020268,48.9149
ENSPTRG00000013849,ENSPPYG00000019301,49.2963
ENSPTRG00000007565,ENSPPYG00000017504,46.6569
ENSPTRG00000016991,ENSPPYG00000019243,48.5541
ENSPTRG00000019002,ENSPPYG00000020649,49.0958
ENSPTRG00000042362,ENSPPYG00000020122,47.4359
ENSPTRG00000003257,ENSPPYG00000020679,48.6705
ENSPTRG00000021675,ENSPPYG00000020134,22.0483
ENSPTRG00000014060,ENSPPYG00000019740,48.33
ENSPTRG00000013850,ENSPPYG00000019207,49.4885
ENSPTRG00000039101,ENSPPYG00000020876,48.3755
ENSPTRG00000007568,ENSPPYG00000019810,45.8754
ENSPTRG00000005732,ENSPPYG00000018645,48.9372
ENSPTRG00000007569,ENSPPYG00000019830,47.2031
ENSPTRG00000013851,ENSPPYG00000017492,48.2239
ENSPTRG00000016990,ENSPPYG00000020180,49.5471
ENSPTRG00000005733,ENSPPYG00000019974,48.5905
ENSPTRG00000013852,ENSPPYG00000017985,49.8937
ENSPTRG00000000143,ENSPPYG00000018809,49.3767
ENSPTRG00000016989,ENSPPYG00000018725,48.6706
ENSPTRG00000005734,ENSPPYG00000020856,48.4349
ENSPTRG00000040665,ENSPPYG00000020360,48.9619
ENSPTRG00000005735,ENSPPYG00000018921,45.8087
ENSPTRG00000005736,ENSPPYG00000017706,46.8667
ENSPTRG00000000144,ENSPPYG00000019217,39.9314
ENSPTRG00000000144,ENSPPYG00000018773,49.7265
ENSPTRG00000005738,ENSPPYG00000019169,47.7564
ENSPTRG00000019003,ENSPPYG00000017714,6.79612
ENSPTRG00000005739,ENSPPYG00000018919,47.14
ENSPTRG00000000145,ENSPPYG00000018513,47.7956
ENSPTRG00000005740,ENSPPYG00000019227,49.0772
ENSPTRG00000007570,ENSPPYG00000020852,48.8581
ENSPTRG00000007580,ENSPPYG00000018967,47.5138
ENSPTRG00000007580,ENSPPYG00000018967,47.5346
ENSPTRG00000003258,ENSPPYG00000020545,48.1199
ENSPTRG00000003258,ENSPPYG00000019303,48
ENSPTRG00000019004,ENSPPYG00000018695,47.7691
ENSPTRG00000013854,ENSPPYG00000020076,49.0429
ENSPTRG00000000146,ENSPPYG00000019988,46.2106
ENSPTRG00000000147,ENSPPYG00000018915,48.2499
ENSPTRG00000003259,ENSPPYG00000019606,48.919
ENSPTRG00000022491,ENSPPYG00000019247,48.9252
ENSPTRG00000019006,ENSPPYG00000019247,48.3099
ENSPTRG00000028322,ENSPPYG00000018833,47.2081
ENSPTRG00000039177,ENSPPYG00000020140,49.4489
ENSPTRG00000023010,ENSPPYG00000019824,46.6716
ENSPTRG00000023010,ENSPPYG00000019824,46.6716
ENSPTRG00000021644,ENSPPYG00000018833,47.2081
ENSPTRG00000019007,ENSPPYG00000017710,3.08392
ENSPTRG00000013856,ENSPPYG00000017452,48.5075
ENSPTRG00000013856,ENSPPYG00000017452,48.5245
ENSPTRG00000000148,ENSPPYG00000017821,46.5417
ENSPTRG00000014061,ENSPPYG00000019804,47.8324
ENSPTRG00000022494,ENSPPYG00000018815,49.3116
ENSPTRG00000016988,ENSPPYG00000018383,48.3939
ENSPTRG00000007584,ENSPPYG00000019810,46.8996
ENSPTRG00000000149,ENSPPYG00000020926,48.0423
ENSPTRG00000014062,ENSPPYG00000019958,46.9799
ENSPTRG00000042614,ENSPPYG00000020098,15.2941
ENSPTRG00000007582,ENSPPYG00000020050,47.2335
ENSPTRG00000014064,ENSPPYG00000020076,48.8214
ENSPTRG00000007587,ENSPPYG00000019247,48.4848
ENSPTRG00000038881,ENSPPYG00000019273,46.5918
ENSPTRG00000013857,ENSPPYG00000019247,47.8992
ENSPTRG00000028728,ENSPPYG00000020206,40.6709
ENSPTRG00000000150,ENSPPYG00000020330,48.3485
ENSPTRG00000003280,ENSPPYG00000019810,48.3758
ENSPTRG00000003281,ENSPPYG00000019738,48.0263
ENSPTRG00000022475,ENSPPYG00000020302,49.0621
ENSPTRG00000021676,ENSPPYG00000019247,47.9592
ENSPTRG00000000151,ENSPPYG00000019800,47.3937
ENSPTRG00000019010,ENSPPYG00000018749,49.7756
ENSPTRG00000005742,ENSPPYG00000020759,48.8438
ENSPTRG00000019011,ENSPPYG00000019167,50.48
ENSPTRG00000019012,ENSPPYG00000020489,50.1474
ENSPTRG00000023787,ENSPPYG00000020605,49.1186
ENSPTRG00000023597,ENSPPYG00000017704,45.081
ENSPTRG00000021677,ENSPPYG00000019634,49.2439
ENSPTRG00000019015,ENSPPYG00000019988,49.8491
ENSPTRG00000039535,ENSPPYG00000017702,13.591
ENSPTRG00000003282,ENSPPYG00000018981,48.0084
ENSPTRG00000019017,ENSPPYG00000020082,49.5769
ENSPTRG00000019018,ENSPPYG00000019245,49.6305
ENSPTRG00000019018,ENSPPYG00000019245,49.8058
ENSPTRG00000019018,ENSPPYG00000018197,49.2347
ENSPTRG00000019018,ENSPPYG00000019071,48.6063
ENSPTRG00000000152,ENSPPYG00000019788,46.983
ENSPTRG00000021679,ENSPPYG00000019606,48.8785
ENSPTRG00000003283,ENSPPYG00000017827,47.9943
ENSPTRG00000007588,ENSPPYG00000019756,47.5377
ENSPTRG00000019019,ENSPPYG00000019267,49.0082
ENSPTRG00000019020,ENSPPYG00000017716,49.5461
ENSPTRG00000000153,ENSPPYG00000018967,48.4619
ENSPTRG00000028643,ENSPPYG00000017569,48.4462
ENSPTRG00000019022,ENSPPYG00000017696,35.6297
ENSPTRG00000019024,ENSPPYG00000018489,48.4788
ENSPTRG00000003284,ENSPPYG00000019640,46.955
ENSPTRG00000003285,ENSPPYG00000019880,47.987
ENSPTRG00000000154,ENSPPYG00000019812,49.0242
ENSPTRG00000005743,ENSPPYG00000018857,49.4246
ENSPTRG00000005743,ENSPPYG00000017575,44.9721
ENSPTRG00000021680,ENSPPYG00000020138,15.625
