pan_troglodytes,homo_sapiens
ENSPTRG00000020058,ENSG00000143398,49.3981
ENSPTRG00000005698,ENSG00000123612,49.7496
ENSPTRG00000003166,ENSG00000182134,48.7282
ENSPTRG00000023686,ENSG00000061987,49.508
ENSPTRG00000005701,ENSG00000163002,49.0898
ENSPTRG00000013797,ENSG00000170035,48.3668
ENSPTRG00000020059,ENSG00000196151,48.5584
ENSPTRG00000018962,ENSG00000144366,48.2537
ENSPTRG00000018963,ENSG00000144366,48.4804
ENSPTRG00000030841,ENSG00000260334,47.7564
ENSPTRG00000030841,ENSG00000257436,48.951
ENSPTRG00000005703,ENSG00000118997,49.4894
ENSPTRG00000000113,ENSG00000260789,48.254
ENSPTRG00000013798,ENSG00000115419,48.6282
ENSPTRG00000005704,ENSG00000115159,49.3375
ENSPTRG00000018964,ENSG00000196950,48.7814
ENSPTRG00000000114,ENSG00000262666,49.4375
ENSPTRG00000013799,ENSG00000115271,48.8775
ENSPTRG00000017028,ENSG00000143889,48.7685
ENSPTRG00000000115,ENSG00000188452,48.6968
ENSPTRG00000020061,ENSG00000257961,48.2383
ENSPTRG00000018965,ENSG00000138448,48.6089
ENSPTRG00000013800,ENSG00000135241,48.8059
ENSPTRG00000000120,ENSG00000260220,47.9929
ENSPTRG00000005705,ENSG00000135677,48.9072
ENSPTRG00000013803,ENSG00000136536,48.5282
ENSPTRG00000017026,ENSG00000144366,48.4612
ENSPTRG00000018966,ENSG00000064933,49.3068
ENSPTRG00000020062,ENSG00000260596,46.6879
ENSPTRG00000013807,ENSG00000144366,48.3348
ENSPTRG00000031238,ENSG00000258518,49.3249
ENSPTRG00000017025,ENSG00000138448,49.0347
ENSPTRG00000017025,ENSG00000138448,48.9376
ENSPTRG00000031237,ENSG00000151689,49.4465
ENSPTRG00000032583,ENSG00000263138,48.6968
ENSPTRG00000014030,ENSG00000260696,48.9726
ENSPTRG00000017023,ENSG00000144366,49.1179
ENSPTRG00000017023,ENSG00000138386,48.5995
ENSPTRG00000017023,ENSG00000138386,48.5742
ENSPTRG00000028817,ENSG00000143889,46.7005
ENSPTRG00000028817,ENSG00000198130,48.6443
ENSPTRG00000028817,ENSG00000136536,48.658
ENSPTRG00000020065,ENSG00000260220,48.7199
ENSPTRG00000040561,ENSG00000260195,48.589
ENSPTRG00000033746,ENSG00000239306,48.9796
ENSPTRG00000033940,ENSG00000173227,47.9479
ENSPTRG00000034203,ENSG00000224420,49.0196
ENSPTRG00000013808,ENSG00000115828,49.7336
ENSPTRG00000014033,ENSG00000261132,47.7194
ENSPTRG00000003171,ENSG00000260596,48.0174
ENSPTRG00000017022,ENSG00000128536,48.5316
ENSPTRG00000005710,ENSG00000173933,49.3671
ENSPTRG00000005710,ENSG00000255738,49.3075
ENSPTRG00000003172,ENSG00000187238,47.9592
ENSPTRG00000018968,ENSG00000080819,49.8218
ENSPTRG00000003173,ENSG00000261678,47.0707
ENSPTRG00000018970,ENSG00000105835,48.4937
ENSPTRG00000000119,ENSG00000263290,49.6399
ENSPTRG00000005711,ENSG00000170396,49.5698
ENSPTRG00000000121,ENSG00000182580,48.9691
ENSPTRG00000003174,ENSG00000260155,47.4824
ENSPTRG00000003174,ENSG00000090539,45.8961
ENSPTRG00000017020,ENSG00000174206,48.8319
ENSPTRG00000018975,ENSG00000080224,48.9766
ENSPTRG00000013809,ENSG00000184220,47.6471
ENSPTRG00000003175,ENSG00000263079,48.7342
ENSPTRG00000018976,ENSG00000064989,49.1623
ENSPTRG00000003177,ENSG00000198854,47.3368
ENSPTRG00000007525,ENSG00000152147,46.7562
ENSPTRG00000029528,ENSG00000262972,46.8227
ENSPTRG00000042089,ENSG00000138068,49.0566
ENSPTRG00000007526,ENSG00000173992,48.4703
ENSPTRG00000013810,ENSG00000115419,48.3629
ENSPTRG00000014034,ENSG00000173621,48.2313
ENSPTRG00000003178,ENSG00000260665,46.5553
ENSPTRG00000007527,ENSG00000261297,47.53
ENSPTRG00000003179,ENSG00000257961,47.4804
ENSPTRG00000020066,ENSG00000172531,49.1351
ENSPTRG00000017019,ENSG00000143365,49.9639
ENSPTRG00000018979,ENSG00000260717,48.9848
ENSPTRG00000005712,ENSG00000172830,48.9419
ENSPTRG00000018980,ENSG00000119787,48.5414
ENSPTRG00000013811,ENSG00000182134,48.6092
ENSPTRG00000017018,ENSG00000175634,47.7438
ENSPTRG00000017015,ENSG00000115808,48.4689
ENSPTRG00000018981,ENSG00000064989,48.7288
ENSPTRG00000007528,ENSG00000186844,48.0874
ENSPTRG00000014036,ENSG00000173914,49.1278
ENSPTRG00000000122,ENSG00000159527,50.106
ENSPTRG00000018982,ENSG00000144366,48.315
ENSPTRG00000007529,ENSG00000261042,47.7077
ENSPTRG00000000123,ENSG00000262622,48.854
ENSPTRG00000014037,ENSG00000173599,49.3267
ENSPTRG00000003182,ENSG00000169469,48.9177
ENSPTRG00000020067,ENSG00000153234,49.7037
ENSPTRG00000039042,ENSG00000159409,49.1407
ENSPTRG00000020068,ENSG00000260770,47.8163
ENSPTRG00000003184,ENSG00000238035,45.5477
ENSPTRG00000003185,ENSG00000143450,48.8017
ENSPTRG00000028747,ENSG00000115415,49.9801
ENSPTRG00000005713,ENSG00000151687,48.6561
ENSPTRG00000020069,ENSG00000260716,48.7925
ENSPTRG00000000124,ENSG00000136541,48.1328
ENSPTRG00000000124,ENSG00000226894,47.8142
ENSPTRG00000000125,ENSG00000143379,48.265
ENSPTRG00000000125,ENSG00000182389,48.2947
ENSPTRG00000007530,ENSG00000187170,49.1266
ENSPTRG00000031328,ENSG00000257436,48.7179
ENSPTRG00000000126,ENSG00000257211,49.7278
ENSPTRG00000031327,ENSG00000172155,46.6667
ENSPTRG00000040297,ENSG00000138068,48.3871
ENSPTRG00000020070,ENSG00000218739,48.9053
ENSPTRG00000007533,ENSG00000163157,49.2074
ENSPTRG00000017013,ENSG00000214694,48.4536
ENSPTRG00000021620,ENSG00000258865,47.8754
ENSPTRG00000003188,ENSG00000260703,49.1703
ENSPTRG00000017012,ENSG00000138061,49.3836
ENSPTRG00000014038,ENSG00000175463,49.0412
ENSPTRG00000017011,ENSG00000064225,48.8381
ENSPTRG00000023871,ENSG00000198130,49.0598
ENSPTRG00000032585,ENSG00000257561,46.124
ENSPTRG00000018983,ENSG00000153250,48.8579
ENSPTRG00000007535,ENSG00000173621,48.0497
ENSPTRG00000014040,ENSG00000143409,48.8215
ENSPTRG00000020072,ENSG00000143416,48.2216
ENSPTRG00000005715,ENSG00000168386,48.506
ENSPTRG00000018984,ENSG00000105865,49.0385
ENSPTRG00000013812,ENSG00000143889,48.7154
ENSPTRG00000014041,ENSG00000153250,49.1455
ENSPTRG00000021625,ENSG00000260383,49.0169
ENSPTRG00000031322,ENSG00000172830,48.0682
ENSPTRG00000020073,ENSG00000123427,49.4318
ENSPTRG00000017010,ENSG00000136536,48.5826
ENSPTRG00000021630,ENSG00000261456,49.6152
ENSPTRG00000013813,ENSG00000115267,49.3875
ENSPTRG00000007536,ENSG00000187939,47.6408
ENSPTRG00000022476,ENSG00000261587,48.4848
ENSPTRG00000040538,ENSG00000262972,47.8413
ENSPTRG00000021635,ENSG00000143437,49.739
ENSPTRG00000021635,ENSG00000135655,49.666
ENSPTRG00000031023,ENSG00000260717,48.731
ENSPTRG00000017008,ENSG00000263141,48.3104
ENSPTRG00000020074,ENSG00000260873,49.2614
ENSPTRG00000013814,ENSG00000182389,49.2859
ENSPTRG00000014044,ENSG00000262355,49.4539
ENSPTRG00000014046,ENSG00000175182,48.3234
ENSPTRG00000007537,ENSG00000260789,47.8685
ENSPTRG00000028321,ENSG00000255738,45.5782
ENSPTRG00000013817,ENSG00000188010,48.6667
ENSPTRG00000007541,ENSG00000261042,48.0176
ENSPTRG00000021640,ENSG00000138061,49.114
ENSPTRG00000007540,ENSG00000261042,46.9337
ENSPTRG00000020075,ENSG00000259896,49.4023
ENSPTRG00000017007,ENSG00000170035,49.0474
ENSPTRG00000018985,ENSG00000198130,48.4652
ENSPTRG00000013819,ENSG00000138448,48.8992
ENSPTRG00000018986,ENSG00000073792,44.6158
ENSPTRG00000007542,ENSG00000261678,47.6671
ENSPTRG00000000127,ENSG00000054219,47.988
ENSPTRG00000021641,ENSG00000150722,49.4039
ENSPTRG00000005717,ENSG00000163207,49.8938
ENSPTRG00000014047,ENSG00000173621,48.3491
ENSPTRG00000005718,ENSG00000105835,48.4471
ENSPTRG00000017006,ENSG00000263040,49.7191
ENSPTRG00000020076,ENSG00000260789,48.483
ENSPTRG00000028792,ENSG00000255738,48.8095
ENSPTRG00000014048,ENSG00000115165,48.8263
ENSPTRG00000021637,ENSG00000255738,48.3034
ENSPTRG00000017005,ENSG00000188452,49.169
ENSPTRG00000017004,ENSG00000136527,49.6802
ENSPTRG00000017004,ENSG00000090539,46.6899
ENSPTRG00000021645,ENSG00000064989,48.4607
ENSPTRG00000017002,ENSG00000061676,48.4402
ENSPTRG00000007543,ENSG00000090539,47.9487
ENSPTRG00000018988,ENSG00000263255,49.6454
ENSPTRG00000014558,ENSG00000091129,48.7818
ENSPTRG00000029512,ENSG00000138449,48.5876
ENSPTRG00000029512,ENSG00000138068,53.5354
ENSPTRG00000007558,ENSG00000262972,46.5558
ENSPTRG00000014049,ENSG00000175182,47.2849
ENSPTRG00000041336,ENSG00000143379,48.9712
ENSPTRG00000007544,ENSG00000261755,46.4805
ENSPTRG00000007545,ENSG00000173621,46.8592
ENSPTRG00000005719,ENSG00000144366,48.3953
ENSPTRG00000028745,ENSG00000175505,46.8966
ENSPTRG00000003194,ENSG00000262942,33.8196
ENSPTRG00000020078,ENSG00000143891,47.2892
ENSPTRG00000003197,ENSG00000261042,49.097
ENSPTRG00000000130,ENSG00000080822,49.7184
ENSPTRG00000021649,ENSG00000163157,49.0196
ENSPTRG00000018989,ENSG00000115271,47.6575
ENSPTRG00000007546,ENSG00000173621,47.3221
ENSPTRG00000003198,ENSG00000238035,48.0945
ENSPTRG00000018990,ENSG00000115875,48.3322
ENSPTRG00000013820,ENSG00000081320,49.0643
ENSPTRG00000021653,ENSG00000172830,48.3716
ENSPTRG00000038951,ENSG00000157005,48.9655
ENSPTRG00000014053,ENSG00000090539,47.7864
ENSPTRG00000000131,ENSG00000260770,46.5015
ENSPTRG00000003199,ENSG00000175463,47.5823
ENSPTRG00000020079,ENSG00000173237,48.8732
ENSPTRG00000013821,ENSG00000262562,48.5388
ENSPTRG00000003200,ENSG00000135677,49.3569
ENSPTRG00000007547,ENSG00000262972,46.6321
ENSPTRG00000020081,ENSG00000175634,47.1582
ENSPTRG00000000132,ENSG00000225556,48.342
ENSPTRG00000005721,ENSG00000091129,49.6503
ENSPTRG00000018991,ENSG00000064933,48.4719
ENSPTRG00000020082,ENSG00000104825,47.0199
ENSPTRG00000020083,ENSG00000064933,49.5123
ENSPTRG00000017003,ENSG00000143457,48.1057
ENSPTRG00000021655,ENSG00000175182,48.5507
ENSPTRG00000017000,ENSG00000182134,48.8458
ENSPTRG00000017000,ENSG00000261893,49.471
ENSPTRG00000007548,ENSG00000262972,48.1278
ENSPTRG00000014560,ENSG00000115368,49.2073
ENSPTRG00000020084,ENSG00000153237,48.3871
ENSPTRG00000021656,ENSG00000128641,49.3062
ENSPTRG00000007549,ENSG00000263310,46.9931
ENSPTRG00000000133,ENSG00000260716,47.856
ENSPTRG00000016999,ENSG00000091140,48.0948
ENSPTRG00000003202,ENSG00000260383,48.5488
ENSPTRG00000021657,ENSG00000156976,49.0113
ENSPTRG00000014055,ENSG00000260716,48.5789
ENSPTRG00000021658,ENSG00000111490,48.9915
ENSPTRG00000007551,ENSG00000261694,47.4239
ENSPTRG00000014562,ENSG00000262840,49.005
ENSPTRG00000000134,ENSG00000261132,48.2343
ENSPTRG00000013823,ENSG00000113966,49.0353
ENSPTRG00000028742,ENSG00000135454,48.2639
ENSPTRG00000020085,ENSG00000075790,49.281
ENSPTRG00000013824,ENSG00000135655,48.5231
ENSPTRG00000000136,ENSG00000144339,49.0168
ENSPTRG00000016998,ENSG00000153237,48.827
ENSPTRG00000003204,ENSG00000260789,48.7605
ENSPTRG00000018992,ENSG00000263079,48.5714
ENSPTRG00000013825,ENSG00000196950,49.1308
ENSPTRG00000013825,ENSG00000105865,49.2375
ENSPTRG00000016997,ENSG00000136536,48.0842
ENSPTRG00000014563,ENSG00000064989,49.2327
ENSPTRG00000018993,ENSG00000091140,48.3768
ENSPTRG00000013829,ENSG00000113966,48.6157
ENSPTRG00000041256,ENSG00000123636,47.7987
ENSPTRG00000038649,ENSG00000156931,53.125
ENSPTRG00000000137,ENSG00000143409,49.0628
ENSPTRG00000003207,ENSG00000064933,48.6834
ENSPTRG00000007552,ENSG00000260376,47.0907
ENSPTRG00000031451,ENSG00000168542,47.8927
ENSPTRG00000013839,ENSG00000213953,60.1852
ENSPTRG00000031446,ENSG00000138449,49.2063
ENSPTRG00000031446,ENSG00000257921,49.1954
ENSPTRG00000021659,ENSG00000163209,48.7644
ENSPTRG00000021659,ENSG00000262969,47.0356
ENSPTRG00000013842,ENSG00000138449,52.5
ENSPTRG00000013846,ENSG00000263138,49.687
ENSPTRG00000021662,ENSG00000114354,49.0126
ENSPTRG00000018994,ENSG00000181458,48.9333
ENSPTRG00000007553,ENSG00000260376,47.6339
ENSPTRG00000020086,ENSG00000119787,48.4654
ENSPTRG00000014057,ENSG00000261698,47.4367
ENSPTRG00000000138,ENSG00000187939,47.5333
ENSPTRG00000014564,ENSG00000143452,47.6734
ENSPTRG00000014058,ENSG00000260716,48.9115
ENSPTRG00000007554,ENSG00000175463,47.3016
ENSPTRG00000016996,ENSG00000105835,48.4323
ENSPTRG00000018995,ENSG00000115159,48.9802
ENSPTRG00000021663,ENSG00000143393,49.3071
ENSPTRG00000033976,ENSG00000213953,56.1905
ENSPTRG00000014565,ENSG00000136560,48.3896
ENSPTRG00000000140,ENSG00000262788,49.2341
ENSPTRG00000005722,ENSG00000261155,46.7583
ENSPTRG00000007555,ENSG00000260789,46.908
ENSPTRG00000005723,ENSG00000119787,48.019
ENSPTRG00000003212,ENSG00000163159,49.041
ENSPTRG00000007557,ENSG00000261577,46.789
ENSPTRG00000013847,ENSG00000188010,47.1562
ENSPTRG00000003217,ENSG00000260119,48.0799
ENSPTRG00000005724,ENSG00000055332,49.0673
ENSPTRG00000007560,ENSG00000172531,46.5217
ENSPTRG00000041382,ENSG00000231192,46.2273
ENSPTRG00000003219,ENSG00000143367,47.3891
ENSPTRG00000021665,ENSG00000236032,49.2103
ENSPTRG00000007561,ENSG00000175463,47.6783
ENSPTRG00000014568,ENSG00000257339,48.1655
ENSPTRG00000013848,ENSG00000143379,50.328
ENSPTRG00000021667,ENSG00000173559,48.8973
ENSPTRG00000028317,ENSG00000262742,49.9195
ENSPTRG00000003220,ENSG00000257679,49.7311
ENSPTRG00000028737,ENSG00000105856,47.9555
ENSPTRG00000022836,ENSG00000197938,47.8168
ENSPTRG00000028736,ENSG00000196578,46.9792
ENSPTRG00000023556,ENSG00000196578,47.065
ENSPTRG00000003229,ENSG00000196578,47.3354
ENSPTRG00000021668,ENSG00000196504,48.3665
ENSPTRG00000014570,ENSG00000143520,49.2144
ENSPTRG00000016994,ENSG00000136536,48.6038
ENSPTRG00000005725,ENSG00000260117,49.5248
ENSPTRG00000005725,ENSG00000260117,49.5343
ENSPTRG00000003232,ENSG00000049323,49.1405
ENSPTRG00000028316,ENSG00000128699,48.6817
ENSPTRG00000007563,ENSG00000261755,47.4238
ENSPTRG00000023831,ENSG00000118600,48.5185
ENSPTRG00000040047,ENSG00000261631,48.1659
ENSPTRG00000005726,ENSG00000152133,48.9047
ENSPTRG00000005727,ENSG00000143889,48.7248
ENSPTRG00000003238,ENSG00000143379,48.4496
ENSPTRG00000028731,ENSG00000228804,48.7298
ENSPTRG00000028731,ENSG00000224420,48.6641
ENSPTRG00000028731,ENSG00000163331,48.3389
ENSPTRG00000028731,ENSG00000224420,48.5769
ENSPTRG00000005728,ENSG00000263040,49.0683
ENSPTRG00000018996,ENSG00000262249,48.578
ENSPTRG00000018997,ENSG00000260508,49.2946
ENSPTRG00000000142,ENSG00000259858,49.2723
ENSPTRG00000005729,ENSG00000135454,47.8147
ENSPTRG00000016993,ENSG00000156931,48.89
ENSPTRG00000005730,ENSG00000163882,48.5755
ENSPTRG00000022526,ENSG00000261042,48.5294
ENSPTRG00000007564,ENSG00000175182,46.8137
ENSPTRG00000003245,ENSG00000231192,48.5246
ENSPTRG00000018998,ENSG00000174325,48.7784
ENSPTRG00000003249,ENSG00000144366,48.3726
ENSPTRG00000003249,ENSG00000196578,47.7564
ENSPTRG00000019000,ENSG00000259896,48.661
ENSPTRG00000021673,ENSG00000153237,48.1618
ENSPTRG00000028729,ENSG00000260320,48.254
ENSPTRG00000021674,ENSG00000144278,47.9132
ENSPTRG00000013849,ENSG00000049323,49.3369
ENSPTRG00000007565,ENSG00000175463,46.7057
ENSPTRG00000016991,ENSG00000064989,48.5373
ENSPTRG00000019002,ENSG00000144366,48.7989
ENSPTRG00000042362,ENSG00000163209,47.5641
ENSPTRG00000003257,ENSG00000173933,48.7861
ENSPTRG00000021675,ENSG00000144395,48.4349
ENSPTRG00000014060,ENSG00000114859,48.2054
ENSPTRG00000013850,ENSG00000143436,49.1049
ENSPTRG00000039101,ENSG00000138449,49.4585
ENSPTRG00000007568,ENSG00000261577,47.8114
ENSPTRG00000005732,ENSG00000262942,49.0338
ENSPTRG00000007569,ENSG00000260384,47.318
ENSPTRG00000013851,ENSG00000175505,47.7933
ENSPTRG00000016990,ENSG00000064933,48.913
ENSPTRG00000005733,ENSG00000262327,48.862
ENSPTRG00000013852,ENSG00000143520,49.4778
ENSPTRG00000000143,ENSG00000143536,48.9314
ENSPTRG00000016989,ENSG00000064933,48.3463
ENSPTRG00000005734,ENSG00000151690,47.2817
ENSPTRG00000040665,ENSG00000262742,48.5727
ENSPTRG00000005735,ENSG00000262972,47.2255
ENSPTRG00000005736,ENSG00000261678,48.6
ENSPTRG00000000144,ENSG00000261539,48.7414
ENSPTRG00000000144,ENSG00000261149,47.2374
ENSPTRG00000005738,ENSG00000261042,48.5577
ENSPTRG00000019003,ENSG00000115271,48.301
ENSPTRG00000005739,ENSG00000135454,46.7456
ENSPTRG00000000145,ENSG00000263310,47.7956
ENSPTRG00000005740,ENSG00000153237,48.9992
ENSPTRG00000007570,ENSG00000174669,48.8207
ENSPTRG00000007580,ENSG00000260716,47.3665
ENSPTRG00000007580,ENSG00000260716,47.4054
ENSPTRG00000003258,ENSG00000113838,47.7086
ENSPTRG00000003258,ENSG00000263138,48.2857
ENSPTRG00000019004,ENSG00000115271,47.9329
ENSPTRG00000013854,ENSG00000153250,49.0947
ENSPTRG00000000146,ENSG00000261678,47.0154
ENSPTRG00000000147,ENSG00000260155,48.196
ENSPTRG00000003259,ENSG00000262742,48.6931
ENSPTRG00000022491,ENSG00000075790,49.6991
ENSPTRG00000019006,ENSG00000105835,49.2254
ENSPTRG00000028322,ENSG00000163157,47.8849
ENSPTRG00000039177,ENSG00000196151,49.7996
ENSPTRG00000023010,ENSG00000238035,46.6716
ENSPTRG00000023010,ENSG00000238035,46.6716
ENSPTRG00000021644,ENSG00000163157,47.8849
ENSPTRG00000019007,ENSG00000183735,48.7867
ENSPTRG00000013856,ENSG00000261132,48.6194
ENSPTRG00000013856,ENSG00000261132,48.6365
ENSPTRG00000000148,ENSG00000218739,45.8306
ENSPTRG00000014061,ENSG00000187939,48.1936
ENSPTRG00000022494,ENSG00000154175,49.4086
ENSPTRG00000016988,ENSG00000196151,48.9205
ENSPTRG00000007584,ENSG00000175505,47.5983
ENSPTRG00000000149,ENSG00000175182,48.4656
ENSPTRG00000014062,ENSG00000187238,48.6577
ENSPTRG00000042614,ENSG00000262024,49.8925
ENSPTRG00000007582,ENSG00000262972,46.9636
ENSPTRG00000014064,ENSG00000123612,48.7166
ENSPTRG00000007587,ENSG00000080822,49.0581
ENSPTRG00000038881,ENSG00000173715,48.6891
ENSPTRG00000013857,ENSG00000143436,48.1092
ENSPTRG00000028728,ENSG00000196578,46.5409
ENSPTRG00000000150,ENSG00000104825,44.9019
ENSPTRG00000003280,ENSG00000260313,48.0246
ENSPTRG00000003281,ENSG00000174669,48.1648
ENSPTRG00000022475,ENSG00000143416,48.8954
ENSPTRG00000021676,ENSG00000260178,48.9796
ENSPTRG00000000151,ENSG00000175182,47.3937
ENSPTRG00000019010,ENSG00000064989,49.8164
ENSPTRG00000005742,ENSG00000061676,48.4703
ENSPTRG00000019011,ENSG00000151690,50.1412
ENSPTRG00000019012,ENSG00000172932,50.5307
ENSPTRG00000023787,ENSG00000144290,49.0904
ENSPTRG00000023597,ENSG00000187699,48.4954
ENSPTRG00000021677,ENSG00000261163,49.0548
ENSPTRG00000019015,ENSG00000143889,50.1509
ENSPTRG00000039535,ENSG00000172830,46.7581
ENSPTRG00000003282,ENSG00000261587,48.5325
ENSPTRG00000019017,ENSG00000260383,48.4321
ENSPTRG00000019018,ENSG00000113966,49.5168
ENSPTRG00000019018,ENSG00000115267,49.2718
ENSPTRG00000019018,ENSG00000115267,48.0612
ENSPTRG00000019018,ENSG00000163209,49.4774
ENSPTRG00000000152,ENSG00000172508,46.8073
ENSPTRG00000021679,ENSG00000064933,49.1798
ENSPTRG00000003283,ENSG00000261539,47.9943
ENSPTRG00000007588,ENSG00000263310,47.3159
ENSPTRG00000019019,ENSG00000138061,49.5916
ENSPTRG00000019020,ENSG00000175077,49.5461
ENSPTRG00000000153,ENSG00000260383,47.9026
ENSPTRG00000028643,ENSG00000135454,49.004
ENSPTRG00000019022,ENSG00000260155,48.1701
ENSPTRG00000019024,ENSG00000115828,48.5786
ENSPTRG00000003284,ENSG00000261155,47.6611
ENSPTRG00000003285,ENSG00000261297,47.9463
ENSPTRG00000000154,ENSG00000114859,48.7887
ENSPTRG00000005743,ENSG00000054219,49.4106
ENSPTRG00000005743,ENSG00000105835,49.162
ENSPTRG00000021680,ENSG00000153237,48.5705
ENSPTRG00000022474,ENSG00000169474,48.005
ENSPTRG00000003288,ENSG00000172932,48.3393
ENSPTRG00000019025,ENSG00000153237,47.9161
ENSPTRG00000022471,ENSG00000135655,48.2436
ENSPTRG00000004503,ENSG00000257961,47.5221
ENSPTRG00000021681,ENSG00000144366,48.6621
ENSPTRG00000014065,ENSG00000257961,45.9314
ENSPTRG00000022470,ENSG00000003436,49.4972
ENSPTRG00000013861,ENSG00000263141,0.376128
ENSPTRG00000014066,ENSG00000261539,48.0212
ENSPTRG00000004504,ENSG00000238035,48.6452
ENSPTRG00000021682,ENSG00000105879,49.382
ENSPTRG00000028324,ENSG00000080822,49.0291
ENSPTRG00000003289,ENSG00000175182,49.1682
ENSPTRG00000041916,ENSG00000260119,49.6124
ENSPTRG00000041916,ENSG00000138068,51.3889
ENSPTRG00000016987,ENSG00000253276,49.7642
ENSPTRG00000014571,ENSG00000182134,49.4059
ENSPTRG00000034340,ENSG00000138434,49.4012
ENSPTRG00000014572,ENSG00000143889,47.948
ENSPTRG00000040663,ENSG00000260178,48.9751
ENSPTRG00000005745,ENSG00000262249,47.5309
ENSPTRG00000021683,ENSG00000163220,49.2264
ENSPTRG00000007589,ENSG00000262972,47.0303
ENSPTRG00000007590,ENSG00000187939,48.4312
ENSPTRG00000021684,ENSG00000162980,48.5258
ENSPTRG00000003290,ENSG00000261236,47.95
ENSPTRG00000005746,ENSG00000105865,49.1247
ENSPTRG00000019027,ENSG00000144339,49.0288
ENSPTRG00000014573,ENSG00000143376,49.3159
ENSPTRG00000021685,ENSG00000143452,49.23
ENSPTRG00000033843,ENSG00000261587,46.6597
ENSPTRG00000014067,ENSG00000261155,46.8599
ENSPTRG00000014067,ENSG00000175482,47.7987
ENSPTRG00000014067,ENSG00000260789,47.151
ENSPTRG00000004506,ENSG00000261042,48.628
ENSPTRG00000019028,ENSG00000138448,49.8054
ENSPTRG00000031441,ENSG00000218739,44.5434
ENSPTRG00000007591,ENSG00000261042,48.0655
ENSPTRG00000005747,ENSG00000257339,50.0576
ENSPTRG00000014576,ENSG00000259896,49.1874
ENSPTRG00000000155,ENSG00000197084,48.4742
ENSPTRG00000021686,ENSG00000123297,49.0816
ENSPTRG00000013862,ENSG00000064225,49.3821
ENSPTRG00000013862,ENSG00000144366,48.1871
ENSPTRG00000014068,ENSG00000260383,48.4046
ENSPTRG00000000156,ENSG00000143393,48.1322
ENSPTRG00000013863,ENSG00000138061,49.115
ENSPTRG00000000157,ENSG00000257961,48.1928
ENSPTRG00000003291,ENSG00000260789,48.3536
ENSPTRG00000040646,ENSG00000145012,48.4581
ENSPTRG00000021687,ENSG00000144395,49.0414
ENSPTRG00000000158,ENSG00000260178,48.0357
ENSPTRG00000013865,ENSG00000123612,49.4939
ENSPTRG00000007592,ENSG00000261587,47.9913
ENSPTRG00000004507,ENSG00000091136,49.4432
ENSPTRG00000023886,ENSG00000163207,45.6355
ENSPTRG00000005750,ENSG00000263138,49.741
ENSPTRG00000019029,ENSG00000163002,48.7877
ENSPTRG00000016982,ENSG00000113838,47.4187
ENSPTRG00000039378,ENSG00000196407,47.9084
ENSPTRG00000021688,ENSG00000114480,48.8261
ENSPTRG00000014069,ENSG00000173237,48.4646
ENSPTRG00000007594,ENSG00000090539,48.1306
ENSPTRG00000014579,ENSG00000261577,47.7212
ENSPTRG00000014580,ENSG00000261933,49.0814
ENSPTRG00000016981,ENSG00000262742,48.9768
ENSPTRG00000003292,ENSG00000080822,48.3461
ENSPTRG00000005751,ENSG00000162980,48.279
ENSPTRG00000021690,ENSG00000228804,47.9319
ENSPTRG00000000159,ENSG00000172508,49.174
ENSPTRG00000021692,ENSG00000139263,49.0998
ENSPTRG00000005752,ENSG00000228804,47.7041
ENSPTRG00000003295,ENSG00000143631,49.0655
ENSPTRG00000021693,ENSG00000261456,49.7154
ENSPTRG00000040289,ENSG00000156931,51.938
ENSPTRG00000016979,ENSG00000123297,49.1743
ENSPTRG00000014581,ENSG00000266093,49.021
ENSPTRG00000005753,ENSG00000189362,49.2478
ENSPTRG00000014582,ENSG00000115267,49.021
ENSPTRG00000013866,ENSG00000114354,48.97
ENSPTRG00000014583,ENSG00000064933,48.8808
ENSPTRG00000016978,ENSG00000260164,50.1138
ENSPTRG00000016977,ENSG00000090534,49.3681
ENSPTRG00000004509,ENSG00000144395,48.0472
ENSPTRG00000016973,ENSG00000135655,48.323
ENSPTRG00000013867,ENSG00000262562,48.3309
ENSPTRG00000021696,ENSG00000136560,49.1045
ENSPTRG00000005756,ENSG00000064933,48.0553
ENSPTRG00000021698,ENSG00000091140,49.0359
ENSPTRG00000005757,ENSG00000143418,49.4281
ENSPTRG00000019030,ENSG00000119787,48.7053
ENSPTRG00000023245,ENSG00000214694,48.6634
ENSPTRG00000004510,ENSG00000261163,48.7053
ENSPTRG00000014070,ENSG00000261698,48.2654
ENSPTRG00000005758,ENSG00000143889,48.66
ENSPTRG00000005759,ENSG00000119787,48.3936
ENSPTRG00000000160,ENSG00000173621,47.1111
ENSPTRG00000021699,ENSG00000159352,49.4505
ENSPTRG00000013868,ENSG00000135454,49.3553
ENSPTRG00000021700,ENSG00000144395,49.062
ENSPTRG00000004511,ENSG00000262739,48.3506
ENSPTRG00000014585,ENSG00000184220,49.11
ENSPTRG00000005760,ENSG00000153237,48.58
ENSPTRG00000014586,ENSG00000144395,48.7393
ENSPTRG00000004513,ENSG00000260873,49.9959
ENSPTRG00000019031,ENSG00000187699,49.3656
ENSPTRG00000019033,ENSG00000238035,48.9669
ENSPTRG00000014071,ENSG00000172508,47.2421
ENSPTRG00000014587,ENSG00000182580,49.1692
ENSPTRG00000019034,ENSG00000262515,49.7091
ENSPTRG00000016972,ENSG00000138448,48.7314
