gorilla_gorilla,pongo_abelii
ENSGGOG00000015265,ENSPPYG00000018305,49.7726
ENSGGOG00000009504,ENSPPYG00000017480,48.4013
ENSGGOG00000011379,ENSPPYG00000018639,49.2138
ENSGGOG00000012953,ENSPPYG00000018025,1.81269
ENSGGOG00000012953,ENSPPYG00000018025,1.81269
ENSGGOG00000012129,ENSPPYG00000020625,49.6547
ENSGGOG00000016537,ENSPPYG00000019692,48.2161
ENSGGOG00000016537,ENSPPYG00000018991,48.2456
ENSGGOG00000016102,ENSPPYG00000019005,40.7572
ENSGGOG00000013267,ENSPPYG00000018489,48.616
ENSGGOG00000015683,ENSPPYG00000020470,48.7899
ENSGGOG00000015683,ENSPPYG00000017937,48.2227
ENSGGOG00000002484,ENSPPYG00000020627,49.7518
ENSGGOG00000000242,ENSPPYG00000019880,49.1758
ENSGGOG00000016206,ENSPPYG00000018815,48.7881
ENSGGOG00000016206,ENSPPYG00000020138,48.4701
ENSGGOG00000010445,ENSPPYG00000019141,49.3464
ENSGGOG00000028407,ENSPPYG00000019511,48.6624
ENSGGOG00000002197,ENSPPYG00000020302,49.2773
ENSGGOG00000002197,ENSPPYG00000020483,49.4697
ENSGGOG00000005769,ENSPPYG00000019265,48.3737
ENSGGOG00000027112,ENSPPYG00000020914,46.4135
ENSGGOG00000022587,ENSPPYG00000019922,50
ENSGGOG00000024272,ENSPPYG00000020366,48.3721
ENSGGOG00000011774,ENSPPYG00000020605,49.6206
ENSGGOG00000002353,ENSPPYG00000018965,47.7926
ENSGGOG00000002353,ENSPPYG00000019988,48.0439
ENSGGOG00000011369,ENSPPYG00000019718,49.0095
ENSGGOG00000009880,ENSPPYG00000020330,47.9309
ENSGGOG00000009880,ENSPPYG00000019401,48.7148
ENSGGOG00000004058,ENSPPYG00000019247,48.0392
ENSGGOG00000011428,ENSPPYG00000018149,48.4415
ENSGGOG00000001490,ENSPPYG00000020627,48.8917
ENSGGOG00000028613,ENSPPYG00000019988,46.2815
ENSGGOG00000005224,ENSPPYG00000019756,48.1136
ENSGGOG00000005224,ENSPPYG00000019756,47.712
ENSGGOG00000027541,ENSPPYG00000018292,48.7981
ENSGGOG00000003560,ENSPPYG00000020876,48.8281
ENSGGOG00000014816,ENSPPYG00000017949,49.1287
ENSGGOG00000014816,ENSPPYG00000020507,49.1309
ENSGGOG00000012775,ENSPPYG00000017452,48.2114
ENSGGOG00000012775,ENSPPYG00000017452,47.8711
ENSGGOG00000027171,ENSPPYG00000018274,48.1795
ENSGGOG00000027171,ENSPPYG00000018625,48.5904
ENSGGOG00000011467,ENSPPYG00000019770,47.6503
ENSGGOG00000027530,ENSPPYG00000020627,48.8238
ENSGGOG00000009976,ENSPPYG00000018177,48.6737
ENSGGOG00000005557,ENSPPYG00000019245,49.7009
ENSGGOG00000022833,ENSPPYG00000019826,46.2021
ENSGGOG00000014436,ENSPPYG00000017849,48.7965
ENSGGOG00000000700,ENSPPYG00000020583,48.1299
ENSGGOG00000000700,ENSPPYG00000018517,47.8456
ENSGGOG00000000700,ENSPPYG00000018073,49.2048
ENSGGOG00000000700,ENSPPYG00000017561,48.1315
ENSGGOG00000000700,ENSPPYG00000019954,48.1322
ENSGGOG00000000700,ENSPPYG00000019730,49.0215
ENSGGOG00000000700,ENSPPYG00000020583,49.1658
ENSGGOG00000000700,ENSPPYG00000019978,48.9172
ENSGGOG00000000700,ENSPPYG00000020583,48.6673
ENSGGOG00000000700,ENSPPYG00000019954,47.6969
ENSGGOG00000004198,ENSPPYG00000019988,47.398
ENSGGOG00000028442,ENSPPYG00000020886,48.2456
ENSGGOG00000027980,ENSPPYG00000019988,47.5601
ENSGGOG00000012299,ENSPPYG00000019055,49.0433
ENSGGOG00000014157,ENSPPYG00000019247,48.4302
ENSGGOG00000011472,ENSPPYG00000020050,47.8685
ENSGGOG00000028106,ENSPPYG00000019774,48.6763
ENSGGOG00000015536,ENSPPYG00000019736,46.3027
ENSGGOG00000015536,ENSPPYG00000019736,46.6613
ENSGGOG00000000224,ENSPPYG00000019988,45.9342
ENSGGOG00000006447,ENSPPYG00000020605,49.0664
ENSGGOG00000006447,ENSPPYG00000019247,47.7333
ENSGGOG00000034992,ENSPPYG00000019768,46.9314
ENSGGOG00000008953,ENSPPYG00000018823,49.0242
ENSGGOG00000028568,ENSPPYG00000019646,48.4714
ENSGGOG00000022699,ENSPPYG00000017814,8.24433
ENSGGOG00000002492,ENSPPYG00000017575,46.0055
ENSGGOG00000014195,ENSPPYG00000017746,49.837
ENSGGOG00000014195,ENSPPYG00000019145,49.7424
ENSGGOG00000007551,ENSPPYG00000019768,47.5087
ENSGGOG00000007551,ENSPPYG00000019768,47.6481
ENSGGOG00000009209,ENSPPYG00000019988,49.0288
ENSGGOG00000016777,ENSPPYG00000018747,49.057
ENSGGOG00000010587,ENSPPYG00000019253,48.3871
ENSGGOG00000004101,ENSPPYG00000019988,47.535
ENSGGOG00000016427,ENSPPYG00000017382,47.5999
ENSGGOG00000016427,ENSPPYG00000017382,47.6997
ENSGGOG00000001743,ENSPPYG00000017810,48.0519
ENSGGOG00000009382,ENSPPYG00000019247,47.7318
ENSGGOG00000004655,ENSPPYG00000019247,46.3277
ENSGGOG00000004655,ENSPPYG00000019035,46.7799
ENSGGOG00000010577,ENSPPYG00000019247,48.053
ENSGGOG00000010878,ENSPPYG00000018469,49.0769
ENSGGOG00000010878,ENSPPYG00000018469,49.0478
ENSGGOG00000007707,ENSPPYG00000017937,48.2843
ENSGGOG00000034914,ENSPPYG00000020456,50.0452
ENSGGOG00000016442,ENSPPYG00000018943,48.6248
ENSGGOG00000003636,ENSPPYG00000017404,47.6584
ENSGGOG00000003636,ENSPPYG00000019666,48.4794
ENSGGOG00000024118,ENSPPYG00000019247,47.8349
ENSGGOG00000000615,ENSPPYG00000017462,48.8982
ENSGGOG00000000615,ENSPPYG00000020713,45.5665
ENSGGOG00000008039,ENSPPYG00000018965,48.3509
ENSGGOG00000028284,ENSPPYG00000019798,47.8102
ENSGGOG00000008556,ENSPPYG00000020561,48.7469
ENSGGOG00000024600,ENSPPYG00000019107,47.3016
ENSGGOG00000016974,ENSPPYG00000017428,49.7991
ENSGGOG00000009603,ENSPPYG00000019734,48.7814
ENSGGOG00000022923,ENSPPYG00000020743,44.2623
ENSGGOG00000022923,ENSPPYG00000019948,36.211
ENSGGOG00000003982,ENSPPYG00000018055,50.1708
ENSGGOG00000003982,ENSPPYG00000019505,50.2519
ENSGGOG00000000614,ENSPPYG00000020410,48.5427
ENSGGOG00000026860,ENSPPYG00000019970,36.9994
ENSGGOG00000006003,ENSPPYG00000017746,49.716
ENSGGOG00000006003,ENSPPYG00000017746,49.7006
ENSGGOG00000013205,ENSPPYG00000017730,48.9403
ENSGGOG00000013205,ENSPPYG00000019197,48.3286
ENSGGOG00000028216,ENSPPYG00000017953,48.5359
ENSGGOG00000002965,ENSPPYG00000018037,43.0935
ENSGGOG00000011619,ENSPPYG00000019880,48.0048
ENSGGOG00000011619,ENSPPYG00000018181,47.6722
ENSGGOG00000011619,ENSPPYG00000019826,46.4039
ENSGGOG00000025884,ENSPPYG00000018949,47.9853
ENSGGOG00000007836,ENSPPYG00000019247,47.7671
ENSGGOG00000022262,ENSPPYG00000019774,49.2435
ENSGGOG00000022262,ENSPPYG00000019167,49.0898
ENSGGOG00000014223,ENSPPYG00000018815,48.0607
ENSGGOG00000000347,ENSPPYG00000019704,49.4449
ENSGGOG00000002699,ENSPPYG00000020112,48.7379
ENSGGOG00000024241,ENSPPYG00000019247,47.4964
ENSGGOG00000005082,ENSPPYG00000019944,48.422
ENSGGOG00000026038,ENSPPYG00000020529,38.7226
ENSGGOG00000010070,ENSPPYG00000020519,47.9867
ENSGGOG00000000713,ENSPPYG00000019247,48.091
ENSGGOG00000000713,ENSPPYG00000017394,49.075
ENSGGOG00000000713,ENSPPYG00000019988,48.1189
ENSGGOG00000002738,ENSPPYG00000019493,50.3012
ENSGGOG00000002738,ENSPPYG00000019469,50.3738
ENSGGOG00000010097,ENSPPYG00000017859,49.6337
ENSGGOG00000003603,ENSPPYG00000019988,47.8169
ENSGGOG00000001501,ENSPPYG00000019768,47.7493
ENSGGOG00000011248,ENSPPYG00000020258,47.8987
ENSGGOG00000025064,ENSPPYG00000020589,32.0217
ENSGGOG00000001418,ENSPPYG00000019105,48.6337
ENSGGOG00000028401,ENSPPYG00000017726,49.2593
ENSGGOG00000002467,ENSPPYG00000017530,48.6055
ENSGGOG00000015882,ENSPPYG00000018899,49.2479
ENSGGOG00000009324,ENSPPYG00000020491,49.4745
ENSGGOG00000009324,ENSPPYG00000019309,49.6979
ENSGGOG00000007591,ENSPPYG00000019600,48.9467
ENSGGOG00000005811,ENSPPYG00000017486,49.2509
ENSGGOG00000005811,ENSPPYG00000018413,49.1816
ENSGGOG00000024005,ENSPPYG00000019946,40.6452
ENSGGOG00000007800,ENSPPYG00000019247,46.6292
ENSGGOG00000023813,ENSPPYG00000018935,47.6453
ENSGGOG00000002243,ENSPPYG00000020659,48.5569
ENSGGOG00000001822,ENSPPYG00000017660,48.2617
ENSGGOG00000013768,ENSPPYG00000020178,18.0763
ENSGGOG00000013768,ENSPPYG00000020178,17.1899
ENSGGOG00000025261,ENSPPYG00000019247,48.6196
ENSGGOG00000015271,ENSPPYG00000020491,48.8509
ENSGGOG00000016587,ENSPPYG00000018947,47.4693
ENSGGOG00000016587,ENSPPYG00000019626,47.0384
ENSGGOG00000025397,ENSPPYG00000019247,48.7476
ENSGGOG00000005954,ENSPPYG00000020517,48.567
ENSGGOG00000012686,ENSPPYG00000020156,47.6496
ENSGGOG00000026177,ENSPPYG00000020222,49.4531
ENSGGOG00000026177,ENSPPYG00000020374,49.4367
ENSGGOG00000034879,ENSPPYG00000018469,48.6454
ENSGGOG00000028469,ENSPPYG00000019926,21.8591
ENSGGOG00000028469,ENSPPYG00000019926,32.7899
ENSGGOG00000028469,ENSPPYG00000019926,44.0158
ENSGGOG00000028469,ENSPPYG00000019926,44.3452
ENSGGOG00000023976,ENSPPYG00000020850,49.0811
ENSGGOG00000013717,ENSPPYG00000017821,46.0674
ENSGGOG00000005177,ENSPPYG00000019061,48.2301
ENSGGOG00000034830,ENSPPYG00000017903,8.70083
ENSGGOG00000005644,ENSPPYG00000018469,48.5714
ENSGGOG00000034839,ENSPPYG00000019247,47.9532
ENSGGOG00000034921,ENSPPYG00000018809,48.4799
ENSGGOG00000007690,ENSPPYG00000019988,46.7023
ENSGGOG00000007886,ENSPPYG00000017577,48.9107
ENSGGOG00000016599,ENSPPYG00000018513,48.8543
ENSGGOG00000016599,ENSPPYG00000019686,48.7879
ENSGGOG00000015105,ENSPPYG00000020751,47.1264
ENSGGOG00000027867,ENSPPYG00000017500,44.0986
ENSGGOG00000027867,ENSPPYG00000017500,44.2283
ENSGGOG00000010205,ENSPPYG00000017458,48.6957
ENSGGOG00000010205,ENSPPYG00000018937,47.6961
ENSGGOG00000012100,ENSPPYG00000017871,48.9356
ENSGGOG00000012100,ENSPPYG00000017871,48.8714
ENSGGOG00000015118,ENSPPYG00000017973,49.8948
ENSGGOG00000012676,ENSPPYG00000020438,48.9667
ENSGGOG00000012676,ENSPPYG00000020146,49.1015
ENSGGOG00000001081,ENSPPYG00000017883,48.8026
ENSGGOG00000014261,ENSPPYG00000019213,49.3057
ENSGGOG00000014261,ENSPPYG00000017835,49.1263
ENSGGOG00000003290,ENSPPYG00000017716,48.6633
ENSGGOG00000004061,ENSPPYG00000018857,49.3744
ENSGGOG00000027262,ENSPPYG00000020916,46.7662
ENSGGOG00000010169,ENSPPYG00000017444,48.1013
ENSGGOG00000010169,ENSPPYG00000017444,48.3114
ENSGGOG00000027381,ENSPPYG00000019722,47.032
ENSGGOG00000023977,ENSPPYG00000018057,6.17544
ENSGGOG00000023977,ENSPPYG00000018057,7.84111
ENSGGOG00000011720,ENSPPYG00000019824,48.0139
ENSGGOG00000026281,ENSPPYG00000017388,48.8372
ENSGGOG00000022895,ENSPPYG00000019073,46.4873
ENSGGOG00000027373,ENSPPYG00000018603,100
ENSGGOG00000010351,ENSPPYG00000017575,46.1187
ENSGGOG00000023331,ENSPPYG00000019574,48.538
ENSGGOG00000024652,ENSPPYG00000020811,40.2778
ENSGGOG00000021995,ENSPPYG00000019594,48.2759
ENSGGOG00000026932,ENSPPYG00000018703,38.1944
ENSGGOG00000027903,ENSPPYG00000019836,47.5513
ENSGGOG00000024024,ENSPPYG00000020571,48.0952
ENSGGOG00000023598,ENSPPYG00000019247,48.2508
ENSGGOG00000011678,ENSPPYG00000018127,41.0256
ENSGGOG00000024847,ENSPPYG00000018329,47.1947
ENSGGOG00000024167,ENSPPYG00000019994,48.6742
ENSGGOG00000025658,ENSPPYG00000018949,47.254
ENSGGOG00000022189,ENSPPYG00000020721,45.4746
ENSGGOG00000026550,ENSPPYG00000019239,50.4762
ENSGGOG00000026151,ENSPPYG00000017372,47.3485
ENSGGOG00000026151,ENSPPYG00000020739,46.3768
ENSGGOG00000011659,ENSPPYG00000017885,49.6178
ENSGGOG00000011659,ENSPPYG00000020699,38.7156
ENSGGOG00000026990,ENSPPYG00000019944,48.3598
ENSGGOG00000012349,ENSPPYG00000019922,47.9675
ENSGGOG00000011802,ENSPPYG00000019992,39.6514
ENSGGOG00000024900,ENSPPYG00000019794,46.9534
ENSGGOG00000008275,ENSPPYG00000018949,44.9383
ENSGGOG00000004885,ENSPPYG00000017510,49.2291
ENSGGOG00000004617,ENSPPYG00000020767,46.5021
ENSGGOG00000012496,ENSPPYG00000020258,47.1936
ENSGGOG00000012496,ENSPPYG00000020258,46.8492
ENSGGOG00000023676,ENSPPYG00000019992,36.9542
ENSGGOG00000025319,ENSPPYG00000019958,47.8548
ENSGGOG00000022681,ENSPPYG00000020904,50.1046
ENSGGOG00000026243,ENSPPYG00000020222,49.5202
ENSGGOG00000023924,ENSPPYG00000019247,48.2108
ENSGGOG00000028325,ENSPPYG00000020735,49.5614
ENSGGOG00000023589,ENSPPYG00000019215,50.2415
ENSGGOG00000025370,ENSPPYG00000020122,48.1645
ENSGGOG00000023107,ENSPPYG00000020122,49.4898
ENSGGOG00000026757,ENSPPYG00000017575,44.2197
ENSGGOG00000023000,ENSPPYG00000017575,48.1481
ENSGGOG00000025053,ENSPPYG00000019247,48.6938
ENSGGOG00000022688,ENSPPYG00000020446,50.1656
ENSGGOG00000026221,ENSPPYG00000019023,52
ENSGGOG00000024015,ENSPPYG00000020060,48.7292
ENSGGOG00000024922,ENSPPYG00000017575,42.3977
ENSGGOG00000002199,ENSPPYG00000019027,47.2222
ENSGGOG00000025529,ENSPPYG00000017575,46.9333
ENSGGOG00000016452,ENSPPYG00000018585,46.325
ENSGGOG00000028365,ENSPPYG00000019119,46.6667
ENSGGOG00000023641,ENSPPYG00000018933,50.8547
ENSGGOG00000026533,ENSPPYG00000019027,46.7391
ENSGGOG00000027735,ENSPPYG00000018127,41.0256
ENSGGOG00000024455,ENSPPYG00000019958,46.4646
ENSGGOG00000023064,ENSPPYG00000017575,45.73
ENSGGOG00000023643,ENSPPYG00000019730,8.58974
ENSGGOG00000012297,ENSPPYG00000019882,39.9786
ENSGGOG00000002991,ENSPPYG00000019828,47.7974
ENSGGOG00000012296,ENSPPYG00000020226,46.0663
ENSGGOG00000003499,ENSPPYG00000018423,48.3173
ENSGGOG00000025009,ENSPPYG00000019792,47.5783
ENSGGOG00000028005,ENSPPYG00000017599,47.351
ENSGGOG00000025532,ENSPPYG00000020052,47.5472
ENSGGOG00000012276,ENSPPYG00000017903,49.3645
ENSGGOG00000025931,ENSPPYG00000019866,49.0991
ENSGGOG00000023428,ENSPPYG00000019882,42.2737
ENSGGOG00000004137,ENSPPYG00000019169,45.283
ENSGGOG00000023785,ENSPPYG00000019247,47.572
ENSGGOG00000025420,ENSPPYG00000019826,48.2808
ENSGGOG00000006443,ENSPPYG00000019511,36.5265
ENSGGOG00000025576,ENSPPYG00000019185,2.30496
ENSGGOG00000026282,ENSPPYG00000018685,49.4792
ENSGGOG00000016613,ENSPPYG00000019882,40.2116
ENSGGOG00000002721,ENSPPYG00000019988,46.3273
ENSGGOG00000002324,ENSPPYG00000019802,48.7403
ENSGGOG00000026294,ENSPPYG00000020104,49.1892
ENSGGOG00000028050,ENSPPYG00000017575,45.6876
ENSGGOG00000010509,ENSPPYG00000018127,41.641
ENSGGOG00000028237,ENSPPYG00000019576,41.5352
ENSGGOG00000024271,ENSPPYG00000017575,46.9979
ENSGGOG00000015345,ENSPPYG00000020206,48.5411
ENSGGOG00000025341,ENSPPYG00000017979,47.0085
ENSGGOG00000025189,ENSPPYG00000018127,42.2027
ENSGGOG00000025240,ENSPPYG00000017575,46.3203
ENSGGOG00000028446,ENSPPYG00000018133,41.2141
ENSGGOG00000022248,ENSPPYG00000017575,44.2244
ENSGGOG00000011917,ENSPPYG00000020924,49.1577
ENSGGOG00000009618,ENSPPYG00000018069,15.4405
ENSGGOG00000026789,ENSPPYG00000019856,50.9091
ENSGGOG00000026729,ENSPPYG00000019580,40.7514
ENSGGOG00000006017,ENSPPYG00000017575,43.3437
ENSGGOG00000024552,ENSPPYG00000019580,40.7514
ENSGGOG00000012076,ENSPPYG00000019175,29.2517
ENSGGOG00000023828,ENSPPYG00000018133,39.3162
ENSGGOG00000026613,ENSPPYG00000017575,48
ENSGGOG00000005391,ENSPPYG00000020102,48.062
ENSGGOG00000026915,ENSPPYG00000019027,46.4646
ENSGGOG00000026418,ENSPPYG00000018248,50.2058
ENSGGOG00000026530,ENSPPYG00000017746,48
ENSGGOG00000023731,ENSPPYG00000017953,47.1831
ENSGGOG00000025833,ENSPPYG00000020090,47.8095
ENSGGOG00000024056,ENSPPYG00000019580,44.0922
ENSGGOG00000025219,ENSPPYG00000017575,46.9484
ENSGGOG00000023342,ENSPPYG00000020052,47.2222
ENSGGOG00000022053,ENSPPYG00000020040,48.4277
ENSGGOG00000002250,ENSPPYG00000019247,47.5078
ENSGGOG00000026378,ENSPPYG00000017575,48.1366
ENSGGOG00000022757,ENSPPYG00000019561,3.65854
ENSGGOG00000027225,ENSPPYG00000020721,42.3747
ENSGGOG00000025126,ENSPPYG00000019882,41.853
ENSGGOG00000024138,ENSPPYG00000018603,177.778
ENSGGOG00000025401,ENSPPYG00000019574,36.4621
ENSGGOG00000009622,ENSPPYG00000018121,46.875
ENSGGOG00000027604,ENSPPYG00000019946,43.8095
ENSGGOG00000024507,ENSPPYG00000019576,45.1699
ENSGGOG00000006780,ENSPPYG00000019473,16.9666
ENSGGOG00000013122,ENSPPYG00000020906,49.1096
ENSGGOG00000002509,ENSPPYG00000019804,45.3552
ENSGGOG00000022119,ENSPPYG00000018963,48.8304
ENSGGOG00000026921,ENSPPYG00000017923,49.0196
ENSGGOG00000022493,ENSPPYG00000019882,41.8831
ENSGGOG00000006798,ENSPPYG00000020920,48.8889
ENSGGOG00000006400,ENSPPYG00000019882,44.7392
ENSGGOG00000028217,ENSPPYG00000020050,46.6667
ENSGGOG00000027890,ENSPPYG00000018127,42.061
ENSGGOG00000027175,ENSPPYG00000018133,42.279
ENSGGOG00000023956,ENSPPYG00000019576,42.2153
ENSGGOG00000013732,ENSPPYG00000020060,41.4013
ENSGGOG00000010244,ENSPPYG00000019576,41.565
ENSGGOG00000004828,ENSPPYG00000019576,44
ENSGGOG00000025453,ENSPPYG00000019572,49.0741
ENSGGOG00000014307,ENSPPYG00000019992,44.7489
ENSGGOG00000024662,ENSPPYG00000020551,47.076
ENSGGOG00000006278,ENSPPYG00000019576,42.2996
ENSGGOG00000010000,ENSPPYG00000019461,40.0212
ENSGGOG00000014310,ENSPPYG00000018133,43.2099
ENSGGOG00000017004,ENSPPYG00000019576,15.4125
ENSGGOG00000000269,ENSPPYG00000018073,11.1776
ENSGGOG00000025525,ENSPPYG00000019576,41.2651
ENSGGOG00000005114,ENSPPYG00000017649,49.6691
ENSGGOG00000024958,ENSPPYG00000017575,47.205
ENSGGOG00000022963,ENSPPYG00000019576,40.1288
ENSGGOG00000005228,ENSPPYG00000020060,14.8285
ENSGGOG00000022466,ENSPPYG00000017518,46.0317
ENSGGOG00000003281,ENSPPYG00000019804,47.0628
ENSGGOG00000001168,ENSPPYG00000018127,42.7093
ENSGGOG00000024451,ENSPPYG00000018921,46.6422
ENSGGOG00000003266,ENSPPYG00000018385,48.3384
ENSGGOG00000024668,ENSPPYG00000017575,48.6111
ENSGGOG00000004567,ENSPPYG00000019580,34.1667
ENSGGOG00000022344,ENSPPYG00000019576,38.8172
ENSGGOG00000025841,ENSPPYG00000020104,1.96078
ENSGGOG00000022897,ENSPPYG00000020364,47.6562
ENSGGOG00000028206,ENSPPYG00000017575,45.8034
ENSGGOG00000010407,ENSPPYG00000019247,47.7961
ENSGGOG00000002119,ENSPPYG00000017575,42.8135
ENSGGOG00000028133,ENSPPYG00000017742,47.931
ENSGGOG00000001257,ENSPPYG00000018373,48.0887
ENSGGOG00000022649,ENSPPYG00000019025,47.4843
ENSGGOG00000013779,ENSPPYG00000019580,38.0435
ENSGGOG00000028037,ENSPPYG00000017726,48.6542
ENSGGOG00000028067,ENSPPYG00000019181,9.82456
ENSGGOG00000025462,ENSPPYG00000018595,48.9265
ENSGGOG00000022086,ENSPPYG00000019177,2.44328
ENSGGOG00000026436,ENSPPYG00000020030,48.7603
ENSGGOG00000003981,ENSPPYG00000019247,46.9571
ENSGGOG00000023823,ENSPPYG00000020842,46.3026
ENSGGOG00000023303,ENSPPYG00000020314,47.3958
ENSGGOG00000011290,ENSPPYG00000017987,47.3837
ENSGGOG00000026395,ENSPPYG00000019175,2.29277
ENSGGOG00000011951,ENSPPYG00000017446,47.3783
ENSGGOG00000028376,ENSPPYG00000017424,48.3031
ENSGGOG00000024920,ENSPPYG00000019992,48.6538
ENSGGOG00000015820,ENSPPYG00000019632,47.7778
ENSGGOG00000009154,ENSPPYG00000020248,49.8328
ENSGGOG00000027633,ENSPPYG00000019177,10.1124
ENSGGOG00000028130,ENSPPYG00000019247,49.7646
ENSGGOG00000004112,ENSPPYG00000019247,49.4429
ENSGGOG00000027659,ENSPPYG00000020937,50.2463
ENSGGOG00000026911,ENSPPYG00000017706,48.1262
ENSGGOG00000027155,ENSPPYG00000017575,46.2185
ENSGGOG00000011191,ENSPPYG00000019988,47.2776
ENSGGOG00000015760,ENSPPYG00000019175,43.8596
ENSGGOG00000027844,ENSPPYG00000019970,47.5684
ENSGGOG00000013263,ENSPPYG00000017575,45.9064
ENSGGOG00000022158,ENSPPYG00000019247,49.1307
ENSGGOG00000024050,ENSPPYG00000018995,46.7213
ENSGGOG00000028052,ENSPPYG00000020932,47.927
ENSGGOG00000024630,ENSPPYG00000019239,50
ENSGGOG00000027639,ENSPPYG00000017575,45.2381
ENSGGOG00000026664,ENSPPYG00000020583,22.1574
ENSGGOG00000005217,ENSPPYG00000020338,47.619
ENSGGOG00000027149,ENSPPYG00000020012,48.7055
ENSGGOG00000005550,ENSPPYG00000019205,49.2294
ENSGGOG00000003700,ENSPPYG00000018123,46.4621
ENSGGOG00000014682,ENSPPYG00000020268,38.1579
ENSGGOG00000006890,ENSPPYG00000018667,39.1542
ENSGGOG00000026084,ENSPPYG00000018953,50
ENSGGOG00000006271,ENSPPYG00000018123,45.2381
ENSGGOG00000023108,ENSPPYG00000017575,42.7822
ENSGGOG00000028218,ENSPPYG00000018961,49.0008
ENSGGOG00000014627,ENSPPYG00000017575,45.5882
ENSGGOG00000026310,ENSPPYG00000019950,48.1132
ENSGGOG00000026272,ENSPPYG00000019247,47.9851
ENSGGOG00000026319,ENSPPYG00000019594,47.9373
ENSGGOG00000028429,ENSPPYG00000017575,46.0317
ENSGGOG00000003066,ENSPPYG00000018755,48.625
ENSGGOG00000024867,ENSPPYG00000020939,49.4624
ENSGGOG00000025686,ENSPPYG00000019247,48.2444
ENSGGOG00000022619,ENSPPYG00000018123,46.4451
ENSGGOG00000023377,ENSPPYG00000017656,48.9771
ENSGGOG00000003018,ENSPPYG00000020206,44.5794
ENSGGOG00000022948,ENSPPYG00000017518,47.0085
ENSGGOG00000008416,ENSPPYG00000018779,47.1354
ENSGGOG00000014859,ENSPPYG00000018905,49.2212
ENSGGOG00000009720,ENSPPYG00000019357,47.4114
ENSGGOG00000002049,ENSPPYG00000020206,44.3192
ENSGGOG00000014267,ENSPPYG00000018449,48.4541
ENSGGOG00000025386,ENSPPYG00000018111,49.3506
ENSGGOG00000021989,ENSPPYG00000018719,51.3889
ENSGGOG00000028132,ENSPPYG00000019247,46.6387
ENSGGOG00000022331,ENSPPYG00000017436,48.2975
ENSGGOG00000028062,ENSPPYG00000017575,45.5975
ENSGGOG00000000667,ENSPPYG00000018779,46.0648
ENSGGOG00000004006,ENSPPYG00000018531,47.0118
ENSGGOG00000013265,ENSPPYG00000020725,48.0799
ENSGGOG00000024052,ENSPPYG00000020206,43.75
ENSGGOG00000001817,ENSPPYG00000019031,45.7364
ENSGGOG00000023682,ENSPPYG00000019343,50
ENSGGOG00000016645,ENSPPYG00000019872,47.993
ENSGGOG00000026211,ENSPPYG00000020735,49.0268
ENSGGOG00000025334,ENSPPYG00000018719,51.3889
ENSGGOG00000024378,ENSPPYG00000019838,45.7364
ENSGGOG00000028415,ENSPPYG00000020206,41.1392
ENSGGOG00000016493,ENSPPYG00000018921,45.1977
ENSGGOG00000000086,ENSPPYG00000019696,47.5309
ENSGGOG00000009853,ENSPPYG00000019696,49.1525
ENSGGOG00000026162,ENSPPYG00000019644,48.9177
ENSGGOG00000024915,ENSPPYG00000020860,48.0363
ENSGGOG00000027941,ENSPPYG00000020206,43.298
ENSGGOG00000008021,ENSPPYG00000019265,49.0361
ENSGGOG00000023110,ENSPPYG00000020743,44.2424
ENSGGOG00000012592,ENSPPYG00000017575,44.152
ENSGGOG00000023965,ENSPPYG00000020206,44.5148
ENSGGOG00000016846,ENSPPYG00000020304,48.7759
ENSGGOG00000003519,ENSPPYG00000019247,47.5945
ENSGGOG00000005149,ENSPPYG00000018167,48.3357
ENSGGOG00000025176,ENSPPYG00000018133,41.828
ENSGGOG00000023586,ENSPPYG00000017810,48.1481
ENSGGOG00000025812,ENSPPYG00000017575,46.9697
ENSGGOG00000003878,ENSPPYG00000019882,41.4791
ENSGGOG00000027534,ENSPPYG00000017575,46.6049
ENSGGOG00000004886,ENSPPYG00000020206,42.6625
ENSGGOG00000024733,ENSPPYG00000017575,44.9405
ENSGGOG00000006942,ENSPPYG00000018939,47.4178
ENSGGOG00000027698,ENSPPYG00000018793,2.63158
ENSGGOG00000003998,ENSPPYG00000019576,31.8424
ENSGGOG00000022355,ENSPPYG00000017575,46.2121
ENSGGOG00000028267,ENSPPYG00000017575,48.1982
ENSGGOG00000001828,ENSPPYG00000019089,46.3111
ENSGGOG00000012612,ENSPPYG00000018619,45.8333
ENSGGOG00000017019,ENSPPYG00000018133,40.7407
ENSGGOG00000027266,ENSPPYG00000018133,41.3462
ENSGGOG00000024403,ENSPPYG00000017804,46.748
ENSGGOG00000000070,ENSPPYG00000020206,45.1042
ENSGGOG00000027019,ENSPPYG00000019580,43.3364
ENSGGOG00000023960,ENSPPYG00000017575,44.0367
ENSGGOG00000025416,ENSPPYG00000020176,48.5915
ENSGGOG00000026075,ENSPPYG00000018317,45.679
ENSGGOG00000009079,ENSPPYG00000018133,40.6883
ENSGGOG00000008320,ENSPPYG00000018133,41.7954
ENSGGOG00000021943,ENSPPYG00000018545,46.507
ENSGGOG00000010423,ENSPPYG00000018865,49.0716
ENSGGOG00000009503,ENSPPYG00000019576,39.3162
ENSGGOG00000012302,ENSPPYG00000019247,46.9841
ENSGGOG00000007207,ENSPPYG00000019580,47.2222
ENSGGOG00000027219,ENSPPYG00000020767,46.8165
