gorilla_gorilla,pan_troglodytes
ENSGGOG00000015265,ENSPTRG00000009849,48.6216
ENSGGOG00000015265,ENSPTRG00000019950,49.6305
ENSGGOG00000009504,ENSPTRG00000019006,48.7774
ENSGGOG00000011379,ENSPTRG00000016921,0.733753
ENSGGOG00000012953,ENSPTRG00000040752,48.2377
ENSGGOG00000012953,ENSPTRG00000040752,48.2377
ENSGGOG00000012129,ENSPTRG00000019004,49.6876
ENSGGOG00000016537,ENSPTRG00000040752,47.9103
ENSGGOG00000016537,ENSPTRG00000040752,48.7329
ENSGGOG00000016102,ENSPTRG00000019956,2.67261
ENSGGOG00000013267,ENSPTRG00000019024,1.81178
ENSGGOG00000015683,ENSPTRG00000040645,48.2091
ENSGGOG00000015683,ENSPTRG00000017013,47.6303
ENSGGOG00000002484,ENSPTRG00000005726,48.7588
ENSGGOG00000000242,ENSPTRG00000040196,49.2543
ENSGGOG00000016206,ENSPTRG00000009858,49.1642
ENSGGOG00000016206,ENSPTRG00000019931,48.6654
ENSGGOG00000010445,ENSPTRG00000014657,49.3101
ENSGGOG00000028407,ENSPTRG00000005696,48.5701
ENSGGOG00000002197,ENSPTRG00000028288,49.1897
ENSGGOG00000002197,ENSPTRG00000016953,49.5455
ENSGGOG00000005769,ENSPTRG00000000123,49.1425
ENSGGOG00000027112,ENSPTRG00000040155,51.0549
ENSGGOG00000022587,ENSPTRG00000019953,51.0417
ENSGGOG00000024272,ENSPTRG00000034469,48.3721
ENSGGOG00000011774,ENSPTRG00000021645,49.5204
ENSGGOG00000002353,ENSPTRG00000003184,47.5123
ENSGGOG00000002353,ENSPTRG00000003184,47.0144
ENSGGOG00000011369,ENSPTRG00000009873,33.0749
ENSGGOG00000009880,ENSPTRG00000020087,26.3302
ENSGGOG00000009880,ENSPTRG00000020087,21.1444
ENSGGOG00000004058,ENSPTRG00000039896,48.6695
ENSGGOG00000011428,ENSPTRG00000016722,19.1419
ENSGGOG00000001490,ENSPTRG00000016997,48.3103
ENSGGOG00000028613,ENSPTRG00000003198,47.8088
ENSGGOG00000005224,ENSPTRG00000018877,47.692
ENSGGOG00000005224,ENSPTRG00000007645,47.5325
ENSGGOG00000027541,ENSPTRG00000005732,48.6779
ENSGGOG00000003560,ENSPTRG00000024207,48.2422
ENSGGOG00000014816,ENSPTRG00000009857,48.9362
ENSGGOG00000014816,ENSPTRG00000016993,49.3552
ENSGGOG00000012775,ENSPTRG00000018889,47.973
ENSGGOG00000012775,ENSPTRG00000018889,47.5527
ENSGGOG00000027171,ENSPTRG00000013847,49.2803
ENSGGOG00000027171,ENSPTRG00000031254,49.2537
ENSGGOG00000011467,ENSPTRG00000000017,47.4317
ENSGGOG00000027530,ENSPTRG00000013810,48.6593
ENSGGOG00000009976,ENSPTRG00000007545,47.9334
ENSGGOG00000005557,ENSPTRG00000019018,49.8504
ENSGGOG00000022833,ENSPTRG00000042230,1.81185
ENSGGOG00000014436,ENSPTRG00000003058,48.6142
ENSGGOG00000000700,ENSPTRG00000007644,49.0157
ENSGGOG00000000700,ENSPTRG00000042084,48.7433
ENSGGOG00000000700,ENSPTRG00000014115,49.1054
ENSGGOG00000000700,ENSPTRG00000031327,47.9821
ENSGGOG00000000700,ENSPTRG00000028731,48.7069
ENSGGOG00000000700,ENSPTRG00000041720,48.9237
ENSGGOG00000000700,ENSPTRG00000003111,48.8714
ENSGGOG00000000700,ENSPTRG00000018858,48.4076
ENSGGOG00000000700,ENSPTRG00000003112,48.766
ENSGGOG00000000700,ENSPTRG00000013935,48.2912
ENSGGOG00000004198,ENSPTRG00000028688,2.391
ENSGGOG00000028442,ENSPTRG00000012467,48.1203
ENSGGOG00000027980,ENSPTRG00000003184,47.6289
ENSGGOG00000012299,ENSPTRG00000016965,48.9426
ENSGGOG00000014157,ENSPTRG00000000265,49.165
ENSGGOG00000011472,ENSPTRG00000028760,47.7467
ENSGGOG00000028106,ENSPTRG00000007563,48.6336
ENSGGOG00000015536,ENSPTRG00000007594,46.812
ENSGGOG00000015536,ENSPTRG00000007594,46.8636
ENSGGOG00000000224,ENSPTRG00000003154,20.6083
ENSGGOG00000006447,ENSPTRG00000005778,24.5622
ENSGGOG00000006447,ENSPTRG00000004543,48.4
ENSGGOG00000034992,ENSPTRG00000018855,13.3173
ENSGGOG00000008953,ENSPTRG00000005696,48.6989
ENSGGOG00000028568,ENSPTRG00000014048,48.1262
ENSGGOG00000022699,ENSPTRG00000013803,48.2977
ENSGGOG00000002492,ENSPTRG00000034369,48.7603
ENSGGOG00000014195,ENSPTRG00000014192,49.5247
ENSGGOG00000014195,ENSPTRG00000021802,49.6799
ENSGGOG00000007551,ENSPTRG00000007610,47.2465
ENSGGOG00000007551,ENSPTRG00000007610,47.2561
ENSGGOG00000009209,ENSPTRG00000004550,49.2054
ENSGGOG00000016777,ENSPTRG00000013790,48.8584
ENSGGOG00000010587,ENSPTRG00000000254,48.1117
ENSGGOG00000004101,ENSPTRG00000003184,47.535
ENSGGOG00000016427,ENSPTRG00000007696,3.40784
ENSGGOG00000016427,ENSPTRG00000007696,1.28819
ENSGGOG00000001743,ENSPTRG00000034307,48.9177
ENSGGOG00000009382,ENSPTRG00000000138,48.3892
ENSGGOG00000004655,ENSPTRG00000042466,47.2962
ENSGGOG00000004655,ENSPTRG00000004573,37.2965
ENSGGOG00000010577,ENSPTRG00000007683,48.8318
ENSGGOG00000010878,ENSPTRG00000017079,48.8666
ENSGGOG00000010878,ENSPTRG00000017079,48.9782
ENSGGOG00000007707,ENSPTRG00000029472,49.0196
ENSGGOG00000034914,ENSPTRG00000005691,49.2771
ENSGGOG00000016442,ENSPTRG00000007698,1.47348
ENSGGOG00000003636,ENSPTRG00000003118,47.337
ENSGGOG00000003636,ENSPTRG00000018876,48.1932
ENSGGOG00000024118,ENSPTRG00000017086,48.5115
ENSGGOG00000000615,ENSPTRG00000007644,49.0031
ENSGGOG00000000615,ENSPTRG00000030841,48.5222
ENSGGOG00000008039,ENSPTRG00000007590,47.7895
ENSGGOG00000028284,ENSPTRG00000014185,47.6886
ENSGGOG00000008556,ENSPTRG00000016743,48.9435
ENSGGOG00000024600,ENSPTRG00000039924,48.0952
ENSGGOG00000016974,ENSPTRG00000014167,48.854
ENSGGOG00000009603,ENSPTRG00000000044,48.4333
ENSGGOG00000022923,ENSPTRG00000034234,46.4481
ENSGGOG00000022923,ENSPTRG00000042298,48.6811
ENSGGOG00000003982,ENSPTRG00000000268,11.8451
ENSGGOG00000003982,ENSPTRG00000000268,10.9572
ENSGGOG00000000614,ENSPTRG00000005875,49.0726
ENSGGOG00000026860,ENSPTRG00000009893,37.2814
ENSGGOG00000006003,ENSPTRG00000018970,49.5317
ENSGGOG00000006003,ENSPTRG00000018970,49.5164
ENSGGOG00000013205,ENSPTRG00000014632,49.0366
ENSGGOG00000013205,ENSPTRG00000014632,48.0898
ENSGGOG00000028216,ENSPTRG00000028736,48.8909
ENSGGOG00000002965,ENSPTRG00000000102,49.0488
ENSGGOG00000011619,ENSPTRG00000007674,47.6856
ENSGGOG00000011619,ENSPTRG00000007610,47.3327
ENSGGOG00000011619,ENSPTRG00000003184,45.5048
ENSGGOG00000025884,ENSPTRG00000007627,48.3516
ENSGGOG00000007836,ENSPTRG00000040529,48.8038
ENSGGOG00000022262,ENSPTRG00000021767,48.0514
ENSGGOG00000022262,ENSPTRG00000016742,48.6201
ENSGGOG00000014223,ENSPTRG00000013890,48.2454
ENSGGOG00000000347,ENSPTRG00000000200,49.5242
ENSGGOG00000002699,ENSPTRG00000021799,49.6117
ENSGGOG00000024241,ENSPTRG00000040529,49.1416
ENSGGOG00000005082,ENSPTRG00000019113,47.881
ENSGGOG00000026038,ENSPTRG00000041720,47.7046
ENSGGOG00000010070,ENSPTRG00000021781,48.1288
ENSGGOG00000000713,ENSPTRG00000007686,49.0455
ENSGGOG00000000713,ENSPTRG00000009876,49.2697
ENSGGOG00000000713,ENSPTRG00000014049,48.483
ENSGGOG00000002738,ENSPTRG00000013852,50.4556
ENSGGOG00000002738,ENSPTRG00000003300,50.3182
ENSGGOG00000010097,ENSPTRG00000018957,49.3767
ENSGGOG00000003603,ENSPTRG00000003184,47.3944
ENSGGOG00000001501,ENSPTRG00000019140,2.20653
ENSGGOG00000011248,ENSPTRG00000000017,48.0714
ENSGGOG00000025064,ENSPTRG00000031023,49.5251
ENSGGOG00000001418,ENSPTRG00000014659,48.945
ENSGGOG00000028401,ENSPTRG00000019964,49.8148
ENSGGOG00000002467,ENSPTRG00000018982,48.5242
ENSGGOG00000015882,ENSPTRG00000021668,48.7901
ENSGGOG00000009324,ENSPTRG00000009886,49.7267
ENSGGOG00000009324,ENSPTRG00000009849,49.6547
ENSGGOG00000007591,ENSPTRG00000040212,49.4424
ENSGGOG00000005811,ENSPTRG00000007580,49.4086
ENSGGOG00000005811,ENSPTRG00000007580,49.3088
ENSGGOG00000024005,ENSPTRG00000042077,48.172
ENSGGOG00000007800,ENSPTRG00000018998,48.3146
ENSGGOG00000023813,ENSPTRG00000018865,47.8198
ENSGGOG00000002243,ENSPTRG00000003310,48.8107
ENSGGOG00000001822,ENSPTRG00000016903,48.0765
ENSGGOG00000013768,ENSPTRG00000021731,14.7176
ENSGGOG00000013768,ENSPTRG00000021731,13.8372
ENSGGOG00000025261,ENSPTRG00000028788,48.3129
ENSGGOG00000015271,ENSPTRG00000016935,48.8018
ENSGGOG00000016587,ENSPTRG00000007703,3.80353
ENSGGOG00000016587,ENSPTRG00000007703,9.04222
ENSGGOG00000025397,ENSPTRG00000021702,49.0045
ENSGGOG00000005954,ENSPTRG00000030823,48.26
ENSGGOG00000012686,ENSPTRG00000021700,47.9579
ENSGGOG00000026177,ENSPTRG00000000210,49.5418
ENSGGOG00000026177,ENSPTRG00000009849,49.5765
ENSGGOG00000034879,ENSPTRG00000019025,47.9923
ENSGGOG00000028469,ENSPTRG00000028817,48.4386
ENSGGOG00000028469,ENSPTRG00000019106,48.7319
ENSGGOG00000028469,ENSPTRG00000019106,48.7636
ENSGGOG00000028469,ENSPTRG00000019106,48.7103
ENSGGOG00000023976,ENSPTRG00000040561,38.4865
ENSGGOG00000013717,ENSPTRG00000000131,45.1311
ENSGGOG00000005177,ENSPTRG00000000148,48.3776
ENSGGOG00000034830,ENSPTRG00000019029,48.7882
ENSGGOG00000005644,ENSPTRG00000019025,48.2488
ENSGGOG00000034839,ENSPTRG00000040529,48.8722
ENSGGOG00000034921,ENSPTRG00000013791,48.3566
ENSGGOG00000007690,ENSPTRG00000000017,46.8806
ENSGGOG00000007886,ENSPTRG00000000125,48.1481
ENSGGOG00000016599,ENSPTRG00000000248,48.4861
ENSGGOG00000016599,ENSPTRG00000007706,39.3182
ENSGGOG00000015105,ENSPTRG00000039081,48.2759
ENSGGOG00000027867,ENSPTRG00000039445,43.8392
ENSGGOG00000027867,ENSPTRG00000039445,43.9689
ENSGGOG00000010205,ENSPTRG00000007565,48.4472
ENSGGOG00000010205,ENSPTRG00000000017,48.2565
ENSGGOG00000012100,ENSPTRG00000016932,49.1173
ENSGGOG00000012100,ENSPTRG00000016932,49.2651
ENSGGOG00000015118,ENSPTRG00000028298,48.801
ENSGGOG00000012676,ENSPTRG00000021782,49.1612
ENSGGOG00000012676,ENSPTRG00000005872,48.832
ENSGGOG00000001081,ENSPTRG00000013850,48.43
ENSGGOG00000014261,ENSPTRG00000013793,48.9893
ENSGGOG00000014261,ENSPTRG00000017079,49.3033
ENSGGOG00000003290,ENSPTRG00000000250,48.2874
ENSGGOG00000004061,ENSPTRG00000017087,49.0947
ENSGGOG00000027262,ENSPTRG00000013918,47.7612
ENSGGOG00000010169,ENSPTRG00000007545,47.7532
ENSGGOG00000010169,ENSPTRG00000003107,47.7324
ENSGGOG00000027381,ENSPTRG00000013918,47.9452
ENSGGOG00000023977,ENSPTRG00000014634,46.1053
ENSGGOG00000023977,ENSPTRG00000014634,46.2522
ENSGGOG00000011720,ENSPTRG00000014077,47.8746
ENSGGOG00000026281,ENSPTRG00000013839,48.8372
ENSGGOG00000022895,ENSPTRG00000028817,50.2242
ENSGGOG00000027373,ENSPTRG00000039305,86.6667
ENSGGOG00000010351,ENSPTRG00000005752,49.3151
ENSGGOG00000023331,ENSPTRG00000018927,50.1754
ENSGGOG00000024652,ENSPTRG00000003141,49.4444
ENSGGOG00000021995,ENSPTRG00000005845,48.4401
ENSGGOG00000026932,ENSPTRG00000028815,49.3056
ENSGGOG00000027903,ENSPTRG00000041690,48.4992
ENSGGOG00000024024,ENSPTRG00000005783,47.1429
ENSGGOG00000023598,ENSPTRG00000040148,49.3069
ENSGGOG00000011678,ENSPTRG00000003320,45.2991
ENSGGOG00000024847,ENSPTRG00000039529,48.8449
ENSGGOG00000024167,ENSPTRG00000014080,48.1061
ENSGGOG00000025658,ENSPTRG00000007558,47.4828
ENSGGOG00000022189,ENSPTRG00000004015,48.234
ENSGGOG00000026550,ENSPTRG00000019953,54.2857
ENSGGOG00000026151,ENSPTRG00000014157,46.5909
ENSGGOG00000026151,ENSPTRG00000003172,46.9979
ENSGGOG00000011659,ENSPTRG00000009849,49.7626
ENSGGOG00000011659,ENSPTRG00000014090,48.8222
ENSGGOG00000026990,ENSPTRG00000018954,48.7831
ENSGGOG00000012349,ENSPTRG00000019953,46.3415
ENSGGOG00000011802,ENSPTRG00000003245,47.0588
ENSGGOG00000024900,ENSPTRG00000039445,47.9092
ENSGGOG00000008275,ENSPTRG00000003174,45.1852
ENSGGOG00000004885,ENSPTRG00000016965,12.4449
ENSGGOG00000004617,ENSPTRG00000040740,48.5597
ENSGGOG00000012496,ENSPTRG00000019048,46.5636
ENSGGOG00000012496,ENSPTRG00000019048,45.4029
ENSGGOG00000023676,ENSPTRG00000003249,46.9649
ENSGGOG00000025319,ENSPTRG00000014157,46.5347
ENSGGOG00000022681,ENSPTRG00000042362,49.1632
ENSGGOG00000026243,ENSPTRG00000003245,49.7121
ENSGGOG00000023924,ENSPTRG00000018905,49.2518
ENSGGOG00000028325,ENSPTRG00000028817,49.4152
ENSGGOG00000023589,ENSPTRG00000041011,47.343
ENSGGOG00000025370,ENSPTRG00000021659,49.1924
ENSGGOG00000023107,ENSPTRG00000040212,49.2347
ENSGGOG00000026757,ENSPTRG00000040862,48.5549
ENSGGOG00000023000,ENSPTRG00000040442,48.4848
ENSGGOG00000025053,ENSPTRG00000028817,49.7823
ENSGGOG00000022688,ENSPTRG00000009893,50.4967
ENSGGOG00000026221,ENSPTRG00000031446,50.2857
ENSGGOG00000024015,ENSPTRG00000022836,48.3786
ENSGGOG00000024922,ENSPTRG00000040862,49.7076
ENSGGOG00000002199,ENSPTRG00000014157,46.875
ENSGGOG00000025529,ENSPTRG00000042089,50.4
ENSGGOG00000016452,ENSPTRG00000028745,46.4217
ENSGGOG00000028365,ENSPTRG00000031451,47.4074
ENSGGOG00000023641,ENSPTRG00000040740,49.5726
ENSGGOG00000026533,ENSPTRG00000031451,47.8261
ENSGGOG00000027735,ENSPTRG00000003320,42.8718
ENSGGOG00000024455,ENSPTRG00000014157,48.1481
ENSGGOG00000023064,ENSPTRG00000034369,49.3113
ENSGGOG00000023643,ENSPTRG00000016687,47.9487
ENSGGOG00000012297,ENSPTRG00000003320,42.9796
ENSGGOG00000002991,ENSPTRG00000004015,47.9075
ENSGGOG00000012296,ENSPTRG00000007558,46.6874
ENSGGOG00000003499,ENSPTRG00000018889,48.3173
ENSGGOG00000025009,ENSPTRG00000041651,45.4416
ENSGGOG00000028005,ENSPTRG00000007547,47.7925
ENSGGOG00000025532,ENSPTRG00000000081,47.5472
ENSGGOG00000012276,ENSPTRG00000003359,49.0635
ENSGGOG00000025931,ENSPTRG00000013918,46.3964
ENSGGOG00000023428,ENSPTRG00000003320,47.351
ENSGGOG00000004137,ENSPTRG00000007626,45.4403
ENSGGOG00000023785,ENSPTRG00000028653,49.3004
ENSGGOG00000025420,ENSPTRG00000003139,48.7822
ENSGGOG00000006443,ENSPTRG00000023396,42.2897
ENSGGOG00000025576,ENSPTRG00000021699,48.0496
ENSGGOG00000026282,ENSPTRG00000041367,48.9583
ENSGGOG00000016613,ENSPTRG00000003320,41.6931
ENSGGOG00000002721,ENSPTRG00000007607,46.7784
ENSGGOG00000002324,ENSPTRG00000020011,48.9341
ENSGGOG00000026294,ENSPTRG00000017052,49.9099
ENSGGOG00000028050,ENSPTRG00000017006,48.2517
ENSGGOG00000010509,ENSPTRG00000003320,38.4615
ENSGGOG00000028237,ENSPTRG00000003320,42.1661
ENSGGOG00000024271,ENSPTRG00000021855,49.0683
ENSGGOG00000015345,ENSPTRG00000000249,48.5411
ENSGGOG00000025341,ENSPTRG00000033976,49.5726
ENSGGOG00000025189,ENSPTRG00000003320,39.6686
ENSGGOG00000025240,ENSPTRG00000034369,49.1342
ENSGGOG00000028446,ENSPTRG00000003320,42.1725
ENSGGOG00000022248,ENSPTRG00000021728,48.8449
ENSGGOG00000011917,ENSPTRG00000021857,49.3109
ENSGGOG00000009618,ENSPTRG00000028736,49.5913
ENSGGOG00000026789,ENSPTRG00000040132,48.4848
ENSGGOG00000026729,ENSPTRG00000028728,46.9171
ENSGGOG00000006017,ENSPTRG00000040862,48.6068
ENSGGOG00000024552,ENSPTRG00000028728,46.9171
ENSGGOG00000012076,ENSPTRG00000013941,48.4694
ENSGGOG00000023828,ENSPTRG00000003320,44.0171
ENSGGOG00000026613,ENSPTRG00000014062,48.5333
ENSGGOG00000005391,ENSPTRG00000014062,48.5788
ENSGGOG00000026915,ENSPTRG00000007626,45.4545
ENSGGOG00000026418,ENSPTRG00000041491,48.5597
ENSGGOG00000026530,ENSPTRG00000013839,52
ENSGGOG00000023731,ENSPTRG00000003249,49.1952
ENSGGOG00000025833,ENSPTRG00000019963,49.5238
ENSGGOG00000024056,ENSPTRG00000028728,47.6465
ENSGGOG00000025219,ENSPTRG00000017006,48.8263
ENSGGOG00000023342,ENSPTRG00000030841,48.7179
ENSGGOG00000022053,ENSPTRG00000041916,49.0566
ENSGGOG00000002250,ENSPTRG00000023354,42.5234
ENSGGOG00000026378,ENSPTRG00000042266,48.4472
ENSGGOG00000022757,ENSPTRG00000038816,47.1545
ENSGGOG00000027225,ENSPTRG00000003320,43.1373
ENSGGOG00000025126,ENSPTRG00000003245,46.0064
ENSGGOG00000024138,ENSPTRG00000039305,166.667
ENSGGOG00000025401,ENSPTRG00000030824,49.3381
ENSGGOG00000009622,ENSPTRG00000004015,49.4792
ENSGGOG00000027604,ENSPTRG00000000081,47.2381
ENSGGOG00000024507,ENSPTRG00000003320,45.6172
ENSGGOG00000006780,ENSPTRG00000031042,48.5861
ENSGGOG00000013122,ENSPTRG00000040343,49.019
ENSGGOG00000002509,ENSPTRG00000007557,45.7455
ENSGGOG00000022119,ENSPTRG00000019135,48.1481
ENSGGOG00000026921,ENSPTRG00000039206,50.9804
ENSGGOG00000022493,ENSPTRG00000003320,43.7229
ENSGGOG00000006798,ENSPTRG00000013839,51.1111
ENSGGOG00000006400,ENSPTRG00000003318,46.2031
ENSGGOG00000028217,ENSPTRG00000030841,46.8056
ENSGGOG00000027890,ENSPTRG00000003320,44.0589
ENSGGOG00000027175,ENSPTRG00000028728,45.6869
ENSGGOG00000023956,ENSPTRG00000003320,42.8422
ENSGGOG00000013732,ENSPTRG00000003320,43.6306
ENSGGOG00000010244,ENSPTRG00000003320,43.9024
ENSGGOG00000004828,ENSPTRG00000003320,41.8605
ENSGGOG00000025453,ENSPTRG00000032576,51.8519
ENSGGOG00000014307,ENSPTRG00000003318,45.6621
ENSGGOG00000024662,ENSPTRG00000034369,47.9532
ENSGGOG00000006278,ENSPTRG00000003320,45.3586
ENSGGOG00000010000,ENSPTRG00000003320,39.8089
ENSGGOG00000014310,ENSPTRG00000003320,45.2675
ENSGGOG00000017004,ENSPTRG00000003320,45.3309
ENSGGOG00000000269,ENSPTRG00000003249,48.503
ENSGGOG00000025525,ENSPTRG00000003320,45.1807
ENSGGOG00000005114,ENSPTRG00000016981,49.7059
ENSGGOG00000024958,ENSPTRG00000021855,48.8613
ENSGGOG00000022963,ENSPTRG00000028728,45.9227
ENSGGOG00000005228,ENSPTRG00000003318,44.8563
ENSGGOG00000022466,ENSPTRG00000039445,44.9735
ENSGGOG00000003281,ENSPTRG00000003184,46.2617
ENSGGOG00000001168,ENSPTRG00000003320,45.1552
ENSGGOG00000024451,ENSPTRG00000007582,47.3748
ENSGGOG00000003266,ENSPTRG00000016949,48.8419
ENSGGOG00000024668,ENSPTRG00000005743,50.463
ENSGGOG00000004567,ENSPTRG00000041382,47.4074
ENSGGOG00000022344,ENSPTRG00000003320,46.0215
ENSGGOG00000025841,ENSPTRG00000028794,49.0196
ENSGGOG00000022897,ENSPTRG00000019965,50.2604
ENSGGOG00000028206,ENSPTRG00000029512,48.9209
ENSGGOG00000010407,ENSPTRG00000023396,48.3471
ENSGGOG00000002119,ENSPTRG00000042266,49.2355
ENSGGOG00000028133,ENSPTRG00000000125,48.7356
ENSGGOG00000001257,ENSPTRG00000005758,48.7372
ENSGGOG00000022649,ENSPTRG00000034369,49.0566
ENSGGOG00000013779,ENSPTRG00000003318,41.9384
ENSGGOG00000028037,ENSPTRG00000005728,4.34783
ENSGGOG00000028067,ENSPTRG00000028810,48.5965
ENSGGOG00000025462,ENSPTRG00000014094,48.1833
ENSGGOG00000022086,ENSPTRG00000000269,48.6911
ENSGGOG00000026436,ENSPTRG00000031031,50.4132
ENSGGOG00000003981,ENSPTRG00000016947,48.2019
ENSGGOG00000023823,ENSPTRG00000039445,46.3026
ENSGGOG00000023303,ENSPTRG00000003175,48.0903
ENSGGOG00000011290,ENSPTRG00000040538,47.8682
ENSGGOG00000026395,ENSPTRG00000000269,48.6772
ENSGGOG00000011951,ENSPTRG00000003175,47.0037
ENSGGOG00000028376,ENSPTRG00000041382,48.0663
ENSGGOG00000024920,ENSPTRG00000016949,48.4615
ENSGGOG00000015820,ENSPTRG00000018861,7.72727
ENSGGOG00000009154,ENSPTRG00000019956,50.5017
ENSGGOG00000027633,ENSPTRG00000014644,48.6356
ENSGGOG00000028130,ENSPTRG00000019045,49.6974
ENSGGOG00000004112,ENSPTRG00000013920,50
ENSGGOG00000027659,ENSPTRG00000040442,50.2463
ENSGGOG00000026911,ENSPTRG00000000081,47.3373
ENSGGOG00000027155,ENSPTRG00000034369,48.7395
ENSGGOG00000011191,ENSPTRG00000000151,48.2072
ENSGGOG00000015760,ENSPTRG00000021699,49.4418
ENSGGOG00000027844,ENSPTRG00000009893,48.075
ENSGGOG00000013263,ENSPTRG00000034369,47.3684
ENSGGOG00000022158,ENSPTRG00000023120,48.6156
ENSGGOG00000024050,ENSPTRG00000000023,46.1749
ENSGGOG00000028052,ENSPTRG00000021637,48.0929
ENSGGOG00000024630,ENSPTRG00000033772,53.3333
ENSGGOG00000027639,ENSPTRG00000028812,49.7354
ENSGGOG00000026664,ENSPTRG00000040538,48.688
ENSGGOG00000005217,ENSPTRG00000041491,45.4545
ENSGGOG00000027149,ENSPTRG00000028810,48.2201
ENSGGOG00000005550,ENSPTRG00000021675,49.5376
ENSGGOG00000003700,ENSPTRG00000034540,45.7801
ENSGGOG00000014682,ENSPTRG00000017069,48.6842
ENSGGOG00000006890,ENSPTRG00000031492,48.8557
ENSGGOG00000026084,ENSPTRG00000040941,50
ENSGGOG00000006271,ENSPTRG00000003128,45.1499
ENSGGOG00000023108,ENSPTRG00000009883,49.8688
ENSGGOG00000028218,ENSPTRG00000018903,49.5604
ENSGGOG00000014627,ENSPTRG00000021728,48.2843
ENSGGOG00000026310,ENSPTRG00000042298,48.7421
ENSGGOG00000026272,ENSPTRG00000003280,48.1343
ENSGGOG00000026319,ENSPTRG00000005845,47.6898
ENSGGOG00000028429,ENSPTRG00000028815,48.5714
ENSGGOG00000003066,ENSPTRG00000016999,49.0634
ENSGGOG00000024867,ENSPTRG00000033772,53.7634
ENSGGOG00000025686,ENSPTRG00000003184,48.1742
ENSGGOG00000022619,ENSPTRG00000028745,47.0914
ENSGGOG00000023377,ENSPTRG00000004550,49.0373
ENSGGOG00000003018,ENSPTRG00000003249,38.0374
ENSGGOG00000022948,ENSPTRG00000040750,47.1306
ENSGGOG00000008416,ENSPTRG00000003184,48.8932
ENSGGOG00000014859,ENSPTRG00000042104,47.352
ENSGGOG00000009720,ENSPTRG00000007627,47.4114
ENSGGOG00000002049,ENSPTRG00000028728,39.3427
ENSGGOG00000014267,ENSPTRG00000013882,48.5645
ENSGGOG00000025386,ENSPTRG00000040289,46.7532
ENSGGOG00000021989,ENSPTRG00000039305,55.5556
ENSGGOG00000028132,ENSPTRG00000042362,45.7283
ENSGGOG00000022331,ENSPTRG00000000160,47.7151
ENSGGOG00000028062,ENSPTRG00000028815,47.7987
ENSGGOG00000000667,ENSPTRG00000016742,47.8588
ENSGGOG00000004006,ENSPTRG00000018919,48.9057
ENSGGOG00000013265,ENSPTRG00000021835,49.3088
ENSGGOG00000024052,ENSPTRG00000028728,38.9881
ENSGGOG00000001817,ENSPTRG00000013839,51.938
ENSGGOG00000023682,ENSPTRG00000041367,49.4444
ENSGGOG00000016645,ENSPTRG00000031254,49.0401
ENSGGOG00000026211,ENSPTRG00000020014,49.3917
ENSGGOG00000025334,ENSPTRG00000039305,55.5556
ENSGGOG00000024378,ENSPTRG00000000081,45.9302
ENSGGOG00000028415,ENSPTRG00000028728,39.346
ENSGGOG00000016493,ENSPTRG00000041651,43.3616
ENSGGOG00000000086,ENSPTRG00000040941,48.1481
ENSGGOG00000009853,ENSPTRG00000040941,49.7175
ENSGGOG00000026162,ENSPTRG00000030816,48.9177
ENSGGOG00000024915,ENSPTRG00000018855,48.0698
ENSGGOG00000027941,ENSPTRG00000028728,40.2122
ENSGGOG00000008021,ENSPTRG00000021682,48.7889
ENSGGOG00000023110,ENSPTRG00000032577,48.4848
ENSGGOG00000012592,ENSPTRG00000019962,49.1228
ENSGGOG00000023965,ENSPTRG00000028728,44.1983
ENSGGOG00000016846,ENSPTRG00000040033,47.646
ENSGGOG00000003519,ENSPTRG00000021833,48.4536
ENSGGOG00000005149,ENSPTRG00000000220,47.8051
ENSGGOG00000025176,ENSPTRG00000003320,37.957
ENSGGOG00000023586,ENSPTRG00000005670,49.6296
ENSGGOG00000025812,ENSPTRG00000014143,48.1818
ENSGGOG00000003878,ENSPTRG00000003320,35.1554
ENSGGOG00000027534,ENSPTRG00000031042,48.7654
ENSGGOG00000004886,ENSPTRG00000022836,41.8239
ENSGGOG00000024733,ENSPTRG00000034369,49.4048
ENSGGOG00000006942,ENSPTRG00000040153,46.8545
ENSGGOG00000027698,ENSPTRG00000029512,49.5614
ENSGGOG00000003998,ENSPTRG00000003320,44.3024
ENSGGOG00000022355,ENSPTRG00000034369,47.9798
ENSGGOG00000028267,ENSPTRG00000029512,48.6486
ENSGGOG00000001828,ENSPTRG00000007713,46.6667
ENSGGOG00000012612,ENSPTRG00000040333,49.0741
ENSGGOG00000017019,ENSPTRG00000003320,41.9048
ENSGGOG00000027266,ENSPTRG00000003320,32.3718
ENSGGOG00000024403,ENSPTRG00000039292,49.187
ENSGGOG00000000070,ENSPTRG00000028728,44.5833
ENSGGOG00000027019,ENSPTRG00000003320,43.155
ENSGGOG00000023960,ENSPTRG00000040289,48.9297
ENSGGOG00000025416,ENSPTRG00000005728,15.493
ENSGGOG00000026075,ENSPTRG00000040333,50
ENSGGOG00000009079,ENSPTRG00000003320,40.2834
ENSGGOG00000008320,ENSPTRG00000003320,43.9189
ENSGGOG00000021943,ENSPTRG00000028321,46.9062
ENSGGOG00000010423,ENSPTRG00000028322,49.2042
ENSGGOG00000009503,ENSPTRG00000003320,44.3376
ENSGGOG00000012302,ENSPTRG00000023556,49.3651
