gorilla_gorilla,macaca_mulatta
ENSGGOG00000015265,ENSMMUG00000022665,48.7469
ENSGGOG00000015265,ENSMMUG00000014235,49.4031
ENSGGOG00000009504,ENSMMUG00000019577,49.4671
ENSGGOG00000011379,ENSMMUG00000020066,49.3187
ENSGGOG00000012953,ENSMMUG00000012619,48.3384
ENSGGOG00000012953,ENSMMUG00000012619,48.3384
ENSGGOG00000012129,ENSMMUG00000007668,49.5232
ENSGGOG00000016537,ENSMMUG00000012619,47.9103
ENSGGOG00000016537,ENSMMUG00000001019,48.2456
ENSGGOG00000016102,ENSMMUG00000018066,49.2205
ENSGGOG00000013267,ENSMMUG00000006578,48.4147
ENSGGOG00000015683,ENSMMUG00000003566,48.7899
ENSGGOG00000015683,ENSMMUG00000004262,48.4597
ENSGGOG00000002484,ENSMMUG00000014254,48.9471
ENSGGOG00000000242,ENSMMUG00000016431,48.8226
ENSGGOG00000016206,ENSMMUG00000008503,49.1015
ENSGGOG00000016206,ENSMMUG00000020066,48.9258
ENSGGOG00000010445,ENSMMUG00000003896,49.4553
ENSGGOG00000028407,ENSMMUG00000009037,48.155
ENSGGOG00000002197,ENSMMUG00000003485,48.9707
ENSGGOG00000002197,ENSMMUG00000021581,49.3182
ENSGGOG00000005769,ENSMMUG00000004664,49.3791
ENSGGOG00000027112,ENSMMUG00000004152,47.2574
ENSGGOG00000022587,ENSMMUG00000018480,55.2083
ENSGGOG00000024272,ENSMMUG00000000856,48.6822
ENSGGOG00000011774,ENSMMUG00000011498,49.7924
ENSGGOG00000002353,ENSMMUG00000019338,48.3532
ENSGGOG00000002353,ENSMMUG00000019338,48.3871
ENSGGOG00000011369,ENSMMUG00000010471,10.0775
ENSGGOG00000009880,ENSMMUG00000020898,48.1583
ENSGGOG00000009880,ENSMMUG00000002593,48.929
ENSGGOG00000004058,ENSMMUG00000009295,48.8095
ENSGGOG00000011428,ENSMMUG00000020059,48.8449
ENSGGOG00000001490,ENSMMUG00000017323,48.383
ENSGGOG00000028613,ENSMMUG00000000710,14.1434
ENSGGOG00000005224,ENSMMUG00000000286,47.4257
ENSGGOG00000005224,ENSMMUG00000000286,47.3979
ENSGGOG00000027541,ENSMMUG00000012849,48.3974
ENSGGOG00000003560,ENSMMUG00000006863,48.1934
ENSGGOG00000014816,ENSMMUG00000022097,48.845
ENSGGOG00000014816,ENSMMUG00000022574,48.7525
ENSGGOG00000012775,ENSMMUG00000012739,48.6089
ENSGGOG00000012775,ENSMMUG00000011466,48.1894
ENSGGOG00000027171,ENSMMUG00000018782,48.5182
ENSGGOG00000027171,ENSMMUG00000014258,47.5954
ENSGGOG00000011467,ENSMMUG00000015396,47.9781
ENSGGOG00000027530,ENSMMUG00000017728,48.9719
ENSGGOG00000009976,ENSMMUG00000007514,48.4577
ENSGGOG00000005557,ENSMMUG00000012771,49.9501
ENSGGOG00000022833,ENSMMUG00000023021,47.3171
ENSGGOG00000014436,ENSMMUG00000015619,48.8694
ENSGGOG00000000700,ENSMMUG00000032441,48.5236
ENSGGOG00000000700,ENSMMUG00000001612,48.5637
ENSGGOG00000000700,ENSMMUG00000009296,48.7078
ENSGGOG00000000700,ENSMMUG00000021906,47.9821
ENSGGOG00000000700,ENSMMUG00000018157,48.2759
ENSGGOG00000000700,ENSMMUG00000001019,48.6301
ENSGGOG00000000700,ENSMMUG00000001019,48.6752
ENSGGOG00000000700,ENSMMUG00000019573,49.0446
ENSGGOG00000000700,ENSMMUG00000001019,48.766
ENSGGOG00000000700,ENSMMUG00000002333,48.737
ENSGGOG00000004198,ENSMMUG00000023021,48.1716
ENSGGOG00000028442,ENSMMUG00000032327,48.4336
ENSGGOG00000027980,ENSMMUG00000006167,48.4536
ENSGGOG00000012299,ENSMMUG00000018837,49.3454
ENSGGOG00000014157,ENSMMUG00000012612,4.07482
ENSGGOG00000011472,ENSMMUG00000003759,48.2339
ENSGGOG00000028106,ENSMMUG00000012742,48.5909
ENSGGOG00000015536,ENSMMUG00000000286,47.199
ENSGGOG00000015536,ENSMMUG00000000286,47.5718
ENSGGOG00000000224,ENSMMUG00000013179,46.4308
ENSGGOG00000006447,ENSMMUG00000011498,49.3125
ENSGGOG00000006447,ENSMMUG00000017335,49
ENSGGOG00000034992,ENSMMUG00000020059,46.7308
ENSGGOG00000008953,ENSMMUG00000001484,48.5595
ENSGGOG00000028568,ENSMMUG00000032316,48.3728
ENSGGOG00000022699,ENSMMUG00000020066,48.1642
ENSGGOG00000002492,ENSMMUG00000019420,49.0358
ENSGGOG00000014195,ENSMMUG00000005292,49.742
ENSGGOG00000014195,ENSMMUG00000005663,49.6487
ENSGGOG00000007551,ENSMMUG00000010617,47.5524
ENSGGOG00000007551,ENSMMUG00000010617,47.6916
ENSGGOG00000009209,ENSMMUG00000003482,49.1466
ENSGGOG00000016777,ENSMMUG00000017016,48.6996
ENSGGOG00000010587,ENSMMUG00000003041,48.6231
ENSGGOG00000004101,ENSMMUG00000012770,48.2045
ENSGGOG00000016427,ENSMMUG00000020529,46.6838
ENSGGOG00000016427,ENSMMUG00000020529,46.5219
ENSGGOG00000001743,ENSMMUG00000010250,49.7835
ENSGGOG00000009382,ENSMMUG00000022873,48.9809
ENSGGOG00000004655,ENSMMUG00000003561,47.3769
ENSGGOG00000004655,ENSMMUG00000012738,47.3461
ENSGGOG00000010577,ENSMMUG00000006863,48.7539
ENSGGOG00000010878,ENSMMUG00000019383,49.4041
ENSGGOG00000010878,ENSMMUG00000021413,49.4426
ENSGGOG00000007707,ENSMMUG00000004010,48.652
ENSGGOG00000034914,ENSMMUG00000001307,49.5331
ENSGGOG00000016442,ENSMMUG00000018717,48.4283
ENSGGOG00000003636,ENSMMUG00000009050,48.1175
ENSGGOG00000003636,ENSMMUG00000008623,48.9803
ENSGGOG00000024118,ENSMMUG00000010421,48.3085
ENSGGOG00000000615,ENSMMUG00000001620,48.8982
ENSGGOG00000000615,ENSMMUG00000003759,48.7685
ENSGGOG00000008039,ENSMMUG00000003296,48.1404
ENSGGOG00000028284,ENSMMUG00000003759,48.2968
ENSGGOG00000008556,ENSMMUG00000010763,48.7469
ENSGGOG00000024600,ENSMMUG00000001612,46.9841
ENSGGOG00000016974,ENSMMUG00000017797,49.6219
ENSGGOG00000009603,ENSMMUG00000020059,48.6267
ENSGGOG00000022923,ENSMMUG00000032489,50.2732
ENSGGOG00000022923,ENSMMUG00000032554,48.6811
ENSGGOG00000003982,ENSMMUG00000032465,50.3417
ENSGGOG00000003982,ENSMMUG00000032327,49.937
ENSGGOG00000000614,ENSMMUG00000020059,48.8606
ENSGGOG00000026860,ENSMMUG00000013327,40.2707
ENSGGOG00000006003,ENSMMUG00000001307,49.3935
ENSGGOG00000006003,ENSMMUG00000001307,49.3782
ENSGGOG00000013205,ENSMMUG00000008429,36.5607
ENSGGOG00000013205,ENSMMUG00000008429,35.7689
ENSGGOG00000028216,ENSMMUG00000022638,48.6247
ENSGGOG00000002965,ENSMMUG00000004051,48.5525
ENSGGOG00000011619,ENSMMUG00000023024,47.5658
ENSGGOG00000011619,ENSMMUG00000007583,47.6722
ENSGGOG00000011619,ENSMMUG00000005304,46.9571
ENSGGOG00000025884,ENSMMUG00000021126,47.8632
ENSGGOG00000007836,ENSMMUG00000011473,47.6077
ENSGGOG00000022262,ENSMMUG00000010944,48.7391
ENSGGOG00000022262,ENSMMUG00000010471,49.0311
ENSGGOG00000014223,ENSMMUG00000008503,48.6559
ENSGGOG00000000347,ENSMMUG00000002750,49.3656
ENSGGOG00000002699,ENSMMUG00000032423,49.2233
ENSGGOG00000024241,ENSMMUG00000014935,48.2117
ENSGGOG00000005082,ENSMMUG00000003136,48.0613
ENSGGOG00000026038,ENSMMUG00000019338,37.9242
ENSGGOG00000010070,ENSMMUG00000004562,47.9867
ENSGGOG00000000713,ENSMMUG00000006167,49.1189
ENSGGOG00000000713,ENSMMUG00000011690,50.1266
ENSGGOG00000000713,ENSMMUG00000015706,48.5437
ENSGGOG00000002738,ENSMMUG00000004321,50.3012
ENSGGOG00000002738,ENSMMUG00000004321,50.2784
ENSGGOG00000010097,ENSMMUG00000011498,50.2249
ENSGGOG00000003603,ENSMMUG00000022140,48.5211
ENSGGOG00000001501,ENSMMUG00000009050,48.0583
ENSGGOG00000011248,ENSMMUG00000014781,47.5533
ENSGGOG00000025064,ENSMMUG00000006112,4.88467
ENSGGOG00000001418,ENSMMUG00000008623,48.945
ENSGGOG00000028401,ENSMMUG00000003082,49.2593
ENSGGOG00000002467,ENSMMUG00000015737,48.8492
ENSGGOG00000015882,ENSMMUG00000008303,48.8555
ENSGGOG00000009324,ENSMMUG00000013753,49.3904
ENSGGOG00000009324,ENSMMUG00000022097,49.8964
ENSGGOG00000007591,ENSMMUG00000018027,49.3185
ENSGGOG00000005811,ENSMMUG00000003368,49.6294
ENSGGOG00000005811,ENSMMUG00000005507,49.706
ENSGGOG00000024005,ENSMMUG00000021258,47.3118
ENSGGOG00000007800,ENSMMUG00000032574,48.4551
ENSGGOG00000023813,ENSMMUG00000000323,48.2849
ENSGGOG00000002243,ENSMMUG00000020066,48.1763
ENSGGOG00000001822,ENSMMUG00000004530,49.0434
ENSGGOG00000013768,ENSMMUG00000007500,24.6412
ENSGGOG00000013768,ENSMMUG00000007500,23.8952
ENSGGOG00000025261,ENSMMUG00000006801,48.9264
ENSGGOG00000015271,ENSMMUG00000019345,48.9861
ENSGGOG00000016587,ENSMMUG00000009151,47.8287
ENSGGOG00000016587,ENSMMUG00000007514,47.4165
ENSGGOG00000025397,ENSMMUG00000021598,48.9403
ENSGGOG00000005954,ENSMMUG00000003040,48.4647
ENSGGOG00000012686,ENSMMUG00000020066,48.5487
ENSGGOG00000026177,ENSMMUG00000019345,49.2831
ENSGGOG00000026177,ENSMMUG00000008247,49.8996
ENSGGOG00000034879,ENSMMUG00000014606,48.6696
ENSGGOG00000028469,ENSMMUG00000014182,49.3101
ENSGGOG00000028469,ENSMMUG00000032401,48.8225
ENSGGOG00000028469,ENSMMUG00000022874,49.1592
ENSGGOG00000028469,ENSMMUG00000032357,49.0079
ENSGGOG00000023976,ENSMMUG00000032315,47.7838
ENSGGOG00000013717,ENSMMUG00000008210,49.3134
ENSGGOG00000005177,ENSMMUG00000004439,49.5084
ENSGGOG00000034830,ENSMMUG00000012762,48.6293
ENSGGOG00000005644,ENSMMUG00000021198,48.8018
ENSGGOG00000034839,ENSMMUG00000032341,47.9532
ENSGGOG00000034921,ENSMMUG00000007816,48.8085
ENSGGOG00000007690,ENSMMUG00000005304,46.9994
ENSGGOG00000007886,ENSMMUG00000023726,48.366
ENSGGOG00000016599,ENSMMUG00000000286,49.0998
ENSGGOG00000016599,ENSMMUG00000006193,48.8636
ENSGGOG00000015105,ENSMMUG00000022137,47.3563
ENSGGOG00000027867,ENSMMUG00000032310,46.3035
ENSGGOG00000027867,ENSMMUG00000032310,47.2114
ENSGGOG00000010205,ENSMMUG00000012743,48.8613
ENSGGOG00000010205,ENSMMUG00000005304,48.3811
ENSGGOG00000012100,ENSMMUG00000015178,1.94704
ENSGGOG00000012100,ENSMMUG00000015178,3.67454
ENSGGOG00000015118,ENSMMUG00000001433,1.93521
ENSGGOG00000012676,ENSMMUG00000007234,48.8694
ENSGGOG00000012676,ENSMMUG00000007500,49.0566
ENSGGOG00000001081,ENSMMUG00000007585,49.2815
ENSGGOG00000014261,ENSMMUG00000012987,49.5166
ENSGGOG00000014261,ENSMMUG00000012957,48.9493
ENSGGOG00000003290,ENSMMUG00000018703,48.4545
ENSGGOG00000004061,ENSMMUG00000003317,49.4921
ENSGGOG00000027262,ENSMMUG00000004335,47.7612
ENSGGOG00000010169,ENSMMUG00000007514,48.1646
ENSGGOG00000010169,ENSMMUG00000007514,48.4722
ENSGGOG00000027381,ENSMMUG00000018997,50.2283
ENSGGOG00000023977,ENSMMUG00000013667,49.4386
ENSGGOG00000023977,ENSMMUG00000013667,49.6028
ENSGGOG00000011720,ENSMMUG00000023021,47.6655
ENSGGOG00000026281,ENSMMUG00000018480,51.1628
ENSGGOG00000022895,ENSMMUG00000013938,49.1779
ENSGGOG00000027373,ENSMMUG00000032533,106.667
ENSGGOG00000010351,ENSMMUG00000032501,49.7717
ENSGGOG00000023331,ENSMMUG00000013213,47.6023
ENSGGOG00000024652,ENSMMUG00000020833,35
ENSGGOG00000021995,ENSMMUG00000017335,8.29228
ENSGGOG00000026932,ENSMMUG00000021937,49.6528
ENSGGOG00000027903,ENSMMUG00000002333,48.1833
ENSGGOG00000024024,ENSMMUG00000018469,48.5714
ENSGGOG00000023598,ENSMMUG00000009505,49.0429
ENSGGOG00000011678,ENSMMUG00000013213,44.765
ENSGGOG00000024847,ENSMMUG00000021937,49.1749
ENSGGOG00000024167,ENSMMUG00000008945,48.8636
ENSGGOG00000025658,ENSMMUG00000001612,48.1693
ENSGGOG00000022189,ENSMMUG00000008209,49.3377
ENSGGOG00000026550,ENSMMUG00000032379,53.3333
ENSGGOG00000026151,ENSMMUG00000032397,47.3485
ENSGGOG00000026151,ENSMMUG00000021258,45.5487
ENSGGOG00000011659,ENSMMUG00000004321,49.3925
ENSGGOG00000011659,ENSMMUG00000007587,40.229
ENSGGOG00000026990,ENSMMUG00000007312,10.2646
ENSGGOG00000012349,ENSMMUG00000018480,50.4065
ENSGGOG00000011802,ENSMMUG00000013213,48.5839
ENSGGOG00000024900,ENSMMUG00000021851,47.3118
ENSGGOG00000008275,ENSMMUG00000013590,41.8519
ENSGGOG00000004885,ENSMMUG00000013600,49.5595
ENSGGOG00000004617,ENSMMUG00000017075,48.5597
ENSGGOG00000012496,ENSMMUG00000005304,47.5372
ENSGGOG00000012496,ENSMMUG00000018703,47.469
ENSGGOG00000023676,ENSMMUG00000032506,48.1363
ENSGGOG00000025319,ENSMMUG00000014062,47.8548
ENSGGOG00000022681,ENSMMUG00000013415,49.8954
ENSGGOG00000026243,ENSMMUG00000019971,50.1919
ENSGGOG00000023924,ENSMMUG00000017358,49.512
ENSGGOG00000028325,ENSMMUG00000009054,49.1228
ENSGGOG00000023589,ENSMMUG00000004658,52.1739
ENSGGOG00000025370,ENSMMUG00000008256,49.7797
ENSGGOG00000023107,ENSMMUG00000019573,49.1071
ENSGGOG00000026757,ENSMMUG00000032505,51.1561
ENSGGOG00000023000,ENSMMUG00000019573,47.4747
ENSGGOG00000025053,ENSMMUG00000023688,50
ENSGGOG00000022688,ENSMMUG00000004336,49.3377
ENSGGOG00000026221,ENSMMUG00000032365,51.0476
ENSGGOG00000024015,ENSMMUG00000003071,49.518
ENSGGOG00000024922,ENSMMUG00000017277,49.1228
ENSGGOG00000002199,ENSMMUG00000023059,47.9167
ENSGGOG00000025529,ENSMMUG00000008206,49.8667
ENSGGOG00000016452,ENSMMUG00000009476,46.8085
ENSGGOG00000028365,ENSMMUG00000032397,46.6667
ENSGGOG00000023641,ENSMMUG00000006241,38.4615
ENSGGOG00000026533,ENSMMUG00000009012,49.2754
ENSGGOG00000027735,ENSMMUG00000013213,46.7692
ENSGGOG00000024455,ENSMMUG00000006241,49.4949
ENSGGOG00000023064,ENSMMUG00000007584,48.2094
ENSGGOG00000023643,ENSMMUG00000012379,10.7692
ENSGGOG00000012297,ENSMMUG00000013213,46.4094
ENSGGOG00000002991,ENSMMUG00000008760,47.5771
ENSGGOG00000012296,ENSMMUG00000032328,46.0663
ENSGGOG00000003499,ENSMMUG00000001620,48.3173
ENSGGOG00000025009,ENSMMUG00000001612,47.8632
ENSGGOG00000028005,ENSMMUG00000001612,47.9029
ENSGGOG00000025532,ENSMMUG00000021258,47.7358
ENSGGOG00000012276,ENSMMUG00000022568,49.5652
ENSGGOG00000025931,ENSMMUG00000032534,49.0991
ENSGGOG00000023428,ENSMMUG00000013213,46.6887
ENSGGOG00000004137,ENSMMUG00000032310,46.3836
ENSGGOG00000023785,ENSMMUG00000001554,48.642
ENSGGOG00000025420,ENSMMUG00000013708,48.2808
ENSGGOG00000006443,ENSMMUG00000013327,33.8006
ENSGGOG00000025576,ENSMMUG00000008046,47.695
ENSGGOG00000026282,ENSMMUG00000004658,50
ENSGGOG00000016613,ENSMMUG00000013213,44.2328
ENSGGOG00000002721,ENSMMUG00000010476,3.73711
ENSGGOG00000002324,ENSMMUG00000020223,1.93798
ENSGGOG00000026294,ENSMMUG00000018837,16.3964
ENSGGOG00000028050,ENSMMUG00000012063,49.1841
ENSGGOG00000010509,ENSMMUG00000013213,43.7949
ENSGGOG00000028237,ENSMMUG00000013213,45.3207
ENSGGOG00000024271,ENSMMUG00000014258,48.6542
ENSGGOG00000015345,ENSMMUG00000015736,48.3643
ENSGGOG00000025341,ENSMMUG00000018480,52.9915
ENSGGOG00000025189,ENSMMUG00000013213,46.6862
ENSGGOG00000025240,ENSMMUG00000013607,48.4848
ENSGGOG00000028446,ENSMMUG00000013213,44.4089
ENSGGOG00000022248,ENSMMUG00000020513,51.1551
ENSGGOG00000011917,ENSMMUG00000020044,49.0046
ENSGGOG00000009618,ENSMMUG00000016681,48.5014
ENSGGOG00000026789,ENSMMUG00000032529,52.1212
ENSGGOG00000026729,ENSMMUG00000016681,49.0366
ENSGGOG00000006017,ENSMMUG00000032505,48.9164
ENSGGOG00000024552,ENSMMUG00000016681,49.0366
ENSGGOG00000012076,ENSMMUG00000005498,47.449
ENSGGOG00000023828,ENSMMUG00000013213,48.0769
ENSGGOG00000026613,ENSMMUG00000008943,48.2667
ENSGGOG00000005391,ENSMMUG00000007583,45.7364
ENSGGOG00000026915,ENSMMUG00000032338,46.8013
ENSGGOG00000026418,ENSMMUG00000023059,51.4403
ENSGGOG00000026530,ENSMMUG00000004051,52
ENSGGOG00000023731,ENSMMUG00000014161,49.497
ENSGGOG00000025833,ENSMMUG00000020152,48.1905
ENSGGOG00000024056,ENSMMUG00000013213,48.415
ENSGGOG00000025219,ENSMMUG00000008108,47.8873
ENSGGOG00000023342,ENSMMUG00000032542,48.2906
ENSGGOG00000022053,ENSMMUG00000032547,50.3145
ENSGGOG00000002250,ENSMMUG00000032432,48.5981
ENSGGOG00000026378,ENSMMUG00000020044,50
ENSGGOG00000022757,ENSMMUG00000032543,48.5772
ENSGGOG00000027225,ENSMMUG00000013213,47.0588
ENSGGOG00000025126,ENSMMUG00000013213,47.1778
ENSGGOG00000024138,ENSMMUG00000032533,211.111
ENSGGOG00000025401,ENSMMUG00000013213,46.3297
ENSGGOG00000009622,ENSMMUG00000001620,49.2708
ENSGGOG00000027604,ENSMMUG00000004187,47.0476
ENSGGOG00000024507,ENSMMUG00000017258,48.5689
ENSGGOG00000006780,ENSMMUG00000005494,48.8432
ENSGGOG00000013122,ENSMMUG00000012849,49.019
ENSGGOG00000002509,ENSMMUG00000013590,45.9797
ENSGGOG00000022119,ENSMMUG00000032492,48.7329
ENSGGOG00000026921,ENSMMUG00000032491,49.5098
ENSGGOG00000022493,ENSMMUG00000013213,45.3463
ENSGGOG00000006798,ENSMMUG00000004051,48.8889
ENSGGOG00000006400,ENSMMUG00000013213,48.2159
ENSGGOG00000028217,ENSMMUG00000032310,47.3611
ENSGGOG00000027890,ENSMMUG00000013213,47.3186
ENSGGOG00000027175,ENSMMUG00000013213,46.6454
ENSGGOG00000023956,ENSMMUG00000013213,45.977
ENSGGOG00000013732,ENSMMUG00000013213,47.0276
ENSGGOG00000010244,ENSMMUG00000013213,45.122
ENSGGOG00000004828,ENSMMUG00000013213,47.907
ENSGGOG00000025453,ENSMMUG00000032314,54.6296
ENSGGOG00000014307,ENSMMUG00000016681,47.3973
ENSGGOG00000024662,ENSMMUG00000032421,43.2749
ENSGGOG00000006278,ENSMMUG00000013213,47.8903
ENSGGOG00000010000,ENSMMUG00000013213,46.0722
ENSGGOG00000014310,ENSMMUG00000001620,48.1481
ENSGGOG00000017004,ENSMMUG00000013213,48.0508
ENSGGOG00000000269,ENSMMUG00000016681,48.503
ENSGGOG00000025525,ENSMMUG00000013213,47.1888
ENSGGOG00000005114,ENSMMUG00000017755,49.6324
ENSGGOG00000024958,ENSMMUG00000014258,47.412
ENSGGOG00000022963,ENSMMUG00000013213,47.4249
ENSGGOG00000005228,ENSMMUG00000013213,47.266
ENSGGOG00000022466,ENSMMUG00000032310,46.8254
ENSGGOG00000003281,ENSMMUG00000005304,47.7303
ENSGGOG00000001168,ENSMMUG00000005494,48.73
ENSGGOG00000024451,ENSMMUG00000032315,47.3748
ENSGGOG00000003266,ENSMMUG00000018715,49.144
ENSGGOG00000024668,ENSMMUG00000010324,50
ENSGGOG00000004567,ENSMMUG00000019555,48.5185
ENSGGOG00000022344,ENSMMUG00000013213,46.7742
ENSGGOG00000025841,ENSMMUG00000011379,5.44662
ENSGGOG00000022897,ENSMMUG00000010727,47.3958
ENSGGOG00000028206,ENSMMUG00000032363,49.4005
ENSGGOG00000010407,ENSMMUG00000032574,48.3471
ENSGGOG00000002119,ENSMMUG00000032473,48.9297
ENSGGOG00000028133,ENSMMUG00000007924,7.01149
ENSGGOG00000001257,ENSMMUG00000007922,48.8737
ENSGGOG00000022649,ENSMMUG00000017277,47.1698
ENSGGOG00000013779,ENSMMUG00000013213,47.4638
ENSGGOG00000028037,ENSMMUG00000032571,7.45342
ENSGGOG00000028067,ENSMMUG00000013938,47.3684
ENSGGOG00000025462,ENSMMUG00000003136,48.2659
ENSGGOG00000022086,ENSMMUG00000013938,48.3421
ENSGGOG00000026436,ENSMMUG00000032558,49.5868
ENSGGOG00000003981,ENSMMUG00000014935,48.5477
ENSGGOG00000023823,ENSMMUG00000032486,45.9613
ENSGGOG00000023303,ENSMMUG00000001612,48.2639
ENSGGOG00000011290,ENSMMUG00000023021,48.3527
ENSGGOG00000026395,ENSMMUG00000013938,47.9718
ENSGGOG00000011951,ENSMMUG00000017753,48.3146
ENSGGOG00000028376,ENSMMUG00000013934,47.5927
ENSGGOG00000024920,ENSMMUG00000014250,49.0385
ENSGGOG00000015820,ENSMMUG00000007583,48.2323
ENSGGOG00000009154,ENSMMUG00000017881,50.1672
ENSGGOG00000027633,ENSMMUG00000013938,48.7961
ENSGGOG00000028130,ENSMMUG00000022140,49.4956
ENSGGOG00000004112,ENSMMUG00000023688,49.0251
ENSGGOG00000027659,ENSMMUG00000032493,50.7389
ENSGGOG00000026911,ENSMMUG00000010618,48.1262
ENSGGOG00000027155,ENSMMUG00000018714,49.2997
ENSGGOG00000011191,ENSMMUG00000021792,48.8712
ENSGGOG00000015760,ENSMMUG00000011379,48.6443
ENSGGOG00000027844,ENSMMUG00000010914,48.1256
ENSGGOG00000013263,ENSMMUG00000010251,48.538
ENSGGOG00000022158,ENSMMUG00000010421,49.4527
ENSGGOG00000024050,ENSMMUG00000008622,46.8579
ENSGGOG00000028052,ENSMMUG00000003082,48.5904
ENSGGOG00000024630,ENSMMUG00000032379,55.5556
ENSGGOG00000027639,ENSMMUG00000032434,14.2857
ENSGGOG00000026664,ENSMMUG00000011623,3.01263
ENSGGOG00000005217,ENSMMUG00000032338,47.1861
ENSGGOG00000027149,ENSMMUG00000013938,48.0583
ENSGGOG00000005550,ENSMMUG00000007500,49.0313
ENSGGOG00000003700,ENSMMUG00000005026,46.9736
ENSGGOG00000014682,ENSMMUG00000003505,42.9825
ENSGGOG00000006890,ENSMMUG00000012743,49.1542
ENSGGOG00000026084,ENSMMUG00000032528,51.9231
ENSGGOG00000006271,ENSMMUG00000009476,45.8554
ENSGGOG00000023108,ENSMMUG00000001689,49.3438
ENSGGOG00000028218,ENSMMUG00000008306,48.4412
ENSGGOG00000014627,ENSMMUG00000032470,47.0588
ENSGGOG00000026310,ENSMMUG00000014066,48.1132
ENSGGOG00000026272,ENSMMUG00000000678,11.194
ENSGGOG00000026319,ENSMMUG00000019573,48.4323
ENSGGOG00000028429,ENSMMUG00000009402,48.8889
ENSGGOG00000003066,ENSMMUG00000013603,48.7047
ENSGGOG00000024867,ENSMMUG00000032314,51.6129
ENSGGOG00000025686,ENSMMUG00000008624,49.2978
ENSGGOG00000022619,ENSMMUG00000012739,47.1837
ENSGGOG00000023377,ENSMMUG00000005959,18.7726
ENSGGOG00000003018,ENSMMUG00000013213,47.9439
ENSGGOG00000022948,ENSMMUG00000009012,47.4969
ENSGGOG00000008416,ENSMMUG00000002750,49.0885
ENSGGOG00000014859,ENSMMUG00000019420,47.9751
ENSGGOG00000009720,ENSMMUG00000021851,47.9564
ENSGGOG00000002049,ENSMMUG00000016681,48.2629
ENSGGOG00000014267,ENSMMUG00000016588,48.7412
ENSGGOG00000025386,ENSMMUG00000032519,26.4069
ENSGGOG00000021989,ENSMMUG00000032533,52.7778
ENSGGOG00000028132,ENSMMUG00000017335,48.1793
ENSGGOG00000022331,ENSMMUG00000001557,48.6111
ENSGGOG00000028062,ENSMMUG00000032513,7.54717
ENSGGOG00000000667,ENSMMUG00000005304,47.4537
ENSGGOG00000004006,ENSMMUG00000015814,48.8215
ENSGGOG00000013265,ENSMMUG00000009164,48.6943
ENSGGOG00000024052,ENSMMUG00000016681,47.123
ENSGGOG00000001817,ENSMMUG00000004051,48.062
ENSGGOG00000023682,ENSMMUG00000004658,50
ENSGGOG00000016645,ENSMMUG00000019688,49.2147
ENSGGOG00000026211,ENSMMUG00000021851,48.5401
ENSGGOG00000025334,ENSMMUG00000032533,52.7778
ENSGGOG00000024378,ENSMMUG00000004187,46.5116
ENSGGOG00000028415,ENSMMUG00000013213,49.0506
ENSGGOG00000016493,ENSMMUG00000022138,46.4689
ENSGGOG00000000086,ENSMMUG00000019168,48.7654
ENSGGOG00000009853,ENSMMUG00000016298,51.4124
ENSGGOG00000026162,ENSMMUG00000010585,48.4848
ENSGGOG00000024915,ENSMMUG00000009151,48.5733
ENSGGOG00000027941,ENSMMUG00000016681,48.6017
ENSGGOG00000008021,ENSMMUG00000032316,48.8384
ENSGGOG00000023110,ENSMMUG00000032547,49.697
ENSGGOG00000012592,ENSMMUG00000032434,24.5614
ENSGGOG00000023965,ENSMMUG00000000295,47.8903
ENSGGOG00000016846,ENSMMUG00000032381,47.8343
ENSGGOG00000003519,ENSMMUG00000018807,47.6804
ENSGGOG00000005149,ENSMMUG00000007583,48.4322
ENSGGOG00000025176,ENSMMUG00000013213,47.4194
ENSGGOG00000023586,ENSMMUG00000005616,42.5926
ENSGGOG00000025812,ENSMMUG00000032417,47.2727
ENSGGOG00000003878,ENSMMUG00000013213,44.8017
ENSGGOG00000027534,ENSMMUG00000010327,50.3086
ENSGGOG00000004886,ENSMMUG00000032506,49.0566
ENSGGOG00000024733,ENSMMUG00000018066,50.2976
ENSGGOG00000006942,ENSMMUG00000032486,47.7934
ENSGGOG00000027698,ENSMMUG00000015878,47.807
ENSGGOG00000003998,ENSMMUG00000013213,44.5154
ENSGGOG00000022355,ENSMMUG00000002333,47.7273
ENSGGOG00000028267,ENSMMUG00000018837,43.4685
ENSGGOG00000001828,ENSMMUG00000005505,47.1111
ENSGGOG00000012612,ENSMMUG00000018997,50
ENSGGOG00000017019,ENSMMUG00000013213,45.7143
ENSGGOG00000027266,ENSMMUG00000013213,45.406
ENSGGOG00000024403,ENSMMUG00000032494,49.5935
ENSGGOG00000000070,ENSMMUG00000017405,48.9583
ENSGGOG00000027019,ENSMMUG00000013213,47.9601
ENSGGOG00000023960,ENSMMUG00000005494,47.7064
ENSGGOG00000025416,ENSMMUG00000032571,15.8451
ENSGGOG00000026075,ENSMMUG00000016298,48.1481
ENSGGOG00000009079,ENSMMUG00000013213,45.1417
ENSGGOG00000008320,ENSMMUG00000016681,47.8764
ENSGGOG00000021943,ENSMMUG00000002333,48.503
ENSGGOG00000010423,ENSMMUG00000017359,49.2042
ENSGGOG00000009503,ENSMMUG00000013213,46.3675
ENSGGOG00000012302,ENSMMUG00000019489,48.8095
ENSGGOG00000007207,ENSMMUG00000016681,48.5243
