gorilla_gorilla,homo_sapiens
ENSGGOG00000000700,ENSG00000261456,48.9696
ENSGGOG00000000700,ENSG00000157005,48.4076
ENSGGOG00000000700,ENSG00000260313,49.0622
ENSGGOG00000000700,ENSG00000115415,48.4398
ENSGGOG00000004198,ENSG00000260789,47.5387
ENSGGOG00000028442,ENSG00000163157,48.6216
ENSGGOG00000027980,ENSG00000265969,48.3162
ENSGGOG00000012299,ENSG00000263310,48.4391
ENSGGOG00000014157,ENSG00000184220,49.6994
ENSGGOG00000011472,ENSG00000187699,48.5993
ENSGGOG00000028106,ENSG00000261042,48.5909
ENSGGOG00000015536,ENSG00000260716,46.4657
ENSGGOG00000015536,ENSG00000260716,46.7422
ENSGGOG00000000224,ENSG00000260789,46.0583
ENSGGOG00000006447,ENSG00000115159,49.1967
ENSGGOG00000006447,ENSG00000184220,48.7333
ENSGGOG00000034992,ENSG00000163207,46.0489
ENSGGOG00000008953,ENSG00000143452,48.7454
ENSGGOG00000028568,ENSG00000135454,48.4714
ENSGGOG00000022699,ENSG00000064933,47.9973
ENSGGOG00000002492,ENSG00000169474,49.3113
ENSGGOG00000014195,ENSG00000049323,49.321
ENSGGOG00000014195,ENSG00000169855,49.5394
ENSGGOG00000007551,ENSG00000261698,47.6399
ENSGGOG00000007551,ENSG00000260384,47.7352
ENSGGOG00000009209,ENSG00000163141,49.2054
ENSGGOG00000016777,ENSG00000151687,49.0967
ENSGGOG00000010587,ENSG00000143416,48.7805
ENSGGOG00000004101,ENSG00000175182,48.1436
ENSGGOG00000016427,ENSG00000260513,48.7358
ENSGGOG00000016427,ENSG00000163207,48.6934
ENSGGOG00000001743,ENSG00000228253,51.9481
ENSGGOG00000009382,ENSG00000173156,48.7179
ENSGGOG00000004655,ENSG00000257339,47.3769
ENSGGOG00000004655,ENSG00000263250,47.8415
ENSGGOG00000010577,ENSG00000260178,49.1433
ENSGGOG00000010878,ENSG00000144366,49.0068
ENSGGOG00000010878,ENSG00000144366,49.1175
ENSGGOG00000007707,ENSG00000260313,49.0196
ENSGGOG00000034914,ENSG00000135677,49.3675
ENSGGOG00000016442,ENSG00000262942,49.0668
ENSGGOG00000003636,ENSG00000261539,47.7961
ENSGGOG00000003636,ENSG00000259919,48.6941
ENSGGOG00000024118,ENSG00000144366,48.5115
ENSGGOG00000000615,ENSG00000263138,48.1637
ENSGGOG00000000615,ENSG00000163209,47.9064
ENSGGOG00000008039,ENSG00000163882,48.4912
ENSGGOG00000028284,ENSG00000260313,48.4185
ENSGGOG00000008556,ENSG00000262942,48.8452
ENSGGOG00000024600,ENSG00000261539,47.7778
ENSGGOG00000016974,ENSG00000173898,49.5392
ENSGGOG00000009603,ENSG00000172932,48.588
ENSGGOG00000022923,ENSG00000138068,52.459
ENSGGOG00000022923,ENSG00000255738,48.2014
ENSGGOG00000003982,ENSG00000153250,50
ENSGGOG00000003982,ENSG00000163159,50.5038
ENSGGOG00000000614,ENSG00000173020,49.1786
ENSGGOG00000026860,ENSG00000262942,35.4202
ENSGGOG00000006003,ENSG00000138061,49.3321
ENSGGOG00000006003,ENSG00000138061,49.3321
ENSGGOG00000013205,ENSG00000118997,49.0366
ENSGGOG00000013205,ENSG00000163218,48.233
ENSGGOG00000028216,ENSG00000263028,48.9796
ENSGGOG00000002965,ENSG00000135677,49.0488
ENSGGOG00000011619,ENSG00000261297,47.0072
ENSGGOG00000011619,ENSG00000260596,47.7692
ENSGGOG00000011619,ENSG00000260789,46.8188
ENSGGOG00000025884,ENSG00000261230,47.7411
ENSGGOG00000007836,ENSG00000127241,48.8836
ENSGGOG00000022262,ENSG00000135454,48.5099
ENSGGOG00000022262,ENSG00000166148,48.1503
ENSGGOG00000014223,ENSG00000136536,48.6969
ENSGGOG00000000347,ENSG00000151689,49.4052
ENSGGOG00000002699,ENSG00000152147,49.0291
ENSGGOG00000024241,ENSG00000003436,48.927
ENSGGOG00000005082,ENSG00000080822,48.963
ENSGGOG00000026038,ENSG00000260770,47.6048
ENSGGOG00000010070,ENSG00000262742,47.2762
ENSGGOG00000000713,ENSG00000261577,49.2658
ENSGGOG00000000713,ENSG00000260716,48.7829
ENSGGOG00000000713,ENSG00000257961,49.1505
ENSGGOG00000002738,ENSG00000197915,50.3012
ENSGGOG00000002738,ENSG00000197915,50.0477
ENSGGOG00000010097,ENSG00000138448,49.3253
ENSGGOG00000003603,ENSG00000173237,47.5352
ENSGGOG00000001501,ENSG00000175463,47.9259
ENSGGOG00000011248,ENSG00000257961,48.129
ENSGGOG00000025064,ENSG00000263040,49.3894
ENSGGOG00000001418,ENSG00000135407,0.899343
ENSGGOG00000028401,ENSG00000260873,49.6296
ENSGGOG00000002467,ENSG00000144366,48.2535
ENSGGOG00000015882,ENSG00000144366,48.2668
ENSGGOG00000009324,ENSG00000061987,50.0736
ENSGGOG00000009324,ENSG00000143520,49.1108
ENSGGOG00000007591,ENSG00000154175,48.9467
ENSGGOG00000005811,ENSG00000143375,49.4717
ENSGGOG00000005811,ENSG00000143375,49.3882
ENSGGOG00000024005,ENSG00000172155,47.0968
ENSGGOG00000007800,ENSG00000136541,48.4551
ENSGGOG00000023813,ENSG00000238035,47.907
ENSGGOG00000002243,ENSG00000064933,48.8741
ENSGGOG00000001822,ENSG00000003436,47.9531
ENSGGOG00000013768,ENSG00000168386,48.3969
ENSGGOG00000013768,ENSG00000168386,48.4913
ENSGGOG00000025261,ENSG00000115828,48.0061
ENSGGOG00000015271,ENSG00000054219,48.9738
ENSGGOG00000016587,ENSG00000172830,47.5292
ENSGGOG00000016587,ENSG00000262666,47.6371
ENSGGOG00000025397,ENSG00000177990,49.0045
ENSGGOG00000005954,ENSG00000260164,48.6694
ENSGGOG00000012686,ENSG00000064933,48.1377
ENSGGOG00000026177,ENSG00000189056,49.8152
ENSGGOG00000026177,ENSG00000143520,49.3756
ENSGGOG00000034879,ENSG00000135241,48.5486
ENSGGOG00000028469,ENSG00000003436,49.3101
ENSGGOG00000028469,ENSG00000231192,49.0036
ENSGGOG00000028469,ENSG00000231192,48.7636
ENSGGOG00000028469,ENSG00000231192,49.0079
ENSGGOG00000023976,ENSG00000261587,48.4324
ENSGGOG00000013717,ENSG00000263304,46.5044
ENSGGOG00000005177,ENSG00000144366,49.0659
ENSGGOG00000034830,ENSG00000091137,40.882
ENSGGOG00000005644,ENSG00000135241,48.6866
ENSGGOG00000034839,ENSG00000136541,48.4545
ENSGGOG00000034921,ENSG00000091140,48.4799
ENSGGOG00000007690,ENSG00000172531,47.7124
ENSGGOG00000007886,ENSG00000159352,47.8214
ENSGGOG00000016599,ENSG00000263310,48.7725
ENSGGOG00000016599,ENSG00000260716,48.8447
ENSGGOG00000015105,ENSG00000257436,47.1264
ENSGGOG00000027867,ENSG00000172830,46.3035
ENSGGOG00000027867,ENSG00000172830,46.3035
ENSGGOG00000010205,ENSG00000261042,48.9027
ENSGGOG00000010205,ENSG00000261678,48.8792
ENSGGOG00000012100,ENSG00000263042,49.2731
ENSGGOG00000012100,ENSG00000263042,49.2126
ENSGGOG00000015118,ENSG00000113905,49.5583
ENSGGOG00000012676,ENSG00000144290,48.9667
ENSGGOG00000012676,ENSG00000144395,49.2812
ENSGGOG00000001081,ENSG00000123612,48.909
ENSGGOG00000014261,ENSG00000135655,48.9717
ENSGGOG00000014261,ENSG00000136536,49.1042
ENSGGOG00000003290,ENSG00000261698,48.8304
ENSGGOG00000004061,ENSG00000115145,48.9916
ENSGGOG00000027262,ENSG00000156931,51.7413
ENSGGOG00000010169,ENSG00000172830,47.6582
ENSGGOG00000010169,ENSG00000172830,47.7646
ENSGGOG00000027381,ENSG00000138449,51.1416
ENSGGOG00000023977,ENSG00000115159,49.3684
ENSGGOG00000023977,ENSG00000115159,49.2573
ENSGGOG00000011720,ENSG00000238035,48.5017
ENSGGOG00000026281,ENSG00000138068,52.7132
ENSGGOG00000022895,ENSG00000143889,48.58
ENSGGOG00000027373,ENSG00000231145,93.3333
ENSGGOG00000010351,ENSG00000258664,50.4566
ENSGGOG00000023331,ENSG00000115828,48.3041
ENSGGOG00000024652,ENSG00000135677,48.9815
ENSGGOG00000021995,ENSG00000259919,49.5074
ENSGGOG00000026932,ENSG00000154175,50
ENSGGOG00000027903,ENSG00000154175,48.4992
ENSGGOG00000024024,ENSG00000156931,52.381
ENSGGOG00000023598,ENSG00000008282,49.4389
ENSGGOG00000011678,ENSG00000233412,43.4829
ENSGGOG00000024847,ENSG00000163898,50.8251
ENSGGOG00000024167,ENSG00000058866,48.8636
ENSGGOG00000025658,ENSG00000248643,47.3684
ENSGGOG00000022189,ENSG00000260717,47.9029
ENSGGOG00000026550,ENSG00000231145,61.9048
ENSGGOG00000026151,ENSG00000169469,48.1061
ENSGGOG00000026151,ENSG00000263079,48.2402
ENSGGOG00000011659,ENSG00000197915,49.4085
ENSGGOG00000011659,ENSG00000263138,49.0722
ENSGGOG00000026990,ENSG00000064225,47.7249
ENSGGOG00000012349,ENSG00000138068,52.8455
ENSGGOG00000011802,ENSG00000230178,43.0283
ENSGGOG00000024900,ENSG00000259662,46.9534
ENSGGOG00000008275,ENSG00000261236,46.1728
ENSGGOG00000004885,ENSG00000115415,49.0088
ENSGGOG00000004617,ENSG00000169469,50.2058
ENSGGOG00000012496,ENSG00000261698,47.9381
ENSGGOG00000012496,ENSG00000175463,47.5207
ENSGGOG00000023676,ENSG00000230178,35.2503
ENSGGOG00000025319,ENSG00000185962,49.835
ENSGGOG00000022681,ENSG00000198888,10.5649
ENSGGOG00000026243,ENSG00000198763,12.7639
ENSGGOG00000023924,ENSG00000198804,11.0605
ENSGGOG00000028325,ENSG00000198712,11.9883
ENSGGOG00000023589,ENSG00000228253,11.5942
ENSGGOG00000025370,ENSG00000198899,11.7474
ENSGGOG00000023107,ENSG00000198938,10.9694
ENSGGOG00000026757,ENSG00000198840,12.7168
ENSGGOG00000023000,ENSG00000212907,9.09091
ENSGGOG00000025053,ENSG00000198886,11.3208
ENSGGOG00000022688,ENSG00000198786,14.2384
ENSGGOG00000026221,ENSG00000198695,9.33333
ENSGGOG00000024015,ENSG00000198727,12.4452
ENSGGOG00000024922,ENSG00000138449,49.4152
ENSGGOG00000002199,ENSG00000187238,2.08333
ENSGGOG00000025529,ENSG00000163002,49.6
ENSGGOG00000016452,ENSG00000261587,47.8723
ENSGGOG00000028365,ENSG00000185962,2.59259
ENSGGOG00000023641,ENSG00000156931,52.1368
ENSGGOG00000026533,ENSG00000187238,38.7681
ENSGGOG00000027735,ENSG00000206536,44.7179
ENSGGOG00000024455,ENSG00000187238,30.9764
ENSGGOG00000023064,ENSG00000255738,49.8623
ENSGGOG00000023643,ENSG00000143442,49.1026
ENSGGOG00000012297,ENSG00000196578,40.836
ENSGGOG00000002991,ENSG00000198854,1.65198
ENSGGOG00000012296,ENSG00000186844,48.2402
ENSGGOG00000003499,ENSG00000203786,2.68429
ENSGGOG00000025009,ENSG00000261297,46.5812
ENSGGOG00000028005,ENSG00000175505,47.9029
ENSGGOG00000025532,ENSG00000172155,24.717
ENSGGOG00000012276,ENSG00000138386,49.2642
ENSGGOG00000025931,ENSG00000156931,49.0991
ENSGGOG00000023428,ENSG00000196578,43.9294
ENSGGOG00000004137,ENSG00000173156,45.283
ENSGGOG00000023785,ENSG00000263135,48.8889
ENSGGOG00000025420,ENSG00000172932,48.639
ENSGGOG00000006443,ENSG00000262249,38.6293
ENSGGOG00000025576,ENSG00000184330,48.227
ENSGGOG00000026282,ENSG00000138068,52.6042
ENSGGOG00000016613,ENSG00000196578,40.8466
ENSGGOG00000002721,ENSG00000261678,46.8428
ENSGGOG00000002324,ENSG00000136560,48.7403
ENSGGOG00000026294,ENSG00000115159,49.009
ENSGGOG00000028050,ENSG00000257370,47.3193
ENSGGOG00000010509,ENSG00000206536,39.5897
ENSGGOG00000028237,ENSG00000197938,38.4858
ENSGGOG00000024271,ENSG00000258664,49.6894
ENSGGOG00000015345,ENSG00000143418,48.8948
ENSGGOG00000025341,ENSG00000138068,59.8291
ENSGGOG00000025189,ENSG00000230178,41.8129
ENSGGOG00000025240,ENSG00000264886,48.0519
ENSGGOG00000028446,ENSG00000196578,40.2556
ENSGGOG00000022248,ENSG00000154175,50.495
ENSGGOG00000011917,ENSG00000163898,48.8515
ENSGGOG00000009618,ENSG00000262204,42.5068
ENSGGOG00000026789,ENSG00000138068,52.1212
ENSGGOG00000026729,ENSG00000196578,44.605
ENSGGOG00000006017,ENSG00000169474,49.5356
ENSGGOG00000024552,ENSG00000196578,44.605
ENSGGOG00000012076,ENSG00000174547,47.9592
ENSGGOG00000023828,ENSG00000196578,42.3077
ENSGGOG00000026613,ENSG00000260283,49.6
ENSGGOG00000005391,ENSG00000187238,49.0956
ENSGGOG00000026915,ENSG00000185962,44.4444
ENSGGOG00000026418,ENSG00000169469,51.4403
ENSGGOG00000026530,ENSG00000138068,56
ENSGGOG00000023731,ENSG00000262889,46.6801
ENSGGOG00000025833,ENSG00000064225,48.7619
ENSGGOG00000024056,ENSG00000196578,46.2056
ENSGGOG00000025219,ENSG00000263040,49.2958
ENSGGOG00000023342,ENSG00000143416,48.5043
ENSGGOG00000022053,ENSG00000138068,50.9434
ENSGGOG00000002250,ENSG00000184220,48.9097
ENSGGOG00000026378,ENSG00000169474,50.3106
ENSGGOG00000022757,ENSG00000145012,49.7967
ENSGGOG00000027225,ENSG00000196578,42.1569
ENSGGOG00000025126,ENSG00000196578,44.6219
ENSGGOG00000024138,ENSG00000231145,183.333
ENSGGOG00000025401,ENSG00000064225,49.4585
ENSGGOG00000009622,ENSG00000262889,47.6042
ENSGGOG00000027604,ENSG00000263079,46.8571
ENSGGOG00000024507,ENSG00000261383,44.8122
ENSGGOG00000006780,ENSG00000143450,49.8715
ENSGGOG00000013122,ENSG00000162980,48.9888
ENSGGOG00000002509,ENSG00000261678,47.4629
ENSGGOG00000022119,ENSG00000175482,48.6355
ENSGGOG00000026921,ENSG00000156931,50
ENSGGOG00000022493,ENSG00000197938,42.8571
ENSGGOG00000006798,ENSG00000138068,56.2963
ENSGGOG00000006400,ENSG00000261301,1.82983
ENSGGOG00000028217,ENSG00000262972,46.3889
ENSGGOG00000027890,ENSG00000206536,43.5331
ENSGGOG00000027175,ENSG00000231192,44.9414
ENSGGOG00000023956,ENSG00000206536,43.4692
ENSGGOG00000013732,ENSG00000231192,43.949
ENSGGOG00000010244,ENSG00000197938,42.4797
ENSGGOG00000004828,ENSG00000236032,42.0465
ENSGGOG00000025453,ENSG00000213953,61.1111
ENSGGOG00000014307,ENSG00000259991,42.1918
ENSGGOG00000024662,ENSG00000187238,45.0292
ENSGGOG00000006278,ENSG00000231192,44.3038
ENSGGOG00000010000,ENSG00000197938,39.3843
ENSGGOG00000014310,ENSG00000261323,43.2099
ENSGGOG00000017004,ENSG00000231861,42.7924
ENSGGOG00000000269,ENSG00000260696,14.8703
ENSGGOG00000025525,ENSG00000230178,44.5783
ENSGGOG00000005114,ENSG00000163141,49.7059
ENSGGOG00000024958,ENSG00000262771,48.8613
ENSGGOG00000022963,ENSG00000233412,43.0258
ENSGGOG00000005228,ENSG00000259991,43.8369
ENSGGOG00000022466,ENSG00000261201,47.0899
ENSGGOG00000003281,ENSG00000203782,47.3298
ENSGGOG00000001168,ENSG00000261323,43.0856
ENSGGOG00000024451,ENSG00000261587,46.8864
ENSGGOG00000003266,ENSG00000184575,49.0433
ENSGGOG00000024668,ENSG00000143398,50.9259
ENSGGOG00000004567,ENSG00000197938,45.0926
ENSGGOG00000022344,ENSG00000233412,42.4731
ENSGGOG00000025841,ENSG00000264886,49.4553
ENSGGOG00000022897,ENSG00000255738,48.9583
ENSGGOG00000028206,ENSG00000257921,51.0791
ENSGGOG00000010407,ENSG00000266093,49.0358
ENSGGOG00000002119,ENSG00000163898,49.5413
ENSGGOG00000028133,ENSG00000135241,48.1609
ENSGGOG00000001257,ENSG00000144339,49.3174
ENSGGOG00000022649,ENSG00000185962,46.8553
ENSGGOG00000013779,ENSG00000259991,44.1123
ENSGGOG00000028037,ENSG00000263040,48.6542
ENSGGOG00000028067,ENSG00000198673,48.0702
ENSGGOG00000025462,ENSG00000138061,48.2246
ENSGGOG00000022086,ENSG00000064225,47.8185
ENSGGOG00000026436,ENSG00000156931,49.5868
ENSGGOG00000003981,ENSG00000163918,48.8243
ENSGGOG00000023823,ENSG00000261587,47.099
ENSGGOG00000023303,ENSG00000261539,48.6111
ENSGGOG00000011290,ENSG00000261694,48.1589
ENSGGOG00000026395,ENSG00000261042,48.5009
ENSGGOG00000011951,ENSG00000263079,48.1273
ENSGGOG00000028376,ENSG00000261323,48.6977
ENSGGOG00000024920,ENSG00000260717,48.9423
ENSGGOG00000015820,ENSG00000260383,48.2828
ENSGGOG00000009154,ENSG00000198130,49.4983
ENSGGOG00000027633,ENSG00000138411,47.8331
ENSGGOG00000028130,ENSG00000261933,49.8319
ENSGGOG00000004112,ENSG00000154165,49.6518
ENSGGOG00000027659,ENSG00000156931,50.7389
ENSGGOG00000026911,ENSG00000263079,48.1262
ENSGGOG00000027155,ENSG00000169474,48.4594
ENSGGOG00000011191,ENSG00000173237,49.0704
ENSGGOG00000015760,ENSG00000260717,48.0064
ENSGGOG00000027844,ENSG00000064933,47.7204
ENSGGOG00000013263,ENSG00000187238,48.2456
ENSGGOG00000022158,ENSG00000262622,49.1951
ENSGGOG00000024050,ENSG00000186226,47.6776
ENSGGOG00000028052,ENSG00000163214,48.4245
ENSGGOG00000024630,ENSG00000213953,58.8889
ENSGGOG00000027639,ENSG00000228804,49.2063
ENSGGOG00000026664,ENSG00000143450,48.4937
ENSGGOG00000005217,ENSG00000138068,50.2165
ENSGGOG00000027149,ENSG00000260195,47.7346
ENSGGOG00000005550,ENSG00000182898,48.745
ENSGGOG00000003700,ENSG00000261587,47.4851
ENSGGOG00000014682,ENSG00000184220,48.9035
ENSGGOG00000006890,ENSG00000260164,49.0547
ENSGGOG00000026084,ENSG00000138068,58.9744
ENSGGOG00000006271,ENSG00000262666,46.9136
ENSGGOG00000023108,ENSG00000198840,48.294
ENSGGOG00000028218,ENSG00000257339,46.8425
ENSGGOG00000014627,ENSG00000143398,49.0196
ENSGGOG00000026310,ENSG00000185962,47.7987
ENSGGOG00000026272,ENSG00000261042,49.1791
ENSGGOG00000026319,ENSG00000260313,48.7624
ENSGGOG00000028429,ENSG00000163898,49.8413
ENSGGOG00000003066,ENSG00000119787,49.1431
ENSGGOG00000024867,ENSG00000231145,58.0645
ENSGGOG00000025686,ENSG00000261417,49.6489
ENSGGOG00000022619,ENSG00000258865,47.5531
ENSGGOG00000023377,ENSG00000262773,49.1576
ENSGGOG00000003018,ENSG00000230178,46.3551
ENSGGOG00000022948,ENSG00000262972,46.2759
ENSGGOG00000008416,ENSG00000198471,48.6328
ENSGGOG00000014859,ENSG00000185962,48.5981
ENSGGOG00000009720,ENSG00000186844,47.8202
ENSGGOG00000002049,ENSG00000230178,44.0376
ENSGGOG00000014267,ENSG00000005249,48.4541
ENSGGOG00000025386,ENSG00000156931,51.0823
ENSGGOG00000021989,ENSG00000231145,54.1667
ENSGGOG00000028132,ENSG00000090534,48.1092
ENSGGOG00000022331,ENSG00000143536,47.8495
ENSGGOG00000028062,ENSG00000260119,49.3711
ENSGGOG00000000667,ENSG00000173020,47.7431
ENSGGOG00000004006,ENSG00000260513,48.9899
ENSGGOG00000013265,ENSG00000111490,48.2335
ENSGGOG00000024052,ENSG00000196578,46.8254
ENSGGOG00000001817,ENSG00000138068,56.5891
ENSGGOG00000023682,ENSG00000138068,51.6667
ENSGGOG00000016645,ENSG00000154175,48.8656
ENSGGOG00000026211,ENSG00000241794,48.5401
ENSGGOG00000025334,ENSG00000231145,54.1667
ENSGGOG00000024378,ENSG00000135454,46.3178
ENSGGOG00000028415,ENSG00000197938,48.1013
ENSGGOG00000016493,ENSG00000090539,46.0452
ENSGGOG00000000086,ENSG00000138068,53.7037
ENSGGOG00000009853,ENSG00000138068,54.2373
ENSGGOG00000026162,ENSG00000187170,49.5671
ENSGGOG00000024915,ENSG00000261297,48.8755
ENSGGOG00000027941,ENSG00000259991,47.3481
ENSGGOG00000008021,ENSG00000262917,48.9867
ENSGGOG00000023110,ENSG00000138068,52.7273
ENSGGOG00000012592,ENSG00000018699,49.1228
ENSGGOG00000023965,ENSG00000196578,47.7848
ENSGGOG00000016846,ENSG00000113838,48.3992
ENSGGOG00000003519,ENSG00000263135,48.5395
ENSGGOG00000005149,ENSG00000261539,47.7569
ENSGGOG00000025176,ENSG00000231192,40.8602
ENSGGOG00000023586,ENSG00000260119,50.3704
ENSGGOG00000025812,ENSG00000260283,50.6061
ENSGGOG00000003878,ENSG00000196578,42.1222
ENSGGOG00000027534,ENSG00000169474,49.6914
ENSGGOG00000004886,ENSG00000233412,47.3795
ENSGGOG00000024733,ENSG00000169474,48.5119
ENSGGOG00000006942,ENSG00000261577,47.9812
ENSGGOG00000027698,ENSG00000138068,49.5614
ENSGGOG00000003998,ENSG00000231192,43.131
ENSGGOG00000022355,ENSG00000257561,48.7374
ENSGGOG00000028267,ENSG00000255738,48.6486
ENSGGOG00000001828,ENSG00000143390,48.1778
ENSGGOG00000012612,ENSG00000156931,51.8519
ENSGGOG00000017019,ENSG00000196578,41.2698
ENSGGOG00000027266,ENSG00000231192,40.4915
ENSGGOG00000024403,ENSG00000143442,50.813
ENSGGOG00000000070,ENSG00000263138,48.75
ENSGGOG00000027019,ENSG00000231861,40.6165
ENSGGOG00000023960,ENSG00000163898,49.5413
ENSGGOG00000025416,ENSG00000187699,48.7676
ENSGGOG00000026075,ENSG00000138068,50
ENSGGOG00000009079,ENSG00000206536,39.9798
ENSGGOG00000008320,ENSG00000230178,44.8842
ENSGGOG00000021943,ENSG00000263079,48.503
ENSGGOG00000010423,ENSG00000073849,48.4085
ENSGGOG00000009503,ENSG00000196578,38.4615
ENSGGOG00000012302,ENSG00000196504,49.2857
ENSGGOG00000007207,ENSG00000231861,47.4826
ENSGGOG00000027219,ENSG00000156931,53.5581
ENSGGOG00000027285,ENSG00000187223,48.4581
ENSGGOG00000011937,ENSG00000231192,44.5503
ENSGGOG00000024538,ENSG00000143442,48.2972
ENSGGOG00000024674,ENSG00000261297,46.4555
ENSGGOG00000025955,ENSG00000263040,48.8613
ENSGGOG00000011821,ENSG00000261587,48.0769
ENSGGOG00000024341,ENSG00000179038,49.4375
ENSGGOG00000011818,ENSG00000257961,48.01
ENSGGOG00000013729,ENSG00000213953,56.0606
ENSGGOG00000001157,ENSG00000175482,48.3431
ENSGGOG00000023396,ENSG00000138068,56.5217
ENSGGOG00000022876,ENSG00000231192,43.4921
ENSGGOG00000027003,ENSG00000175182,48.3437
ENSGGOG00000023322,ENSG00000168542,46.6667
ENSGGOG00000026796,ENSG00000138449,50
ENSGGOG00000012168,ENSG00000261378,47.5945
ENSGGOG00000025217,ENSG00000144395,48.6308
ENSGGOG00000023975,ENSG00000169474,51.0417
ENSGGOG00000009136,ENSG00000169469,51.3725
ENSGGOG00000027478,ENSG00000153237,48.8487
ENSGGOG00000027924,ENSG00000080822,48.9837
ENSGGOG00000025102,ENSG00000156931,50.2415
ENSGGOG00000026642,ENSG00000255738,49.4949
ENSGGOG00000023150,ENSG00000169474,50.1754
ENSGGOG00000022801,ENSG00000143375,48.3936
ENSGGOG00000025776,ENSG00000255738,50
ENSGGOG00000022216,ENSG00000263040,47.8903
ENSGGOG00000001975,ENSG00000196098,44.3743
ENSGGOG00000027938,ENSG00000261155,47.7292
ENSGGOG00000025611,ENSG00000261042,48.0966
ENSGGOG00000023874,ENSG00000262889,49.4581
ENSGGOG00000011493,ENSG00000260313,48.1853
ENSGGOG00000013793,ENSG00000263163,48.8889
ENSGGOG00000003936,ENSG00000136527,49.1398
ENSGGOG00000008999,ENSG00000104825,48.2618
ENSGGOG00000028221,ENSG00000115415,48.3221
ENSGGOG00000002459,ENSG00000196098,43.0862
ENSGGOG00000025948,ENSG00000169469,48.7179
ENSGGOG00000026036,ENSG00000262327,48.5544
ENSGGOG00000014090,ENSG00000258865,47.8686
ENSGGOG00000009319,ENSG00000228804,48.6301
ENSGGOG00000025032,ENSG00000138068,55.5556
ENSGGOG00000025031,ENSG00000173156,48.2051
ENSGGOG00000003521,ENSG00000073803,48.7528
ENSGGOG00000016027,ENSG00000197938,43.8008
ENSGGOG00000024544,ENSG00000163918,49.4465
ENSGGOG00000015649,ENSG00000153237,48.1302
ENSGGOG00000025496,ENSG00000138068,55.7292
ENSGGOG00000027763,ENSG00000255738,49.409
ENSGGOG00000023753,ENSG00000257921,49.1726
ENSGGOG00000005399,ENSG00000138068,49.07
ENSGGOG00000008159,ENSG00000231192,44.3038
ENSGGOG00000023129,ENSG00000260873,49.183
ENSGGOG00000028084,ENSG00000138068,54.9708
ENSGGOG00000013971,ENSG00000196578,42.8115
ENSGGOG00000016615,ENSG00000259991,42.2602
ENSGGOG00000022384,ENSG00000206536,43.77
ENSGGOG00000001916,ENSG00000257679,49.0186
ENSGGOG00000001916,ENSG00000113966,49.4587
ENSGGOG00000022076,ENSG00000138068,55.0725
ENSGGOG00000025770,ENSG00000138068,54.9708
ENSGGOG00000012003,ENSG00000261577,47.357
ENSGGOG00000008053,ENSG00000138068,47.9029
ENSGGOG00000027522,ENSG00000226894,51.2195
ENSGGOG00000023165,ENSG00000138068,58.3333
ENSGGOG00000026802,ENSG00000231145,62.8571
ENSGGOG00000005438,ENSG00000255738,50.1312
ENSGGOG00000026725,ENSG00000231145,61.1111
ENSGGOG00000004553,ENSG00000177990,47.2362
ENSGGOG00000022836,ENSG00000138068,51.7857
ENSGGOG00000025345,ENSG00000138449,50.9804
ENSGGOG00000015142,ENSG00000261539,48.4231
ENSGGOG00000023457,ENSG00000197938,47.4074
ENSGGOG00000026883,ENSG00000163209,48.2639
ENSGGOG00000016464,ENSG00000263079,47.4946
ENSGGOG00000023502,ENSG00000138068,50.2564
ENSGGOG00000023273,ENSG00000169474,49.6732
ENSGGOG00000005445,ENSG00000115267,48.8265
ENSGGOG00000028138,ENSG00000156931,51.4286
ENSGGOG00000022059,ENSG00000143375,48.2558
ENSGGOG00000026705,ENSG00000257370,48.3122
ENSGGOG00000025428,ENSG00000261698,49.3861
ENSGGOG00000024763,ENSG00000169469,52.1127
ENSGGOG00000002996,ENSG00000163171,48.6822
ENSGGOG00000024760,ENSG00000226894,49.1228
ENSGGOG00000025793,ENSG00000259991,43.2258
ENSGGOG00000026984,ENSG00000255738,50.1104
ENSGGOG00000022277,ENSG00000185962,46.0481
ENSGGOG00000023618,ENSG00000138068,56.0284
ENSGGOG00000026401,ENSG00000262742,50.5982
ENSGGOG00000024170,ENSG00000138068,51.9231
ENSGGOG00000027150,ENSG00000187238,47.9885
ENSGGOG00000002786,ENSG00000203785,47.4308
ENSGGOG00000025754,ENSG00000264886,49.0683
ENSGGOG00000025150,ENSG00000259991,36.3547
ENSGGOG00000026093,ENSG00000260873,48.8518
ENSGGOG00000025498,ENSG00000260119,49.8168
ENSGGOG00000025174,ENSG00000197938,47.3461
ENSGGOG00000025820,ENSG00000185962,47.1631
ENSGGOG00000013791,ENSG00000262525,47.1111
ENSGGOG00000022477,ENSG00000196805,50.7937
ENSGGOG00000016459,ENSG00000196578,46.5812
ENSGGOG00000022659,ENSG00000260717,48.8688
ENSGGOG00000006457,ENSG00000231861,43.1589
ENSGGOG00000009949,ENSG00000218739,48.8462
ENSGGOG00000026147,ENSG00000185962,49.6528
ENSGGOG00000003672,ENSG00000163898,51.5152
ENSGGOG00000026982,ENSG00000163904,48.686
ENSGGOG00000010318,ENSG00000225556,48.3887
ENSGGOG00000022234,ENSG00000196578,47.0085
ENSGGOG00000023555,ENSG00000169469,48.6275
ENSGGOG00000026178,ENSG00000154175,51.5152
