macaca_mulatta,gorilla_gorilla
ENSMMUG00000016238,ENSGGOG00000021937,49.1228
ENSMMUG00000016238,ENSGGOG00000016542,49.037
ENSMMUG00000016238,ENSGGOG00000002309,49.295
ENSMMUG00000010914,ENSGGOG00000022136,48.4735
ENSMMUG00000010914,ENSGGOG00000010021,47.7987
ENSMMUG00000010914,ENSGGOG00000008053,48.5714
ENSMMUG00000013356,ENSGGOG00000027346,49.1228
ENSMMUG00000021599,ENSGGOG00000026036,48.9768
ENSMMUG00000021598,ENSGGOG00000005564,47.7658
ENSMMUG00000012001,ENSGGOG00000027920,49.3226
ENSMMUG00000012001,ENSGGOG00000005954,49.4363
ENSMMUG00000012001,ENSGGOG00000026860,49.7118
ENSMMUG00000012001,ENSGGOG00000011253,49.067
ENSMMUG00000010598,ENSGGOG00000015319,49.065
ENSMMUG00000010598,ENSGGOG00000012412,48.7764
ENSMMUG00000032525,ENSGGOG00000023245,46.4986
ENSMMUG00000012915,ENSGGOG00000024199,49.7152
ENSMMUG00000012916,ENSGGOG00000013533,49.5658
ENSMMUG00000012916,ENSGGOG00000027092,49.4469
ENSMMUG00000012894,ENSGGOG00000013008,49.3873
ENSMMUG00000012894,ENSGGOG00000015734,49.4573
ENSMMUG00000012894,ENSGGOG00000012718,49.6954
ENSMMUG00000012899,ENSGGOG00000006837,49.1203
ENSMMUG00000012899,ENSGGOG00000025558,49.1538
ENSMMUG00000012918,ENSGGOG00000008066,47.7954
ENSMMUG00000012918,ENSGGOG00000022649,46.6667
ENSMMUG00000016110,ENSGGOG00000014436,50.7484
ENSMMUG00000023218,ENSGGOG00000014569,46.1538
ENSMMUG00000022568,ENSGGOG00000010070,48.5145
ENSMMUG00000001433,ENSGGOG00000015118,1.93521
ENSMMUG00000032522,ENSGGOG00000025529,48.8889
ENSMMUG00000019969,ENSGGOG00000015371,49.0694
ENSMMUG00000019969,ENSGGOG00000026967,48.6068
ENSMMUG00000005084,ENSGGOG00000009780,48.6331
ENSMMUG00000019974,ENSGGOG00000003981,49.3028
ENSMMUG00000019974,ENSGGOG00000022673,48.9982
ENSMMUG00000032520,ENSGGOG00000025666,43.0556
ENSMMUG00000005063,ENSGGOG00000014436,49.6588
ENSMMUG00000032519,ENSGGOG00000025386,26.0684
ENSMMUG00000019976,ENSGGOG00000022699,49.3205
ENSMMUG00000005065,ENSGGOG00000027133,48.8889
ENSMMUG00000005066,ENSGGOG00000010070,48.9073
ENSMMUG00000005066,ENSGGOG00000016654,48.3099
ENSMMUG00000005066,ENSGGOG00000007800,48.4437
ENSMMUG00000005066,ENSGGOG00000007800,48.4744
ENSMMUG00000013971,ENSGGOG00000025386,32.4444
ENSMMUG00000006616,ENSGGOG00000028558,48.5294
ENSMMUG00000006616,ENSGGOG00000011428,49.5942
ENSMMUG00000006616,ENSGGOG00000012100,49.5421
ENSMMUG00000006616,ENSGGOG00000013205,49.4407
ENSMMUG00000006616,ENSGGOG00000013205,49.2584
ENSMMUG00000006616,ENSGGOG00000012775,49.6341
ENSMMUG00000006616,ENSGGOG00000010930,49.3386
ENSMMUG00000020513,ENSGGOG00000005746,49.3711
ENSMMUG00000020513,ENSGGOG00000026459,48.5597
ENSMMUG00000020513,ENSGGOG00000023150,49.8516
ENSMMUG00000020513,ENSGGOG00000026380,50.1992
ENSMMUG00000020513,ENSGGOG00000024378,49.1468
ENSMMUG00000006635,ENSGGOG00000012676,49.3246
ENSMMUG00000014235,ENSGGOG00000003070,48.4048
ENSMMUG00000014235,ENSGGOG00000015979,48.7404
ENSMMUG00000001245,ENSGGOG00000009913,49.9676
ENSMMUG00000001245,ENSGGOG00000014572,49.9081
ENSMMUG00000020515,ENSGGOG00000010587,49.5238
ENSMMUG00000020515,ENSGGOG00000025079,49.571
ENSMMUG00000020515,ENSGGOG00000010587,49.501
ENSMMUG00000020515,ENSGGOG00000010587,49.3839
ENSMMUG00000020515,ENSGGOG00000010587,49.4299
ENSMMUG00000020515,ENSGGOG00000010587,49.4898
ENSMMUG00000020515,ENSGGOG00000015118,49.7925
ENSMMUG00000032516,ENSGGOG00000003361,49.2521
ENSMMUG00000004408,ENSGGOG00000027171,49.6791
ENSMMUG00000032515,ENSGGOG00000028062,48.0916
ENSMMUG00000007584,ENSGGOG00000025580,48.8449
ENSMMUG00000007583,ENSGGOG00000001083,47.2973
ENSMMUG00000007583,ENSGGOG00000028583,43.1746
ENSMMUG00000007581,ENSGGOG00000022666,48.7959
ENSMMUG00000032514,ENSGGOG00000025775,47.1861
ENSMMUG00000007580,ENSGGOG00000023227,49.0185
ENSMMUG00000010402,ENSGGOG00000026038,47.8296
ENSMMUG00000014993,ENSGGOG00000024783,49.3699
ENSMMUG00000032513,ENSGGOG00000028062,7.54717
ENSMMUG00000017336,ENSGGOG00000025261,48.9837
ENSMMUG00000017336,ENSGGOG00000027838,48.0738
ENSMMUG00000017336,ENSGGOG00000003710,49.2793
ENSMMUG00000017336,ENSGGOG00000028419,49.0106
ENSMMUG00000017336,ENSGGOG00000028419,48.6433
ENSMMUG00000012622,ENSGGOG00000005564,48.5759
ENSMMUG00000032512,ENSGGOG00000024905,48.1563
ENSMMUG00000017258,ENSGGOG00000015011,1.9019
ENSMMUG00000001554,ENSGGOG00000015683,48.7864
ENSMMUG00000001554,ENSGGOG00000008053,48.9079
ENSMMUG00000001713,ENSGGOG00000027936,48.6826
ENSMMUG00000002431,ENSGGOG00000001257,49.4212
ENSMMUG00000002204,ENSGGOG00000034921,49.5166
ENSMMUG00000002207,ENSGGOG00000005564,47.6727
ENSMMUG00000002209,ENSGGOG00000006838,49.4586
ENSMMUG00000002209,ENSGGOG00000025049,49.0983
ENSMMUG00000002210,ENSGGOG00000022407,48.0984
ENSMMUG00000004434,ENSGGOG00000026926,49.5401
ENSMMUG00000017339,ENSGGOG00000006311,48.8747
ENSMMUG00000005145,ENSGGOG00000017107,49.5099
ENSMMUG00000004744,ENSGGOG00000011998,48.4496
ENSMMUG00000004744,ENSGGOG00000028263,49.1704
ENSMMUG00000004744,ENSGGOG00000016534,49.7278
ENSMMUG00000006577,ENSGGOG00000023985,46.9697
ENSMMUG00000006578,ENSGGOG00000027201,48.7034
ENSMMUG00000021184,ENSGGOG00000016192,48.9332
ENSMMUG00000010727,ENSGGOG00000008048,14.2395
ENSMMUG00000004745,ENSGGOG00000034921,48.8852
ENSMMUG00000004745,ENSGGOG00000025841,47.4427
ENSMMUG00000014182,ENSGGOG00000026794,49.3897
ENSMMUG00000014182,ENSGGOG00000023874,48.5692
ENSMMUG00000007171,ENSGGOG00000000700,49.5305
ENSMMUG00000000192,ENSGGOG00000001828,48.8786
ENSMMUG00000000192,ENSGGOG00000023870,48.791
ENSMMUG00000000192,ENSGGOG00000026777,47.381
ENSMMUG00000004565,ENSGGOG00000005399,49.4488
ENSMMUG00000004565,ENSGGOG00000024389,49.1176
ENSMMUG00000000193,ENSGGOG00000026143,47.6526
ENSMMUG00000002134,ENSGGOG00000006837,48.8921
ENSMMUG00000002134,ENSGGOG00000016645,48.1645
ENSMMUG00000032510,ENSGGOG00000003981,49.2634
ENSMMUG00000032510,ENSGGOG00000005185,49.1194
ENSMMUG00000012379,ENSGGOG00000023643,10.3704
ENSMMUG00000007500,ENSGGOG00000013768,23.9369
ENSMMUG00000007500,ENSGGOG00000013768,38.8043
ENSMMUG00000007500,ENSGGOG00000013768,20.175
ENSMMUG00000032508,ENSGGOG00000007800,49.3223
ENSMMUG00000032508,ENSGGOG00000005185,49.2498
ENSMMUG00000007501,ENSGGOG00000014343,46.8427
ENSMMUG00000014250,ENSGGOG00000024658,49.217
ENSMMUG00000022467,ENSGGOG00000022673,49.6341
ENSMMUG00000022467,ENSGGOG00000026871,49.5383
ENSMMUG00000008737,ENSGGOG00000008053,48.0916
ENSMMUG00000008737,ENSGGOG00000027005,49.3464
ENSMMUG00000008737,ENSGGOG00000026093,47.8185
ENSMMUG00000020392,ENSGGOG00000022136,49.4368
ENSMMUG00000020392,ENSGGOG00000026036,48.5326
ENSMMUG00000020392,ENSGGOG00000026036,49.2262
ENSMMUG00000020392,ENSGGOG00000024270,49.0028
ENSMMUG00000016615,ENSGGOG00000016542,49.0449
ENSMMUG00000016615,ENSGGOG00000026860,49.0998
ENSMMUG00000016617,ENSGGOG00000013016,48.2105
ENSMMUG00000016618,ENSGGOG00000027065,49.1625
ENSMMUG00000016619,ENSGGOG00000027476,49.5446
ENSMMUG00000022874,ENSGGOG00000022666,49.4253
ENSMMUG00000022873,ENSGGOG00000023053,48.7332
ENSMMUG00000023589,ENSGGOG00000009671,48.8444
ENSMMUG00000000305,ENSGGOG00000012725,48.5839
ENSMMUG00000000576,ENSGGOG00000015749,49.1569
ENSMMUG00000000576,ENSGGOG00000012775,49.443
ENSMMUG00000000576,ENSGGOG00000012276,49.1273
ENSMMUG00000032507,ENSGGOG00000023641,38.0471
ENSMMUG00000003250,ENSGGOG00000010244,48.8998
ENSMMUG00000019555,ENSGGOG00000012725,48.4656
ENSMMUG00000019555,ENSGGOG00000012725,48.5981
ENSMMUG00000019555,ENSGGOG00000012725,48.3444
ENSMMUG00000021937,ENSGGOG00000000633,46.0905
ENSMMUG00000013529,ENSGGOG00000028211,48.5574
ENSMMUG00000032506,ENSGGOG00000003716,48.9051
ENSMMUG00000032505,ENSGGOG00000023641,39.5604
ENSMMUG00000017728,ENSGGOG00000026926,48.7006
ENSMMUG00000022142,ENSGGOG00000016654,48.6879
ENSMMUG00000001088,ENSGGOG00000010070,49.1797
ENSMMUG00000021366,ENSGGOG00000002720,48.984
ENSMMUG00000018824,ENSGGOG00000002250,48.9651
ENSMMUG00000018824,ENSGGOG00000022623,49.1147
ENSMMUG00000032503,ENSGGOG00000026025,48.8263
ENSMMUG00000022902,ENSGGOG00000022789,47.7971
ENSMMUG00000022902,ENSGGOG00000022789,48.0156
ENSMMUG00000022902,ENSGGOG00000007886,48.7106
ENSMMUG00000032502,ENSGGOG00000025386,39.3258
ENSMMUG00000016298,ENSGGOG00000022824,50.3546
ENSMMUG00000032501,ENSGGOG00000025666,46.087
ENSMMUG00000018275,ENSGGOG00000021937,49.2023
ENSMMUG00000018275,ENSGGOG00000009382,49.1998
ENSMMUG00000008335,ENSGGOG00000024270,47.7186
ENSMMUG00000008335,ENSGGOG00000024270,48.5514
ENSMMUG00000009241,ENSGGOG00000013971,49.0633
ENSMMUG00000010169,ENSGGOG00000027092,49.6442
ENSMMUG00000010169,ENSGGOG00000016777,49.5539
ENSMMUG00000016361,ENSGGOG00000024853,49.3138
ENSMMUG00000016361,ENSGGOG00000027763,48.9758
ENSMMUG00000016364,ENSGGOG00000022789,49.3875
ENSMMUG00000013850,ENSGGOG00000023218,49.1367
ENSMMUG00000006979,ENSGGOG00000028407,49.5592
ENSMMUG00000012610,ENSGGOG00000023191,7.04762
ENSMMUG00000009801,ENSGGOG00000026860,48.6432
ENSMMUG00000009801,ENSGGOG00000025416,48.329
ENSMMUG00000009801,ENSGGOG00000022969,47.7583
ENSMMUG00000004746,ENSGGOG00000025386,35.4167
ENSMMUG00000032499,ENSGGOG00000027005,48.2587
ENSMMUG00000010417,ENSGGOG00000028402,49.7445
ENSMMUG00000020595,ENSGGOG00000016192,48.2935
ENSMMUG00000020595,ENSGGOG00000025397,48.4335
ENSMMUG00000020595,ENSGGOG00000010070,48.5089
ENSMMUG00000032498,ENSGGOG00000011546,45.9161
ENSMMUG00000012819,ENSGGOG00000003266,49.0535
ENSMMUG00000012821,ENSGGOG00000004198,49.3813
ENSMMUG00000012821,ENSGGOG00000024660,48.8354
ENSMMUG00000023298,ENSGGOG00000014060,49.7323
ENSMMUG00000023298,ENSGGOG00000014060,49.7323
ENSMMUG00000023299,ENSGGOG00000005185,49.1738
ENSMMUG00000018433,ENSGGOG00000006754,49.2784
ENSMMUG00000013607,ENSGGOG00000022048,47.6543
ENSMMUG00000020905,ENSGGOG00000016685,48.4804
ENSMMUG00000015702,ENSGGOG00000013741,47.2362
ENSMMUG00000008938,ENSGGOG00000001305,48.9889
ENSMMUG00000008938,ENSGGOG00000001305,48.9194
ENSMMUG00000008938,ENSGGOG00000023876,48.4772
ENSMMUG00000018435,ENSGGOG00000001083,46.1812
ENSMMUG00000008942,ENSGGOG00000007457,49.3584
ENSMMUG00000018439,ENSGGOG00000025976,48.0556
ENSMMUG00000010056,ENSGGOG00000011253,42.9199
ENSMMUG00000009877,ENSGGOG00000025576,49.2264
ENSMMUG00000009879,ENSGGOG00000007804,47.4308
ENSMMUG00000008943,ENSGGOG00000026190,8.92857
ENSMMUG00000018099,ENSGGOG00000007966,48.0663
ENSMMUG00000008945,ENSGGOG00000026836,48.7821
ENSMMUG00000008945,ENSGGOG00000014572,49.6209
ENSMMUG00000008945,ENSGGOG00000013016,48.8029
ENSMMUG00000008945,ENSGGOG00000026367,47.2393
ENSMMUG00000016657,ENSGGOG00000027844,48.5437
ENSMMUG00000010575,ENSGGOG00000003154,48.5632
ENSMMUG00000022849,ENSGGOG00000022284,29.7893
ENSMMUG00000006179,ENSGGOG00000022284,19.7802
ENSMMUG00000003918,ENSGGOG00000028613,49.3685
ENSMMUG00000032497,ENSGGOG00000026142,47.1264
ENSMMUG00000001663,ENSGGOG00000026860,48.6848
ENSMMUG00000014916,ENSGGOG00000005282,48.1123
ENSMMUG00000017408,ENSGGOG00000014837,49.3116
ENSMMUG00000012771,ENSGGOG00000011253,39.1925
ENSMMUG00000032496,ENSGGOG00000022860,9.06149
ENSMMUG00000011329,ENSGGOG00000005746,48.9528
ENSMMUG00000012772,ENSGGOG00000005399,28.0795
ENSMMUG00000012773,ENSGGOG00000023218,49.225
ENSMMUG00000012774,ENSGGOG00000011253,40.1807
ENSMMUG00000012775,ENSGGOG00000006710,47.8176
ENSMMUG00000032494,ENSGGOG00000025386,38.5417
ENSMMUG00000032493,ENSGGOG00000025386,44.2623
ENSMMUG00000001767,ENSGGOG00000027258,48.4848
ENSMMUG00000032492,ENSGGOG00000026899,46.6447
ENSMMUG00000032491,ENSGGOG00000025386,43.7158
ENSMMUG00000012710,ENSGGOG00000013717,45.8378
ENSMMUG00000032490,ENSGGOG00000025280,47.3896
ENSMMUG00000005959,ENSGGOG00000023377,20.0385
ENSMMUG00000011333,ENSGGOG00000003259,49.0019
ENSMMUG00000011333,ENSGGOG00000007690,49.1067
ENSMMUG00000011333,ENSGGOG00000010848,49.454
ENSMMUG00000011333,ENSGGOG00000003259,49.3958
ENSMMUG00000011333,ENSGGOG00000000224,49.253
ENSMMUG00000011333,ENSGGOG00000000224,49.237
ENSMMUG00000032489,ENSGGOG00000026142,47.4576
ENSMMUG00000013981,ENSGGOG00000026860,47.8558
ENSMMUG00000013981,ENSGGOG00000026860,48.374
ENSMMUG00000018157,ENSGGOG00000007942,4.71014
ENSMMUG00000019345,ENSGGOG00000001418,48.8335
ENSMMUG00000019345,ENSGGOG00000001418,48.7534
ENSMMUG00000019345,ENSGGOG00000003079,49.0283
ENSMMUG00000019345,ENSGGOG00000010362,49.026
ENSMMUG00000019345,ENSGGOG00000010362,48.859
ENSMMUG00000019345,ENSGGOG00000027092,49.3995
ENSMMUG00000019345,ENSGGOG00000003079,49.0481
ENSMMUG00000019345,ENSGGOG00000010587,48.7609
ENSMMUG00000019345,ENSGGOG00000022963,48.7255
ENSMMUG00000019345,ENSGGOG00000023150,48.5333
ENSMMUG00000002493,ENSGGOG00000007378,46.5974
ENSMMUG00000000753,ENSGGOG00000009780,48.9112
ENSMMUG00000000286,ENSGGOG00000016587,47.8469
ENSMMUG00000000286,ENSGGOG00000016587,47.6593
ENSMMUG00000021792,ENSGGOG00000023870,49.1447
ENSMMUG00000021792,ENSGGOG00000023870,49.0392
ENSMMUG00000021792,ENSGGOG00000016452,47.8992
ENSMMUG00000022596,ENSGGOG00000023813,48.7596
ENSMMUG00000032487,ENSGGOG00000026592,47.0588
ENSMMUG00000009151,ENSGGOG00000014406,47.7766
ENSMMUG00000009151,ENSGGOG00000014406,46.9977
ENSMMUG00000032486,ENSGGOG00000016493,44.6134
ENSMMUG00000001612,ENSGGOG00000016493,45.8333
ENSMMUG00000001612,ENSGGOG00000008066,46.3938
ENSMMUG00000001613,ENSGGOG00000010423,49.1266
ENSMMUG00000001613,ENSGGOG00000015406,48.8757
ENSMMUG00000014855,ENSGGOG00000026899,48.6434
ENSMMUG00000014855,ENSGGOG00000016620,48.1481
ENSMMUG00000013710,ENSGGOG00000010878,49.7676
ENSMMUG00000013708,ENSGGOG00000003008,46.8612
ENSMMUG00000032485,ENSGGOG00000027065,43.3437
ENSMMUG00000032484,ENSGGOG00000027005,48.7952
ENSMMUG00000006966,ENSGGOG00000024364,49.0171
ENSMMUG00000006966,ENSGGOG00000003281,48.9837
ENSMMUG00000006966,ENSGGOG00000022666,48.2188
ENSMMUG00000019910,ENSGGOG00000008319,48.1315
ENSMMUG00000004530,ENSGGOG00000013122,49.1206
ENSMMUG00000001557,ENSGGOG00000003281,48.6111
ENSMMUG00000022257,ENSGGOG00000022284,34.6749
ENSMMUG00000011371,ENSGGOG00000028288,24.9754
ENSMMUG00000021491,ENSGGOG00000008196,48.7913
ENSMMUG00000002447,ENSGGOG00000016192,48.8845
ENSMMUG00000001465,ENSGGOG00000027924,48.5714
ENSMMUG00000001464,ENSGGOG00000010080,49.2444
ENSMMUG00000001738,ENSGGOG00000026143,48.5597
ENSMMUG00000002608,ENSGGOG00000022374,48.2385
ENSMMUG00000011104,ENSGGOG00000015118,48.4879
ENSMMUG00000011104,ENSGGOG00000024364,48.5294
ENSMMUG00000011104,ENSGGOG00000002811,48.9264
ENSMMUG00000011053,ENSGGOG00000005168,50.2304
ENSMMUG00000006967,ENSGGOG00000001257,49.0178
ENSMMUG00000006969,ENSGGOG00000001257,48.8071
ENSMMUG00000013220,ENSGGOG00000002460,49.7009
ENSMMUG00000032481,ENSGGOG00000028133,48.6972
ENSMMUG00000013221,ENSGGOG00000034932,48.4053
ENSMMUG00000005351,ENSGGOG00000009003,8
ENSMMUG00000013131,ENSGGOG00000010311,48.5484
ENSMMUG00000013135,ENSGGOG00000025273,49.221
ENSMMUG00000013135,ENSGGOG00000008039,48.9583
ENSMMUG00000013135,ENSGGOG00000016631,49.1487
ENSMMUG00000013493,ENSGGOG00000024023,48.5021
ENSMMUG00000032480,ENSGGOG00000022059,22.7564
ENSMMUG00000006876,ENSGGOG00000001404,49.0859
ENSMMUG00000003201,ENSGGOG00000003281,48.7714
ENSMMUG00000003201,ENSGGOG00000013834,49.0196
ENSMMUG00000032479,ENSGGOG00000026068,20.8617
ENSMMUG00000015739,ENSGGOG00000027088,49.1358
ENSMMUG00000005292,ENSGGOG00000004414,49.5225
ENSMMUG00000005292,ENSGGOG00000004414,49.3038
ENSMMUG00000000710,ENSGGOG00000028613,13.8132
ENSMMUG00000012762,ENSGGOG00000001081,49.0674
ENSMMUG00000012762,ENSGGOG00000026274,48.882
ENSMMUG00000005263,ENSGGOG00000028218,47.6369
ENSMMUG00000005263,ENSGGOG00000025447,45.0521
ENSMMUG00000005264,ENSGGOG00000012898,49.4195
ENSMMUG00000032476,ENSGGOG00000010423,48.272
ENSMMUG00000001019,ENSGGOG00000025884,48.0892
ENSMMUG00000001019,ENSGGOG00000004137,47.6023
ENSMMUG00000001017,ENSGGOG00000022524,27.4018
ENSMMUG00000013753,ENSGGOG00000010082,49.0259
ENSMMUG00000013753,ENSGGOG00000027530,48.4848
ENSMMUG00000013753,ENSGGOG00000027530,48.6437
ENSMMUG00000017075,ENSGGOG00000028126,48.9899
ENSMMUG00000017569,ENSGGOG00000009504,48.8945
ENSMMUG00000005304,ENSGGOG00000010879,44.3497
ENSMMUG00000022578,ENSGGOG00000025049,49.0527
ENSMMUG00000022578,ENSGGOG00000025049,49.0566
ENSMMUG00000022578,ENSGGOG00000022961,48.736
ENSMMUG00000022583,ENSGGOG00000023554,48.667
ENSMMUG00000022583,ENSGGOG00000012895,48.5196
ENSMMUG00000022584,ENSGGOG00000013717,45.9016
ENSMMUG00000022734,ENSGGOG00000024958,48.7055
ENSMMUG00000032474,ENSGGOG00000025700,48.42
ENSMMUG00000002859,ENSGGOG00000022456,17.9191
ENSMMUG00000002360,ENSGGOG00000025576,47.8519
ENSMMUG00000019489,ENSGGOG00000014232,47.9224
ENSMMUG00000019492,ENSGGOG00000001916,49.2821
ENSMMUG00000018001,ENSGGOG00000022351,49.6429
ENSMMUG00000016391,ENSGGOG00000034921,49.1692
ENSMMUG00000016391,ENSGGOG00000024815,48.7472
ENSMMUG00000016391,ENSGGOG00000027633,48.708
ENSMMUG00000003504,ENSGGOG00000022948,48.7535
ENSMMUG00000003505,ENSGGOG00000014682,41.8803
ENSMMUG00000015266,ENSGGOG00000014141,5.91581
ENSMMUG00000003317,ENSGGOG00000014223,48.8714
ENSMMUG00000003317,ENSGGOG00000022699,48.734
ENSMMUG00000003317,ENSGGOG00000024815,48.9774
ENSMMUG00000003317,ENSGGOG00000022961,48.6699
ENSMMUG00000003317,ENSGGOG00000009154,49.3506
ENSMMUG00000032473,ENSGGOG00000003752,48.9712
ENSMMUG00000003322,ENSGGOG00000028158,47.7218
ENSMMUG00000003323,ENSGGOG00000012076,48.227
ENSMMUG00000018975,ENSGGOG00000023325,48.0676
ENSMMUG00000004701,ENSGGOG00000023316,48.7943
ENSMMUG00000032470,ENSGGOG00000022491,6.23053
ENSMMUG00000019338,ENSGGOG00000028419,22.8027
ENSMMUG00000019338,ENSGGOG00000028419,22.6537
ENSMMUG00000002986,ENSGGOG00000023517,47.5269
ENSMMUG00000002986,ENSGGOG00000003672,47.2789
ENSMMUG00000002292,ENSGGOG00000006443,39.6304
ENSMMUG00000019176,ENSGGOG00000027262,48.996
ENSMMUG00000002253,ENSGGOG00000001305,48.3051
ENSMMUG00000019663,ENSGGOG00000027794,47.38
ENSMMUG00000006241,ENSGGOG00000023641,35.7143
ENSMMUG00000003897,ENSGGOG00000024004,47.4407
ENSMMUG00000032469,ENSGGOG00000027411,39.8305
ENSMMUG00000023018,ENSGGOG00000015683,48
ENSMMUG00000023016,ENSGGOG00000002467,49.4994
ENSMMUG00000015191,ENSGGOG00000025666,32.3899
ENSMMUG00000019546,ENSGGOG00000001546,49.2588
ENSMMUG00000019546,ENSGGOG00000005082,49.6674
ENSMMUG00000017422,ENSGGOG00000002991,49.6844
ENSMMUG00000017423,ENSGGOG00000034992,47.9959
ENSMMUG00000017423,ENSGGOG00000005438,46.9786
ENSMMUG00000017423,ENSGGOG00000012775,47.8392
ENSMMUG00000017423,ENSGGOG00000007551,48.2759
ENSMMUG00000017428,ENSGGOG00000011811,48.7855
ENSMMUG00000017428,ENSGGOG00000007745,48.2845
ENSMMUG00000017428,ENSGGOG00000005255,50.1311
ENSMMUG00000014002,ENSGGOG00000001404,47.644
ENSMMUG00000016608,ENSGGOG00000003079,48.5401
ENSMMUG00000005453,ENSGGOG00000013986,48.2372
ENSMMUG00000008566,ENSGGOG00000016654,40.1347
ENSMMUG00000010404,ENSGGOG00000006838,44.8937
ENSMMUG00000010404,ENSGGOG00000006838,48.1889
ENSMMUG00000011418,ENSGGOG00000002811,47.6898
ENSMMUG00000011420,ENSGGOG00000000224,47.1591
ENSMMUG00000011426,ENSGGOG00000025884,48.5426
ENSMMUG00000011426,ENSGGOG00000026883,48.153
ENSMMUG00000032465,ENSGGOG00000004655,46.9828
ENSMMUG00000019420,ENSGGOG00000025400,50.2467
ENSMMUG00000019420,ENSGGOG00000011619,50.2648
ENSMMUG00000019420,ENSGGOG00000028365,47.9167
ENSMMUG00000018535,ENSGGOG00000014428,47.9549
ENSMMUG00000018535,ENSGGOG00000025946,48.3478
ENSMMUG00000012063,ENSGGOG00000002618,49.2877
ENSMMUG00000014065,ENSGGOG00000025576,49.5614
ENSMMUG00000014066,ENSGGOG00000026860,41.8933
ENSMMUG00000014066,ENSGGOG00000025650,48.062
ENSMMUG00000001258,ENSGGOG00000010311,39.4792
ENSMMUG00000010883,ENSGGOG00000023773,48.7705
ENSMMUG00000006396,ENSGGOG00000009671,47.5724
ENSMMUG00000020044,ENSGGOG00000028368,47.2855
ENSMMUG00000020044,ENSGGOG00000022478,47.5694
ENSMMUG00000020044,ENSGGOG00000028368,46.7601
ENSMMUG00000020044,ENSGGOG00000025754,47.7954
ENSMMUG00000010112,ENSGGOG00000025576,48.9583
ENSMMUG00000010112,ENSGGOG00000023773,48.4258
ENSMMUG00000008046,ENSGGOG00000025576,48.8889
ENSMMUG00000008046,ENSGGOG00000024014,48.1481
ENSMMUG00000008046,ENSGGOG00000002110,48.2609
ENSMMUG00000008046,ENSGGOG00000028368,47.7954
ENSMMUG00000014463,ENSGGOG00000022623,49.2123
ENSMMUG00000014463,ENSGGOG00000022623,49.2158
ENSMMUG00000014463,ENSGGOG00000028469,49.3421
ENSMMUG00000005347,ENSGGOG00000028313,48.0253
ENSMMUG00000019164,ENSGGOG00000028422,48.2709
ENSMMUG00000019164,ENSGGOG00000022456,47.986
ENSMMUG00000016975,ENSGGOG00000022833,48.251
ENSMMUG00000016975,ENSGGOG00000016094,47.9373
ENSMMUG00000018894,ENSGGOG00000022262,48.3603
ENSMMUG00000018894,ENSGGOG00000006624,48.987
ENSMMUG00000018895,ENSGGOG00000006271,47.5362
ENSMMUG00000018895,ENSGGOG00000006271,47.326
ENSMMUG00000018895,ENSGGOG00000006271,47.21
ENSMMUG00000018895,ENSGGOG00000006271,47.216
ENSMMUG00000018336,ENSGGOG00000002618,46.6667
ENSMMUG00000018335,ENSGGOG00000005149,48.1418
ENSMMUG00000018335,ENSGGOG00000005149,48.0087
ENSMMUG00000004439,ENSGGOG00000015011,49.409
ENSMMUG00000004439,ENSGGOG00000024341,48.4395
ENSMMUG00000004439,ENSGGOG00000024341,49.2507
ENSMMUG00000015396,ENSGGOG00000027653,47.7642
ENSMMUG00000015396,ENSGGOG00000010879,47.1513
ENSMMUG00000019767,ENSGGOG00000012003,48.6573
ENSMMUG00000019768,ENSGGOG00000026440,48.8253
ENSMMUG00000019768,ENSGGOG00000026440,48.966
ENSMMUG00000019768,ENSGGOG00000016198,47.7435
ENSMMUG00000007505,ENSGGOG00000026525,49.8801
ENSMMUG00000016464,ENSGGOG00000027785,47.9961
ENSMMUG00000016465,ENSGGOG00000016587,48.0633
ENSMMUG00000016465,ENSGGOG00000008323,48.5249
ENSMMUG00000016467,ENSGGOG00000004536,3.8065
ENSMMUG00000016469,ENSGGOG00000016493,44.8575
ENSMMUG00000004547,ENSGGOG00000027785,48.1013
ENSMMUG00000004548,ENSGGOG00000023691,49.0196
ENSMMUG00000004548,ENSGGOG00000023870,48.8667
ENSMMUG00000004548,ENSGGOG00000023442,48.1034
ENSMMUG00000004548,ENSGGOG00000024097,47.5877
ENSMMUG00000004548,ENSGGOG00000022053,49.0476
ENSMMUG00000004553,ENSGGOG00000006271,47.9585
ENSMMUG00000004553,ENSGGOG00000008999,48.8386
ENSMMUG00000004553,ENSGGOG00000008999,49.2253
ENSMMUG00000004557,ENSGGOG00000000889,48.9726
ENSMMUG00000004558,ENSGGOG00000027737,49.323
ENSMMUG00000004558,ENSGGOG00000014406,48.8152
ENSMMUG00000004559,ENSGGOG00000012500,49.5643
ENSMMUG00000020059,ENSGGOG00000011998,48.2001
ENSMMUG00000020059,ENSGGOG00000016381,47.6613
ENSMMUG00000020059,ENSGGOG00000007836,48.566
ENSMMUG00000023494,ENSGGOG00000009668,48.8915
ENSMMUG00000032463,ENSGGOG00000022513,8.71965
ENSMMUG00000010617,ENSGGOG00000001083,46.9097
ENSMMUG00000010618,ENSGGOG00000026915,45.202
ENSMMUG00000010620,ENSGGOG00000028376,48.1913
ENSMMUG00000010620,ENSGGOG00000004198,48.4453
