macaca_mulatta,homo_sapiens
ENSMMUG00000020513,ENSG00000169474,48.9614
ENSMMUG00000020513,ENSG00000143442,50.5976
ENSMMUG00000020513,ENSG00000196504,47.9522
ENSMMUG00000006635,ENSG00000233280,49.4041
ENSMMUG00000014235,ENSG00000259896,47.5129
ENSMMUG00000014235,ENSG00000259896,48.1456
ENSMMUG00000001245,ENSG00000138434,49.7892
ENSMMUG00000001245,ENSG00000143390,49.4028
ENSMMUG00000020515,ENSG00000136536,49.6552
ENSMMUG00000020515,ENSG00000136536,49.769
ENSMMUG00000020515,ENSG00000136536,49.8337
ENSMMUG00000020515,ENSG00000136536,49.7502
ENSMMUG00000020515,ENSG00000136536,49.5976
ENSMMUG00000020515,ENSG00000138381,49.7619
ENSMMUG00000020515,ENSG00000136536,49.5159
ENSMMUG00000032516,ENSG00000173992,49.1453
ENSMMUG00000004408,ENSG00000188010,48.5237
ENSMMUG00000032515,ENSG00000255738,50.3817
ENSMMUG00000007584,ENSG00000138068,48.8449
ENSMMUG00000007583,ENSG00000257961,47.0035
ENSMMUG00000007583,ENSG00000187238,47.9365
ENSMMUG00000007581,ENSG00000188010,49.3029
ENSMMUG00000032514,ENSG00000156931,52.381
ENSMMUG00000007580,ENSG00000143889,48.8004
ENSMMUG00000010402,ENSG00000172932,48.0753
ENSMMUG00000014993,ENSG00000065548,49.0734
ENSMMUG00000032513,ENSG00000260119,49.6855
ENSMMUG00000017336,ENSG00000123612,49.0515
ENSMMUG00000017336,ENSG00000144366,49.0369
ENSMMUG00000017336,ENSG00000136541,49.348
ENSMMUG00000017336,ENSG00000159352,49.2744
ENSMMUG00000017336,ENSG00000136541,49.0404
ENSMMUG00000012622,ENSG00000115271,48.2068
ENSMMUG00000032512,ENSG00000136541,49.3363
ENSMMUG00000017258,ENSG00000156931,48.7487
ENSMMUG00000001554,ENSG00000262379,49.5146
ENSMMUG00000001554,ENSG00000115263,49.0028
ENSMMUG00000001713,ENSG00000143409,48.6826
ENSMMUG00000002431,ENSG00000105856,48.9166
ENSMMUG00000002204,ENSG00000119787,48.8722
ENSMMUG00000002207,ENSG00000163918,48.3483
ENSMMUG00000002209,ENSG00000144366,48.8542
ENSMMUG00000002209,ENSG00000144366,48.906
ENSMMUG00000002210,ENSG00000172155,49.217
ENSMMUG00000004434,ENSG00000136536,49.2834
ENSMMUG00000017339,ENSG00000163207,49.2994
ENSMMUG00000005145,ENSG00000139263,49.4499
ENSMMUG00000004744,ENSG00000163207,48.5788
ENSMMUG00000004744,ENSG00000143367,48.4666
ENSMMUG00000004744,ENSG00000144366,49.3648
ENSMMUG00000006577,ENSG00000091137,47.2452
ENSMMUG00000006578,ENSG00000196504,48.8299
ENSMMUG00000021184,ENSG00000156976,48.7477
ENSMMUG00000010727,ENSG00000260119,50.1618
ENSMMUG00000004745,ENSG00000153237,48.0532
ENSMMUG00000004745,ENSG00000184330,48.3245
ENSMMUG00000014182,ENSG00000187699,49.0643
ENSMMUG00000014182,ENSG00000257339,49.1256
ENSMMUG00000007171,ENSG00000138068,49.4523
ENSMMUG00000000192,ENSG00000172932,48.8012
ENSMMUG00000000192,ENSG00000127241,48.8774
ENSMMUG00000000192,ENSG00000143398,50.2381
ENSMMUG00000004565,ENSG00000184220,48.5827
ENSMMUG00000004565,ENSG00000075790,49.6078
ENSMMUG00000000193,ENSG00000154175,50.2347
ENSMMUG00000002134,ENSG00000138381,48.5704
ENSMMUG00000002134,ENSG00000003436,48.4581
ENSMMUG00000032510,ENSG00000113966,48.792
ENSMMUG00000032510,ENSG00000105835,49.0541
ENSMMUG00000012379,ENSG00000143442,49.2593
ENSMMUG00000007500,ENSG00000135241,48.9489
ENSMMUG00000007500,ENSG00000061676,48.9566
ENSMMUG00000007500,ENSG00000168386,49.1765
ENSMMUG00000032508,ENSG00000113966,48.792
ENSMMUG00000032508,ENSG00000114021,49.1194
ENSMMUG00000007501,ENSG00000261042,47.412
ENSMMUG00000014250,ENSG00000065548,48.6577
ENSMMUG00000022467,ENSG00000123612,50.122
ENSMMUG00000022467,ENSG00000123612,50.0815
ENSMMUG00000008737,ENSG00000187699,49.1094
ENSMMUG00000008737,ENSG00000159352,48.8017
ENSMMUG00000008737,ENSG00000145012,48.3421
ENSMMUG00000020392,ENSG00000113966,49.1865
ENSMMUG00000020392,ENSG00000262249,48.9621
ENSMMUG00000020392,ENSG00000003436,49.1525
ENSMMUG00000020392,ENSG00000136560,48.528
ENSMMUG00000016615,ENSG00000138386,49.0965
ENSMMUG00000016615,ENSG00000262742,48.8078
ENSMMUG00000016617,ENSG00000115267,48.4211
ENSMMUG00000016618,ENSG00000260736,49.2462
ENSMMUG00000016619,ENSG00000173715,48.6339
ENSMMUG00000022874,ENSG00000163331,49.0421
ENSMMUG00000022873,ENSG00000153237,48.8823
ENSMMUG00000023589,ENSG00000115159,49.3333
ENSMMUG00000000305,ENSG00000135655,47.8214
ENSMMUG00000000576,ENSG00000136536,48.7903
ENSMMUG00000000576,ENSG00000111490,48.9843
ENSMMUG00000000576,ENSG00000113838,46.9876
ENSMMUG00000032507,ENSG00000257370,28.2828
ENSMMUG00000003250,ENSG00000105879,46.2103
ENSMMUG00000019555,ENSG00000115263,48.5714
ENSMMUG00000019555,ENSG00000198130,48.5981
ENSMMUG00000019555,ENSG00000073803,48.3444
ENSMMUG00000021937,ENSG00000156931,51.4403
ENSMMUG00000013529,ENSG00000262562,48.4166
ENSMMUG00000032506,ENSG00000113966,48.5401
ENSMMUG00000032505,ENSG00000257370,32.967
ENSMMUG00000017728,ENSG00000143889,48.4259
ENSMMUG00000022142,ENSG00000115841,48.7437
ENSMMUG00000001088,ENSG00000259808,49.2543
ENSMMUG00000021366,ENSG00000114354,47.9144
ENSMMUG00000018824,ENSG00000262622,49.0944
ENSMMUG00000018824,ENSG00000163918,49.5766
ENSMMUG00000032503,ENSG00000143442,52.1127
ENSMMUG00000022902,ENSG00000136541,48.1976
ENSMMUG00000022902,ENSG00000136541,48.1457
ENSMMUG00000022902,ENSG00000144395,48.7106
ENSMMUG00000032502,ENSG00000257370,46.0674
ENSMMUG00000016298,ENSG00000138068,55.3191
ENSMMUG00000032501,ENSG00000257370,42.6087
ENSMMUG00000018275,ENSG00000119787,48.7905
ENSMMUG00000018275,ENSG00000119787,48.8384
ENSMMUG00000008335,ENSG00000163209,49.0494
ENSMMUG00000008335,ENSG00000188010,48.8511
ENSMMUG00000009241,ENSG00000163171,49.1525
ENSMMUG00000010169,ENSG00000061987,49.1745
ENSMMUG00000010169,ENSG00000061987,49.0918
ENSMMUG00000016361,ENSG00000241399,49.2223
ENSMMUG00000016361,ENSG00000189362,50.0931
ENSMMUG00000016364,ENSG00000144366,48.4848
ENSMMUG00000013850,ENSG00000173914,48.9501
ENSMMUG00000006979,ENSG00000105856,47.6044
ENSMMUG00000012610,ENSG00000136560,49.2571
ENSMMUG00000009801,ENSG00000115252,48.3597
ENSMMUG00000009801,ENSG00000182389,47.6864
ENSMMUG00000009801,ENSG00000115841,48.9279
ENSMMUG00000004746,ENSG00000257370,29.5139
ENSMMUG00000032499,ENSG00000135655,48.2587
ENSMMUG00000010417,ENSG00000175077,50.073
ENSMMUG00000020595,ENSG00000115252,48.4215
ENSMMUG00000020595,ENSG00000115252,48.793
ENSMMUG00000020595,ENSG00000064225,48.7078
ENSMMUG00000032498,ENSG00000172155,47.2406
ENSMMUG00000012819,ENSG00000263028,49.3827
ENSMMUG00000012821,ENSG00000196504,49.0277
ENSMMUG00000012821,ENSG00000163157,49.3789
ENSMMUG00000023298,ENSG00000188452,48.959
ENSMMUG00000023298,ENSG00000188452,48.959
ENSMMUG00000023299,ENSG00000262145,49.0416
ENSMMUG00000018433,ENSG00000144395,48.8431
ENSMMUG00000013607,ENSG00000261125,48.8889
ENSMMUG00000020905,ENSG00000262942,48.4804
ENSMMUG00000015702,ENSG00000151690,48.2412
ENSMMUG00000008938,ENSG00000143416,49.1846
ENSMMUG00000008938,ENSG00000163157,49.1814
ENSMMUG00000008938,ENSG00000261577,48.8156
ENSMMUG00000018435,ENSG00000261201,46.7732
ENSMMUG00000008942,ENSG00000128694,49.4042
ENSMMUG00000018439,ENSG00000105835,50
ENSMMUG00000010056,ENSG00000177383,46.1581
ENSMMUG00000009877,ENSG00000115841,47.9606
ENSMMUG00000009879,ENSG00000135655,47.4308
ENSMMUG00000008943,ENSG00000185962,49.1071
ENSMMUG00000018099,ENSG00000261539,49.1713
ENSMMUG00000008945,ENSG00000156931,49.1058
ENSMMUG00000008945,ENSG00000260164,49.331
ENSMMUG00000008945,ENSG00000262942,48.6648
ENSMMUG00000008945,ENSG00000263079,47.4438
ENSMMUG00000016657,ENSG00000064933,48.0178
ENSMMUG00000010575,ENSG00000138449,49.1379
ENSMMUG00000022849,ENSG00000262739,49.1379
ENSMMUG00000006179,ENSG00000196805,48.5958
ENSMMUG00000003918,ENSG00000115252,49.1488
ENSMMUG00000032497,ENSG00000138068,53.4483
ENSMMUG00000001663,ENSG00000064933,48.7805
ENSMMUG00000014916,ENSG00000215853,49.2864
ENSMMUG00000017408,ENSG00000168542,49.6642
ENSMMUG00000012771,ENSG00000177383,48.0124
ENSMMUG00000032496,ENSG00000154175,50.4854
ENSMMUG00000011329,ENSG00000215853,48.9276
ENSMMUG00000012772,ENSG00000144366,48.8742
ENSMMUG00000012773,ENSG00000143452,48.7553
ENSMMUG00000012774,ENSG00000177383,47.4699
ENSMMUG00000012775,ENSG00000203782,47.7524
ENSMMUG00000032494,ENSG00000138068,50
ENSMMUG00000032493,ENSG00000138068,51.3661
ENSMMUG00000001767,ENSG00000187238,50.6061
ENSMMUG00000032492,ENSG00000239306,47.9648
ENSMMUG00000032491,ENSG00000138068,51.9126
ENSMMUG00000012710,ENSG00000144366,45.9459
ENSMMUG00000032490,ENSG00000143442,49.3976
ENSMMUG00000005959,ENSG00000188452,48.8118
ENSMMUG00000011333,ENSG00000259919,49.1445
ENSMMUG00000011333,ENSG00000259919,49.2033
ENSMMUG00000011333,ENSG00000172613,49.064
ENSMMUG00000011333,ENSG00000127241,49.2951
ENSMMUG00000011333,ENSG00000175463,49.1534
ENSMMUG00000011333,ENSG00000175463,49.0336
ENSMMUG00000032489,ENSG00000138068,50.8475
ENSMMUG00000013981,ENSG00000262942,49.2203
ENSMMUG00000013981,ENSG00000091129,48.7805
ENSMMUG00000018157,ENSG00000263079,46.7391
ENSMMUG00000019345,ENSG00000144395,48.8335
ENSMMUG00000019345,ENSG00000144395,48.7534
ENSMMUG00000019345,ENSG00000182134,48.7927
ENSMMUG00000019345,ENSG00000143520,49.1257
ENSMMUG00000019345,ENSG00000143520,49.2237
ENSMMUG00000019345,ENSG00000091129,49.4435
ENSMMUG00000019345,ENSG00000168386,48.9272
ENSMMUG00000019345,ENSG00000163510,48.726
ENSMMUG00000019345,ENSG00000105851,48.5294
ENSMMUG00000019345,ENSG00000261125,49.3333
ENSMMUG00000002493,ENSG00000261587,48.5822
ENSMMUG00000000753,ENSG00000055332,48.7437
ENSMMUG00000000286,ENSG00000263310,7.57576
ENSMMUG00000000286,ENSG00000263310,13.9312
ENSMMUG00000021792,ENSG00000262782,3.07335
ENSMMUG00000021792,ENSG00000262782,9.76996
ENSMMUG00000021792,ENSG00000261577,48.3193
ENSMMUG00000022596,ENSG00000263310,48.4523
ENSMMUG00000032487,ENSG00000228804,49.2375
ENSMMUG00000009151,ENSG00000259919,47.5353
ENSMMUG00000009151,ENSG00000259919,47.729
ENSMMUG00000032486,ENSG00000262972,45.3739
ENSMMUG00000001612,ENSG00000262972,46.4461
ENSMMUG00000001612,ENSG00000263079,46.3938
ENSMMUG00000001613,ENSG00000114021,48.2533
ENSMMUG00000001613,ENSG00000115415,48.1657
ENSMMUG00000014855,ENSG00000143393,48.3527
ENSMMUG00000014855,ENSG00000261297,48.2853
ENSMMUG00000013710,ENSG00000260117,49.4241
ENSMMUG00000013708,ENSG00000258865,47.6569
ENSMMUG00000032485,ENSG00000143452,48.9164
ENSMMUG00000032484,ENSG00000115841,48.0924
ENSMMUG00000006966,ENSG00000163207,48.9316
ENSMMUG00000006966,ENSG00000153234,48.8313
ENSMMUG00000006966,ENSG00000144278,48.4733
ENSMMUG00000019910,ENSG00000091137,47.8326
ENSMMUG00000004530,ENSG00000064933,48.1793
ENSMMUG00000001557,ENSG00000260383,48.8169
ENSMMUG00000022257,ENSG00000184575,48.2972
ENSMMUG00000011371,ENSG00000123427,48.5742
ENSMMUG00000021491,ENSG00000262840,49.0977
ENSMMUG00000002447,ENSG00000113966,48.6877
ENSMMUG00000001465,ENSG00000008869,49.1429
ENSMMUG00000001464,ENSG00000138068,48.8889
ENSMMUG00000001738,ENSG00000073803,47.9424
ENSMMUG00000002608,ENSG00000169474,48.5095
ENSMMUG00000011104,ENSG00000262666,47.79
ENSMMUG00000011104,ENSG00000135454,48.8414
ENSMMUG00000011104,ENSG00000260383,48.6708
ENSMMUG00000011053,ENSG00000080200,49.4624
ENSMMUG00000006967,ENSG00000080819,47.8694
ENSMMUG00000006969,ENSG00000080819,48.8071
ENSMMUG00000013220,ENSG00000144366,48.9282
ENSMMUG00000032481,ENSG00000064933,49.0566
ENSMMUG00000013221,ENSG00000064933,48.546
ENSMMUG00000005351,ENSG00000255738,48.2353
ENSMMUG00000013131,ENSG00000163002,48.871
ENSMMUG00000013135,ENSG00000113966,49.2787
ENSMMUG00000013135,ENSG00000163159,48.7939
ENSMMUG00000013135,ENSG00000196151,48.7514
ENSMMUG00000013493,ENSG00000003436,48.7161
ENSMMUG00000032480,ENSG00000172531,47.9167
ENSMMUG00000006876,ENSG00000196151,49.1413
ENSMMUG00000003201,ENSG00000166148,49.0919
ENSMMUG00000003201,ENSG00000261042,48.9344
ENSMMUG00000032479,ENSG00000196950,48.9796
ENSMMUG00000015739,ENSG00000212907,50.8642
ENSMMUG00000005292,ENSG00000143442,49.6398
ENSMMUG00000005292,ENSG00000143442,49.6058
ENSMMUG00000000710,ENSG00000261678,48.3787
ENSMMUG00000012762,ENSG00000115271,47.7762
ENSMMUG00000012762,ENSG00000115875,48.7278
ENSMMUG00000005263,ENSG00000257339,46.5116
ENSMMUG00000005263,ENSG00000239306,47.1354
ENSMMUG00000005264,ENSG00000138448,48.6331
ENSMMUG00000032476,ENSG00000114354,48.272
ENSMMUG00000001019,ENSG00000261694,47.5584
ENSMMUG00000001019,ENSG00000261587,47.2515
ENSMMUG00000001017,ENSG00000144395,48.538
ENSMMUG00000013753,ENSG00000054219,48.8779
ENSMMUG00000013753,ENSG00000091129,49.1091
ENSMMUG00000013753,ENSG00000091129,49.2175
ENSMMUG00000017075,ENSG00000138068,53.0303
ENSMMUG00000017569,ENSG00000115252,48.794
ENSMMUG00000005304,ENSG00000261678,46.0554
ENSMMUG00000022578,ENSG00000135241,48.8479
ENSMMUG00000022578,ENSG00000135241,48.8805
ENSMMUG00000022578,ENSG00000064933,48.9888
ENSMMUG00000022583,ENSG00000262908,48.0397
ENSMMUG00000022583,ENSG00000233412,48.1375
ENSMMUG00000022584,ENSG00000144366,46.3627
ENSMMUG00000022734,ENSG00000118997,49.0291
ENSMMUG00000032474,ENSG00000175463,48.9806
ENSMMUG00000002859,ENSG00000143375,48.5549
ENSMMUG00000002360,ENSG00000154175,47.4074
ENSMMUG00000019489,ENSG00000173914,48.4765
ENSMMUG00000019492,ENSG00000119787,49.3666
ENSMMUG00000018001,ENSG00000115828,49.4643
ENSMMUG00000016391,ENSG00000143889,48.6945
ENSMMUG00000016391,ENSG00000136560,48.5194
ENSMMUG00000016391,ENSG00000136560,49.2248
ENSMMUG00000003504,ENSG00000196504,48.3841
ENSMMUG00000003505,ENSG00000080822,48.7179
ENSMMUG00000015266,ENSG00000250765,48.8055
ENSMMUG00000003317,ENSG00000138434,48.5914
ENSMMUG00000003317,ENSG00000259816,48.3164
ENSMMUG00000003317,ENSG00000135655,48.9774
ENSMMUG00000003317,ENSG00000144339,48.9232
ENSMMUG00000003317,ENSG00000218739,42.7128
ENSMMUG00000032473,ENSG00000138068,49.7942
ENSMMUG00000003322,ENSG00000228804,49.1607
ENSMMUG00000003323,ENSG00000091136,48.7943
ENSMMUG00000018975,ENSG00000064933,48.5507
ENSMMUG00000004701,ENSG00000154175,48.3688
ENSMMUG00000032470,ENSG00000185962,49.2212
ENSMMUG00000019338,ENSG00000257339,47.5954
ENSMMUG00000019338,ENSG00000259919,48.1392
ENSMMUG00000002986,ENSG00000264886,48.3871
ENSMMUG00000002986,ENSG00000163898,48.6395
ENSMMUG00000002292,ENSG00000262249,42.5051
ENSMMUG00000019176,ENSG00000138449,49.3976
ENSMMUG00000002253,ENSG00000144395,48.9407
ENSMMUG00000019663,ENSG00000260596,47.4681
ENSMMUG00000006241,ENSG00000257370,37.3016
ENSMMUG00000003897,ENSG00000177990,49.6255
ENSMMUG00000032469,ENSG00000151689,47.5989
ENSMMUG00000023018,ENSG00000198130,48.1905
ENSMMUG00000023016,ENSG00000263141,49.1865
ENSMMUG00000015191,ENSG00000257370,22.327
ENSMMUG00000019546,ENSG00000153237,48.9892
ENSMMUG00000019546,ENSG00000262204,49.8152
ENSMMUG00000017422,ENSG00000175505,49.6844
ENSMMUG00000017423,ENSG00000259919,48.0644
ENSMMUG00000017423,ENSG00000172155,47.9532
ENSMMUG00000017423,ENSG00000257961,48.0402
ENSMMUG00000017423,ENSG00000260789,47.9457
ENSMMUG00000017428,ENSG00000172830,48.4636
ENSMMUG00000017428,ENSG00000172830,48.6937
ENSMMUG00000017428,ENSG00000198804,50.9177
ENSMMUG00000014002,ENSG00000159409,48.233
ENSMMUG00000016608,ENSG00000261163,48.5401
ENSMMUG00000005453,ENSG00000163157,48.5577
ENSMMUG00000008566,ENSG00000262249,41.3468
ENSMMUG00000010404,ENSG00000262562,47.7568
ENSMMUG00000010404,ENSG00000262562,43.3239
ENSMMUG00000011418,ENSG00000260596,48.2948
ENSMMUG00000011420,ENSG00000175463,48.1061
ENSMMUG00000011426,ENSG00000175505,48.5426
ENSMMUG00000011426,ENSG00000261236,48.285
ENSMMUG00000032465,ENSG00000173156,47.8448
ENSMMUG00000019420,ENSG00000262666,50
ENSMMUG00000019420,ENSG00000261297,49.7352
ENSMMUG00000019420,ENSG00000185962,47.9167
ENSMMUG00000018535,ENSG00000173715,48.237
ENSMMUG00000018535,ENSG00000143546,48.6957
ENSMMUG00000012063,ENSG00000090520,50.1425
ENSMMUG00000014065,ENSG00000123636,49.5614
ENSMMUG00000014066,ENSG00000262037,40.9869
ENSMMUG00000014066,ENSG00000260119,49.2248
ENSMMUG00000001258,ENSG00000262037,39.0625
ENSMMUG00000010883,ENSG00000163331,47.8142
ENSMMUG00000006396,ENSG00000262562,42.4041
ENSMMUG00000020044,ENSG00000105856,48.5114
ENSMMUG00000020044,ENSG00000138068,50.6944
ENSMMUG00000020044,ENSG00000163157,48.8616
ENSMMUG00000020044,ENSG00000105856,49.03
ENSMMUG00000010112,ENSG00000123636,48.6607
ENSMMUG00000010112,ENSG00000135655,48.4258
ENSMMUG00000008046,ENSG00000123636,48.4444
ENSMMUG00000008046,ENSG00000255738,49.2375
ENSMMUG00000008046,ENSG00000138434,48.1159
ENSMMUG00000008046,ENSG00000105856,49.2063
ENSMMUG00000014463,ENSG00000153179,49.5874
ENSMMUG00000014463,ENSG00000143393,49.5146
ENSMMUG00000014463,ENSG00000143418,49.4243
ENSMMUG00000005347,ENSG00000163898,48.9731
ENSMMUG00000019164,ENSG00000143390,48.5591
ENSMMUG00000019164,ENSG00000105856,49.2119
ENSMMUG00000016975,ENSG00000175463,48.5841
ENSMMUG00000016975,ENSG00000261587,47.1122
ENSMMUG00000018894,ENSG00000260383,48.7518
ENSMMUG00000018894,ENSG00000166148,48.7273
ENSMMUG00000018895,ENSG00000238035,48.1884
ENSMMUG00000018895,ENSG00000238035,48.0586
ENSMMUG00000018895,ENSG00000238035,48.091
ENSMMUG00000018895,ENSG00000261042,47.9584
ENSMMUG00000018336,ENSG00000257814,48.2051
ENSMMUG00000018335,ENSG00000172613,48.1845
ENSMMUG00000018335,ENSG00000260384,48.3983
ENSMMUG00000004439,ENSG00000262327,49.015
ENSMMUG00000004439,ENSG00000136541,49.4382
ENSMMUG00000004439,ENSG00000003509,48.8012
ENSMMUG00000015396,ENSG00000263079,48.1707
ENSMMUG00000015396,ENSG00000260376,47.8716
ENSMMUG00000019767,ENSG00000260376,48.7212
ENSMMUG00000019768,ENSG00000261236,48.605
ENSMMUG00000019768,ENSG00000261297,48.5598
ENSMMUG00000019768,ENSG00000173992,47.9216
ENSMMUG00000007505,ENSG00000255738,50.1199
ENSMMUG00000016464,ENSG00000263138,48.2893
ENSMMUG00000016465,ENSG00000260789,48.6236
ENSMMUG00000016465,ENSG00000259919,48.2197
ENSMMUG00000016467,ENSG00000172932,49.7224
ENSMMUG00000016469,ENSG00000172830,46.7162
ENSMMUG00000004547,ENSG00000261042,48.6287
ENSMMUG00000004548,ENSG00000261577,48.6275
ENSMMUG00000004548,ENSG00000173992,48.1414
ENSMMUG00000004548,ENSG00000261587,48.0172
ENSMMUG00000004548,ENSG00000143375,47.807
ENSMMUG00000004548,ENSG00000138449,51.4286
ENSMMUG00000004553,ENSG00000238035,48.0277
ENSMMUG00000004553,ENSG00000173653,49.3612
ENSMMUG00000004553,ENSG00000173653,49.1061
ENSMMUG00000004557,ENSG00000175182,49.7065
ENSMMUG00000004558,ENSG00000173227,48.4526
ENSMMUG00000004558,ENSG00000172932,48.7787
ENSMMUG00000004559,ENSG00000172508,49.0117
ENSMMUG00000020059,ENSG00000143367,48.0131
ENSMMUG00000020059,ENSG00000173227,47.8582
ENSMMUG00000020059,ENSG00000260789,48.7572
ENSMMUG00000023494,ENSG00000172830,48.5664
ENSMMUG00000032463,ENSG00000175505,48.6755
ENSMMUG00000010617,ENSG00000173621,47.5436
ENSMMUG00000010618,ENSG00000187238,47.9798
ENSMMUG00000010620,ENSG00000257961,48.927
ENSMMUG00000010620,ENSG00000257961,48.7562
ENSMMUG00000010620,ENSG00000257339,48.1655
ENSMMUG00000010620,ENSG00000175182,48.9325
ENSMMUG00000010620,ENSG00000175182,48.855
ENSMMUG00000010620,ENSG00000239306,48.2342
ENSMMUG00000020557,ENSG00000261456,48.4103
ENSMMUG00000023021,ENSG00000261155,47.6923
ENSMMUG00000023021,ENSG00000163882,47.3139
ENSMMUG00000023021,ENSG00000173156,47.2698
ENSMMUG00000023021,ENSG00000173020,48.0023
ENSMMUG00000023022,ENSG00000260199,49.0355
ENSMMUG00000023024,ENSG00000175463,47.5426
ENSMMUG00000023025,ENSG00000104825,49.7739
ENSMMUG00000008618,ENSG00000260383,48.2944
ENSMMUG00000008618,ENSG00000260383,49.0531
ENSMMUG00000008618,ENSG00000172508,48.8903
ENSMMUG00000008618,ENSG00000172508,48.6642
ENSMMUG00000008622,ENSG00000263079,46.1404
ENSMMUG00000008623,ENSG00000163207,47.4664
ENSMMUG00000008624,ENSG00000143375,47.5309
ENSMMUG00000008624,ENSG00000143375,47.5638
ENSMMUG00000008624,ENSG00000175182,47.5231
ENSMMUG00000008625,ENSG00000261042,47.8922
ENSMMUG00000002333,ENSG00000255738,32.0755
ENSMMUG00000002333,ENSG00000255738,39.5564
ENSMMUG00000002333,ENSG00000255738,36.965
ENSMMUG00000002333,ENSG00000255738,39.4052
ENSMMUG00000002333,ENSG00000255738,12.5356
ENSMMUG00000002333,ENSG00000255738,42.2535
ENSMMUG00000002333,ENSG00000255738,28.9888
ENSMMUG00000002333,ENSG00000255738,21.8045
ENSMMUG00000002333,ENSG00000255738,12.5356
ENSMMUG00000002333,ENSG00000255738,23.6364
ENSMMUG00000017015,ENSG00000255738,36.3218
ENSMMUG00000017015,ENSG00000255738,26.1261
ENSMMUG00000007939,ENSG00000175505,47.4576
ENSMMUG00000003082,ENSG00000184220,48.4144
ENSMMUG00000001138,ENSG00000163206,48.6948
ENSMMUG00000023056,ENSG00000182134,49.0021
ENSMMUG00000023059,ENSG00000156931,50.7042
ENSMMUG00000023060,ENSG00000262773,48.7383
ENSMMUG00000023060,ENSG00000144395,48.2661
ENSMMUG00000023060,ENSG00000198130,47.8873
ENSMMUG00000014161,ENSG00000262771,48.5915
ENSMMUG00000014161,ENSG00000263040,49.5495
ENSMMUG00000032460,ENSG00000188010,48.3498
ENSMMUG00000032459,ENSG00000264886,48.6339
ENSMMUG00000016492,ENSG00000058866,48.7436
ENSMMUG00000000378,ENSG00000260164,48.7675
ENSMMUG00000032458,ENSG00000257370,27.0833
ENSMMUG00000032457,ENSG00000257814,49.3827
ENSMMUG00000017358,ENSG00000159377,49.4078
ENSMMUG00000017359,ENSG00000144278,48.1481
ENSMMUG00000014382,ENSG00000196754,48.6486
ENSMMUG00000032456,ENSG00000260873,49.0909
ENSMMUG00000014033,ENSG00000238035,46.6531
ENSMMUG00000032455,ENSG00000175634,48.8889
ENSMMUG00000032454,ENSG00000263079,46.1078
ENSMMUG00000021120,ENSG00000159409,48.3204
ENSMMUG00000021120,ENSG00000163207,48.726
ENSMMUG00000020202,ENSG00000261236,48.3372
ENSMMUG00000020201,ENSG00000261149,49.5335
ENSMMUG00000021850,ENSG00000198673,47.3258
ENSMMUG00000012073,ENSG00000143442,48.374
ENSMMUG00000032452,ENSG00000138068,51.9608
ENSMMUG00000009402,ENSG00000169469,49.1228
ENSMMUG00000032451,ENSG00000138068,51.9608
ENSMMUG00000003251,ENSG00000255738,47.1735
ENSMMUG00000003251,ENSG00000255738,46.0581
ENSMMUG00000021851,ENSG00000163918,47.9751
ENSMMUG00000002592,ENSG00000173621,47.9314
ENSMMUG00000002593,ENSG00000257961,49.2953
ENSMMUG00000020553,ENSG00000143393,48.6961
ENSMMUG00000020553,ENSG00000260789,48.6883
ENSMMUG00000020553,ENSG00000173020,48.556
ENSMMUG00000020553,ENSG00000260220,48.5442
ENSMMUG00000020555,ENSG00000263310,47.9747
ENSMMUG00000020555,ENSG00000172830,48.5307
ENSMMUG00000020555,ENSG00000262739,48.7701
ENSMMUG00000020555,ENSG00000262972,49.1607
ENSMMUG00000009293,ENSG00000144395,48.0064
ENSMMUG00000009293,ENSG00000228804,48.9822
ENSMMUG00000009295,ENSG00000143393,48.4211
ENSMMUG00000009296,ENSG00000260178,48.0709
ENSMMUG00000009296,ENSG00000260178,48.0769
ENSMMUG00000000473,ENSG00000115841,47.7352
ENSMMUG00000006362,ENSG00000261023,49.1192
ENSMMUG00000006362,ENSG00000260164,49.3932
ENSMMUG00000000026,ENSG00000184220,48.8889
ENSMMUG00000008751,ENSG00000260716,49.4878
ENSMMUG00000008751,ENSG00000260716,49.4122
ENSMMUG00000008751,ENSG00000172830,49.4234
ENSMMUG00000008751,ENSG00000119787,49.3802
ENSMMUG00000008760,ENSG00000090539,49.3936
ENSMMUG00000008760,ENSG00000090539,45.3782
ENSMMUG00000005433,ENSG00000151687,48.591
ENSMMUG00000005433,ENSG00000151687,48.5459
ENSMMUG00000012612,ENSG00000173237,49.3992
ENSMMUG00000012613,ENSG00000172830,48.2365
ENSMMUG00000008231,ENSG00000175463,49.3158
ENSMMUG00000007339,ENSG00000143393,49.1749
ENSMMUG00000007345,ENSG00000143367,48.7382
ENSMMUG00000007345,ENSG00000173020,48.7527
ENSMMUG00000007345,ENSG00000143367,48.6808
ENSMMUG00000007345,ENSG00000263290,48.2122
ENSMMUG00000007345,ENSG00000261933,48.6776
ENSMMUG00000007345,ENSG00000260789,48.5629
ENSMMUG00000007345,ENSG00000143367,48.5015
ENSMMUG00000007345,ENSG00000260789,48.2551
ENSMMUG00000008422,ENSG00000143536,48.7468
ENSMMUG00000008422,ENSG00000143412,48.7235
ENSMMUG00000008422,ENSG00000163207,48.7476
