macaca_mulatta,pan_troglodytes
ENSMMUG00000016238,ENSPTRG00000021702,37.0927
ENSMMUG00000016238,ENSPTRG00000021702,34.6694
ENSMMUG00000016238,ENSPTRG00000021702,35.5091
ENSMMUG00000010914,ENSPTRG00000019057,48.0374
ENSMMUG00000010914,ENSPTRG00000040529,48.7871
ENSMMUG00000010914,ENSPTRG00000005759,48.4848
ENSMMUG00000013356,ENSPTRG00000019141,49.2823
ENSMMUG00000021599,ENSPTRG00000021673,48.1583
ENSMMUG00000021598,ENSPTRG00000042501,48.151
ENSMMUG00000012001,ENSPTRG00000023331,49.2379
ENSMMUG00000012001,ENSPTRG00000003325,49.4363
ENSMMUG00000012001,ENSPTRG00000021703,49.4013
ENSMMUG00000012001,ENSPTRG00000000111,48.9023
ENSMMUG00000010598,ENSPTRG00000021703,17.3642
ENSMMUG00000010598,ENSPTRG00000021703,28.8098
ENSMMUG00000032525,ENSPTRG00000034369,48.4594
ENSMMUG00000012915,ENSPTRG00000018990,49.9223
ENSMMUG00000012916,ENSPTRG00000005740,49.3053
ENSMMUG00000012916,ENSPTRG00000016954,49.1842
ENSMMUG00000012894,ENSPTRG00000021705,12.5817
ENSMMUG00000012894,ENSPTRG00000021705,46.6936
ENSMMUG00000012894,ENSPTRG00000005771,49.0975
ENSMMUG00000012899,ENSPTRG00000021706,8.93737
ENSMMUG00000012899,ENSPTRG00000021706,17.2692
ENSMMUG00000012918,ENSPTRG00000009873,47.619
ENSMMUG00000012918,ENSPTRG00000014062,48.2667
ENSMMUG00000016110,ENSPTRG00000000140,50.6621
ENSMMUG00000023218,ENSPTRG00000007686,46.7344
ENSMMUG00000022568,ENSPTRG00000005861,49.1009
ENSMMUG00000001433,ENSPTRG00000028298,48.9693
ENSMMUG00000032522,ENSPTRG00000021855,49.1111
ENSMMUG00000019969,ENSPTRG00000021708,18.7394
ENSMMUG00000019969,ENSPTRG00000021708,30.4438
ENSMMUG00000005084,ENSPTRG00000021714,48.3453
ENSMMUG00000019974,ENSPTRG00000039663,49.2471
ENSMMUG00000019974,ENSPTRG00000016913,49.3018
ENSMMUG00000032520,ENSPTRG00000031031,51.3889
ENSMMUG00000005063,ENSPTRG00000021711,25.3819
ENSMMUG00000032519,ENSPTRG00000038649,49.5726
ENSMMUG00000019976,ENSPTRG00000021688,49.5337
ENSMMUG00000005065,ENSPTRG00000021713,35.4074
ENSMMUG00000005066,ENSPTRG00000021714,35.2675
ENSMMUG00000005066,ENSPTRG00000021714,15.5486
ENSMMUG00000005066,ENSPTRG00000021714,25.0707
ENSMMUG00000005066,ENSPTRG00000021714,14.7381
ENSMMUG00000013971,ENSPTRG00000039206,48
ENSMMUG00000006616,ENSPTRG00000042077,49.5098
ENSMMUG00000006616,ENSPTRG00000018964,49.5642
ENSMMUG00000006616,ENSPTRG00000021812,49.5634
ENSMMUG00000006616,ENSPTRG00000021708,49.7017
ENSMMUG00000006616,ENSPTRG00000021708,49.5316
ENSMMUG00000006616,ENSPTRG00000019085,49.6008
ENSMMUG00000006616,ENSPTRG00000003161,49.3386
ENSMMUG00000020513,ENSPTRG00000021715,23.1877
ENSMMUG00000020513,ENSPTRG00000028321,48.7654
ENSMMUG00000020513,ENSPTRG00000039101,49.5549
ENSMMUG00000020513,ENSPTRG00000017695,47.8088
ENSMMUG00000020513,ENSPTRG00000013941,48.2935
ENSMMUG00000006635,ENSPTRG00000021753,49.1061
ENSMMUG00000014235,ENSPTRG00000003383,47.9588
ENSMMUG00000014235,ENSPTRG00000003383,48.0406
ENSMMUG00000001245,ENSPTRG00000022494,49.8703
ENSMMUG00000001245,ENSPTRG00000014196,49.5636
ENSMMUG00000020515,ENSPTRG00000021716,4.00657
ENSMMUG00000020515,ENSPTRG00000021716,4.25743
ENSMMUG00000020515,ENSPTRG00000021716,3.55955
ENSMMUG00000020515,ENSPTRG00000021716,5.09491
ENSMMUG00000020515,ENSPTRG00000021716,4.39302
ENSMMUG00000020515,ENSPTRG00000021716,5.20408
ENSMMUG00000020515,ENSPTRG00000021716,9.37068
ENSMMUG00000032516,ENSPTRG00000003238,49.2521
ENSMMUG00000004408,ENSPTRG00000041256,48.5237
ENSMMUG00000032515,ENSPTRG00000000124,49.3639
ENSMMUG00000007584,ENSPTRG00000041916,48.5149
ENSMMUG00000007583,ENSPTRG00000016729,47.4736
ENSMMUG00000007583,ENSPTRG00000014062,47.619
ENSMMUG00000007581,ENSPTRG00000000125,49.9366
ENSMMUG00000032514,ENSPTRG00000040155,49.7835
ENSMMUG00000007580,ENSPTRG00000020996,47.7099
ENSMMUG00000010402,ENSPTRG00000021620,47.9934
ENSMMUG00000014993,ENSPTRG00000003385,49.0734
ENSMMUG00000032513,ENSPTRG00000039529,48.4277
ENSMMUG00000017336,ENSPTRG00000021717,3.38753
ENSMMUG00000017336,ENSPTRG00000021717,21.5088
ENSMMUG00000017336,ENSPTRG00000021717,6.86342
ENSMMUG00000017336,ENSPTRG00000021717,9.89446
ENSMMUG00000017336,ENSPTRG00000021717,12.5745
ENSMMUG00000012622,ENSPTRG00000005745,47.9958
ENSMMUG00000032512,ENSPTRG00000042501,48.1563
ENSMMUG00000017258,ENSPTRG00000028736,49.049
ENSMMUG00000001554,ENSPTRG00000016929,48.6246
ENSMMUG00000001554,ENSPTRG00000040645,48.528
ENSMMUG00000001713,ENSPTRG00000023231,48.6826
ENSMMUG00000002431,ENSPTRG00000019000,48.9166
ENSMMUG00000002204,ENSPTRG00000005774,49.0512
ENSMMUG00000002207,ENSPTRG00000042501,47.5225
ENSMMUG00000002209,ENSPTRG00000018955,49.0305
ENSMMUG00000002209,ENSPTRG00000005794,48.7858
ENSMMUG00000002210,ENSPTRG00000028792,48.0984
ENSMMUG00000004434,ENSPTRG00000017041,49.2406
ENSMMUG00000017339,ENSPTRG00000022605,38.1316
ENSMMUG00000005145,ENSPTRG00000009832,49.0298
ENSMMUG00000004744,ENSPTRG00000007681,48.1912
ENSMMUG00000004744,ENSPTRG00000030823,48.7179
ENSMMUG00000004744,ENSPTRG00000021837,49.3648
ENSMMUG00000006577,ENSPTRG00000041651,46.9697
ENSMMUG00000006578,ENSPTRG00000021673,48.7034
ENSMMUG00000021184,ENSPTRG00000023354,48.7477
ENSMMUG00000010727,ENSPTRG00000022785,47.8964
ENSMMUG00000004745,ENSPTRG00000021725,14.9085
ENSMMUG00000004745,ENSPTRG00000031024,47.9718
ENSMMUG00000014182,ENSPTRG00000040529,49.3897
ENSMMUG00000014182,ENSPTRG00000005857,49.5231
ENSMMUG00000007171,ENSPTRG00000017066,48.9045
ENSMMUG00000000192,ENSPTRG00000042168,49.1879
ENSMMUG00000000192,ENSPTRG00000042168,49.3955
ENSMMUG00000000192,ENSPTRG00000034369,49.0476
ENSMMUG00000004565,ENSPTRG00000042501,49.2126
ENSMMUG00000004565,ENSPTRG00000021799,49.6078
ENSMMUG00000000193,ENSPTRG00000021728,24.1784
ENSMMUG00000002134,ENSPTRG00000004554,48.4274
ENSMMUG00000002134,ENSPTRG00000028817,49.3392
ENSMMUG00000032510,ENSPTRG00000017047,48.6741
ENSMMUG00000032510,ENSPTRG00000013870,48.5975
ENSMMUG00000012379,ENSPTRG00000042377,49.0123
ENSMMUG00000007500,ENSPTRG00000021731,29.8137
ENSMMUG00000007500,ENSPTRG00000021731,42.2636
ENSMMUG00000007500,ENSPTRG00000021731,24.6783
ENSMMUG00000032508,ENSPTRG00000022504,48.792
ENSMMUG00000032508,ENSPTRG00000013870,48.8584
ENSMMUG00000007501,ENSPTRG00000021733,10.0414
ENSMMUG00000014250,ENSPTRG00000021734,3.80313
ENSMMUG00000022467,ENSPTRG00000023120,49.2683
ENSMMUG00000022467,ENSPTRG00000009893,49.7556
ENSMMUG00000008737,ENSPTRG00000003229,48.855
ENSMMUG00000008737,ENSPTRG00000040452,48.366
ENSMMUG00000008737,ENSPTRG00000016911,48.8656
ENSMMUG00000020392,ENSPTRG00000004546,48.9987
ENSMMUG00000020392,ENSPTRG00000018979,48.9621
ENSMMUG00000020392,ENSPTRG00000017066,49.0789
ENSMMUG00000020392,ENSPTRG00000005687,49.2877
ENSMMUG00000016615,ENSPTRG00000017054,48.064
ENSMMUG00000016615,ENSPTRG00000017054,47.7372
ENSMMUG00000016617,ENSPTRG00000017054,49.3158
ENSMMUG00000016618,ENSPTRG00000028292,48.8275
ENSMMUG00000016619,ENSPTRG00000013918,49.3625
ENSMMUG00000022874,ENSPTRG00000022495,48.5313
ENSMMUG00000022873,ENSPTRG00000042501,48.5842
ENSMMUG00000023589,ENSPTRG00000021737,38.6222
ENSMMUG00000000305,ENSPTRG00000018954,48.2571
ENSMMUG00000000576,ENSPTRG00000009847,49.0103
ENSMMUG00000000576,ENSPTRG00000013799,48.3617
ENSMMUG00000000576,ENSPTRG00000003219,48.3953
ENSMMUG00000032507,ENSPTRG00000039826,48.8215
ENSMMUG00000003250,ENSPTRG00000016929,49.3888
ENSMMUG00000019555,ENSPTRG00000003238,49.2063
ENSMMUG00000019555,ENSPTRG00000021799,48.5981
ENSMMUG00000019555,ENSPTRG00000034337,48.5651
ENSMMUG00000021937,ENSPTRG00000038649,45.679
ENSMMUG00000013529,ENSPTRG00000019931,48.6981
ENSMMUG00000032506,ENSPTRG00000018927,50
ENSMMUG00000032505,ENSPTRG00000039826,49.0842
ENSMMUG00000017728,ENSPTRG00000009858,48.0034
ENSMMUG00000022142,ENSPTRG00000003400,48.4087
ENSMMUG00000001088,ENSPTRG00000021738,14.3922
ENSMMUG00000021366,ENSPTRG00000020014,49.0909
ENSMMUG00000018824,ENSPTRG00000021740,17.0116
ENSMMUG00000018824,ENSPTRG00000021740,36.8745
ENSMMUG00000032503,ENSPTRG00000038649,49.2958
ENSMMUG00000022902,ENSPTRG00000014585,48.8652
ENSMMUG00000022902,ENSPTRG00000013870,48.406
ENSMMUG00000022902,ENSPTRG00000034312,49.3792
ENSMMUG00000032502,ENSPTRG00000040289,50.1873
ENSMMUG00000016298,ENSPTRG00000040333,51.0638
ENSMMUG00000032501,ENSPTRG00000029128,29.2754
ENSMMUG00000018275,ENSPTRG00000024207,48.5847
ENSMMUG00000018275,ENSPTRG00000024207,48.5287
ENSMMUG00000008335,ENSPTRG00000021741,3.70722
ENSMMUG00000008335,ENSPTRG00000021741,14.6853
ENSMMUG00000009241,ENSPTRG00000019125,49.4202
ENSMMUG00000010169,ENSPTRG00000013824,49.1603
ENSMMUG00000010169,ENSPTRG00000016893,49.1236
ENSMMUG00000016361,ENSPTRG00000021742,5.48948
ENSMMUG00000016361,ENSPTRG00000019951,49.9069
ENSMMUG00000016364,ENSPTRG00000009884,48.8072
ENSMMUG00000013850,ENSPTRG00000019094,49.1367
ENSMMUG00000006979,ENSPTRG00000005859,49.1376
ENSMMUG00000012610,ENSPTRG00000005859,48.9143
ENSMMUG00000009801,ENSPTRG00000018919,47.7116
ENSMMUG00000009801,ENSPTRG00000016726,48.8432
ENSMMUG00000009801,ENSPTRG00000021842,48.473
ENSMMUG00000004746,ENSPTRG00000013903,49.6528
ENSMMUG00000032499,ENSPTRG00000021799,48.6567
ENSMMUG00000010417,ENSPTRG00000018946,50.1095
ENSMMUG00000020595,ENSPTRG00000021813,48.5068
ENSMMUG00000020595,ENSPTRG00000021829,48.9471
ENSMMUG00000020595,ENSPTRG00000019029,48.9861
ENSMMUG00000032498,ENSPTRG00000042298,46.5784
ENSMMUG00000012819,ENSPTRG00000021750,20.4115
ENSMMUG00000012821,ENSPTRG00000021752,25.9281
ENSMMUG00000012821,ENSPTRG00000021752,24.9224
ENSMMUG00000023298,ENSPTRG00000017005,49.1969
ENSMMUG00000023298,ENSPTRG00000017005,49.1969
ENSMMUG00000023299,ENSPTRG00000014585,49.0416
ENSMMUG00000018433,ENSPTRG00000021753,9.30126
ENSMMUG00000013607,ENSPTRG00000014062,48.3951
ENSMMUG00000020905,ENSPTRG00000013785,48.7745
ENSMMUG00000015702,ENSPTRG00000028760,48.0737
ENSMMUG00000008938,ENSPTRG00000003184,48.9889
ENSMMUG00000008938,ENSPTRG00000003184,48.9194
ENSMMUG00000008938,ENSPTRG00000042084,49.4078
ENSMMUG00000018435,ENSPTRG00000014067,45.7075
ENSMMUG00000008942,ENSPTRG00000009878,49.3126
ENSMMUG00000018439,ENSPTRG00000030817,48.8889
ENSMMUG00000010056,ENSPTRG00000021756,4.33589
ENSMMUG00000009877,ENSPTRG00000013921,49.6484
ENSMMUG00000009879,ENSPTRG00000017013,49.4071
ENSMMUG00000008943,ENSPTRG00000014062,47.9167
ENSMMUG00000018099,ENSPTRG00000014080,49.1713
ENSMMUG00000008945,ENSPTRG00000016961,48.8503
ENSMMUG00000008945,ENSPTRG00000014196,49.3979
ENSMMUG00000008945,ENSPTRG00000003194,48.895
ENSMMUG00000008945,ENSPTRG00000031328,47.6483
ENSMMUG00000016657,ENSPTRG00000018919,48.2605
ENSMMUG00000010575,ENSPTRG00000017053,49.4253
ENSMMUG00000022849,ENSPTRG00000013862,49.4253
ENSMMUG00000006179,ENSPTRG00000021657,48.3516
ENSMMUG00000003918,ENSPTRG00000021759,10.8182
ENSMMUG00000032497,ENSPTRG00000032577,50.5747
ENSMMUG00000001663,ENSPTRG00000021762,37.9244
ENSMMUG00000014916,ENSPTRG00000000221,49.1713
ENSMMUG00000017408,ENSPTRG00000014639,49.0766
ENSMMUG00000012771,ENSPTRG00000021763,6.08696
ENSMMUG00000032496,ENSPTRG00000039529,47.5728
ENSMMUG00000011329,ENSPTRG00000014655,49.1547
ENSMMUG00000012772,ENSPTRG00000021781,39.6689
ENSMMUG00000012773,ENSPTRG00000021763,40.9582
ENSMMUG00000012774,ENSPTRG00000034342,18.3735
ENSMMUG00000012775,ENSPTRG00000021767,33.0945
ENSMMUG00000032494,ENSPTRG00000013918,49.4792
ENSMMUG00000032493,ENSPTRG00000041011,51.3661
ENSMMUG00000001767,ENSPTRG00000013918,48.4848
ENSMMUG00000032492,ENSPTRG00000007672,46.8647
ENSMMUG00000032491,ENSPTRG00000040132,50.8197
ENSMMUG00000012710,ENSPTRG00000021768,7.02703
ENSMMUG00000032490,ENSPTRG00000039206,47.7912
ENSMMUG00000005959,ENSPTRG00000016947,48.8118
ENSMMUG00000011333,ENSPTRG00000007610,49.2395
ENSMMUG00000011333,ENSPTRG00000007610,49.4447
ENSMMUG00000011333,ENSPTRG00000004572,49.298
ENSMMUG00000011333,ENSPTRG00000000017,49.2447
ENSMMUG00000011333,ENSPTRG00000003291,49.4024
ENSMMUG00000011333,ENSPTRG00000007650,49.1862
ENSMMUG00000032489,ENSPTRG00000032577,50.8475
ENSMMUG00000013981,ENSPTRG00000021771,6.33528
ENSMMUG00000013981,ENSPTRG00000021771,10.8232
ENSMMUG00000018157,ENSPTRG00000000081,46.7391
ENSMMUG00000019345,ENSPTRG00000021711,48.7262
ENSMMUG00000019345,ENSPTRG00000021711,48.6179
ENSMMUG00000019345,ENSPTRG00000021711,48.7044
ENSMMUG00000019345,ENSPTRG00000009857,49.026
ENSMMUG00000019345,ENSPTRG00000009857,48.9244
ENSMMUG00000019345,ENSPTRG00000016993,49.2824
ENSMMUG00000019345,ENSPTRG00000021711,48.6552
ENSMMUG00000019345,ENSPTRG00000014563,49.1099
ENSMMUG00000019345,ENSPTRG00000020011,49.1176
ENSMMUG00000019345,ENSPTRG00000034369,49.6
ENSMMUG00000002493,ENSPTRG00000000207,46.6919
ENSMMUG00000000753,ENSPTRG00000021829,49.1346
ENSMMUG00000000286,ENSPTRG00000016696,46.6507
ENSMMUG00000000286,ENSPTRG00000016696,46.9825
ENSMMUG00000021792,ENSPTRG00000003144,48.9997
ENSMMUG00000021792,ENSPTRG00000023245,49.2828
ENSMMUG00000021792,ENSPTRG00000014175,48.4034
ENSMMUG00000022596,ENSPTRG00000004523,48.6059
ENSMMUG00000032487,ENSPTRG00000029512,48.366
ENSMMUG00000009151,ENSPTRG00000018855,47.1217
ENSMMUG00000009151,ENSPTRG00000007641,47.1517
ENSMMUG00000032486,ENSPTRG00000041651,44.4867
ENSMMUG00000001612,ENSPTRG00000004015,45.098
ENSMMUG00000001612,ENSPTRG00000031328,46.0039
ENSMMUG00000001613,ENSPTRG00000007589,48.3624
ENSMMUG00000001613,ENSPTRG00000007618,48.4024
ENSMMUG00000014855,ENSPTRG00000007620,48.2558
ENSMMUG00000014855,ENSPTRG00000007628,48.6968
ENSMMUG00000013710,ENSPTRG00000014582,49.9495
ENSMMUG00000013708,ENSPTRG00000020082,45.977
ENSMMUG00000032485,ENSPTRG00000034312,46.7492
ENSMMUG00000032484,ENSPTRG00000003379,47.1888
ENSMMUG00000006966,ENSPTRG00000028298,20.641
ENSMMUG00000006966,ENSPTRG00000028298,19.4614
ENSMMUG00000006966,ENSPTRG00000003217,48.7277
ENSMMUG00000019910,ENSPTRG00000014626,48.58
ENSMMUG00000004530,ENSPTRG00000020092,48.105
ENSMMUG00000001557,ENSPTRG00000028304,21.142
ENSMMUG00000022257,ENSPTRG00000000124,49.1228
ENSMMUG00000011371,ENSPTRG00000013817,48.0826
ENSMMUG00000021491,ENSPTRG00000021782,28.7368
ENSMMUG00000002447,ENSPTRG00000041924,48.7533
ENSMMUG00000001465,ENSPTRG00000041209,49.9048
ENSMMUG00000001464,ENSPTRG00000016949,49.1556
ENSMMUG00000001738,ENSPTRG00000017052,49.5885
ENSMMUG00000002608,ENSPTRG00000042089,48.7805
ENSMMUG00000011104,ENSPTRG00000028298,32.8348
ENSMMUG00000011104,ENSPTRG00000028298,21.7469
ENSMMUG00000011104,ENSPTRG00000028298,20.3988
ENSMMUG00000011053,ENSPTRG00000021786,1.68971
ENSMMUG00000006967,ENSPTRG00000021790,6.34633
ENSMMUG00000006969,ENSPTRG00000019000,48.3472
ENSMMUG00000013220,ENSPTRG00000021792,11.7647
ENSMMUG00000032481,ENSPTRG00000021833,49.5058
ENSMMUG00000013221,ENSPTRG00000017054,48.4991
ENSMMUG00000005351,ENSPTRG00000038816,48
ENSMMUG00000013131,ENSPTRG00000003309,49.0323
ENSMMUG00000013135,ENSPTRG00000021796,34.8529
ENSMMUG00000013135,ENSPTRG00000021796,34.3202
ENSMMUG00000013135,ENSPTRG00000021796,29.5119
ENSMMUG00000013493,ENSPTRG00000021799,39.4437
ENSMMUG00000032480,ENSPTRG00000014644,47.9167
ENSMMUG00000006876,ENSPTRG00000021800,2.65928
ENSMMUG00000003201,ENSPTRG00000021801,27.9915
ENSMMUG00000003201,ENSPTRG00000021801,3.06905
ENSMMUG00000032479,ENSPTRG00000042089,48.9796
ENSMMUG00000015739,ENSPTRG00000021728,50.8642
ENSMMUG00000005292,ENSPTRG00000021802,11.8445
ENSMMUG00000005292,ENSPTRG00000021802,6.5593
ENSMMUG00000000710,ENSPTRG00000003184,47.6654
ENSMMUG00000012762,ENSPTRG00000021803,14.1559
ENSMMUG00000012762,ENSPTRG00000031432,48.6507
ENSMMUG00000005263,ENSPTRG00000028788,47.937
ENSMMUG00000005263,ENSPTRG00000014062,46.875
ENSMMUG00000005264,ENSPTRG00000021805,38.7967
ENSMMUG00000032476,ENSPTRG00000038951,48.0491
ENSMMUG00000001019,ENSPTRG00000040752,26.7516
ENSMMUG00000001019,ENSPTRG00000040752,26.7836
ENSMMUG00000001017,ENSPTRG00000017049,49.3734
ENSMMUG00000013753,ENSPTRG00000022487,32.6757
ENSMMUG00000013753,ENSPTRG00000022487,33.5804
ENSMMUG00000013753,ENSPTRG00000022487,33.555
ENSMMUG00000017075,ENSPTRG00000041491,50
ENSMMUG00000017569,ENSPTRG00000042310,49.2462
ENSMMUG00000005304,ENSPTRG00000003184,44.5629
ENSMMUG00000022578,ENSPTRG00000021812,5.70917
ENSMMUG00000022578,ENSPTRG00000021812,4.22642
ENSMMUG00000022578,ENSPTRG00000021812,15.309
ENSMMUG00000022583,ENSPTRG00000021813,3.08416
ENSMMUG00000022583,ENSPTRG00000028736,49.0926
ENSMMUG00000022584,ENSPTRG00000021814,5.07172
ENSMMUG00000022734,ENSPTRG00000021637,49.3528
ENSMMUG00000032474,ENSPTRG00000016694,48.6239
ENSMMUG00000002859,ENSPTRG00000030841,47.9769
ENSMMUG00000002360,ENSPTRG00000014626,48.1481
ENSMMUG00000019489,ENSPTRG00000013862,49.2151
ENSMMUG00000019492,ENSPTRG00000021817,12.8378
ENSMMUG00000018001,ENSPTRG00000021818,21.369
ENSMMUG00000016391,ENSPTRG00000021820,14.8864
ENSMMUG00000016391,ENSPTRG00000021820,27.8664
ENSMMUG00000016391,ENSPTRG00000028817,49.6124
ENSMMUG00000003504,ENSPTRG00000034133,48.9381
ENSMMUG00000003505,ENSPTRG00000000124,49.5726
ENSMMUG00000015266,ENSPTRG00000042086,49.2605
ENSMMUG00000003317,ENSPTRG00000021823,1.67979
ENSMMUG00000003317,ENSPTRG00000003258,48.1859
ENSMMUG00000003317,ENSPTRG00000040740,49.1568
ENSMMUG00000003317,ENSPTRG00000021823,46.8964
ENSMMUG00000003317,ENSPTRG00000028817,49.062
ENSMMUG00000032473,ENSPTRG00000040033,49.3827
ENSMMUG00000003322,ENSPTRG00000042377,48.9209
ENSMMUG00000003323,ENSPTRG00000004540,48.7943
ENSMMUG00000018975,ENSPTRG00000005743,48.3092
ENSMMUG00000004701,ENSPTRG00000041256,48.0851
ENSMMUG00000032470,ENSPTRG00000039529,47.0405
ENSMMUG00000019338,ENSPTRG00000021620,48.0929
ENSMMUG00000019338,ENSPTRG00000042168,48.2201
ENSMMUG00000002986,ENSPTRG00000000124,47.5269
ENSMMUG00000002986,ENSPTRG00000005670,47.9592
ENSMMUG00000002292,ENSPTRG00000021829,13.2101
ENSMMUG00000019176,ENSPTRG00000038982,47.3896
ENSMMUG00000002253,ENSPTRG00000004509,48.3757
ENSMMUG00000019663,ENSPTRG00000003174,46.6314
ENSMMUG00000006241,ENSPTRG00000039826,46.4286
ENSMMUG00000003897,ENSPTRG00000021832,35.0187
ENSMMUG00000032469,ENSPTRG00000016687,48.4463
ENSMMUG00000023018,ENSPTRG00000021833,8.57143
ENSMMUG00000023016,ENSPTRG00000017015,48.7484
ENSMMUG00000015191,ENSPTRG00000039826,48.1132
ENSMMUG00000019546,ENSPTRG00000019045,48.8544
ENSMMUG00000019546,ENSPTRG00000019045,49.2979
ENSMMUG00000017422,ENSPTRG00000021836,7.12353
ENSMMUG00000017423,ENSPTRG00000003107,47.4135
ENSMMUG00000017423,ENSPTRG00000031328,47.3684
ENSMMUG00000017423,ENSPTRG00000018855,47.6717
ENSMMUG00000017423,ENSPTRG00000021837,46.2949
ENSMMUG00000017428,ENSPTRG00000000211,48.1416
ENSMMUG00000017428,ENSPTRG00000007569,48.2531
ENSMMUG00000017428,ENSPTRG00000028614,49.6592
ENSMMUG00000014002,ENSPTRG00000003160,48.0366
ENSMMUG00000016608,ENSPTRG00000016680,48.0231
ENSMMUG00000005453,ENSPTRG00000034469,48.5577
ENSMMUG00000008566,ENSPTRG00000021842,4.10774
ENSMMUG00000010404,ENSPTRG00000021843,32.1133
ENSMMUG00000010404,ENSPTRG00000023331,44.8864
ENSMMUG00000011418,ENSPTRG00000021846,39.4939
ENSMMUG00000011420,ENSPTRG00000003121,47.3485
ENSMMUG00000011426,ENSPTRG00000028772,47.6457
ENSMMUG00000011426,ENSPTRG00000004540,48.285
ENSMMUG00000032465,ENSPTRG00000021849,24.2098
ENSMMUG00000019420,ENSPTRG00000018876,49.7886
ENSMMUG00000019420,ENSPTRG00000019134,49.6596
ENSMMUG00000019420,ENSPTRG00000028850,48.9583
ENSMMUG00000018535,ENSPTRG00000021851,45.134
ENSMMUG00000018535,ENSPTRG00000021851,33.5652
ENSMMUG00000012063,ENSPTRG00000034369,49.8575
ENSMMUG00000014065,ENSPTRG00000028731,48.8304
ENSMMUG00000014066,ENSPTRG00000023331,1.81269
ENSMMUG00000014066,ENSPTRG00000034307,48.062
ENSMMUG00000001258,ENSPTRG00000028288,8.95833
ENSMMUG00000010883,ENSPTRG00000021853,3.27869
ENSMMUG00000006396,ENSPTRG00000018919,43.0305
ENSMMUG00000020044,ENSPTRG00000021857,8.9317
ENSMMUG00000020044,ENSPTRG00000028290,48.2639
ENSMMUG00000020044,ENSPTRG00000021857,9.80736
ENSMMUG00000020044,ENSPTRG00000021857,10.582
ENSMMUG00000010112,ENSPTRG00000021857,22.619
ENSMMUG00000010112,ENSPTRG00000021857,21.5892
ENSMMUG00000008046,ENSPTRG00000021857,21.3333
ENSMMUG00000008046,ENSPTRG00000039819,47.4946
ENSMMUG00000008046,ENSPTRG00000021857,23.7681
ENSMMUG00000008046,ENSPTRG00000021857,7.93651
ENSMMUG00000014463,ENSPTRG00000021919,17.9295
ENSMMUG00000014463,ENSPTRG00000021919,17.9985
ENSMMUG00000014463,ENSPTRG00000021919,13.8158
ENSMMUG00000005347,ENSPTRG00000021857,28.91
ENSMMUG00000019164,ENSPTRG00000021857,24.7839
ENSMMUG00000019164,ENSPTRG00000021857,9.10683
ENSMMUG00000016975,ENSPTRG00000000017,47.8623
ENSMMUG00000016975,ENSPTRG00000000207,47.3597
ENSMMUG00000018894,ENSPTRG00000009878,48.7518
ENSMMUG00000018894,ENSPTRG00000016673,48.8831
ENSMMUG00000018895,ENSPTRG00000003184,47.7536
ENSMMUG00000018895,ENSPTRG00000003184,47.619
ENSMMUG00000018895,ENSPTRG00000003184,47.7239
ENSMMUG00000018895,ENSPTRG00000007557,47.8099
ENSMMUG00000018336,ENSPTRG00000038829,48.4615
ENSMMUG00000018335,ENSPTRG00000000047,48.1845
ENSMMUG00000018335,ENSPTRG00000007563,48.0952
ENSMMUG00000004439,ENSPTRG00000005845,49.4878
ENSMMUG00000004439,ENSPTRG00000013944,48.2522
ENSMMUG00000004439,ENSPTRG00000000148,49.3506
ENSMMUG00000015396,ENSPTRG00000031314,46.5447
ENSMMUG00000015396,ENSPTRG00000003184,46.6929
ENSMMUG00000019767,ENSPTRG00000039984,48.2737
ENSMMUG00000019768,ENSPTRG00000007641,48.3847
ENSMMUG00000019768,ENSPTRG00000007641,48.4121
ENSMMUG00000019768,ENSPTRG00000023010,47.0309
ENSMMUG00000007505,ENSPTRG00000038829,48.9209
ENSMMUG00000016464,ENSPTRG00000000207,47.5073
ENSMMUG00000016465,ENSPTRG00000000152,48.1121
ENSMMUG00000016465,ENSPTRG00000014102,48.2197
ENSMMUG00000016467,ENSPTRG00000007557,49.3259
ENSMMUG00000016469,ENSPTRG00000041651,45.601
ENSMMUG00000004547,ENSPTRG00000007558,47.3629
ENSMMUG00000004548,ENSPTRG00000014151,48.7255
ENSMMUG00000004548,ENSPTRG00000042326,48.8667
ENSMMUG00000004548,ENSPTRG00000020082,48.9655
ENSMMUG00000004548,ENSPTRG00000042298,48.2456
ENSMMUG00000004548,ENSPTRG00000039053,50.4762
ENSMMUG00000004553,ENSPTRG00000003184,46.7128
ENSMMUG00000004553,ENSPTRG00000003184,48.8966
ENSMMUG00000004553,ENSPTRG00000003184,48.3313
ENSMMUG00000004557,ENSPTRG00000000171,49.3151
ENSMMUG00000004558,ENSPTRG00000016709,49.0812
ENSMMUG00000004558,ENSPTRG00000003138,48.2683
ENSMMUG00000004559,ENSPTRG00000000082,49.0117
ENSMMUG00000020059,ENSPTRG00000007681,47.4988
ENSMMUG00000020059,ENSPTRG00000007681,47.809
ENSMMUG00000020059,ENSPTRG00000000033,48.8209
ENSMMUG00000023494,ENSPTRG00000040616,48.862
ENSMMUG00000032463,ENSPTRG00000004015,48.0132
ENSMMUG00000010617,ENSPTRG00000031045,46.3814
ENSMMUG00000010618,ENSPTRG00000014062,47.4747
ENSMMUG00000010620,ENSPTRG00000007609,48.3139
ENSMMUG00000010620,ENSPTRG00000007609,47.9478
