macaca_mulatta,pongo_abelii
ENSMMUG00000016238,ENSPPYG00000020158,30.6767
ENSMMUG00000016238,ENSPPYG00000020158,28.0062
ENSMMUG00000016238,ENSPPYG00000020158,28.7206
ENSMMUG00000010914,ENSPPYG00000017955,48.162
ENSMMUG00000010914,ENSPPYG00000018705,48.4277
ENSMMUG00000010914,ENSPPYG00000018377,48.4848
ENSMMUG00000013356,ENSPPYG00000019351,47.3684
ENSMMUG00000021599,ENSPPYG00000019247,47.8854
ENSMMUG00000021598,ENSPPYG00000019247,47.3035
ENSMMUG00000012001,ENSPPYG00000020541,49.0686
ENSMMUG00000012001,ENSPPYG00000020541,49.2276
ENSMMUG00000012001,ENSPPYG00000020302,49.3126
ENSMMUG00000012001,ENSPPYG00000019764,49.067
ENSMMUG00000010598,ENSPPYG00000020898,48.9314
ENSMMUG00000010598,ENSPPYG00000018779,48.3871
ENSMMUG00000032525,ENSPPYG00000020579,47.619
ENSMMUG00000012915,ENSPPYG00000018197,49.5598
ENSMMUG00000012916,ENSPPYG00000020697,49.2401
ENSMMUG00000012916,ENSPPYG00000019287,49.0874
ENSMMUG00000012894,ENSPPYG00000020631,48.8358
ENSMMUG00000012894,ENSPPYG00000017859,49.3059
ENSMMUG00000012894,ENSPPYG00000020491,49.8308
ENSMMUG00000012899,ENSPPYG00000020162,4.6798
ENSMMUG00000012899,ENSPPYG00000020162,14.0769
ENSMMUG00000012918,ENSPPYG00000018833,48.3245
ENSMMUG00000012918,ENSPPYG00000019361,47.7333
ENSMMUG00000016110,ENSPPYG00000018825,50.806
ENSMMUG00000023218,ENSPPYG00000019804,45.8636
ENSMMUG00000022568,ENSPPYG00000018749,48.9054
ENSMMUG00000001433,ENSPPYG00000020541,49.9369
ENSMMUG00000032522,ENSPPYG00000017575,47.5556
ENSMMUG00000019969,ENSPPYG00000020164,10.4484
ENSMMUG00000019969,ENSPPYG00000020164,32.9205
ENSMMUG00000005084,ENSPPYG00000020222,49.3525
ENSMMUG00000019974,ENSPPYG00000020779,49.0798
ENSMMUG00000019974,ENSPPYG00000019988,49.0589
ENSMMUG00000032520,ENSPPYG00000018225,25.6944
ENSMMUG00000005063,ENSPPYG00000020166,22.1319
ENSMMUG00000032519,ENSPPYG00000020571,50
ENSMMUG00000019976,ENSPPYG00000020781,47.109
ENSMMUG00000005065,ENSPPYG00000020823,48
ENSMMUG00000005066,ENSPPYG00000020168,11.0776
ENSMMUG00000005066,ENSPPYG00000020902,48.2059
ENSMMUG00000005066,ENSPPYG00000018270,48.7832
ENSMMUG00000005066,ENSPPYG00000018240,48.6471
ENSMMUG00000013971,ENSPPYG00000018111,48.8889
ENSMMUG00000006616,ENSPPYG00000017575,44.8529
ENSMMUG00000006616,ENSPPYG00000019407,49.5041
ENSMMUG00000006616,ENSPPYG00000020603,49.0735
ENSMMUG00000006616,ENSPPYG00000017368,48.434
ENSMMUG00000006616,ENSPPYG00000017368,49.1023
ENSMMUG00000006616,ENSPPYG00000017368,47.8709
ENSMMUG00000006616,ENSPPYG00000017516,48.9418
ENSMMUG00000020513,ENSPPYG00000019125,49.2339
ENSMMUG00000020513,ENSPPYG00000017796,49.177
ENSMMUG00000020513,ENSPPYG00000017575,47.7745
ENSMMUG00000020513,ENSPPYG00000018657,49.8008
ENSMMUG00000020513,ENSPPYG00000020300,48.6348
ENSMMUG00000006635,ENSPPYG00000020631,48.8677
ENSMMUG00000014235,ENSPPYG00000018653,48.6792
ENSMMUG00000014235,ENSPPYG00000018653,47.9706
ENSMMUG00000001245,ENSPPYG00000020270,49.8054
ENSMMUG00000001245,ENSPPYG00000019513,49.5177
ENSMMUG00000020515,ENSPPYG00000020164,49.2282
ENSMMUG00000020515,ENSPPYG00000020164,49.2409
ENSMMUG00000020515,ENSPPYG00000020164,49.1018
ENSMMUG00000020515,ENSPPYG00000020164,49.1508
ENSMMUG00000020515,ENSPPYG00000020164,49.1616
ENSMMUG00000020515,ENSPPYG00000020164,49.2517
ENSMMUG00000020515,ENSPPYG00000020164,49.5159
ENSMMUG00000032516,ENSPPYG00000019704,49.1453
ENSMMUG00000004408,ENSPPYG00000018266,49.1656
ENSMMUG00000032515,ENSPPYG00000017575,43.7659
ENSMMUG00000007584,ENSPPYG00000018689,47.8548
ENSMMUG00000007583,ENSPPYG00000018311,47.121
ENSMMUG00000007583,ENSPPYG00000019113,48.8889
ENSMMUG00000007581,ENSPPYG00000019962,48.5425
ENSMMUG00000032514,ENSPPYG00000020916,48.4848
ENSMMUG00000007580,ENSPPYG00000019265,48.3642
ENSMMUG00000010402,ENSPPYG00000019247,47.8296
ENSMMUG00000014993,ENSPPYG00000019247,47.8873
ENSMMUG00000032513,ENSPPYG00000017575,46.5409
ENSMMUG00000017336,ENSPPYG00000019247,47.2222
ENSMMUG00000017336,ENSPPYG00000019247,48.6356
ENSMMUG00000017336,ENSPPYG00000019247,47.1517
ENSMMUG00000017336,ENSPPYG00000019247,47.8892
ENSMMUG00000017336,ENSPPYG00000019247,48.0477
ENSMMUG00000012622,ENSPPYG00000019265,48.2595
ENSMMUG00000032512,ENSPPYG00000019247,47.1976
ENSMMUG00000017258,ENSPPYG00000019934,48.7487
ENSMMUG00000001554,ENSPPYG00000019247,48.7055
ENSMMUG00000001554,ENSPPYG00000018495,49.5726
ENSMMUG00000001713,ENSPPYG00000020330,48.808
ENSMMUG00000002431,ENSPPYG00000019582,48.9166
ENSMMUG00000002204,ENSPPYG00000018535,49.1228
ENSMMUG00000002207,ENSPPYG00000019247,46.021
ENSMMUG00000002209,ENSPPYG00000020210,48.8542
ENSMMUG00000002209,ENSPPYG00000020218,48.6415
ENSMMUG00000002210,ENSPPYG00000019361,47.2036
ENSMMUG00000004434,ENSPPYG00000019455,49.369
ENSMMUG00000017339,ENSPPYG00000018943,49.172
ENSMMUG00000005145,ENSPPYG00000020631,49.2498
ENSMMUG00000004744,ENSPPYG00000020330,48.4065
ENSMMUG00000004744,ENSPPYG00000020517,48.4163
ENSMMUG00000004744,ENSPPYG00000020834,49.4253
ENSMMUG00000006577,ENSPPYG00000019628,46.6942
ENSMMUG00000006578,ENSPPYG00000017607,48.9564
ENSMMUG00000021184,ENSPPYG00000019265,49.026
ENSMMUG00000010727,ENSPPYG00000019950,48.2201
ENSMMUG00000004745,ENSPPYG00000020174,35.8735
ENSMMUG00000004745,ENSPPYG00000020024,47.0899
ENSMMUG00000014182,ENSPPYG00000019247,47.4369
ENSMMUG00000014182,ENSPPYG00000019247,48.6486
ENSMMUG00000007171,ENSPPYG00000019247,47.8091
ENSMMUG00000000192,ENSPPYG00000019247,47.5638
ENSMMUG00000000192,ENSPPYG00000020691,48.3592
ENSMMUG00000000192,ENSPPYG00000019948,48.0952
ENSMMUG00000004565,ENSPPYG00000019247,48.4252
ENSMMUG00000004565,ENSPPYG00000018759,48.7255
ENSMMUG00000000193,ENSPPYG00000020176,2.11268
ENSMMUG00000002134,ENSPPYG00000020513,38.8492
ENSMMUG00000002134,ENSPPYG00000020505,48.4581
ENSMMUG00000032510,ENSPPYG00000018629,48.7331
ENSMMUG00000032510,ENSPPYG00000019247,48.3366
ENSMMUG00000012379,ENSPPYG00000019730,4.93827
ENSMMUG00000007500,ENSPPYG00000020178,23.7697
ENSMMUG00000007500,ENSPPYG00000018815,48.825
ENSMMUG00000007500,ENSPPYG00000020178,32.7329
ENSMMUG00000032508,ENSPPYG00000018629,48.792
ENSMMUG00000032508,ENSPPYG00000019247,48.5975
ENSMMUG00000007501,ENSPPYG00000018167,46.8944
ENSMMUG00000014250,ENSPPYG00000020180,8.83669
ENSMMUG00000022467,ENSPPYG00000019247,49.939
ENSMMUG00000022467,ENSPPYG00000019632,49.6469
ENSMMUG00000008737,ENSPPYG00000019247,48.1764
ENSMMUG00000008737,ENSPPYG00000017516,49.0196
ENSMMUG00000008737,ENSPPYG00000019778,48.3421
ENSMMUG00000020392,ENSPPYG00000020182,35.1064
ENSMMUG00000020392,ENSPPYG00000020182,44.8103
ENSMMUG00000020392,ENSPPYG00000020182,26.7502
ENSMMUG00000020392,ENSPPYG00000020182,3.60874
ENSMMUG00000016615,ENSPPYG00000018629,49.0965
ENSMMUG00000016615,ENSPPYG00000020609,49.0998
ENSMMUG00000016617,ENSPPYG00000019970,48.8947
ENSMMUG00000016618,ENSPPYG00000019247,48.1575
ENSMMUG00000016619,ENSPPYG00000017726,48.9982
ENSMMUG00000022874,ENSPPYG00000020747,47.6373
ENSMMUG00000022873,ENSPPYG00000019247,47.4665
ENSMMUG00000023589,ENSPPYG00000018567,48.8889
ENSMMUG00000000305,ENSPPYG00000018683,48.8017
ENSMMUG00000000576,ENSPPYG00000019455,49.0469
ENSMMUG00000000576,ENSPPYG00000020408,49.017
ENSMMUG00000000576,ENSPPYG00000020545,48.536
ENSMMUG00000032507,ENSPPYG00000018225,25.5892
ENSMMUG00000003250,ENSPPYG00000020184,9.37245
ENSMMUG00000019555,ENSPPYG00000017953,48.7831
ENSMMUG00000019555,ENSPPYG00000019932,48.9097
ENSMMUG00000019555,ENSPPYG00000020497,48.5651
ENSMMUG00000021937,ENSPPYG00000020677,47.7366
ENSMMUG00000013529,ENSPPYG00000017639,48.8037
ENSMMUG00000032506,ENSPPYG00000017537,48.6618
ENSMMUG00000032505,ENSPPYG00000018225,30.0366
ENSMMUG00000017728,ENSPPYG00000017921,48.2569
ENSMMUG00000022142,ENSPPYG00000017955,48.1295
ENSMMUG00000001088,ENSPPYG00000017903,48.9933
ENSMMUG00000021366,ENSPPYG00000020188,13.7968
ENSMMUG00000018824,ENSPPYG00000019247,48.3182
ENSMMUG00000018824,ENSPPYG00000019247,47.3441
ENSMMUG00000032503,ENSPPYG00000020677,6.57277
ENSMMUG00000022902,ENSPPYG00000019247,47.5968
ENSMMUG00000022902,ENSPPYG00000019247,48.0156
ENSMMUG00000022902,ENSPPYG00000019237,48.8061
ENSMMUG00000032502,ENSPPYG00000018225,46.0674
ENSMMUG00000016298,ENSPPYG00000018317,50.3546
ENSMMUG00000032501,ENSPPYG00000018225,38.2609
ENSMMUG00000018275,ENSPPYG00000019265,48.4817
ENSMMUG00000018275,ENSPPYG00000019265,48.5287
ENSMMUG00000008335,ENSPPYG00000020190,3.13688
ENSMMUG00000008335,ENSPPYG00000020190,11.7882
ENSMMUG00000009241,ENSPPYG00000020641,49.0633
ENSMMUG00000010169,ENSPPYG00000019497,49.1318
ENSMMUG00000010169,ENSPPYG00000019497,49.1077
ENSMMUG00000016361,ENSPPYG00000020376,49.4968
ENSMMUG00000016361,ENSPPYG00000020779,49.7207
ENSMMUG00000016364,ENSPPYG00000020192,37.6531
ENSMMUG00000013850,ENSPPYG00000019179,48.2968
ENSMMUG00000006979,ENSPPYG00000020194,32.5795
ENSMMUG00000012610,ENSPPYG00000018809,49.181
ENSMMUG00000009801,ENSPPYG00000018989,48.2787
ENSMMUG00000009801,ENSPPYG00000018511,47.6864
ENSMMUG00000009801,ENSPPYG00000019511,47.4984
ENSMMUG00000004746,ENSPPYG00000018225,30.9028
ENSMMUG00000032499,ENSPPYG00000019303,48.3582
ENSMMUG00000010417,ENSPPYG00000018373,50.0365
ENSMMUG00000020595,ENSPPYG00000018809,48.7628
ENSMMUG00000020595,ENSPPYG00000019265,48.8444
ENSMMUG00000020595,ENSPPYG00000018809,48.9463
ENSMMUG00000032498,ENSPPYG00000017543,22.7373
ENSMMUG00000012819,ENSPPYG00000020198,6.17284
ENSMMUG00000012821,ENSPPYG00000019988,49.2634
ENSMMUG00000012821,ENSPPYG00000019247,47.0497
ENSMMUG00000023298,ENSPPYG00000019207,49.1969
ENSMMUG00000023298,ENSPPYG00000019207,49.1969
ENSMMUG00000023299,ENSPPYG00000019247,48.579
ENSMMUG00000018433,ENSPPYG00000020200,25.6586
ENSMMUG00000013607,ENSPPYG00000017575,46.4198
ENSMMUG00000020905,ENSPPYG00000017535,48.6275
ENSMMUG00000015702,ENSPPYG00000019363,47.9062
ENSMMUG00000008938,ENSPPYG00000019988,48.0757
ENSMMUG00000008938,ENSPPYG00000019988,48.0681
ENSMMUG00000008938,ENSPPYG00000019131,48.5618
ENSMMUG00000018435,ENSPPYG00000020258,45.6483
ENSMMUG00000008942,ENSPPYG00000020559,49.4042
ENSMMUG00000018439,ENSPPYG00000017575,45.2778
ENSMMUG00000010056,ENSPPYG00000019265,48.573
ENSMMUG00000009877,ENSPPYG00000020611,48.8045
ENSMMUG00000009879,ENSPPYG00000018671,8.03689
ENSMMUG00000008943,ENSPPYG00000019908,48.8095
ENSMMUG00000018099,ENSPPYG00000017496,48.4346
ENSMMUG00000008945,ENSPPYG00000019243,49.208
ENSMMUG00000008945,ENSPPYG00000019125,49.331
ENSMMUG00000008945,ENSPPYG00000020815,48.849
ENSMMUG00000008945,ENSPPYG00000019994,47.0348
ENSMMUG00000016657,ENSPPYG00000018755,48.1392
ENSMMUG00000010575,ENSPPYG00000017575,45.4023
ENSMMUG00000022849,ENSPPYG00000020214,31.0345
ENSMMUG00000006179,ENSPPYG00000020394,48.5958
ENSMMUG00000003918,ENSPPYG00000020635,48.6546
ENSMMUG00000032497,ENSPPYG00000017555,48.2759
ENSMMUG00000001663,ENSPPYG00000020212,1.43472
ENSMMUG00000014916,ENSPPYG00000020569,49.5626
ENSMMUG00000017408,ENSPPYG00000020428,49.1269
ENSMMUG00000012771,ENSPPYG00000017380,49.5031
ENSMMUG00000032496,ENSPPYG00000017575,46.6019
ENSMMUG00000011329,ENSPPYG00000018161,49.0285
ENSMMUG00000012772,ENSPPYG00000020214,33.5099
ENSMMUG00000012773,ENSPPYG00000020587,49.225
ENSMMUG00000012774,ENSPPYG00000019265,49.3976
ENSMMUG00000012775,ENSPPYG00000020216,9.70684
ENSMMUG00000032494,ENSPPYG00000020930,49.4792
ENSMMUG00000032493,ENSPPYG00000018201,47.541
ENSMMUG00000001767,ENSPPYG00000017575,49.0909
ENSMMUG00000032492,ENSPPYG00000020044,46.9747
ENSMMUG00000032491,ENSPPYG00000018201,49.1803
ENSMMUG00000012710,ENSPPYG00000017821,47.2973
ENSMMUG00000032490,ENSPPYG00000020767,46.988
ENSMMUG00000005959,ENSPPYG00000019247,48.0411
ENSMMUG00000011333,ENSPPYG00000020884,49.0019
ENSMMUG00000011333,ENSPPYG00000019658,49.1067
ENSMMUG00000011333,ENSPPYG00000019786,49.649
ENSMMUG00000011333,ENSPPYG00000019658,49.0937
ENSMMUG00000011333,ENSPPYG00000019658,49.3028
ENSMMUG00000011333,ENSPPYG00000017591,48.9318
ENSMMUG00000032489,ENSPPYG00000019696,49.1525
ENSMMUG00000013981,ENSPPYG00000017436,48.4405
ENSMMUG00000013981,ENSPPYG00000017541,48.6789
ENSMMUG00000018157,ENSPPYG00000020236,17.2101
ENSMMUG00000019345,ENSPPYG00000020222,6.54331
ENSMMUG00000019345,ENSPPYG00000020222,6.61247
ENSMMUG00000019345,ENSPPYG00000020222,14.2521
ENSMMUG00000019345,ENSPPYG00000020222,4.96512
ENSMMUG00000019345,ENSPPYG00000020222,8.29592
ENSMMUG00000019345,ENSPPYG00000019201,48.6819
ENSMMUG00000019345,ENSPPYG00000020222,17.3164
ENSMMUG00000019345,ENSPPYG00000020222,34.3455
ENSMMUG00000019345,ENSPPYG00000017472,49.0196
ENSMMUG00000019345,ENSPPYG00000017575,45.3333
ENSMMUG00000002493,ENSPPYG00000018585,47.5425
ENSMMUG00000000753,ENSPPYG00000017955,48.9671
ENSMMUG00000000286,ENSPPYG00000018305,47.2621
ENSMMUG00000000286,ENSPPYG00000018305,46.9543
ENSMMUG00000021792,ENSPPYG00000018571,49.1447
ENSMMUG00000021792,ENSPPYG00000019592,49.6076
ENSMMUG00000021792,ENSPPYG00000018961,48.3193
ENSMMUG00000022596,ENSPPYG00000018411,49.1987
ENSMMUG00000032487,ENSPPYG00000020052,48.5839
ENSMMUG00000009151,ENSPPYG00000020860,47.1562
ENSMMUG00000009151,ENSPPYG00000019768,47.2671
ENSMMUG00000032486,ENSPPYG00000018921,44.1065
ENSMMUG00000001612,ENSPPYG00000017494,46.4461
ENSMMUG00000001612,ENSPPYG00000019361,45.2242
ENSMMUG00000001613,ENSPPYG00000020188,48.3624
ENSMMUG00000001613,ENSPPYG00000018959,48.5207
ENSMMUG00000014855,ENSPPYG00000020434,48.7403
ENSMMUG00000014855,ENSPPYG00000018921,48.5597
ENSMMUG00000013710,ENSPPYG00000018813,49.6262
ENSMMUG00000013708,ENSPPYG00000018443,46.5959
ENSMMUG00000032485,ENSPPYG00000019932,42.8277
ENSMMUG00000032484,ENSPPYG00000019932,48.494
ENSMMUG00000006966,ENSPPYG00000020234,21.4103
ENSMMUG00000006966,ENSPPYG00000020234,32.2154
ENSMMUG00000006966,ENSPPYG00000017539,49.1094
ENSMMUG00000019910,ENSPPYG00000019886,48.281
ENSMMUG00000004530,ENSPPYG00000018735,47.783
ENSMMUG00000001557,ENSPPYG00000020234,32.7675
ENSMMUG00000022257,ENSPPYG00000020226,28.999
ENSMMUG00000011371,ENSPPYG00000019535,48.5742
ENSMMUG00000021491,ENSPPYG00000018755,49.0637
ENSMMUG00000002447,ENSPPYG00000020228,16.7323
ENSMMUG00000001465,ENSPPYG00000020230,10.0952
ENSMMUG00000001464,ENSPPYG00000020256,49.1556
ENSMMUG00000001738,ENSPPYG00000017575,46.7078
ENSMMUG00000002608,ENSPPYG00000017575,46.3415
ENSMMUG00000011104,ENSPPYG00000020234,28.2818
ENSMMUG00000011104,ENSPPYG00000020234,18.8057
ENSMMUG00000011104,ENSPPYG00000020234,30.1125
ENSMMUG00000011053,ENSPPYG00000020366,48.8479
ENSMMUG00000006967,ENSPPYG00000019582,49.1689
ENSMMUG00000006969,ENSPPYG00000019582,48.8071
ENSMMUG00000013220,ENSPPYG00000019451,49.5264
ENSMMUG00000032481,ENSPPYG00000019459,48.8769
ENSMMUG00000013221,ENSPPYG00000020509,47.8893
ENSMMUG00000005351,ENSPPYG00000020242,23.2941
ENSMMUG00000013131,ENSPPYG00000020410,48.5484
ENSMMUG00000013135,ENSPPYG00000020244,27.4091
ENSMMUG00000013135,ENSPPYG00000020244,27.4123
ENSMMUG00000013135,ENSPPYG00000020244,22.4177
ENSMMUG00000013493,ENSPPYG00000020246,25.107
ENSMMUG00000032480,ENSPPYG00000020236,46.1538
ENSMMUG00000006876,ENSPPYG00000019399,49.1967
ENSMMUG00000003201,ENSPPYG00000018985,48.8782
ENSMMUG00000003201,ENSPPYG00000019774,48.8917
ENSMMUG00000032479,ENSPPYG00000017690,26.3039
ENSMMUG00000015739,ENSPPYG00000017575,46.4198
ENSMMUG00000005292,ENSPPYG00000020250,9.19752
ENSMMUG00000005292,ENSPPYG00000020250,12.2966
ENSMMUG00000000710,ENSPPYG00000019988,46.6926
ENSMMUG00000012762,ENSPPYG00000018483,48.924
ENSMMUG00000012762,ENSPPYG00000019247,48.111
ENSMMUG00000005263,ENSPPYG00000019247,48.162
ENSMMUG00000005263,ENSPPYG00000019676,47.9167
ENSMMUG00000005264,ENSPPYG00000020254,47.3099
ENSMMUG00000032476,ENSPPYG00000017510,47.3802
ENSMMUG00000001019,ENSPPYG00000018165,47.8769
ENSMMUG00000001019,ENSPPYG00000018959,47.1345
ENSMMUG00000001017,ENSPPYG00000019247,48.3709
ENSMMUG00000013753,ENSPPYG00000020491,48.7176
ENSMMUG00000013753,ENSPPYG00000019559,48.745
ENSMMUG00000013753,ENSPPYG00000019559,48.9828
ENSMMUG00000017075,ENSPPYG00000019059,49.4949
ENSMMUG00000017569,ENSPPYG00000019265,49.1457
ENSMMUG00000005304,ENSPPYG00000020258,5.68586
ENSMMUG00000022578,ENSPPYG00000020747,48.8735
ENSMMUG00000022578,ENSPPYG00000020747,48.9308
ENSMMUG00000022578,ENSPPYG00000017724,48.8764
ENSMMUG00000022583,ENSPPYG00000020260,40.9305
ENSMMUG00000022583,ENSPPYG00000020260,11.5568
ENSMMUG00000022584,ENSPPYG00000020314,49.1291
ENSMMUG00000022734,ENSPPYG00000020262,5.98706
ENSMMUG00000032474,ENSPPYG00000018415,48.6239
ENSMMUG00000002859,ENSPPYG00000019986,49.5183
ENSMMUG00000002360,ENSPPYG00000019712,48.1481
ENSMMUG00000019489,ENSPPYG00000018391,47.8301
ENSMMUG00000019492,ENSPPYG00000020264,37.0355
ENSMMUG00000018001,ENSPPYG00000020158,49.4048
ENSMMUG00000016391,ENSPPYG00000020266,12.4788
ENSMMUG00000016391,ENSPPYG00000020266,24.9051
ENSMMUG00000016391,ENSPPYG00000018577,48.9664
ENSMMUG00000003504,ENSPPYG00000017464,20.6833
ENSMMUG00000003505,ENSPPYG00000020268,8.33333
ENSMMUG00000015266,ENSPPYG00000020713,49.1468
ENSMMUG00000003317,ENSPPYG00000020270,14.9606
ENSMMUG00000003317,ENSPPYG00000020270,34.3774
ENSMMUG00000003317,ENSPPYG00000017871,48.6186
ENSMMUG00000003317,ENSPPYG00000020270,32.3284
ENSMMUG00000003317,ENSPPYG00000020430,46.4646
ENSMMUG00000032473,ENSPPYG00000020350,49.3827
ENSMMUG00000003322,ENSPPYG00000018091,48.2014
ENSMMUG00000003323,ENSPPYG00000019177,48.3688
ENSMMUG00000018975,ENSPPYG00000017575,44.686
ENSMMUG00000004701,ENSPPYG00000020042,47.8014
ENSMMUG00000032470,ENSPPYG00000019479,17.4455
ENSMMUG00000019338,ENSPPYG00000020529,16.5008
ENSMMUG00000019338,ENSPPYG00000020529,15.7767
ENSMMUG00000002986,ENSPPYG00000017575,47.5269
ENSMMUG00000002986,ENSPPYG00000019419,47.9592
ENSMMUG00000002292,ENSPPYG00000019511,37.9192
ENSMMUG00000019176,ENSPPYG00000018333,47.3896
ENSMMUG00000002253,ENSPPYG00000018775,48.0932
ENSMMUG00000019663,ENSPPYG00000017827,47.8644
ENSMMUG00000006241,ENSPPYG00000018225,38.8889
ENSMMUG00000003897,ENSPPYG00000019481,48.8764
ENSMMUG00000032469,ENSPPYG00000020236,40.2542
ENSMMUG00000023018,ENSPPYG00000020280,1.80952
ENSMMUG00000023016,ENSPPYG00000020282,48.7484
ENSMMUG00000015191,ENSPPYG00000018225,24.8428
ENSMMUG00000019546,ENSPPYG00000020404,48.3827
ENSMMUG00000019546,ENSPPYG00000019247,48.1153
ENSMMUG00000017422,ENSPPYG00000020284,20.7394
ENSMMUG00000017423,ENSPPYG00000017416,47.7561
ENSMMUG00000017423,ENSPPYG00000020739,47.9532
ENSMMUG00000017423,ENSPPYG00000020860,47.4707
ENSMMUG00000017423,ENSPPYG00000019786,47.6522
ENSMMUG00000017428,ENSPPYG00000019598,48.5806
ENSMMUG00000017428,ENSPPYG00000019812,48.4105
ENSMMUG00000017428,ENSPPYG00000020773,50.1835
ENSMMUG00000014002,ENSPPYG00000019988,47.5131
ENSMMUG00000016608,ENSPPYG00000020290,19.6472
ENSMMUG00000005453,ENSPPYG00000020236,47.7564
ENSMMUG00000008566,ENSPPYG00000019511,39.0572
ENSMMUG00000010404,ENSPPYG00000019045,42.5325
ENSMMUG00000010404,ENSPPYG00000019045,42.4716
ENSMMUG00000011418,ENSPPYG00000020258,47.8548
ENSMMUG00000011420,ENSPPYG00000018167,47.1591
ENSMMUG00000011426,ENSPPYG00000020842,48.3184
ENSMMUG00000011426,ENSPPYG00000019792,47.3615
ENSMMUG00000032465,ENSPPYG00000020298,16.3075
ENSMMUG00000019420,ENSPPYG00000020340,49.8591
ENSMMUG00000019420,ENSPPYG00000019830,50.1513
ENSMMUG00000019420,ENSPPYG00000018317,49.3056
ENSMMUG00000018535,ENSPPYG00000020300,22.426
ENSMMUG00000018535,ENSPPYG00000020300,5.91304
ENSMMUG00000012063,ENSPPYG00000017575,46.1538
ENSMMUG00000014065,ENSPPYG00000018671,47.2222
ENSMMUG00000014066,ENSPPYG00000020302,1.76234
ENSMMUG00000014066,ENSPPYG00000018111,47.6744
ENSMMUG00000001258,ENSPPYG00000019511,36.9271
ENSMMUG00000010883,ENSPPYG00000020304,35.3825
ENSMMUG00000006396,ENSPPYG00000018989,42.9522
ENSMMUG00000020044,ENSPPYG00000020924,7.70578
ENSMMUG00000020044,ENSPPYG00000019165,47.5694
ENSMMUG00000020044,ENSPPYG00000020924,8.4063
ENSMMUG00000020044,ENSPPYG00000020924,8.11287
ENSMMUG00000010112,ENSPPYG00000020306,23.0655
ENSMMUG00000010112,ENSPPYG00000020306,21.8891
ENSMMUG00000008046,ENSPPYG00000020306,21.4815
ENSMMUG00000008046,ENSPPYG00000018701,47.4946
ENSMMUG00000008046,ENSPPYG00000020306,24.3478
ENSMMUG00000008046,ENSPPYG00000020306,9.17108
ENSMMUG00000014463,ENSPPYG00000019247,47.3368
ENSMMUG00000014463,ENSPPYG00000019247,47.05
ENSMMUG00000014463,ENSPPYG00000019247,47.9441
ENSMMUG00000005347,ENSPPYG00000020306,29.6998
ENSMMUG00000019164,ENSPPYG00000020306,24.4957
ENSMMUG00000019164,ENSPPYG00000020306,8.9317
ENSMMUG00000016975,ENSPPYG00000020308,28.8728
ENSMMUG00000016975,ENSPPYG00000019602,47.9373
ENSMMUG00000018894,ENSPPYG00000019259,48.8987
ENSMMUG00000018894,ENSPPYG00000018915,48.987
ENSMMUG00000018895,ENSPPYG00000020310,6.01449
ENSMMUG00000018895,ENSPPYG00000020310,7.17949
ENSMMUG00000018895,ENSPPYG00000020310,7.41557
ENSMMUG00000018895,ENSPPYG00000020310,8.61173
ENSMMUG00000018336,ENSPPYG00000017575,45.8974
ENSMMUG00000018335,ENSPPYG00000020312,22.469
ENSMMUG00000018335,ENSPPYG00000020312,23.5931
ENSMMUG00000004439,ENSPPYG00000019247,48.3846
ENSMMUG00000004439,ENSPPYG00000020314,23.5955
ENSMMUG00000004439,ENSPPYG00000020314,34.7153
ENSMMUG00000015396,ENSPPYG00000018545,48.7805
ENSMMUG00000015396,ENSPPYG00000019988,46.2344
ENSMMUG00000019767,ENSPPYG00000020316,16.8159
ENSMMUG00000019768,ENSPPYG00000019680,48.605
ENSMMUG00000019768,ENSPPYG00000019680,48.5598
ENSMMUG00000019768,ENSPPYG00000018985,47.209
ENSMMUG00000007505,ENSPPYG00000020318,2.15827
ENSMMUG00000016464,ENSPPYG00000020783,48.3871
ENSMMUG00000016465,ENSPPYG00000020320,4.72594
ENSMMUG00000016465,ENSPPYG00000020320,37.9112
ENSMMUG00000016467,ENSPPYG00000020844,49.5638
ENSMMUG00000016469,ENSPPYG00000020322,33.2094
ENSMMUG00000004547,ENSPPYG00000017462,48.1013
ENSMMUG00000004548,ENSPPYG00000020324,22.8431
ENSMMUG00000004548,ENSPPYG00000020324,28.6491
ENSMMUG00000004548,ENSPPYG00000020324,31.9828
ENSMMUG00000004548,ENSPPYG00000019361,47.807
ENSMMUG00000004548,ENSPPYG00000018201,49.5238
ENSMMUG00000004553,ENSPPYG00000018983,47.9585
ENSMMUG00000004553,ENSPPYG00000018971,49.3612
ENSMMUG00000004553,ENSPPYG00000018985,49.4041
ENSMMUG00000004557,ENSPPYG00000019115,49.5108
ENSMMUG00000004558,ENSPPYG00000020330,49.1296
ENSMMUG00000004558,ENSPPYG00000020408,49.1068
ENSMMUG00000004559,ENSPPYG00000020328,35.2604
ENSMMUG00000020059,ENSPPYG00000020330,34.9696
ENSMMUG00000020059,ENSPPYG00000020330,34.1704
ENSMMUG00000020059,ENSPPYG00000020886,47.6737
ENSMMUG00000023494,ENSPPYG00000018305,49.0393
ENSMMUG00000032463,ENSPPYG00000019758,48.234
ENSMMUG00000010617,ENSPPYG00000020258,46.3814
ENSMMUG00000010618,ENSPPYG00000020102,46.2121
ENSMMUG00000010620,ENSPPYG00000019988,47.8847
ENSMMUG00000010620,ENSPPYG00000019988,48.1343
