pongo_abelii,pan_troglodytes
ENSPPYG00000020100,ENSPTRG00000032577,53.4722
ENSPPYG00000020098,ENSPTRG00000042614,14.7295
ENSPPYG00000020096,ENSPTRG00000021630,36.8866
ENSPPYG00000020094,ENSPTRG00000021627,35.7297
ENSPPYG00000020092,ENSPTRG00000003184,47.7513
ENSPPYG00000020090,ENSPTRG00000030841,49.8148
ENSPPYG00000020090,ENSPTRG00000030841,50.2033
ENSPPYG00000020090,ENSPTRG00000005734,49.0291
ENSPPYG00000020090,ENSPTRG00000003172,49.3506
ENSPPYG00000020088,ENSPTRG00000003154,47.1463
ENSPPYG00000020086,ENSPTRG00000028810,48.5904
ENSPPYG00000020084,ENSPTRG00000007681,47.0307
ENSPPYG00000020082,ENSPTRG00000000017,47.7352
ENSPPYG00000020082,ENSPTRG00000003184,47.1995
ENSPPYG00000020080,ENSPTRG00000000239,48.5981
ENSPPYG00000020078,ENSPTRG00000017039,49.5726
ENSPPYG00000020076,ENSPTRG00000016741,47.5921
ENSPPYG00000020076,ENSPTRG00000000208,47.2338
ENSPPYG00000020074,ENSPTRG00000039445,46.9965
ENSPPYG00000020070,ENSPTRG00000040625,48.3683
ENSPPYG00000020068,ENSPTRG00000021853,49.409
ENSPPYG00000020068,ENSPTRG00000041916,49.4624
ENSPPYG00000020068,ENSPTRG00000041916,49.1803
ENSPPYG00000020068,ENSPTRG00000033976,52.5926
ENSPPYG00000020066,ENSPTRG00000041011,49.7354
ENSPPYG00000020062,ENSPTRG00000040155,49.537
ENSPPYG00000020060,ENSPTRG00000003320,45.5026
ENSPPYG00000020056,ENSPTRG00000040941,51.8519
ENSPPYG00000020052,ENSPTRG00000042077,45.5882
ENSPPYG00000020050,ENSPTRG00000028760,23.4146
ENSPPYG00000020048,ENSPTRG00000016969,48.5816
ENSPPYG00000020046,ENSPTRG00000007616,45.977
ENSPPYG00000020044,ENSPTRG00000030841,47.6573
ENSPPYG00000020042,ENSPTRG00000028774,49.8316
ENSPPYG00000020040,ENSPTRG00000033976,51.8519
ENSPPYG00000020036,ENSPTRG00000017674,7.96935
ENSPPYG00000020034,ENSPTRG00000040862,49.8498
ENSPPYG00000020032,ENSPTRG00000014102,48.8865
ENSPPYG00000020030,ENSPTRG00000040033,50.2283
ENSPPYG00000020024,ENSPTRG00000021690,47.5345
ENSPPYG00000020022,ENSPTRG00000034369,48.8372
ENSPPYG00000020014,ENSPTRG00000000035,47.7742
ENSPPYG00000020012,ENSPTRG00000031314,47.1545
ENSPPYG00000020010,ENSPTRG00000031492,37.7622
ENSPPYG00000020008,ENSPTRG00000041259,50.6667
ENSPPYG00000020006,ENSPTRG00000003199,49.0778
ENSPPYG00000020006,ENSPTRG00000007716,48.5421
ENSPPYG00000020006,ENSPTRG00000007716,48.5522
ENSPPYG00000020004,ENSPTRG00000031327,46.595
ENSPPYG00000020002,ENSPTRG00000042377,47.7778
ENSPPYG00000020000,ENSPTRG00000030817,50
ENSPPYG00000019998,ENSPTRG00000042298,47.5556
ENSPPYG00000019996,ENSPTRG00000034363,5
ENSPPYG00000019994,ENSPTRG00000003172,47.4453
ENSPPYG00000019992,ENSPTRG00000003320,45.6197
ENSPPYG00000019990,ENSPTRG00000031023,48.5313
ENSPPYG00000019988,ENSPTRG00000007557,45.1886
ENSPPYG00000019986,ENSPTRG00000034369,48.0315
ENSPPYG00000019984,ENSPTRG00000019092,49.1269
ENSPPYG00000019980,ENSPTRG00000014573,48.857
ENSPPYG00000019978,ENSPTRG00000013921,49.1852
ENSPPYG00000019976,ENSPTRG00000042077,48.0676
ENSPPYG00000019974,ENSPTRG00000003346,22.7899
ENSPPYG00000019972,ENSPTRG00000031492,38.2284
ENSPPYG00000019970,ENSPTRG00000009893,33.5122
ENSPPYG00000019968,ENSPTRG00000003106,46.2423
ENSPPYG00000019966,ENSPTRG00000003104,8.3196
ENSPPYG00000019964,ENSPTRG00000003102,27.8598
ENSPPYG00000019962,ENSPTRG00000021649,48.4277
ENSPPYG00000019960,ENSPTRG00000021649,47.3765
ENSPPYG00000019958,ENSPTRG00000005670,47.8723
ENSPPYG00000019956,ENSPTRG00000009829,48.7778
ENSPPYG00000019954,ENSPTRG00000003175,47.0588
ENSPPYG00000019952,ENSPTRG00000017049,30.7263
ENSPPYG00000019950,ENSPTRG00000005670,10.9705
ENSPPYG00000019948,ENSPTRG00000034369,47.3829
ENSPPYG00000019946,ENSPTRG00000031314,47.2393
ENSPPYG00000019944,ENSPTRG00000021804,48.4153
ENSPPYG00000019944,ENSPTRG00000021804,47.2119
ENSPPYG00000019938,ENSPTRG00000033888,47.619
ENSPPYG00000019934,ENSPTRG00000042086,49.2655
ENSPPYG00000019932,ENSPTRG00000034337,45.0839
ENSPPYG00000019930,ENSPTRG00000041367,49.7653
ENSPPYG00000019926,ENSPTRG00000028292,49.41
ENSPPYG00000019924,ENSPTRG00000003174,46.1774
ENSPPYG00000019922,ENSPTRG00000042326,10.7362
ENSPPYG00000019922,ENSPTRG00000040891,51.5152
ENSPPYG00000019920,ENSPTRG00000042168,48.5981
ENSPPYG00000019918,ENSPTRG00000034369,49.2877
ENSPPYG00000019916,ENSPTRG00000034369,48.9247
ENSPPYG00000019916,ENSPTRG00000034369,48.6216
ENSPPYG00000019914,ENSPTRG00000014034,21.3911
ENSPPYG00000019912,ENSPTRG00000014033,11.2069
ENSPPYG00000019910,ENSPTRG00000007663,48.5671
ENSPPYG00000019908,ENSPTRG00000034369,46.1059
ENSPPYG00000019906,ENSPTRG00000022495,7.01754
ENSPPYG00000019904,ENSPTRG00000021823,49.9788
ENSPPYG00000019902,ENSPTRG00000019953,52.381
ENSPPYG00000019900,ENSPTRG00000041259,49.4253
ENSPPYG00000019896,ENSPTRG00000017006,48.8017
ENSPPYG00000019894,ENSPTRG00000028731,47.606
ENSPPYG00000019890,ENSPTRG00000042089,49.1935
ENSPPYG00000019888,ENSPTRG00000041916,48.8304
ENSPPYG00000019888,ENSPTRG00000041916,48.3483
ENSPPYG00000019886,ENSPTRG00000013918,47.619
ENSPPYG00000019882,ENSPTRG00000003320,43.0818
ENSPPYG00000019880,ENSPTRG00000007610,46.288
ENSPPYG00000019878,ENSPTRG00000042501,49.5215
ENSPPYG00000019878,ENSPTRG00000042266,48.8562
ENSPPYG00000019876,ENSPTRG00000007589,48.4649
ENSPPYG00000019874,ENSPTRG00000003232,49.4343
ENSPPYG00000019872,ENSPTRG00000031040,49.0991
ENSPPYG00000019870,ENSPTRG00000007641,48.1364
ENSPPYG00000019868,ENSPTRG00000017695,49.0196
ENSPPYG00000019866,ENSPTRG00000013918,50.5051
ENSPPYG00000019864,ENSPTRG00000034369,48.6111
ENSPPYG00000019862,ENSPTRG00000034469,42.5
ENSPPYG00000019860,ENSPTRG00000038982,48.75
ENSPPYG00000019856,ENSPTRG00000013839,53.1746
ENSPPYG00000019854,ENSPTRG00000039167,49.7268
ENSPPYG00000019850,ENSPTRG00000042377,46.1774
ENSPPYG00000019846,ENSPTRG00000039101,49.5726
ENSPPYG00000019844,ENSPTRG00000018858,49.3381
ENSPPYG00000019842,ENSPTRG00000031314,47.4178
ENSPPYG00000019840,ENSPTRG00000004526,48.0503
ENSPPYG00000019838,ENSPTRG00000042077,48.7179
ENSPPYG00000019836,ENSPTRG00000013918,48.0226
ENSPPYG00000019834,ENSPTRG00000039924,47.7093
ENSPPYG00000019832,ENSPTRG00000018865,47.5591
ENSPPYG00000019830,ENSPTRG00000007637,47.3874
ENSPPYG00000019828,ENSPTRG00000041651,46.8254
ENSPPYG00000019826,ENSPTRG00000007557,44.7597
ENSPPYG00000019824,ENSPTRG00000033843,47.9966
ENSPPYG00000019822,ENSPTRG00000017674,27.078
ENSPPYG00000019818,ENSPTRG00000039445,46.4377
ENSPPYG00000019816,ENSPTRG00000042077,48.1752
ENSPPYG00000019814,ENSPTRG00000042466,47.0782
ENSPPYG00000019812,ENSPTRG00000000047,46.7801
ENSPPYG00000019810,ENSPTRG00000033843,43.5595
ENSPPYG00000019808,ENSPTRG00000007626,45.9502
ENSPPYG00000019806,ENSPTRG00000003121,47.9524
ENSPPYG00000019804,ENSPTRG00000033843,44.7837
ENSPPYG00000019802,ENSPTRG00000004015,47.4002
ENSPPYG00000019800,ENSPTRG00000028745,45.967
ENSPPYG00000019798,ENSPTRG00000039445,45.7103
ENSPPYG00000019796,ENSPTRG00000031314,47.9675
ENSPPYG00000019794,ENSPTRG00000017004,48.4444
ENSPPYG00000019792,ENSPTRG00000000239,47.1264
ENSPPYG00000019790,ENSPTRG00000007564,46.6135
ENSPPYG00000019788,ENSPTRG00000007716,46.5194
ENSPPYG00000019786,ENSPTRG00000007681,48.2192
ENSPPYG00000019784,ENSPTRG00000042298,48.7805
ENSPPYG00000019782,ENSPTRG00000031314,48.7356
ENSPPYG00000019780,ENSPTRG00000033888,46.0845
ENSPPYG00000019778,ENSPTRG00000028792,48.2993
ENSPPYG00000019774,ENSPTRG00000007610,46.4694
ENSPPYG00000019772,ENSPTRG00000018890,49.4242
ENSPPYG00000019770,ENSPTRG00000003123,45.8182
ENSPPYG00000019768,ENSPTRG00000007544,45.9682
ENSPPYG00000019766,ENSPTRG00000000031,48.3548
ENSPPYG00000019764,ENSPTRG00000014134,49.1333
ENSPPYG00000019762,ENSPTRG00000007582,47.3744
ENSPPYG00000019760,ENSPTRG00000007530,46.7772
ENSPPYG00000019758,ENSPTRG00000000023,47.3759
ENSPPYG00000019756,ENSPTRG00000007625,47.5446
ENSPPYG00000019752,ENSPTRG00000014175,47.7583
ENSPPYG00000019752,ENSPTRG00000003128,47.2472
ENSPPYG00000019752,ENSPTRG00000014175,47.2998
ENSPPYG00000019750,ENSPTRG00000003184,49.2585
ENSPPYG00000019748,ENSPTRG00000040153,47.0935
ENSPPYG00000019746,ENSPTRG00000016685,48.5099
ENSPPYG00000019744,ENSPTRG00000000160,48.2791
ENSPPYG00000019744,ENSPTRG00000007563,48.3398
ENSPPYG00000019742,ENSPTRG00000000017,46.7532
ENSPPYG00000019740,ENSPTRG00000007621,47.3552
ENSPPYG00000019738,ENSPTRG00000007671,47.1984
ENSPPYG00000019736,ENSPTRG00000000241,47.1117
ENSPPYG00000019734,ENSPTRG00000003154,46.997
ENSPPYG00000019732,ENSPTRG00000014125,47.6378
ENSPPYG00000019730,ENSPTRG00000016687,48.6891
ENSPPYG00000019728,ENSPTRG00000020082,46.9613
ENSPPYG00000019726,ENSPTRG00000034369,45.9384
ENSPPYG00000019724,ENSPTRG00000005735,48.3622
ENSPPYG00000019722,ENSPTRG00000040132,49.1525
ENSPPYG00000019720,ENSPTRG00000040941,47.9532
ENSPPYG00000019718,ENSPTRG00000007672,47.1299
ENSPPYG00000019716,ENSPTRG00000028731,48.5207
ENSPPYG00000019714,ENSPTRG00000003283,48.8998
ENSPPYG00000019712,ENSPTRG00000031314,45.5426
ENSPPYG00000019710,ENSPTRG00000014644,48.0737
ENSPPYG00000019708,ENSPTRG00000009857,49.0303
ENSPPYG00000019708,ENSPTRG00000005775,48.9895
ENSPPYG00000019706,ENSPTRG00000042362,48.1838
ENSPPYG00000019704,ENSPTRG00000000031,48.4704
ENSPPYG00000019704,ENSPTRG00000003161,47.6019
ENSPPYG00000019702,ENSPTRG00000007645,48.1988
ENSPPYG00000019702,ENSPTRG00000000152,48.1851
ENSPPYG00000019700,ENSPTRG00000018865,48.9439
ENSPPYG00000019698,ENSPTRG00000019047,49.9067
ENSPPYG00000019698,ENSPTRG00000017695,48.6667
ENSPPYG00000019696,ENSPTRG00000040941,45.8333
ENSPPYG00000019694,ENSPTRG00000020082,46.2488
ENSPPYG00000019692,ENSPTRG00000020068,48.2407
ENSPPYG00000019692,ENSPTRG00000020081,48.913
ENSPPYG00000019690,ENSPTRG00000000152,49.6542
ENSPPYG00000019688,ENSPTRG00000018926,49.6698
ENSPPYG00000019686,ENSPTRG00000007645,47.9137
ENSPPYG00000019684,ENSPTRG00000019106,48.9489
ENSPPYG00000019682,ENSPTRG00000031328,47.9303
ENSPPYG00000019680,ENSPTRG00000003118,47.6484
ENSPPYG00000019678,ENSPTRG00000007626,45.7797
ENSPPYG00000019676,ENSPTRG00000014062,45.6583
ENSPPYG00000019674,ENSPTRG00000042230,47.1812
ENSPPYG00000019674,ENSPTRG00000042230,47.2783
ENSPPYG00000019672,ENSPTRG00000000017,46.1743
ENSPPYG00000019670,ENSPTRG00000014586,48.9905
ENSPPYG00000019668,ENSPTRG00000003160,47.4691
ENSPPYG00000019666,ENSPTRG00000018889,47.4723
ENSPPYG00000019664,ENSPTRG00000003128,48.099
ENSPPYG00000019662,ENSPTRG00000039778,48.1764
ENSPPYG00000019660,ENSPTRG00000004015,47.2076
ENSPPYG00000019658,ENSPTRG00000003184,47.2005
ENSPPYG00000019658,ENSPTRG00000007609,46.5291
ENSPPYG00000019656,ENSPTRG00000014662,49.2966
ENSPPYG00000019656,ENSPTRG00000003257,48.637
ENSPPYG00000019654,ENSPTRG00000039896,48.8168
ENSPPYG00000019652,ENSPTRG00000007651,47.7226
ENSPPYG00000019650,ENSPTRG00000007616,47.546
ENSPPYG00000019648,ENSPTRG00000013935,48.4716
ENSPPYG00000019646,ENSPTRG00000003184,48.1287
ENSPPYG00000019644,ENSPTRG00000000085,47.8803
ENSPPYG00000019642,ENSPTRG00000003128,46.649
ENSPPYG00000019640,ENSPTRG00000000207,47.0528
ENSPPYG00000019638,ENSPTRG00000039206,48.4444
ENSPPYG00000019636,ENSPTRG00000033843,46.2659
ENSPPYG00000019634,ENSPTRG00000016956,48.6051
ENSPPYG00000019634,ENSPTRG00000000023,47.3404
ENSPPYG00000019632,ENSPTRG00000033888,46.679
ENSPPYG00000019630,ENSPTRG00000018876,47.327
ENSPPYG00000019630,ENSPTRG00000003154,46.7803
ENSPPYG00000019628,ENSPTRG00000028760,47.1545
ENSPPYG00000019626,ENSPTRG00000023886,46.938
ENSPPYG00000019626,ENSPTRG00000023886,46.806
ENSPPYG00000019624,ENSPTRG00000003118,46.982
ENSPPYG00000019622,ENSPTRG00000018992,49.0625
ENSPPYG00000019620,ENSPTRG00000003184,44.4909
ENSPPYG00000019618,ENSPTRG00000000143,48.7994
ENSPPYG00000019616,ENSPTRG00000003184,48.6469
ENSPPYG00000019614,ENSPTRG00000003128,46.6488
ENSPPYG00000019612,ENSPTRG00000005859,48.7875
ENSPPYG00000019612,ENSPTRG00000005859,48.7037
ENSPPYG00000019610,ENSPTRG00000020009,48.9842
ENSPPYG00000019608,ENSPTRG00000000102,48.9516
ENSPPYG00000019606,ENSPTRG00000019003,48.6271
ENSPPYG00000019604,ENSPTRG00000005774,49.4071
ENSPPYG00000019602,ENSPTRG00000007558,47.1331
ENSPPYG00000019600,ENSPTRG00000030818,48.6345
ENSPPYG00000019600,ENSPTRG00000033772,57.4713
ENSPPYG00000019600,ENSPTRG00000033976,54.1667
ENSPPYG00000019600,ENSPTRG00000021857,48.3631
ENSPPYG00000019598,ENSPTRG00000003107,46.3646
ENSPPYG00000019596,ENSPTRG00000003217,48.5612
ENSPPYG00000019594,ENSPTRG00000020082,48.4925
ENSPPYG00000019594,ENSPTRG00000042326,47.8927
ENSPPYG00000019592,ENSPTRG00000007684,48.0674
ENSPPYG00000019590,ENSPTRG00000029512,49.6296
ENSPPYG00000019586,ENSPTRG00000003309,49.165
ENSPPYG00000019586,ENSPTRG00000028302,48.5929
ENSPPYG00000019584,ENSPTRG00000040529,47.6078
ENSPPYG00000019582,ENSPTRG00000019038,48.6982
ENSPPYG00000019580,ENSPTRG00000028728,46.3602
ENSPPYG00000019576,ENSPTRG00000003320,44.0589
ENSPPYG00000019574,ENSPTRG00000028731,49.3884
ENSPPYG00000019572,ENSPTRG00000041259,50.5747
ENSPPYG00000019570,ENSPTRG00000005684,49.2
ENSPPYG00000019567,ENSPTRG00000014136,49.115
ENSPPYG00000019567,ENSPTRG00000014136,49.115
ENSPPYG00000019565,ENSPTRG00000016929,50.0812
ENSPPYG00000019563,ENSPTRG00000040561,49.481
ENSPPYG00000019561,ENSPTRG00000038816,48.374
ENSPPYG00000019559,ENSPTRG00000005715,48.7332
ENSPPYG00000019557,ENSPTRG00000000221,48.6249
ENSPPYG00000019555,ENSPTRG00000000024,48.7515
ENSPPYG00000019553,ENSPTRG00000003379,48.4759
ENSPPYG00000019551,ENSPTRG00000003326,48.4018
ENSPPYG00000019549,ENSPTRG00000000067,48.5127
ENSPPYG00000019547,ENSPTRG00000000017,48.0632
ENSPPYG00000019545,ENSPTRG00000040740,49.4737
ENSPPYG00000019541,ENSPTRG00000033718,48.6945
ENSPPYG00000019539,ENSPTRG00000040333,49.2958
ENSPPYG00000019537,ENSPTRG00000007580,48.7284
ENSPPYG00000019537,ENSPTRG00000013936,48.5394
ENSPPYG00000019535,ENSPTRG00000005734,48.6056
ENSPPYG00000019533,ENSPTRG00000018884,47.9882
ENSPPYG00000019531,ENSPTRG00000000239,47.5954
ENSPPYG00000019529,ENSPTRG00000031045,46.645
ENSPPYG00000019525,ENSPTRG00000003172,47.1545
ENSPPYG00000019523,ENSPTRG00000028316,48.557
ENSPPYG00000019521,ENSPTRG00000022613,48.2305
ENSPPYG00000019521,ENSPTRG00000022613,48.2274
ENSPPYG00000019521,ENSPTRG00000014062,49.6855
ENSPPYG00000019519,ENSPTRG00000020082,47.714
ENSPPYG00000019515,ENSPTRG00000018954,49.2958
ENSPPYG00000019513,ENSPTRG00000003144,48.7961
ENSPPYG00000019511,ENSPTRG00000028288,39.1442
ENSPPYG00000019511,ENSPTRG00000023396,36.4964
ENSPPYG00000019511,ENSPTRG00000019953,52.2727
ENSPPYG00000019509,ENSPTRG00000003258,48.8584
ENSPPYG00000019507,ENSPTRG00000031492,48.7215
ENSPPYG00000019505,ENSPTRG00000017066,48.8836
ENSPPYG00000019505,ENSPTRG00000005857,48.9209
ENSPPYG00000019503,ENSPTRG00000041716,49.2669
ENSPPYG00000019503,ENSPTRG00000041716,49.1329
ENSPPYG00000019501,ENSPTRG00000016982,48.6621
ENSPPYG00000019499,ENSPTRG00000013866,48.747
ENSPPYG00000019497,ENSPTRG00000017083,49.0586
ENSPPYG00000019497,ENSPTRG00000017083,49.0586
ENSPPYG00000019497,ENSPTRG00000014586,49.1842
ENSPPYG00000019495,ENSPTRG00000003249,48.9498
ENSPPYG00000019493,ENSPTRG00000005775,49.2554
ENSPPYG00000019491,ENSPTRG00000000269,48.9011
ENSPPYG00000019489,ENSPTRG00000005760,49.7542
ENSPPYG00000019489,ENSPTRG00000005760,49.7629
ENSPPYG00000019487,ENSPTRG00000016888,49.3333
ENSPPYG00000019487,ENSPTRG00000016888,49.3329
ENSPPYG00000019485,ENSPTRG00000028666,48.862
ENSPPYG00000019483,ENSPTRG00000000269,49
ENSPPYG00000019481,ENSPTRG00000000249,48.7003
ENSPPYG00000019479,ENSPTRG00000039529,47.352
ENSPPYG00000019477,ENSPTRG00000021833,49.0196
ENSPPYG00000019473,ENSPTRG00000042377,49.2355
ENSPPYG00000019471,ENSPTRG00000016947,47.9942
ENSPPYG00000019469,ENSPTRG00000013872,49.2754
ENSPPYG00000019461,ENSPTRG00000003320,44.8276
ENSPPYG00000019459,ENSPTRG00000016949,49.4286
ENSPPYG00000019455,ENSPTRG00000019025,48.8827
ENSPPYG00000019455,ENSPTRG00000003351,48.5342
ENSPPYG00000019453,ENSPTRG00000013892,49.1525
ENSPPYG00000019453,ENSPTRG00000013920,49.0613
ENSPPYG00000019451,ENSPTRG00000016932,48.7826
ENSPPYG00000019449,ENSPTRG00000016880,48.364
ENSPPYG00000019447,ENSPTRG00000014145,49.6377
ENSPPYG00000019445,ENSPTRG00000000140,49.0504
ENSPPYG00000019443,ENSPTRG00000040752,48.1848
ENSPPYG00000019441,ENSPTRG00000005696,48.758
ENSPPYG00000019439,ENSPTRG00000005789,48.7384
ENSPPYG00000019437,ENSPTRG00000003184,48.592
ENSPPYG00000019435,ENSPTRG00000016682,48.4492
ENSPPYG00000019433,ENSPTRG00000003184,47.275
ENSPPYG00000019431,ENSPTRG00000021850,48.7963
ENSPPYG00000019429,ENSPTRG00000030309,49.0107
ENSPPYG00000019427,ENSPTRG00000041256,48.7835
ENSPPYG00000019425,ENSPTRG00000017048,49.0438
ENSPPYG00000019425,ENSPTRG00000013928,49.4224
ENSPPYG00000019423,ENSPTRG00000014572,49.0914
ENSPPYG00000019423,ENSPTRG00000005685,48.8264
ENSPPYG00000019421,ENSPTRG00000016949,49.2537
ENSPPYG00000019419,ENSPTRG00000032585,47.7663
ENSPPYG00000019417,ENSPTRG00000013890,49.2332
ENSPPYG00000019415,ENSPTRG00000022501,49.8708
ENSPPYG00000019413,ENSPTRG00000028316,48.8333
ENSPPYG00000019409,ENSPTRG00000000024,49.2541
ENSPPYG00000019407,ENSPTRG00000016677,49.1831
ENSPPYG00000019407,ENSPTRG00000014072,49.2616
ENSPPYG00000019405,ENSPTRG00000007643,48.5742
ENSPPYG00000019403,ENSPTRG00000003360,48.8084
ENSPPYG00000019401,ENSPTRG00000009829,47.8561
ENSPPYG00000019399,ENSPTRG00000003184,48.5207
ENSPPYG00000019397,ENSPTRG00000023374,47.8939
ENSPPYG00000019395,ENSPTRG00000009847,49.0451
ENSPPYG00000019393,ENSPTRG00000020082,47.8899
ENSPPYG00000019391,ENSPTRG00000014170,48.6402
ENSPPYG00000019389,ENSPTRG00000000276,48.5618
ENSPPYG00000019387,ENSPTRG00000042077,48.1481
ENSPPYG00000019383,ENSPTRG00000021659,47.4053
ENSPPYG00000019383,ENSPTRG00000028742,47.5
ENSPPYG00000019381,ENSPTRG00000003143,49.7573
ENSPPYG00000019379,ENSPTRG00000028653,49.6905
ENSPPYG00000019377,ENSPTRG00000019004,48.5682
ENSPPYG00000019375,ENSPTRG00000019025,48.8308
ENSPPYG00000019375,ENSPTRG00000019025,48.8308
ENSPPYG00000019373,ENSPTRG00000030841,47.6449
ENSPPYG00000019371,ENSPTRG00000004554,48.093
ENSPPYG00000019371,ENSPTRG00000020013,49.4715
ENSPPYG00000019369,ENSPTRG00000005728,48.366
ENSPPYG00000019367,ENSPTRG00000021835,49.1667
ENSPPYG00000019365,ENSPTRG00000021656,49.0432
ENSPPYG00000019363,ENSPTRG00000042298,48.3122
ENSPPYG00000019361,ENSPTRG00000014062,44.2667
ENSPPYG00000019359,ENSPTRG00000021679,49.5392
ENSPPYG00000019359,ENSPTRG00000016896,49.349
ENSPPYG00000019357,ENSPTRG00000039924,47.3597
ENSPPYG00000019355,ENSPTRG00000009858,49.1381
ENSPPYG00000019355,ENSPTRG00000040033,48.2456
ENSPPYG00000019353,ENSPTRG00000003123,47.4178
ENSPPYG00000019351,ENSPTRG00000021690,48.3431
ENSPPYG00000019349,ENSPTRG00000007589,49.2289
ENSPPYG00000019347,ENSPTRG00000000264,49.4012
ENSPPYG00000019345,ENSPTRG00000034369,49.3939
ENSPPYG00000019343,ENSPTRG00000013839,53.0303
ENSPPYG00000019341,ENSPTRG00000028817,50
ENSPPYG00000019339,ENSPTRG00000005745,49.3383
ENSPPYG00000019337,ENSPTRG00000016931,49.1034
ENSPPYG00000019335,ENSPTRG00000023396,49.3939
ENSPPYG00000019333,ENSPTRG00000019025,48.4699
ENSPPYG00000019331,ENSPTRG00000007652,49.8931
ENSPPYG00000019331,ENSPTRG00000007652,49.8203
ENSPPYG00000019329,ENSPTRG00000017054,49.1582
ENSPPYG00000019327,ENSPTRG00000019004,49.4374
ENSPPYG00000019327,ENSPTRG00000019004,49.2264
ENSPPYG00000019325,ENSPTRG00000005794,48.5358
ENSPPYG00000019325,ENSPTRG00000013821,48.7467
ENSPPYG00000019323,ENSPTRG00000013870,48.4429
ENSPPYG00000019323,ENSPTRG00000016967,48.7271
ENSPPYG00000019321,ENSPTRG00000016913,49.4913
ENSPPYG00000019321,ENSPTRG00000018937,49.1408
ENSPPYG00000019321,ENSPTRG00000016913,49.5803
ENSPPYG00000019317,ENSPTRG00000040740,47.6744
ENSPPYG00000019315,ENSPTRG00000033940,48.9661
ENSPPYG00000019315,ENSPTRG00000028729,48.8372
ENSPPYG00000019315,ENSPTRG00000028729,48.7941
ENSPPYG00000019315,ENSPTRG00000028729,48.8889
ENSPPYG00000019315,ENSPTRG00000003118,48.7943
ENSPPYG00000019313,ENSPTRG00000013829,49.1525
ENSPPYG00000019311,ENSPTRG00000021799,48.7963
ENSPPYG00000019309,ENSPTRG00000013792,48.8191
ENSPPYG00000019307,ENSPTRG00000040153,46.0944
ENSPPYG00000019305,ENSPTRG00000017067,48.8165
ENSPPYG00000019305,ENSPTRG00000004515,48.9296
ENSPPYG00000019303,ENSPTRG00000007644,48.0726
ENSPPYG00000019301,ENSPTRG00000017091,47.717
ENSPPYG00000019301,ENSPTRG00000013932,48.4634
ENSPPYG00000019299,ENSPTRG00000013850,49.0248
ENSPPYG00000019299,ENSPTRG00000003379,48
ENSPPYG00000019299,ENSPTRG00000003379,47.5687
ENSPPYG00000019297,ENSPTRG00000021637,46.8376
ENSPPYG00000019295,ENSPTRG00000017083,49.2873
ENSPPYG00000019295,ENSPTRG00000014586,49.304
ENSPPYG00000019293,ENSPTRG00000040561,48.0307
ENSPPYG00000019291,ENSPTRG00000005724,49.3438
ENSPPYG00000019289,ENSPTRG00000017069,48.6173
ENSPPYG00000019289,ENSPTRG00000016947,48.9738
ENSPPYG00000019287,ENSPTRG00000016994,49.1972
ENSPPYG00000019285,ENSPTRG00000021711,48.9299
ENSPPYG00000019285,ENSPTRG00000022613,49.2573
ENSPPYG00000019285,ENSPTRG00000019942,49.2554
ENSPPYG00000019285,ENSPTRG00000014620,49.1735
ENSPPYG00000019285,ENSPTRG00000020011,49.0765
ENSPPYG00000019283,ENSPTRG00000019931,48.0628
ENSPPYG00000019281,ENSPTRG00000000171,49.0539
ENSPPYG00000019279,ENSPTRG00000018927,48.9975
ENSPPYG00000019277,ENSPTRG00000039778,48.9283
ENSPPYG00000019275,ENSPTRG00000007690,49.1432
ENSPPYG00000019273,ENSPTRG00000022476,46.8186
ENSPPYG00000019269,ENSPTRG00000005774,49.1321
ENSPPYG00000019267,ENSPTRG00000018890,48.8014
ENSPPYG00000019265,ENSPTRG00000020996,17.4984
ENSPPYG00000019265,ENSPTRG00000020996,14.988
ENSPPYG00000019265,ENSPTRG00000020996,14.6958
ENSPPYG00000019263,ENSPTRG00000039292,47.8261
ENSPPYG00000019261,ENSPTRG00000000207,47.6827
ENSPPYG00000019259,ENSPTRG00000038881,48.3986
ENSPPYG00000019257,ENSPTRG00000013803,48.424
ENSPPYG00000019255,ENSPTRG00000009890,48.6473
ENSPPYG00000019253,ENSPTRG00000020034,48.4934
ENSPPYG00000019249,ENSPTRG00000014572,48.8666
ENSPPYG00000019247,ENSPTRG00000028653,46.1271
ENSPPYG00000019245,ENSPTRG00000021673,48.0519
ENSPPYG00000019243,ENSPTRG00000017069,48.3625
ENSPPYG00000019241,ENSPTRG00000021829,48.6999
ENSPPYG00000019239,ENSPTRG00000021699,48.3696
ENSPPYG00000019239,ENSPTRG00000033772,53.5354
ENSPPYG00000019239,ENSPTRG00000041259,54.6667
ENSPPYG00000019237,ENSPTRG00000040561,48.9118
ENSPPYG00000019235,ENSPTRG00000018991,49.2937
ENSPPYG00000019233,ENSPTRG00000030817,49.0196
ENSPPYG00000019231,ENSPTRG00000033798,48.7306
ENSPPYG00000019229,ENSPTRG00000039081,47.7541
ENSPPYG00000019227,ENSPTRG00000003310,48.5671
ENSPPYG00000019225,ENSPTRG00000016677,49.1313
ENSPPYG00000019223,ENSPTRG00000034307,47.8261
ENSPPYG00000019221,ENSPTRG00000034369,47.4926
ENSPPYG00000019219,ENSPTRG00000018975,48.9137
ENSPPYG00000019217,ENSPTRG00000031314,47.9167
