pongo_abelii,macaca_mulatta
ENSPPYG00000020102,ENSMMUG00000008943,47.2868
ENSPPYG00000020100,ENSMMUG00000032528,48.6111
ENSPPYG00000020098,ENSMMUG00000008247,22.8801
ENSPPYG00000020096,ENSMMUG00000000443,5.52735
ENSPPYG00000020094,ENSMMUG00000004985,5.72973
ENSPPYG00000020092,ENSMMUG00000003932,27.1164
ENSPPYG00000020090,ENSMMUG00000017276,49.6296
ENSPPYG00000020090,ENSMMUG00000002333,49.7967
ENSPPYG00000020090,ENSMMUG00000005065,48.4223
ENSPPYG00000020090,ENSMMUG00000032357,50
ENSPPYG00000020088,ENSMMUG00000007514,29.7362
ENSPPYG00000020086,ENSMMUG00000001612,48.4245
ENSPPYG00000020084,ENSMMUG00000018435,47.1264
ENSPPYG00000020082,ENSMMUG00000005501,47.8513
ENSPPYG00000020082,ENSMMUG00000006167,48.0191
ENSPPYG00000020080,ENSMMUG00000002333,49.0654
ENSPPYG00000020078,ENSMMUG00000032525,49.7863
ENSPPYG00000020076,ENSMMUG00000005304,47.6487
ENSPPYG00000020076,ENSMMUG00000002023,47.4123
ENSPPYG00000020074,ENSMMUG00000008760,47.3498
ENSPPYG00000020070,ENSMMUG00000004046,49.8834
ENSPPYG00000020068,ENSMMUG00000012384,48.818
ENSPPYG00000020068,ENSMMUG00000004658,48.3871
ENSPPYG00000020068,ENSMMUG00000004658,49.7268
ENSPPYG00000020068,ENSMMUG00000032379,51.1111
ENSPPYG00000020066,ENSMMUG00000032334,51.8519
ENSPPYG00000020062,ENSMMUG00000004335,45.8333
ENSPPYG00000020060,ENSMMUG00000013213,45.8201
ENSPPYG00000020056,ENSMMUG00000018480,49.6296
ENSPPYG00000020052,ENSMMUG00000005263,46.3235
ENSPPYG00000020050,ENSMMUG00000001612,47.4797
ENSPPYG00000020048,ENSMMUG00000032338,47.5177
ENSPPYG00000020046,ENSMMUG00000001612,46.9175
ENSPPYG00000020044,ENSMMUG00000017277,48.0589
ENSPPYG00000020042,ENSMMUG00000003251,49.6633
ENSPPYG00000020040,ENSMMUG00000004051,52.5926
ENSPPYG00000020036,ENSMMUG00000010620,48.4291
ENSPPYG00000020034,ENSMMUG00000021463,48.9489
ENSPPYG00000020032,ENSMMUG00000008422,48.5944
ENSPPYG00000020030,ENSMMUG00000015878,49.3151
ENSPPYG00000020024,ENSMMUG00000011379,48.7179
ENSPPYG00000020022,ENSMMUG00000017795,49.354
ENSPPYG00000020014,ENSMMUG00000008760,47.2313
ENSPPYG00000020012,ENSMMUG00000004187,47.7642
ENSPPYG00000020010,ENSMMUG00000013590,47.6301
ENSPPYG00000020008,ENSMMUG00000032379,54.6667
ENSPPYG00000020006,ENSMMUG00000009050,48.8979
ENSPPYG00000020006,ENSMMUG00000009151,49.2048
ENSPPYG00000020006,ENSMMUG00000007154,48.9899
ENSPPYG00000020004,ENSMMUG00000001612,46.7742
ENSPPYG00000020002,ENSMMUG00000017277,46.9444
ENSPPYG00000020000,ENSMMUG00000032419,48.7654
ENSPPYG00000019998,ENSMMUG00000002729,48.2222
ENSPPYG00000019996,ENSMMUG00000032526,49.5833
ENSPPYG00000019994,ENSMMUG00000008943,47.6886
ENSPPYG00000019992,ENSMMUG00000013213,48.3974
ENSPPYG00000019990,ENSMMUG00000023726,36.6539
ENSPPYG00000019988,ENSMMUG00000009476,45.1116
ENSPPYG00000019986,ENSMMUG00000002729,36.4829
ENSPPYG00000019984,ENSMMUG00000018717,49.1269
ENSPPYG00000019980,ENSMMUG00000021489,48.9102
ENSPPYG00000019978,ENSMMUG00000032460,48.2963
ENSPPYG00000019976,ENSMMUG00000002333,48.0676
ENSPPYG00000019974,ENSMMUG00000021298,49.2295
ENSPPYG00000019972,ENSMMUG00000013590,47.7078
ENSPPYG00000019970,ENSMMUG00000013327,28.384
ENSPPYG00000019968,ENSMMUG00000032441,48.2759
ENSPPYG00000019966,ENSMMUG00000011485,48.8468
ENSPPYG00000019964,ENSMMUG00000012739,48.7085
ENSPPYG00000019962,ENSMMUG00000017881,48.8994
ENSPPYG00000019960,ENSMMUG00000019495,48.1481
ENSPPYG00000019958,ENSMMUG00000032536,46.4539
ENSPPYG00000019956,ENSMMUG00000022081,48.4444
ENSPPYG00000019954,ENSMMUG00000017753,48.1283
ENSPPYG00000019952,ENSMMUG00000016681,49.2551
ENSPPYG00000019950,ENSMMUG00000010250,44.7257
ENSPPYG00000019948,ENSMMUG00000032507,48.2094
ENSPPYG00000019946,ENSMMUG00000010618,46.6258
ENSPPYG00000019944,ENSMMUG00000023726,47.1038
ENSPPYG00000019944,ENSMMUG00000023726,47.5836
ENSPPYG00000019938,ENSMMUG00000032327,47.8764
ENSPPYG00000019934,ENSMMUG00000017273,49.0395
ENSPPYG00000019932,ENSMMUG00000032385,48.3213
ENSPPYG00000019930,ENSMMUG00000032534,49.7653
ENSPPYG00000019926,ENSMMUG00000017882,49.115
ENSPPYG00000019924,ENSMMUG00000032454,46.789
ENSPPYG00000019922,ENSMMUG00000001612,47.546
ENSPPYG00000019922,ENSMMUG00000018480,53.5354
ENSPPYG00000019920,ENSMMUG00000003374,48.5981
ENSPPYG00000019918,ENSMMUG00000032375,49.0028
ENSPPYG00000019916,ENSMMUG00000022137,50
ENSPPYG00000019916,ENSMMUG00000022137,49.6241
ENSPPYG00000019914,ENSMMUG00000023021,48.1627
ENSPPYG00000019912,ENSMMUG00000007162,47.4959
ENSPPYG00000019910,ENSMMUG00000009015,48.2655
ENSPPYG00000019908,ENSMMUG00000032505,48.2866
ENSPPYG00000019906,ENSMMUG00000017881,48.9633
ENSPPYG00000019904,ENSMMUG00000003317,49.9929
ENSPPYG00000019902,ENSMMUG00000032379,55.2381
ENSPPYG00000019900,ENSMMUG00000032379,54.023
ENSPPYG00000019896,ENSMMUG00000032440,47.9303
ENSPPYG00000019894,ENSMMUG00000013668,48.8372
ENSPPYG00000019890,ENSMMUG00000010575,48.6559
ENSPPYG00000019888,ENSMMUG00000018052,49.4152
ENSPPYG00000019888,ENSMMUG00000012204,48.3483
ENSPPYG00000019886,ENSMMUG00000002333,47.619
ENSPPYG00000019882,ENSMMUG00000013213,47.5891
ENSPPYG00000019880,ENSMMUG00000018435,46.9357
ENSPPYG00000019878,ENSMMUG00000022902,48.8038
ENSPPYG00000019878,ENSMMUG00000004154,48.8562
ENSPPYG00000019876,ENSMMUG00000005498,48.9035
ENSPPYG00000019874,ENSMMUG00000021413,48.4769
ENSPPYG00000019872,ENSMMUG00000032410,48.8739
ENSPPYG00000019870,ENSMMUG00000008623,48.4529
ENSPPYG00000019868,ENSMMUG00000015878,49.4118
ENSPPYG00000019866,ENSMMUG00000018997,50
ENSPPYG00000019864,ENSMMUG00000019420,49.7222
ENSPPYG00000019862,ENSMMUG00000016216,48
ENSPPYG00000019860,ENSMMUG00000032539,48.75
ENSPPYG00000019856,ENSMMUG00000032379,53.9683
ENSPPYG00000019854,ENSMMUG00000032417,49.1803
ENSPPYG00000019850,ENSMMUG00000017277,47.7064
ENSPPYG00000019846,ENSMMUG00000032375,49.2877
ENSPPYG00000019844,ENSMMUG00000019910,49.9398
ENSPPYG00000019842,ENSMMUG00000007583,47.1831
ENSPPYG00000019840,ENSMMUG00000008618,46.0377
ENSPPYG00000019838,ENSMMUG00000013415,47.5524
ENSPPYG00000019836,ENSMMUG00000004187,48.0226
ENSPPYG00000019834,ENSMMUG00000017423,48.0253
ENSPPYG00000019832,ENSMMUG00000009151,47.9485
ENSPPYG00000019830,ENSMMUG00000010617,47.2523
ENSPPYG00000019828,ENSMMUG00000022138,46.6931
ENSPPYG00000019826,ENSMMUG00000013590,45.2325
ENSPPYG00000019824,ENSMMUG00000003561,47.2293
ENSPPYG00000019822,ENSMMUG00000032463,48.072
ENSPPYG00000019818,ENSMMUG00000032315,47.5827
ENSPPYG00000019816,ENSMMUG00000005263,48.1752
ENSPPYG00000019814,ENSMMUG00000013590,47.572
ENSPPYG00000019812,ENSMMUG00000012739,47.1851
ENSPPYG00000019810,ENSMMUG00000009476,43.9528
ENSPPYG00000019808,ENSMMUG00000008622,47.9751
ENSPPYG00000019806,ENSMMUG00000017290,48.0952
ENSPPYG00000019804,ENSMMUG00000013590,45.2926
ENSPPYG00000019802,ENSMMUG00000009012,48.1258
ENSPPYG00000019800,ENSMMUG00000032486,46.1613
ENSPPYG00000019798,ENSMMUG00000032310,47.5387
ENSPPYG00000019796,ENSMMUG00000010618,47.1545
ENSPPYG00000019794,ENSMMUG00000017277,47.8519
ENSPPYG00000019792,ENSMMUG00000001612,45.977
ENSPPYG00000019790,ENSMMUG00000006167,47.7424
ENSPPYG00000019788,ENSMMUG00000007514,47.992
ENSPPYG00000019786,ENSMMUG00000009050,47.8539
ENSPPYG00000019784,ENSMMUG00000032380,48.9837
ENSPPYG00000019782,ENSMMUG00000005263,48.046
ENSPPYG00000019780,ENSMMUG00000023021,47.5398
ENSPPYG00000019778,ENSMMUG00000032554,48.0726
ENSPPYG00000019774,ENSMMUG00000007583,47.6116
ENSPPYG00000019772,ENSMMUG00000017277,49.0097
ENSPPYG00000019770,ENSMMUG00000023099,46.3636
ENSPPYG00000019768,ENSMMUG00000018435,45.9682
ENSPPYG00000019766,ENSMMUG00000017290,48.7363
ENSPPYG00000019764,ENSMMUG00000004336,49.1333
ENSPPYG00000019762,ENSMMUG00000032486,46.6895
ENSPPYG00000019760,ENSMMUG00000001612,47.8821
ENSPPYG00000019758,ENSMMUG00000009015,47.6596
ENSPPYG00000019756,ENSMMUG00000000323,47.6543
ENSPPYG00000019752,ENSMMUG00000019534,48.2456
ENSPPYG00000019752,ENSMMUG00000016469,47.5475
ENSPPYG00000019752,ENSMMUG00000008306,48.324
ENSPPYG00000019750,ENSMMUG00000016045,50.3546
ENSPPYG00000019748,ENSMMUG00000013590,47.7557
ENSPPYG00000019746,ENSMMUG00000020898,49.2893
ENSPPYG00000019744,ENSMMUG00000012743,48.3734
ENSPPYG00000019744,ENSMMUG00000007162,48.5123
ENSPPYG00000019742,ENSMMUG00000015396,47.619
ENSPPYG00000019740,ENSMMUG00000000323,47.7308
ENSPPYG00000019738,ENSMMUG00000007162,47.8119
ENSPPYG00000019736,ENSMMUG00000000286,47.1591
ENSPPYG00000019734,ENSMMUG00000007345,47.7978
ENSPPYG00000019732,ENSMMUG00000017277,47.9003
ENSPPYG00000019730,ENSMMUG00000012379,4.99376
ENSPPYG00000019728,ENSMMUG00000017757,46.8692
ENSPPYG00000019726,ENSMMUG00000017277,47.619
ENSPPYG00000019724,ENSMMUG00000001612,47.7842
ENSPPYG00000019722,ENSMMUG00000018997,49.1525
ENSPPYG00000019720,ENSMMUG00000018997,52.6316
ENSPPYG00000019718,ENSMMUG00000032492,47.0292
ENSPPYG00000019716,ENSMMUG00000013415,48.3235
ENSPPYG00000019714,ENSMMUG00000007345,49.1443
ENSPPYG00000019712,ENSMMUG00000004187,46.5116
ENSPPYG00000019710,ENSMMUG00000016216,48.5762
ENSPPYG00000019708,ENSMMUG00000022097,48.9396
ENSPPYG00000019708,ENSMMUG00000022097,48.9986
ENSPPYG00000019706,ENSMMUG00000006616,48.6111
ENSPPYG00000019704,ENSMMUG00000017277,48.4704
ENSPPYG00000019704,ENSMMUG00000004858,47.9616
ENSPPYG00000019702,ENSMMUG00000012746,48.8064
ENSPPYG00000019702,ENSMMUG00000000286,47.9953
ENSPPYG00000019700,ENSMMUG00000000323,49.194
ENSPPYG00000019698,ENSMMUG00000019345,50.0933
ENSPPYG00000019698,ENSMMUG00000032397,46.6667
ENSPPYG00000019696,ENSMMUG00000032528,51.3889
ENSPPYG00000019694,ENSMMUG00000012739,46.6287
ENSPPYG00000019692,ENSMMUG00000008250,34.537
ENSPPYG00000019692,ENSMMUG00000008250,16.3043
ENSPPYG00000019690,ENSMMUG00000000286,49.8617
ENSPPYG00000019688,ENSMMUG00000002805,49.434
ENSPPYG00000019686,ENSMMUG00000000286,48.1247
ENSPPYG00000019684,ENSMMUG00000003922,48.4484
ENSPPYG00000019682,ENSMMUG00000017753,47.9303
ENSPPYG00000019680,ENSMMUG00000003372,47.956
ENSPPYG00000019678,ENSMMUG00000008622,46.9242
ENSPPYG00000019676,ENSMMUG00000007583,47.8992
ENSPPYG00000019674,ENSMMUG00000010580,47.838
ENSPPYG00000019674,ENSMMUG00000015706,47.5841
ENSPPYG00000019672,ENSMMUG00000018435,47.5558
ENSPPYG00000019670,ENSMMUG00000020553,48.8
ENSPPYG00000019668,ENSMMUG00000005304,48.0864
ENSPPYG00000019666,ENSMMUG00000018703,47.2256
ENSPPYG00000019664,ENSMMUG00000003561,47.5685
ENSPPYG00000019662,ENSMMUG00000010585,47.8372
ENSPPYG00000019660,ENSMMUG00000032486,47.2076
ENSPPYG00000019658,ENSMMUG00000005304,47.526
ENSPPYG00000019658,ENSMMUG00000005304,46.8418
ENSPPYG00000019656,ENSMMUG00000015656,49.3864
ENSPPYG00000019656,ENSMMUG00000017277,48.3022
ENSPPYG00000019654,ENSMMUG00000000192,48.4111
ENSPPYG00000019652,ENSMMUG00000017290,48.1366
ENSPPYG00000019650,ENSMMUG00000000322,47.4438
ENSPPYG00000019648,ENSMMUG00000008622,48.7627
ENSPPYG00000019646,ENSMMUG00000010580,48.0702
ENSPPYG00000019644,ENSMMUG00000007583,48.1297
ENSPPYG00000019642,ENSMMUG00000009476,45.8554
ENSPPYG00000019640,ENSMMUG00000016469,46.1382
ENSPPYG00000019638,ENSMMUG00000032558,46.2222
ENSPPYG00000019636,ENSMMUG00000009476,47.0856
ENSPPYG00000019634,ENSMMUG00000018844,48.3871
ENSPPYG00000019634,ENSMMUG00000008622,47.8723
ENSPPYG00000019632,ENSMMUG00000005304,47.2325
ENSPPYG00000019630,ENSMMUG00000007162,47.3664
ENSPPYG00000019630,ENSMMUG00000010617,47.6326
ENSPPYG00000019628,ENSMMUG00000001612,47.6423
ENSPPYG00000019626,ENSMMUG00000008623,47.5969
ENSPPYG00000019626,ENSMMUG00000008623,47.619
ENSPPYG00000019624,ENSMMUG00000020898,47.4775
ENSPPYG00000019622,ENSMMUG00000002859,48.5938
ENSPPYG00000019620,ENSMMUG00000013590,46.7922
ENSPPYG00000019618,ENSMMUG00000017409,48.8701
ENSPPYG00000019616,ENSMMUG00000006684,49.0429
ENSPPYG00000019614,ENSMMUG00000012739,47.0956
ENSPPYG00000019612,ENSMMUG00000007592,48.9685
ENSPPYG00000019612,ENSMMUG00000012849,49.2222
ENSPPYG00000019610,ENSMMUG00000012987,48.9495
ENSPPYG00000019608,ENSMMUG00000015264,48.4677
ENSPPYG00000019606,ENSMMUG00000004045,48.8261
ENSPPYG00000019604,ENSMMUG00000010501,49.4862
ENSPPYG00000019602,ENSMMUG00000032463,47.8134
ENSPPYG00000019600,ENSMMUG00000022873,48.5183
ENSPPYG00000019600,ENSMMUG00000032314,54.023
ENSPPYG00000019600,ENSMMUG00000032379,54.1667
ENSPPYG00000019600,ENSMMUG00000018157,48.3631
ENSPPYG00000019598,ENSMMUG00000008623,48.1911
ENSPPYG00000019596,ENSMMUG00000032319,48.5612
ENSPPYG00000019594,ENSMMUG00000017243,48.2412
ENSPPYG00000019594,ENSMMUG00000008306,47.1264
ENSPPYG00000019592,ENSMMUG00000012739,48.9924
ENSPPYG00000019590,ENSMMUG00000032452,48.8889
ENSPPYG00000019586,ENSMMUG00000007593,49.1873
ENSPPYG00000019586,ENSMMUG00000023324,48.7492
ENSPPYG00000019584,ENSMMUG00000032485,47.7647
ENSPPYG00000019582,ENSMMUG00000019580,48.7349
ENSPPYG00000019580,ENSMMUG00000013213,47.4138
ENSPPYG00000019576,ENSMMUG00000013213,47.4238
ENSPPYG00000019574,ENSMMUG00000016619,49.6942
ENSPPYG00000019572,ENSMMUG00000032314,49.4253
ENSPPYG00000019570,ENSMMUG00000015014,48.8
ENSPPYG00000019567,ENSMMUG00000003932,48.8938
ENSPPYG00000019567,ENSMMUG00000003932,48.8938
ENSPPYG00000019565,ENSMMUG00000023172,49.9188
ENSPPYG00000019563,ENSMMUG00000023726,48.5582
ENSPPYG00000019561,ENSMMUG00000013415,48.9837
ENSPPYG00000019559,ENSMMUG00000022574,48.2601
ENSPPYG00000019557,ENSMMUG00000012613,49.0409
ENSPPYG00000019555,ENSMMUG00000017428,49.5674
ENSPPYG00000019553,ENSMMUG00000032506,49.2625
ENSPPYG00000019551,ENSMMUG00000005263,48.9155
ENSPPYG00000019549,ENSMMUG00000015704,48.4252
ENSPPYG00000019547,ENSMMUG00000013667,48.0122
ENSPPYG00000019545,ENSMMUG00000032526,48.4211
ENSPPYG00000019541,ENSMMUG00000011078,48.6075
ENSPPYG00000019539,ENSMMUG00000018469,48.8263
ENSPPYG00000019537,ENSMMUG00000005507,48.4559
ENSPPYG00000019537,ENSMMUG00000005507,48.6499
ENSPPYG00000019535,ENSMMUG00000022138,48.2072
ENSPPYG00000019533,ENSMMUG00000000323,47.8107
ENSPPYG00000019531,ENSMMUG00000004218,48.5904
ENSPPYG00000019529,ENSMMUG00000018435,47.4567
ENSPPYG00000019525,ENSMMUG00000032542,46.5447
ENSPPYG00000019523,ENSMMUG00000022081,48.7734
ENSPPYG00000019521,ENSMMUG00000009293,49.4605
ENSPPYG00000019521,ENSMMUG00000009293,49.438
ENSPPYG00000019521,ENSMMUG00000032367,50
ENSPPYG00000019519,ENSMMUG00000005026,47.5478
ENSPPYG00000019515,ENSMMUG00000018590,48.4742
ENSPPYG00000019513,ENSMMUG00000021579,48.9834
ENSPPYG00000019511,ENSMMUG00000001258,37.4538
ENSPPYG00000019511,ENSMMUG00000013327,41.2003
ENSPPYG00000019511,ENSMMUG00000032528,49.2424
ENSPPYG00000019509,ENSMMUG00000005498,48.554
ENSPPYG00000019507,ENSMMUG00000022263,48.3496
ENSPPYG00000019505,ENSMMUG00000014258,48.0064
ENSPPYG00000019505,ENSMMUG00000014258,47.8018
ENSPPYG00000019503,ENSMMUG00000009249,49.0225
ENSPPYG00000019503,ENSMMUG00000009249,48.9884
ENSPPYG00000019501,ENSMMUG00000023324,48.7982
ENSPPYG00000019499,ENSMMUG00000021188,49.1512
ENSPPYG00000019497,ENSMMUG00000022703,49.2379
ENSPPYG00000019497,ENSMMUG00000022703,49.2379
ENSPPYG00000019497,ENSMMUG00000004656,49.1842
ENSPPYG00000019495,ENSMMUG00000016681,47.5799
ENSPPYG00000019493,ENSMMUG00000002512,49.5679
ENSPPYG00000019491,ENSMMUG00000020152,48.7179
ENSPPYG00000019489,ENSMMUG00000011310,49.7756
ENSPPYG00000019489,ENSMMUG00000011310,49.7198
ENSPPYG00000019487,ENSMMUG00000002512,49.3667
ENSPPYG00000019487,ENSMMUG00000002512,49.3662
ENSPPYG00000019485,ENSMMUG00000010598,48.5683
ENSPPYG00000019483,ENSMMUG00000032342,48
ENSPPYG00000019481,ENSMMUG00000005026,48.6239
ENSPPYG00000019479,ENSMMUG00000032470,17.4455
ENSPPYG00000019477,ENSMMUG00000021188,48.4477
ENSPPYG00000019473,ENSMMUG00000006241,48.9297
ENSPPYG00000019471,ENSMMUG00000001464,48.213
ENSPPYG00000019469,ENSMMUG00000012894,49.3953
ENSPPYG00000019461,ENSMMUG00000013213,46.186
ENSPPYG00000019459,ENSMMUG00000001687,40.9524
ENSPPYG00000019455,ENSMMUG00000006377,48.8319
ENSPPYG00000019455,ENSMMUG00000014935,48.3015
ENSPPYG00000019453,ENSMMUG00000003482,48.8499
ENSPPYG00000019453,ENSMMUG00000003482,48.6859
ENSPPYG00000019451,ENSMMUG00000021298,48.46
ENSPPYG00000019449,ENSMMUG00000006179,48.773
ENSPPYG00000019447,ENSMMUG00000010112,49.0338
ENSPPYG00000019445,ENSMMUG00000010227,48.724
ENSPPYG00000019443,ENSMMUG00000009801,46.7547
ENSPPYG00000019441,ENSMMUG00000012622,48.85
ENSPPYG00000019439,ENSMMUG00000012762,47.9416
ENSPPYG00000019437,ENSMMUG00000016467,49.3779
ENSPPYG00000019435,ENSMMUG00000017409,48.5561
ENSPPYG00000019433,ENSMMUG00000015706,48.4157
ENSPPYG00000019431,ENSMMUG00000019534,48.5185
ENSPPYG00000019429,ENSMMUG00000008422,48.6301
ENSPPYG00000019427,ENSMMUG00000016254,48.4185
ENSPPYG00000019425,ENSMMUG00000010423,49.0837
ENSPPYG00000019425,ENSMMUG00000016302,49.5731
ENSPPYG00000019423,ENSMMUG00000014235,48.7791
ENSPPYG00000019423,ENSMMUG00000004328,48.6627
ENSPPYG00000019421,ENSMMUG00000010253,48.7562
ENSPPYG00000019419,ENSMMUG00000014066,47.079
ENSPPYG00000019417,ENSMMUG00000008503,49.3302
ENSPPYG00000019415,ENSMMUG00000013937,48.9664
ENSPPYG00000019413,ENSMMUG00000032341,47.4167
ENSPPYG00000019409,ENSMMUG00000000286,49.0676
ENSPPYG00000019407,ENSMMUG00000020529,49.4554
ENSPPYG00000019407,ENSMMUG00000032322,49.1859
ENSPPYG00000019405,ENSMMUG00000001612,48.9676
ENSPPYG00000019403,ENSMMUG00000001471,48.8989
ENSPPYG00000019401,ENSMMUG00000018952,47.8561
ENSPPYG00000019399,ENSMMUG00000016986,48.9152
ENSPPYG00000019397,ENSMMUG00000009050,47.9979
ENSPPYG00000019395,ENSMMUG00000013850,49.1597
ENSPPYG00000019393,ENSMMUG00000015264,48.4404
ENSPPYG00000019391,ENSMMUG00000008623,49.2678
ENSPPYG00000019389,ENSMMUG00000001612,46.5313
ENSPPYG00000019387,ENSMMUG00000012918,47.2767
ENSPPYG00000019383,ENSMMUG00000032310,47.4053
ENSPPYG00000019383,ENSMMUG00000032310,47.5
ENSPPYG00000019381,ENSMMUG00000023056,49.9272
ENSPPYG00000019379,ENSMMUG00000000473,48.5411
ENSPPYG00000019377,ENSMMUG00000012715,48.1592
ENSPPYG00000019375,ENSMMUG00000018006,49.0142
ENSPPYG00000019375,ENSMMUG00000018006,49.0142
ENSPPYG00000019373,ENSMMUG00000017406,48.5507
ENSPPYG00000019371,ENSMMUG00000013204,48.8558
ENSPPYG00000019371,ENSMMUG00000017882,49.1896
ENSPPYG00000019369,ENSMMUG00000032571,48.5294
ENSPPYG00000019367,ENSMMUG00000002333,48.5
ENSPPYG00000019365,ENSMMUG00000020179,49.1904
ENSPPYG00000019363,ENSMMUG00000032381,48.3122
ENSPPYG00000019361,ENSMMUG00000032507,46.1333
ENSPPYG00000019359,ENSMMUG00000010227,49.3952
ENSPPYG00000019359,ENSMMUG00000023324,49.095
ENSPPYG00000019357,ENSMMUG00000017423,48.6799
ENSPPYG00000019355,ENSMMUG00000010726,49.2501
ENSPPYG00000019355,ENSMMUG00000010250,48.6842
ENSPPYG00000019353,ENSMMUG00000009013,48.3568
ENSPPYG00000019351,ENSMMUG00000032353,48.538
ENSPPYG00000019349,ENSMMUG00000021851,49.2289
ENSPPYG00000019347,ENSMMUG00000021739,48.7026
ENSPPYG00000019345,ENSMMUG00000008825,49.0909
ENSPPYG00000019343,ENSMMUG00000004051,55.303
ENSPPYG00000019341,ENSMMUG00000032568,48.7705
ENSPPYG00000019339,ENSMMUG00000032446,49.1795
ENSPPYG00000019337,ENSMMUG00000013993,49.3103
ENSPPYG00000019335,ENSMMUG00000010914,49.3182
ENSPPYG00000019333,ENSMMUG00000014606,48.5169
ENSPPYG00000019331,ENSMMUG00000011152,49.7328
ENSPPYG00000019331,ENSMMUG00000011152,49.7844
ENSPPYG00000019329,ENSMMUG00000013595,49.2063
ENSPPYG00000019327,ENSMMUG00000020066,49.3352
ENSPPYG00000019327,ENSMMUG00000007592,49.2968
ENSPPYG00000019325,ENSMMUG00000004328,48.6122
ENSPPYG00000019325,ENSMMUG00000004328,48.32
ENSPPYG00000019323,ENSMMUG00000018717,48.8466
ENSPPYG00000019323,ENSMMUG00000011473,48.8455
ENSPPYG00000019321,ENSMMUG00000010580,48.9527
ENSPPYG00000019321,ENSMMUG00000016615,48.9771
ENSPPYG00000019321,ENSMMUG00000008566,49.0408
ENSPPYG00000019317,ENSMMUG00000013971,50
ENSPPYG00000019315,ENSMMUG00000008422,48.842
ENSPPYG00000019315,ENSMMUG00000002742,48.5357
ENSPPYG00000019315,ENSMMUG00000002742,48.4927
ENSPPYG00000019315,ENSMMUG00000002742,48.4967
ENSPPYG00000019315,ENSMMUG00000016777,48.6998
ENSPPYG00000019313,ENSMMUG00000003564,49.1996
ENSPPYG00000019311,ENSMMUG00000011466,45.463
ENSPPYG00000019309,ENSMMUG00000013753,48.8298
ENSPPYG00000019307,ENSMMUG00000009476,46.7904
ENSPPYG00000019305,ENSMMUG00000014606,49.0977
ENSPPYG00000019305,ENSMMUG00000019345,48.9415
ENSPPYG00000019303,ENSMMUG00000032441,7.02948
ENSPPYG00000019301,ENSMMUG00000012894,48.8828
ENSPPYG00000019301,ENSMMUG00000004558,48.279
ENSPPYG00000019299,ENSMMUG00000016364,49.0248
ENSPPYG00000019299,ENSMMUG00000023174,48.4211
ENSPPYG00000019299,ENSMMUG00000023174,48.0973
ENSPPYG00000019297,ENSMMUG00000016216,47.6923
ENSPPYG00000019295,ENSMMUG00000003745,49.269
ENSPPYG00000019295,ENSMMUG00000003745,49.2308
ENSPPYG00000019293,ENSMMUG00000018837,48.6071
ENSPPYG00000019291,ENSMMUG00000003918,49.3001
ENSPPYG00000019289,ENSMMUG00000020849,49.0097
ENSPPYG00000019289,ENSMMUG00000010914,49.1861
ENSPPYG00000019287,ENSMMUG00000007997,49.4
ENSPPYG00000019285,ENSMMUG00000023060,49.1938
ENSPPYG00000019285,ENSMMUG00000009293,48.886
ENSPPYG00000019285,ENSMMUG00000009293,49.0145
ENSPPYG00000019285,ENSMMUG00000009293,48.9751
ENSPPYG00000019285,ENSMMUG00000019971,48.197
ENSPPYG00000019283,ENSMMUG00000020066,48.0628
ENSPPYG00000019281,ENSMMUG00000022142,49.1994
ENSPPYG00000019279,ENSMMUG00000032387,49.1228
ENSPPYG00000019277,ENSMMUG00000023606,48.7805
ENSPPYG00000019275,ENSMMUG00000011078,49.6459
ENSPPYG00000019273,ENSMMUG00000008306,42.735
ENSPPYG00000019269,ENSMMUG00000013993,49.2738
ENSPPYG00000019267,ENSMMUG00000010944,49.2537
ENSPPYG00000019265,ENSMMUG00000014935,48.5786
ENSPPYG00000019265,ENSMMUG00000011498,48.5012
ENSPPYG00000019265,ENSMMUG00000014935,47.8469
ENSPPYG00000019263,ENSMMUG00000032514,47.8261
ENSPPYG00000019261,ENSMMUG00000009476,47.4153
ENSPPYG00000019259,ENSMMUG00000015706,48.6951
ENSPPYG00000019257,ENSMMUG00000012610,48.3004
ENSPPYG00000019255,ENSMMUG00000014935,48.3467
ENSPPYG00000019253,ENSMMUG00000006111,48.7288
ENSPPYG00000019249,ENSMMUG00000012899,48.9813
ENSPPYG00000019247,ENSMMUG00000013604,45.2567
ENSPPYG00000019245,ENSMMUG00000010421,48.2375
ENSPPYG00000019243,ENSMMUG00000023324,48.5685
ENSPPYG00000019241,ENSMMUG00000023726,48.3749
ENSPPYG00000019239,ENSMMUG00000006724,48.3696
ENSPPYG00000019239,ENSMMUG00000032533,55.5556
ENSPPYG00000019239,ENSMMUG00000032533,53.3333
ENSPPYG00000019237,ENSMMUG00000000212,48.4536
ENSPPYG00000019235,ENSMMUG00000021095,49.145
ENSPPYG00000019233,ENSMMUG00000032435,48.7395
ENSPPYG00000019231,ENSMMUG00000007601,48.8064
ENSPPYG00000019229,ENSMMUG00000002333,47.9905
ENSPPYG00000019227,ENSMMUG00000013204,48.7805
ENSPPYG00000019225,ENSMMUG00000018791,48.9704
ENSPPYG00000019223,ENSMMUG00000032514,47.4638
ENSPPYG00000019221,ENSMMUG00000032435,49.5575
ENSPPYG00000019219,ENSMMUG00000001484,49.2241
