pongo_abelii,gorilla_gorilla
ENSPPYG00000020102,ENSGGOG00000026190,47.2868
ENSPPYG00000020100,ENSGGOG00000023165,49.3056
ENSPPYG00000020098,ENSGGOG00000011755,49.3908
ENSPPYG00000020096,ENSGGOG00000010019,49.1258
ENSPPYG00000020094,ENSGGOG00000011818,48.4324
ENSPPYG00000020092,ENSGGOG00000007836,48.6772
ENSPPYG00000020090,ENSGGOG00000002638,49.0741
ENSPPYG00000020090,ENSGGOG00000024427,49.187
ENSPPYG00000020090,ENSGGOG00000016620,48.7864
ENSPPYG00000020090,ENSGGOG00000024550,49.5671
ENSPPYG00000020088,ENSGGOG00000000224,46.8106
ENSPPYG00000020086,ENSGGOG00000027617,48.5904
ENSPPYG00000020084,ENSGGOG00000014343,47.2701
ENSPPYG00000020082,ENSGGOG00000004655,47.6771
ENSPPYG00000020082,ENSGGOG00000009037,47.4044
ENSPPYG00000020080,ENSGGOG00000023794,48.5981
ENSPPYG00000020078,ENSGGOG00000006780,48.7179
ENSPPYG00000020076,ENSGGOG00000015319,47.7054
ENSPPYG00000020076,ENSGGOG00000011619,47.5312
ENSPPYG00000020074,ENSGGOG00000025009,46.7609
ENSPPYG00000020070,ENSGGOG00000000720,48.6014
ENSPPYG00000020068,ENSGGOG00000002075,49.409
ENSPPYG00000020068,ENSGGOG00000026025,46.7742
ENSPPYG00000020068,ENSGGOG00000026075,46.4481
ENSPPYG00000020068,ENSGGOG00000023666,47.4074
ENSPPYG00000020066,ENSGGOG00000025032,49.2063
ENSPPYG00000020062,ENSGGOG00000023682,47.2222
ENSPPYG00000020060,ENSGGOG00000005228,16.9312
ENSPPYG00000020056,ENSGGOG00000006798,48.8889
ENSPPYG00000020052,ENSGGOG00000008319,41.9118
ENSPPYG00000020050,ENSGGOG00000016620,24.2276
ENSPPYG00000020048,ENSGGOG00000026988,47.8723
ENSPPYG00000020046,ENSGGOG00000027785,46.7085
ENSPPYG00000020044,ENSGGOG00000012076,47.2557
ENSPPYG00000020042,ENSGGOG00000022456,49.4949
ENSPPYG00000020040,ENSGGOG00000024086,5.92593
ENSPPYG00000020036,ENSGGOG00000027642,48.1226
ENSPPYG00000020034,ENSGGOG00000025516,48.3483
ENSPPYG00000020032,ENSGGOG00000009880,48.8865
ENSPPYG00000020030,ENSGGOG00000022783,49.3151
ENSPPYG00000020024,ENSGGOG00000028206,48.3235
ENSPPYG00000020022,ENSGGOG00000002119,47.8036
ENSPPYG00000020014,ENSGGOG00000027867,47.6656
ENSPPYG00000020012,ENSGGOG00000023355,45.5285
ENSPPYG00000020010,ENSGGOG00000027808,48.0186
ENSPPYG00000020008,ENSGGOG00000024854,48
ENSPPYG00000020006,ENSGGOG00000003587,49.0778
ENSPPYG00000020006,ENSGGOG00000008323,49.1054
ENSPPYG00000020006,ENSGGOG00000008323,48.9899
ENSPPYG00000020004,ENSGGOG00000016464,46.4158
ENSPPYG00000020002,ENSGGOG00000024455,48.0556
ENSPPYG00000020000,ENSGGOG00000026980,45.0617
ENSPPYG00000019998,ENSGGOG00000012466,48.4444
ENSPPYG00000019996,ENSGGOG00000027474,49.1667
ENSPPYG00000019994,ENSGGOG00000028350,45.7421
ENSPPYG00000019992,ENSGGOG00000002506,36.1111
ENSPPYG00000019990,ENSGGOG00000005222,48.7867
ENSPPYG00000019988,ENSGGOG00000027138,45.1886
ENSPPYG00000019986,ENSGGOG00000002951,7.08661
ENSPPYG00000019984,ENSGGOG00000026860,49.2213
ENSPPYG00000019980,ENSGGOG00000024951,48.857
ENSPPYG00000019978,ENSGGOG00000006919,48
ENSPPYG00000019976,ENSGGOG00000025565,47.1014
ENSPPYG00000019974,ENSGGOG00000013122,49.635
ENSPPYG00000019972,ENSGGOG00000027808,47.9409
ENSPPYG00000019970,ENSGGOG00000023227,33.5719
ENSPPYG00000019968,ENSGGOG00000003521,48.2759
ENSPPYG00000019966,ENSGGOG00000025865,48.5585
ENSPPYG00000019964,ENSGGOG00000027808,48.4317
ENSPPYG00000019962,ENSGGOG00000006919,49.0566
ENSPPYG00000019960,ENSGGOG00000024270,41.9753
ENSPPYG00000019958,ENSGGOG00000010314,7.44681
ENSPPYG00000019956,ENSGGOG00000027936,49.1852
ENSPPYG00000019954,ENSGGOG00000007966,47.7718
ENSPPYG00000019952,ENSGGOG00000005412,48.0447
ENSPPYG00000019950,ENSGGOG00000025496,47.2574
ENSPPYG00000019948,ENSGGOG00000022923,41.5978
ENSPPYG00000019946,ENSGGOG00000028425,33.3333
ENSPPYG00000019944,ENSGGOG00000012315,48.306
ENSPPYG00000019944,ENSGGOG00000002110,48.6989
ENSPPYG00000019938,ENSGGOG00000005923,48.3912
ENSPPYG00000019934,ENSGGOG00000023903,48.4746
ENSPPYG00000019932,ENSGGOG00000027065,43.8849
ENSPPYG00000019930,ENSGGOG00000023433,47.8873
ENSPPYG00000019926,ENSGGOG00000028469,22.1976
ENSPPYG00000019924,ENSGGOG00000024378,46.3303
ENSPPYG00000019922,ENSGGOG00000027785,47.3415
ENSPPYG00000019922,ENSGGOG00000022587,48.4848
ENSPPYG00000019920,ENSGGOG00000015635,48.2087
ENSPPYG00000019918,ENSGGOG00000008684,47.5783
ENSPPYG00000019916,ENSGGOG00000026915,46.7742
ENSPPYG00000019916,ENSGGOG00000026915,47.619
ENSPPYG00000019914,ENSGGOG00000005680,48.1627
ENSPPYG00000019912,ENSGGOG00000012496,47.4959
ENSPPYG00000019910,ENSGGOG00000012168,47.6621
ENSPPYG00000019908,ENSGGOG00000012977,46.1059
ENSPPYG00000019906,ENSGGOG00000024958,49.2823
ENSPPYG00000019904,ENSGGOG00000014261,50.3179
ENSPPYG00000019902,ENSGGOG00000027052,45.7143
ENSPPYG00000019900,ENSGGOG00000021989,49.4253
ENSPPYG00000019896,ENSGGOG00000028067,33.5512
ENSPPYG00000019894,ENSGGOG00000024600,48.4268
ENSPPYG00000019890,ENSGGOG00000023273,45.9677
ENSPPYG00000019888,ENSGGOG00000027906,49.1228
ENSPPYG00000019888,ENSGGOG00000027906,48.6486
ENSPPYG00000019886,ENSGGOG00000008611,47.619
ENSPPYG00000019882,ENSGGOG00000024643,30.0839
ENSPPYG00000019880,ENSGGOG00000023005,46.6368
ENSPPYG00000019878,ENSGGOG00000027977,48.7241
ENSPPYG00000019878,ENSGGOG00000027977,48.9379
ENSPPYG00000019876,ENSGGOG00000013986,44.7368
ENSPPYG00000019874,ENSGGOG00000027065,48.9991
ENSPPYG00000019872,ENSGGOG00000025529,48.6486
ENSPPYG00000019870,ENSGGOG00000034992,48.3474
ENSPPYG00000019868,ENSGGOG00000014394,35.6863
ENSPPYG00000019866,ENSGGOG00000023110,48.9899
ENSPPYG00000019864,ENSGGOG00000022325,48.3333
ENSPPYG00000019862,ENSGGOG00000004553,20.1667
ENSPPYG00000019860,ENSGGOG00000022502,49.5833
ENSPPYG00000019856,ENSGGOG00000026391,49.2063
ENSPPYG00000019854,ENSGGOG00000023280,46.9945
ENSPPYG00000019850,ENSGGOG00000028309,45.8716
ENSPPYG00000019846,ENSGGOG00000023280,45.584
ENSPPYG00000019844,ENSGGOG00000003262,12.2744
ENSPPYG00000019842,ENSGGOG00000025565,46.9484
ENSPPYG00000019840,ENSGGOG00000015536,48.3805
ENSPPYG00000019838,ENSGGOG00000028498,47.0862
ENSPPYG00000019836,ENSGGOG00000028050,44.6328
ENSPPYG00000019834,ENSGGOG00000016464,48.8152
ENSPPYG00000019832,ENSGGOG00000005626,47.4693
ENSPPYG00000019830,ENSGGOG00000014343,47.1622
ENSPPYG00000019828,ENSGGOG00000003704,46.0317
ENSPPYG00000019826,ENSGGOG00000026899,44.2868
ENSPPYG00000019824,ENSGGOG00000027808,47.2293
ENSPPYG00000019822,ENSGGOG00000010225,48.1577
ENSPPYG00000019818,ENSGGOG00000023691,1.65394
ENSPPYG00000019816,ENSGGOG00000007410,1.21655
ENSPPYG00000019814,ENSGGOG00000010748,47.4074
ENSPPYG00000019812,ENSGGOG00000007706,47.3471
ENSPPYG00000019810,ENSGGOG00000027867,43.2645
ENSPPYG00000019808,ENSGGOG00000027699,46.4174
ENSPPYG00000019806,ENSGGOG00000025583,47.9524
ENSPPYG00000019804,ENSGGOG00000026899,46.056
ENSPPYG00000019802,ENSGGOG00000016620,47.6421
ENSPPYG00000019800,ENSGGOG00000008435,46.0641
ENSPPYG00000019798,ENSGGOG00000024378,45.9916
ENSPPYG00000019796,ENSGGOG00000022995,47.1545
ENSPPYG00000019794,ENSGGOG00000011424,47.7037
ENSPPYG00000019792,ENSGGOG00000024378,46.4696
ENSPPYG00000019790,ENSGGOG00000004655,47.2776
ENSPPYG00000019788,ENSGGOG00000007745,47.5904
ENSPPYG00000019786,ENSGGOG00000014343,47.4886
ENSPPYG00000019784,ENSGGOG00000023034,45.7317
ENSPPYG00000019782,ENSGGOG00000013447,48.046
ENSPPYG00000019780,ENSGGOG00000015635,47.124
ENSPPYG00000019778,ENSGGOG00000001106,46.712
ENSPPYG00000019774,ENSGGOG00000003259,46.9367
ENSPPYG00000019772,ENSGGOG00000011998,49.1939
ENSPPYG00000019770,ENSGGOG00000022833,46.3636
ENSPPYG00000019768,ENSGGOG00000000224,45.9682
ENSPPYG00000019766,ENSGGOG00000014343,48.3071
ENSPPYG00000019764,ENSGGOG00000012346,49.1333
ENSPPYG00000019762,ENSGGOG00000024050,46.8037
ENSPPYG00000019760,ENSGGOG00000007454,48.4346
ENSPPYG00000019758,ENSGGOG00000024378,47.3759
ENSPPYG00000019756,ENSGGOG00000023870,48.203
ENSPPYG00000019752,ENSGGOG00000027785,47.5634
ENSPPYG00000019752,ENSGGOG00000001891,47.4474
ENSPPYG00000019752,ENSGGOG00000027785,47.8585
ENSPPYG00000019750,ENSGGOG00000015763,50.2257
ENSPPYG00000019748,ENSGGOG00000027642,47.3142
ENSPPYG00000019746,ENSGGOG00000006041,49.1976
ENSPPYG00000019744,ENSGGOG00000014343,48.562
ENSPPYG00000019744,ENSGGOG00000009528,48.3829
ENSPPYG00000019742,ENSGGOG00000001083,47.7273
ENSPPYG00000019740,ENSGGOG00000008892,47.7934
ENSPPYG00000019738,ENSGGOG00000011619,47.5665
ENSPPYG00000019736,ENSGGOG00000023813,47.6799
ENSPPYG00000019734,ENSGGOG00000000224,47.1471
ENSPPYG00000019732,ENSGGOG00000004137,47.5066
ENSPPYG00000019730,ENSGGOG00000023643,8.36454
ENSPPYG00000019728,ENSGGOG00000023870,46.9613
ENSPPYG00000019726,ENSGGOG00000014859,46.7787
ENSPPYG00000019724,ENSGGOG00000011197,48.1696
ENSPPYG00000019722,ENSGGOG00000025651,48.5876
ENSPPYG00000019720,ENSGGOG00000025651,48.538
ENSPPYG00000019718,ENSGGOG00000012466,47.1299
ENSPPYG00000019716,ENSGGOG00000026592,45.1677
ENSPPYG00000019714,ENSGGOG00000010087,49.2258
ENSPPYG00000019712,ENSGGOG00000009641,46.7054
ENSPPYG00000019710,ENSGGOG00000025333,47.4037
ENSPPYG00000019708,ENSGGOG00000010362,49.139
ENSPPYG00000019708,ENSGGOG00000010362,49.1084
ENSPPYG00000019706,ENSGGOG00000024197,1.92308
ENSPPYG00000019704,ENSGGOG00000007690,48.6138
ENSPPYG00000019704,ENSGGOG00000016493,47.6019
ENSPPYG00000019702,ENSGGOG00000004730,49.4141
ENSPPYG00000019702,ENSGGOG00000016587,48.5409
ENSPPYG00000019700,ENSGGOG00000025400,49.4997
ENSPPYG00000019698,ENSGGOG00000003079,49.6269
ENSPPYG00000019698,ENSGGOG00000024154,47
ENSPPYG00000019696,ENSGGOG00000022997,45.8333
ENSPPYG00000019694,ENSGGOG00000015243,46.9136
ENSPPYG00000019692,ENSGGOG00000024900,48.3333
ENSPPYG00000019692,ENSGGOG00000001435,48.43
ENSPPYG00000019690,ENSGGOG00000016587,49.8617
ENSPPYG00000019688,ENSGGOG00000002460,49.7642
ENSPPYG00000019686,ENSGGOG00000004730,48.3591
ENSPPYG00000019684,ENSGGOG00000015683,48.3483
ENSPPYG00000019682,ENSGGOG00000012466,47.2767
ENSPPYG00000019680,ENSGGOG00000025865,47.7802
ENSPPYG00000019678,ENSGGOG00000003617,45.9227
ENSPPYG00000019676,ENSGGOG00000026915,45.6583
ENSPPYG00000019674,ENSGGOG00000022833,47.2906
ENSPPYG00000019674,ENSGGOG00000010019,47.0948
ENSPPYG00000019672,ENSGGOG00000002811,47.4495
ENSPPYG00000019670,ENSGGOG00000005224,49.1429
ENSPPYG00000019668,ENSGGOG00000012003,48.3951
ENSPPYG00000019666,ENSGGOG00000025079,43.8964
ENSPPYG00000019664,ENSGGOG00000028587,48.5411
ENSPPYG00000019662,ENSGGOG00000021956,48.3461
ENSPPYG00000019660,ENSGGOG00000027893,46.7861
ENSPPYG00000019658,ENSGGOG00000010879,47.7865
ENSPPYG00000019658,ENSGGOG00000014253,46.7792
ENSPPYG00000019656,ENSGGOG00000006852,49.2667
ENSPPYG00000019656,ENSGGOG00000016873,48.637
ENSPPYG00000019654,ENSGGOG00000001828,48.952
ENSPPYG00000019652,ENSGGOG00000023005,47.1532
ENSPPYG00000019650,ENSGGOG00000027785,46.319
ENSPPYG00000019648,ENSGGOG00000003617,47.7438
ENSPPYG00000019646,ENSGGOG00000012736,47.7193
ENSPPYG00000019644,ENSGGOG00000026915,46.6334
ENSPPYG00000019642,ENSGGOG00000009118,47.7072
ENSPPYG00000019640,ENSGGOG00000027867,46.3415
ENSPPYG00000019638,ENSGGOG00000023110,47.1111
ENSPPYG00000019636,ENSGGOG00000015243,46.0838
ENSPPYG00000019634,ENSGGOG00000011467,47.1229
ENSPPYG00000019634,ENSGGOG00000004137,48.0053
ENSPPYG00000019632,ENSGGOG00000010019,46.925
ENSPPYG00000019630,ENSGGOG00000014406,47.7594
ENSPPYG00000019630,ENSGGOG00000000224,46.9223
ENSPPYG00000019628,ENSGGOG00000013741,46.9919
ENSPPYG00000019626,ENSGGOG00000022331,47.907
ENSPPYG00000019626,ENSGGOG00000022331,47.9288
ENSPPYG00000019624,ENSGGOG00000009528,47.4324
ENSPPYG00000019622,ENSGGOG00000027617,48.9062
ENSPPYG00000019620,ENSGGOG00000010879,45.258
ENSPPYG00000019618,ENSGGOG00000008323,49.0466
ENSPPYG00000019616,ENSGGOG00000001828,48.8449
ENSPPYG00000019614,ENSGGOG00000001853,47.185
ENSPPYG00000019612,ENSGGOG00000014852,48.9685
ENSPPYG00000019612,ENSGGOG00000014852,49.1111
ENSPPYG00000019610,ENSGGOG00000014223,48.9321
ENSPPYG00000019608,ENSGGOG00000023870,48.7097
ENSPPYG00000019606,ENSGGOG00000016192,48.5873
ENSPPYG00000019604,ENSGGOG00000026274,49.6443
ENSPPYG00000019602,ENSGGOG00000022513,47.4247
ENSPPYG00000019600,ENSGGOG00000008248,48.925
ENSPPYG00000019600,ENSGGOG00000013729,49.4253
ENSPPYG00000019600,ENSGGOG00000026391,50
ENSPPYG00000019600,ENSGGOG00000022035,48.6607
ENSPPYG00000019598,ENSGGOG00000008323,47.594
ENSPPYG00000019596,ENSGGOG00000022666,48.801
ENSPPYG00000019594,ENSGGOG00000022513,47.9062
ENSPPYG00000019594,ENSGGOG00000024900,47.7969
ENSPPYG00000019592,ENSGGOG00000034992,48.8272
ENSPPYG00000019590,ENSGGOG00000027262,48.8889
ENSPPYG00000019586,ENSGGOG00000005563,49.6549
ENSPPYG00000019586,ENSGGOG00000034921,46.06
ENSPPYG00000019584,ENSGGOG00000005564,48
ENSPPYG00000019582,ENSGGOG00000011543,48.8449
ENSPPYG00000019580,ENSGGOG00000004567,35.3448
ENSPPYG00000019576,ENSGGOG00000017004,17.8759
ENSPPYG00000019574,ENSGGOG00000026773,44.0367
ENSPPYG00000019572,ENSGGOG00000023802,47.1264
ENSPPYG00000019570,ENSGGOG00000016542,48.4571
ENSPPYG00000019567,ENSGGOG00000023876,49.41
ENSPPYG00000019567,ENSGGOG00000023876,49.41
ENSPPYG00000019565,ENSGGOG00000015683,49.6753
ENSPPYG00000019563,ENSGGOG00000023969,49.481
ENSPPYG00000019561,ENSGGOG00000022757,3.65854
ENSPPYG00000019559,ENSGGOG00000001069,48.9774
ENSPPYG00000019557,ENSGGOG00000016587,48.8329
ENSPPYG00000019555,ENSGGOG00000016587,49.1224
ENSPPYG00000019553,ENSGGOG00000027005,49.4592
ENSPPYG00000019551,ENSGGOG00000008039,48.8584
ENSPPYG00000019549,ENSGGOG00000025583,48.7752
ENSPPYG00000019547,ENSGGOG00000016873,48.1651
ENSPPYG00000019545,ENSGGOG00000024488,47.7193
ENSPPYG00000019541,ENSGGOG00000012500,49.1079
ENSPPYG00000019539,ENSGGOG00000028084,48.8263
ENSPPYG00000019537,ENSGGOG00000001091,48.7738
ENSPPYG00000019537,ENSGGOG00000001091,48.5394
ENSPPYG00000019535,ENSGGOG00000007667,48.0744
ENSPPYG00000019533,ENSGGOG00000005626,48.432
ENSPPYG00000019531,ENSGGOG00000025833,49.0879
ENSPPYG00000019529,ENSGGOG00000011619,46.7532
ENSPPYG00000019525,ENSGGOG00000007966,47.561
ENSPPYG00000019523,ENSGGOG00000005564,48.6291
ENSPPYG00000019521,ENSGGOG00000006754,50.2158
ENSPPYG00000019521,ENSGGOG00000006754,50.2378
ENSPPYG00000019521,ENSGGOG00000028365,46.8553
ENSPPYG00000019519,ENSGGOG00000026038,47.714
ENSPPYG00000019515,ENSGGOG00000027923,48.8263
ENSPPYG00000019513,ENSGGOG00000005282,49.1974
ENSPPYG00000019511,ENSGGOG00000009780,39.0386
ENSPPYG00000019511,ENSGGOG00000022969,33.1711
ENSPPYG00000019511,ENSGGOG00000015001,47.7273
ENSPPYG00000019509,ENSGGOG00000011290,49.0107
ENSPPYG00000019507,ENSGGOG00000014326,25.1976
ENSPPYG00000019505,ENSGGOG00000027332,48.3254
ENSPPYG00000019505,ENSGGOG00000027332,48.5212
ENSPPYG00000019503,ENSGGOG00000012288,49.3646
ENSPPYG00000019503,ENSGGOG00000013016,49.3738
ENSPPYG00000019501,ENSGGOG00000012686,49.1156
ENSPPYG00000019499,ENSGGOG00000027838,49.232
ENSPPYG00000019497,ENSGGOG00000001712,49.1662
ENSPPYG00000019497,ENSGGOG00000001712,49.1662
ENSPPYG00000019497,ENSGGOG00000012676,48.9654
ENSPPYG00000019495,ENSGGOG00000000849,47.4886
ENSPPYG00000019493,ENSGGOG00000010362,49.6415
ENSPPYG00000019491,ENSGGOG00000028429,45.4212
ENSPPYG00000019489,ENSGGOG00000012100,49.9252
ENSPPYG00000019489,ENSGGOG00000017107,50.0647
ENSPPYG00000019487,ENSGGOG00000034921,49.4
ENSPPYG00000019487,ENSGGOG00000034921,49.3662
ENSPPYG00000019485,ENSGGOG00000028402,48.5683
ENSPPYG00000019483,ENSGGOG00000007376,48.3333
ENSPPYG00000019481,ENSGGOG00000014253,42.3547
ENSPPYG00000019479,ENSGGOG00000022539,14.9533
ENSPPYG00000019477,ENSGGOG00000001828,48.7745
ENSPPYG00000019473,ENSGGOG00000006780,20.1835
ENSPPYG00000019471,ENSGGOG00000022789,48.5777
ENSPPYG00000019469,ENSGGOG00000015271,49.3753
ENSPPYG00000019461,ENSGGOG00000024643,30.721
ENSPPYG00000019459,ENSGGOG00000005564,48
ENSPPYG00000019455,ENSGGOG00000009880,48.6541
ENSPPYG00000019455,ENSGGOG00000005440,48.8134
ENSPPYG00000019453,ENSGGOG00000022925,49.1525
ENSPPYG00000019453,ENSGGOG00000028419,48.9987
ENSPPYG00000019451,ENSGGOG00000024432,48.812
ENSPPYG00000019449,ENSGGOG00000022328,48.4663
ENSPPYG00000019447,ENSGGOG00000002110,48.913
ENSPPYG00000019445,ENSGGOG00000002197,49.2285
ENSPPYG00000019443,ENSGGOG00000027203,48.5149
ENSPPYG00000019441,ENSGGOG00000015371,48.942
ENSPPYG00000019439,ENSGGOG00000022279,49.1368
ENSPPYG00000019437,ENSGGOG00000007836,49.0504
ENSPPYG00000019435,ENSGGOG00000014326,48.9127
ENSPPYG00000019433,ENSGGOG00000012346,48.1622
ENSPPYG00000019431,ENSGGOG00000028005,48.9815
ENSPPYG00000019429,ENSGGOG00000026794,49.3151
ENSPPYG00000019427,ENSGGOG00000027923,47.8102
ENSPPYG00000019425,ENSGGOG00000004582,49.0837
ENSPPYG00000019425,ENSGGOG00000027179,49.7238
ENSPPYG00000019423,ENSGGOG00000022699,49.2334
ENSPPYG00000019423,ENSGGOG00000022699,48.7718
ENSPPYG00000019421,ENSGGOG00000027005,48.8557
ENSPPYG00000019419,ENSGGOG00000025868,46.0481
ENSPPYG00000019417,ENSGGOG00000010878,49.4661
ENSPPYG00000019415,ENSGGOG00000015760,49.2248
ENSPPYG00000019413,ENSGGOG00000016996,47.9167
ENSPPYG00000019409,ENSGGOG00000004730,49.4639
ENSPPYG00000019407,ENSGGOG00000012775,49.1491
ENSPPYG00000019407,ENSGGOG00000015441,48.7694
ENSPPYG00000019405,ENSGGOG00000028005,49.0659
ENSPPYG00000019403,ENSGGOG00000023870,48.7481
ENSPPYG00000019401,ENSGGOG00000028407,49.2006
ENSPPYG00000019399,ENSGGOG00000005680,49.1782
ENSPPYG00000019397,ENSGGOG00000023005,48.1539
ENSPPYG00000019395,ENSGGOG00000010070,49.1979
ENSPPYG00000019393,ENSGGOG00000004545,48.3486
ENSPPYG00000019391,ENSGGOG00000012775,48.9888
ENSPPYG00000019389,ENSGGOG00000027699,47.2081
ENSPPYG00000019387,ENSGGOG00000026367,46.841
ENSPPYG00000019383,ENSGGOG00000010666,47.4053
ENSPPYG00000019383,ENSGGOG00000024808,47.6389
ENSPPYG00000019381,ENSGGOG00000012834,49.8058
ENSPPYG00000019379,ENSGGOG00000006517,48.6295
ENSPPYG00000019377,ENSGGOG00000006202,5.42953
ENSPPYG00000019375,ENSGGOG00000006754,48.762
ENSPPYG00000019375,ENSGGOG00000006754,48.762
ENSPPYG00000019373,ENSGGOG00000002469,47.4638
ENSPPYG00000019371,ENSGGOG00000028407,49.219
ENSPPYG00000019371,ENSGGOG00000007836,49.0486
ENSPPYG00000019369,ENSGGOG00000025955,48.5294
ENSPPYG00000019367,ENSGGOG00000025576,49.6667
ENSPPYG00000019365,ENSGGOG00000025049,49.9019
ENSPPYG00000019363,ENSGGOG00000013447,47.6793
ENSPPYG00000019361,ENSGGOG00000024455,44.2667
ENSPPYG00000019359,ENSGGOG00000006838,49.4816
ENSPPYG00000019359,ENSGGOG00000014326,49.7618
ENSPPYG00000019357,ENSGGOG00000023080,47.3597
ENSPPYG00000019355,ENSGGOG00000002467,49.4739
ENSPPYG00000019355,ENSGGOG00000025496,47.3684
ENSPPYG00000019353,ENSGGOG00000000224,47.9395
ENSPPYG00000019351,ENSGGOG00000028529,48.9279
ENSPPYG00000019349,ENSGGOG00000013986,40.0949
ENSPPYG00000019347,ENSGGOG00000024658,48.7026
ENSPPYG00000019345,ENSGGOG00000023889,48.4848
ENSPPYG00000019343,ENSGGOG00000025453,51.5152
ENSPPYG00000019341,ENSGGOG00000006919,48.7705
ENSPPYG00000019339,ENSGGOG00000022351,49.3912
ENSPPYG00000019337,ENSGGOG00000025378,49.1724
ENSPPYG00000019335,ENSGGOG00000005564,48.8636
ENSPPYG00000019333,ENSGGOG00000024850,48.8701
ENSPPYG00000019331,ENSGGOG00000003736,49.7506
ENSPPYG00000019331,ENSGGOG00000003736,49.6766
ENSPPYG00000019329,ENSGGOG00000015371,49.2063
ENSPPYG00000019327,ENSGGOG00000025378,49.0283
ENSPPYG00000019327,ENSGGOG00000025378,49.5077
ENSPPYG00000019325,ENSGGOG00000002243,48.4594
ENSPPYG00000019325,ENSGGOG00000002243,48.32
ENSPPYG00000019323,ENSGGOG00000028132,48.1546
ENSPPYG00000019323,ENSGGOG00000028132,47.6613
ENSPPYG00000019321,ENSGGOG00000028132,49.3118
ENSPPYG00000019321,ENSGGOG00000010070,49.0998
ENSPPYG00000019321,ENSGGOG00000011253,49.2206
ENSPPYG00000019317,ENSGGOG00000022668,49.2248
ENSPPYG00000019315,ENSGGOG00000013205,48.7593
ENSPPYG00000019315,ENSGGOG00000005954,49.1817
ENSPPYG00000019315,ENSGGOG00000006311,48.9664
ENSPPYG00000019315,ENSGGOG00000012496,49.1068
ENSPPYG00000019315,ENSGGOG00000007690,48.6052
ENSPPYG00000019313,ENSGGOG00000022123,49.0584
ENSPPYG00000019311,ENSGGOG00000028133,48.4259
ENSPPYG00000019309,ENSGGOG00000010082,48.9794
ENSPPYG00000019307,ENSGGOG00000023442,44.8569
ENSPPYG00000019305,ENSGGOG00000025049,49.3086
ENSPPYG00000019305,ENSGGOG00000003533,48.5588
ENSPPYG00000019303,ENSGGOG00000023904,16.6667
ENSPPYG00000019301,ENSGGOG00000015536,48.1218
ENSPPYG00000019301,ENSGGOG00000008892,47.7566
ENSPPYG00000019299,ENSGGOG00000004206,49.6046
ENSPPYG00000019299,ENSGGOG00000015683,48.8421
ENSPPYG00000019299,ENSGGOG00000027005,48.6258
ENSPPYG00000019297,ENSGGOG00000023080,46.1538
ENSPPYG00000019295,ENSGGOG00000014261,49.2507
ENSPPYG00000019295,ENSGGOG00000014261,49.2674
ENSPPYG00000019293,ENSGGOG00000028133,48.7032
ENSPPYG00000019291,ENSGGOG00000026860,49.2126
ENSPPYG00000019289,ENSGGOG00000004131,49.0097
ENSPPYG00000019289,ENSGGOG00000005564,48.9738
ENSPPYG00000019287,ENSGGOG00000014223,49.2986
ENSPPYG00000019285,ENSGGOG00000011428,49.0472
ENSPPYG00000019285,ENSGGOG00000006436,49.8471
ENSPPYG00000019285,ENSGGOG00000006436,49.5839
ENSPPYG00000019285,ENSGGOG00000006436,49.7465
ENSPPYG00000019285,ENSGGOG00000005953,48.9886
ENSPPYG00000019283,ENSGGOG00000028211,48.8313
ENSPPYG00000019281,ENSGGOG00000026860,48.6657
ENSPPYG00000019279,ENSGGOG00000023779,48.1203
ENSPPYG00000019277,ENSGGOG00000000052,48.8544
ENSPPYG00000019275,ENSGGOG00000006754,49.5088
ENSPPYG00000019273,ENSGGOG00000023823,47.5783
ENSPPYG00000019269,ENSGGOG00000028211,49.5218
ENSPPYG00000019267,ENSGGOG00000001407,48.5301
ENSPPYG00000019265,ENSGGOG00000005185,48.6418
ENSPPYG00000019265,ENSGGOG00000024200,48.6811
ENSPPYG00000019265,ENSGGOG00000026223,48.3254
ENSPPYG00000019263,ENSGGOG00000001743,48.5507
ENSPPYG00000019261,ENSGGOG00000012296,46.9697
ENSPPYG00000019259,ENSGGOG00000008039,48.28
ENSPPYG00000019257,ENSGGOG00000003636,46.2917
ENSPPYG00000019255,ENSGGOG00000009780,48.4469
ENSPPYG00000019253,ENSGGOG00000026860,48.3992
ENSPPYG00000019249,ENSGGOG00000006202,49.2396
ENSPPYG00000019247,ENSGGOG00000009200,45.6049
ENSPPYG00000019245,ENSGGOG00000006828,48.2993
ENSPPYG00000019243,ENSGGOG00000023474,48.5685
ENSPPYG00000019241,ENSGGOG00000022136,48.6457
ENSPPYG00000019239,ENSGGOG00000025219,48.3696
ENSPPYG00000019239,ENSGGOG00000024630,49.4949
ENSPPYG00000019239,ENSGGOG00000016003,52
ENSPPYG00000019237,ENSGGOG00000022804,47.9954
ENSPPYG00000019235,ENSGGOG00000012834,49.368
ENSPPYG00000019233,ENSGGOG00000023229,48.1793
ENSPPYG00000019231,ENSGGOG00000028211,49.0716
ENSPPYG00000019229,ENSGGOG00000027649,47.2813
ENSPPYG00000019227,ENSGGOG00000008196,48.5366
ENSPPYG00000019225,ENSGGOG00000012775,49.4852
ENSPPYG00000019223,ENSGGOG00000028250,4.34783
ENSPPYG00000019221,ENSGGOG00000028583,47.4926
ENSPPYG00000019219,ENSGGOG00000010577,48.7896
