pongo_abelii,homo_sapiens
ENSPPYG00000019986,ENSG00000187238,48.5564
ENSPPYG00000019984,ENSG00000143367,49.1741
ENSPPYG00000019980,ENSG00000182389,49.2291
ENSPPYG00000019978,ENSG00000156931,48
ENSPPYG00000019976,ENSG00000257921,49.0338
ENSPPYG00000019974,ENSG00000262634,46.9586
ENSPPYG00000019972,ENSG00000260789,47.3193
ENSPPYG00000019970,ENSG00000262578,24.3888
ENSPPYG00000019968,ENSG00000138068,48.7179
ENSPPYG00000019966,ENSG00000143412,48.6409
ENSPPYG00000019964,ENSG00000261577,48.6162
ENSPPYG00000019962,ENSG00000115816,47.7987
ENSPPYG00000019960,ENSG00000115816,47.8395
ENSPPYG00000019958,ENSG00000168542,48.5816
ENSPPYG00000019956,ENSG00000144395,48.3704
ENSPPYG00000019954,ENSG00000261042,47.9501
ENSPPYG00000019952,ENSG00000258865,49.0689
ENSPPYG00000019950,ENSG00000138449,48.1013
ENSPPYG00000019948,ENSG00000187238,47.9339
ENSPPYG00000019946,ENSG00000172155,46.2168
ENSPPYG00000019944,ENSG00000263310,47.6503
ENSPPYG00000019944,ENSG00000250765,48.3271
ENSPPYG00000019938,ENSG00000260789,47.8121
ENSPPYG00000019934,ENSG00000260717,49.0395
ENSPPYG00000019932,ENSG00000259816,46.7626
ENSPPYG00000019930,ENSG00000156931,48.3568
ENSPPYG00000019926,ENSG00000003436,49.115
ENSPPYG00000019924,ENSG00000260155,47.0948
ENSPPYG00000019922,ENSG00000175505,47.546
ENSPPYG00000019922,ENSG00000213953,65.6566
ENSPPYG00000019920,ENSG00000261042,48.5981
ENSPPYG00000019918,ENSG00000136527,49.0028
ENSPPYG00000019916,ENSG00000187238,48.6559
ENSPPYG00000019916,ENSG00000257814,49.6241
ENSPPYG00000019914,ENSG00000175182,48.294
ENSPPYG00000019912,ENSG00000261694,47.8654
ENSPPYG00000019910,ENSG00000175634,48.1146
ENSPPYG00000019908,ENSG00000185962,46.729
ENSPPYG00000019906,ENSG00000135241,48.8038
ENSPPYG00000019904,ENSG00000144369,50.1908
ENSPPYG00000019902,ENSG00000231145,62.8571
ENSPPYG00000019900,ENSG00000231145,55.1724
ENSPPYG00000019896,ENSG00000080822,49.6732
ENSPPYG00000019894,ENSG00000260313,47.7428
ENSPPYG00000019890,ENSG00000138449,48.6559
ENSPPYG00000019888,ENSG00000154175,49.4152
ENSPPYG00000019888,ENSG00000154175,48.9489
ENSPPYG00000019886,ENSG00000263079,47.619
ENSPPYG00000019882,ENSG00000197938,41.5094
ENSPPYG00000019880,ENSG00000261539,46.5869
ENSPPYG00000019878,ENSG00000143457,49.2026
ENSPPYG00000019878,ENSG00000143457,49.0196
ENSPPYG00000019876,ENSG00000135454,48.3553
ENSPPYG00000019874,ENSG00000135677,48.8251
ENSPPYG00000019872,ENSG00000258664,48.1982
ENSPPYG00000019870,ENSG00000259919,48.3122
ENSPPYG00000019868,ENSG00000154175,49.0196
ENSPPYG00000019866,ENSG00000138449,48.4848
ENSPPYG00000019864,ENSG00000260283,50.5556
ENSPPYG00000019862,ENSG00000261042,48
ENSPPYG00000019860,ENSG00000156931,52.0833
ENSPPYG00000019856,ENSG00000138068,58.7302
ENSPPYG00000019854,ENSG00000263040,50.5464
ENSPPYG00000019850,ENSG00000136527,48.318
ENSPPYG00000019846,ENSG00000169474,50.9972
ENSPPYG00000019844,ENSG00000260164,48.8568
ENSPPYG00000019842,ENSG00000263079,48.3568
ENSPPYG00000019840,ENSG00000260383,48.3333
ENSPPYG00000019838,ENSG00000196805,49.1841
ENSPPYG00000019836,ENSG00000163209,47.8343
ENSPPYG00000019834,ENSG00000260334,48.0253
ENSPPYG00000019832,ENSG00000172508,47.4693
ENSPPYG00000019830,ENSG00000261042,47.5225
ENSPPYG00000019828,ENSG00000261539,47.8836
ENSPPYG00000019826,ENSG00000261577,46.3357
ENSPPYG00000019824,ENSG00000260789,47.6556
ENSPPYG00000019822,ENSG00000261456,28.7061
ENSPPYG00000019818,ENSG00000261539,46.8193
ENSPPYG00000019816,ENSG00000257436,47.4453
ENSPPYG00000019814,ENSG00000263250,48.2305
ENSPPYG00000019812,ENSG00000261297,47.0636
ENSPPYG00000019810,ENSG00000135454,45.7227
ENSPPYG00000019808,ENSG00000090539,44.081
ENSPPYG00000019806,ENSG00000173227,48.2381
ENSPPYG00000019804,ENSG00000187939,45.8863
ENSPPYG00000019802,ENSG00000262972,46.312
ENSPPYG00000019800,ENSG00000175505,46.6472
ENSPPYG00000019798,ENSG00000175182,47.1167
ENSPPYG00000019796,ENSG00000172155,48.1707
ENSPPYG00000019794,ENSG00000260313,48.5926
ENSPPYG00000019792,ENSG00000143409,47.9475
ENSPPYG00000019790,ENSG00000260789,47.676
ENSPPYG00000019788,ENSG00000257961,47.0214
ENSPPYG00000019786,ENSG00000175463,48.1735
ENSPPYG00000019784,ENSG00000172155,48.1707
ENSPPYG00000019782,ENSG00000187238,49.8851
ENSPPYG00000019780,ENSG00000260789,47.8863
ENSPPYG00000019778,ENSG00000228804,48.5261
ENSPPYG00000019774,ENSG00000260596,46.8847
ENSPPYG00000019772,ENSG00000143536,49.1939
ENSPPYG00000019770,ENSG00000260789,46.7879
ENSPPYG00000019768,ENSG00000260789,38.3667
ENSPPYG00000019766,ENSG00000173227,47.5441
ENSPPYG00000019764,ENSG00000265969,49.8
ENSPPYG00000019762,ENSG00000261539,47.7169
ENSPPYG00000019760,ENSG00000196754,47.1455
ENSPPYG00000019758,ENSG00000143418,47.3759
ENSPPYG00000019756,ENSG00000260220,47.9835
ENSPPYG00000019752,ENSG00000261577,47.9532
ENSPPYG00000019752,ENSG00000239306,47.8478
ENSPPYG00000019752,ENSG00000261577,47.2998
ENSPPYG00000019750,ENSG00000159352,50.4836
ENSPPYG00000019748,ENSG00000238035,47.6085
ENSPPYG00000019746,ENSG00000163207,48.6016
ENSPPYG00000019744,ENSG00000259919,48.5149
ENSPPYG00000019744,ENSG00000261694,47.9948
ENSPPYG00000019742,ENSG00000173621,47.619
ENSPPYG00000019740,ENSG00000257961,47.3239
ENSPPYG00000019738,ENSG00000261297,47.1575
ENSPPYG00000019736,ENSG00000260789,47.5379
ENSPPYG00000019734,ENSG00000175463,47.7477
ENSPPYG00000019732,ENSG00000261132,48.294
ENSPPYG00000019730,ENSG00000197956,48.9388
ENSPPYG00000019728,ENSG00000261577,47.9742
ENSPPYG00000019726,ENSG00000168542,47.3389
ENSPPYG00000019724,ENSG00000175482,47.8805
ENSPPYG00000019722,ENSG00000138068,52.5424
ENSPPYG00000019720,ENSG00000138068,51.462
ENSPPYG00000019718,ENSG00000263138,47.5327
ENSPPYG00000019716,ENSG00000178796,48.5207
ENSPPYG00000019714,ENSG00000151689,48.6553
ENSPPYG00000019712,ENSG00000135454,46.8992
ENSPPYG00000019710,ENSG00000091136,48.5762
ENSPPYG00000019708,ENSG00000115904,49.3384
ENSPPYG00000019708,ENSG00000115904,49.273
ENSPPYG00000019706,ENSG00000172531,48.3974
ENSPPYG00000019704,ENSG00000259919,48.0402
ENSPPYG00000019704,ENSG00000262972,47.1223
ENSPPYG00000019702,ENSG00000173599,48.5677
ENSPPYG00000019702,ENSG00000260789,48.0664
ENSPPYG00000019700,ENSG00000114859,48.9717
ENSPPYG00000019698,ENSG00000172830,49.658
ENSPPYG00000019698,ENSG00000163898,49
ENSPPYG00000019696,ENSG00000138068,56.25
ENSPPYG00000019694,ENSG00000261155,46.7236
ENSPPYG00000019692,ENSG00000263138,48.7037
ENSPPYG00000019692,ENSG00000172830,47.8261
ENSPPYG00000019690,ENSG00000260164,49.3545
ENSPPYG00000019688,ENSG00000138448,49.8585
ENSPPYG00000019686,ENSG00000260789,48.2888
ENSPPYG00000019684,ENSG00000114021,47.9479
ENSPPYG00000019682,ENSG00000143416,48.1481
ENSPPYG00000019680,ENSG00000261539,47.8681
ENSPPYG00000019678,ENSG00000261297,47.3534
ENSPPYG00000019676,ENSG00000185962,46.4986
ENSPPYG00000019674,ENSG00000261698,47.619
ENSPPYG00000019674,ENSG00000260789,47.7064
ENSPPYG00000019672,ENSG00000175463,47.5558
ENSPPYG00000019670,ENSG00000143379,49.2
ENSPPYG00000019668,ENSG00000175182,48.8889
ENSPPYG00000019666,ENSG00000261694,47.5545
ENSPPYG00000019664,ENSG00000259919,48.6295
ENSPPYG00000019662,ENSG00000260313,48.6005
ENSPPYG00000019660,ENSG00000175505,47.313
ENSPPYG00000019658,ENSG00000261678,47.5911
ENSPPYG00000019658,ENSG00000261201,46.7792
ENSPPYG00000019656,ENSG00000182134,49.3565
ENSPPYG00000019656,ENSG00000143367,48.6848
ENSPPYG00000019654,ENSG00000163154,48.7492
ENSPPYG00000019652,ENSG00000175463,48.1884
ENSPPYG00000019650,ENSG00000260770,47.0348
ENSPPYG00000019648,ENSG00000090539,47.4527
ENSPPYG00000019646,ENSG00000260789,48.1871
ENSPPYG00000019644,ENSG00000187238,49.3766
ENSPPYG00000019642,ENSG00000261155,47.4427
ENSPPYG00000019640,ENSG00000175505,47.2561
ENSPPYG00000019638,ENSG00000138068,51.5556
ENSPPYG00000019636,ENSG00000263138,47.4499
ENSPPYG00000019634,ENSG00000260384,48.6922
ENSPPYG00000019634,ENSG00000260313,48.2713
ENSPPYG00000019632,ENSG00000260376,47.1095
ENSPPYG00000019630,ENSG00000260789,47.3664
ENSPPYG00000019630,ENSG00000261042,47.1117
ENSPPYG00000019628,ENSG00000261539,47.4797
ENSPPYG00000019626,ENSG00000163207,47.5581
ENSPPYG00000019626,ENSG00000163207,47.5029
ENSPPYG00000019624,ENSG00000173599,47.7477
ENSPPYG00000019622,ENSG00000187173,48.5938
ENSPPYG00000019620,ENSG00000203782,46.9317
ENSPPYG00000019618,ENSG00000143365,48.9054
ENSPPYG00000019616,ENSG00000265969,49.1089
ENSPPYG00000019614,ENSG00000261577,46.4701
ENSPPYG00000019612,ENSG00000259808,48.8599
ENSPPYG00000019612,ENSG00000259808,48.6667
ENSPPYG00000019610,ENSG00000135655,49.1405
ENSPPYG00000019608,ENSG00000198854,48.3065
ENSPPYG00000019606,ENSG00000136560,48.5476
ENSPPYG00000019604,ENSG00000143891,49.0119
ENSPPYG00000019602,ENSG00000261155,47.619
ENSPPYG00000019600,ENSG00000261456,48.8669
ENSPPYG00000019600,ENSG00000213953,60.9195
ENSPPYG00000019600,ENSG00000138068,62.5
ENSPPYG00000019600,ENSG00000261132,47.9167
ENSPPYG00000019598,ENSG00000261297,47.1725
ENSPPYG00000019596,ENSG00000064225,49.0408
ENSPPYG00000019594,ENSG00000175215,48.0737
ENSPPYG00000019594,ENSG00000143416,48.0843
ENSPPYG00000019592,ENSG00000238035,48.8272
ENSPPYG00000019590,ENSG00000169474,50
ENSPPYG00000019586,ENSG00000144395,49.2541
ENSPPYG00000019586,ENSG00000064933,48.8118
ENSPPYG00000019584,ENSG00000136541,47.7647
ENSPPYG00000019582,ENSG00000198130,48.8449
ENSPPYG00000019580,ENSG00000231861,44.5402
ENSPPYG00000019576,ENSG00000196578,42.4816
ENSPPYG00000019574,ENSG00000143442,48.1651
ENSPPYG00000019572,ENSG00000213953,55.1724
ENSPPYG00000019570,ENSG00000143379,48.8571
ENSPPYG00000019567,ENSG00000238035,49.2625
ENSPPYG00000019567,ENSG00000238035,49.2625
ENSPPYG00000019565,ENSG00000260380,49.4318
ENSPPYG00000019563,ENSG00000073803,49.0196
ENSPPYG00000019561,ENSG00000172155,50
ENSPPYG00000019559,ENSG00000054219,49.2674
ENSPPYG00000019557,ENSG00000260789,48.8329
ENSPPYG00000019555,ENSG00000090539,48.974
ENSPPYG00000019553,ENSG00000075790,48.3776
ENSPPYG00000019551,ENSG00000170035,48.5731
ENSPPYG00000019549,ENSG00000113916,48.6877
ENSPPYG00000019547,ENSG00000173227,48.2161
ENSPPYG00000019545,ENSG00000163898,51.2281
ENSPPYG00000019541,ENSG00000260164,48.4987
ENSPPYG00000019539,ENSG00000143442,50.7042
ENSPPYG00000019537,ENSG00000260383,48.6376
ENSPPYG00000019537,ENSG00000260383,48.3499
ENSPPYG00000019535,ENSG00000163191,48.34
ENSPPYG00000019533,ENSG00000090539,47.8402
ENSPPYG00000019531,ENSG00000187699,48.7562
ENSPPYG00000019529,ENSG00000173621,46.8074
ENSPPYG00000019525,ENSG00000172155,48.374
ENSPPYG00000019523,ENSG00000266093,49.062
ENSPPYG00000019521,ENSG00000128536,48.77
ENSPPYG00000019521,ENSG00000128536,48.7462
ENSPPYG00000019521,ENSG00000185962,46.5409
ENSPPYG00000019519,ENSG00000173992,47.7972
ENSPPYG00000019515,ENSG00000188010,47.8873
ENSPPYG00000019513,ENSG00000144395,48.7961
ENSPPYG00000019511,ENSG00000262942,39.6725
ENSPPYG00000019511,ENSG00000187699,47.8508
ENSPPYG00000019511,ENSG00000138068,59.0909
ENSPPYG00000019509,ENSG00000172531,49.1629
ENSPPYG00000019507,ENSG00000244405,48.9075
ENSPPYG00000019505,ENSG00000144395,47.6077
ENSPPYG00000019505,ENSG00000144395,47.482
ENSPPYG00000019503,ENSG00000261972,49.4135
ENSPPYG00000019503,ENSG00000259741,49.3738
ENSPPYG00000019501,ENSG00000003436,48.8435
ENSPPYG00000019499,ENSG00000115875,48.1002
ENSPPYG00000019497,ENSG00000135655,49.1483
ENSPPYG00000019497,ENSG00000135655,49.1483
ENSPPYG00000019497,ENSG00000168386,49.4031
ENSPPYG00000019495,ENSG00000080822,48.6758
ENSPPYG00000019493,ENSG00000143520,49.0623
ENSPPYG00000019491,ENSG00000188010,48.5348
ENSPPYG00000019489,ENSG00000260164,49.797
ENSPPYG00000019489,ENSG00000154175,49.7198
ENSPPYG00000019487,ENSG00000153237,49.3667
ENSPPYG00000019487,ENSG00000153237,49.3662
ENSPPYG00000019485,ENSG00000259896,48.4949
ENSPPYG00000019483,ENSG00000177990,47.6667
ENSPPYG00000019481,ENSG00000261577,48.3945
ENSPPYG00000019479,ENSG00000163898,49.5327
ENSPPYG00000019477,ENSG00000184220,48.5294
ENSPPYG00000019473,ENSG00000257561,49.2355
ENSPPYG00000019471,ENSG00000075790,47.8483
ENSPPYG00000019469,ENSG00000115808,49.1854
ENSPPYG00000019461,ENSG00000231192,42.4242
ENSPPYG00000019459,ENSG00000075790,48.381
ENSPPYG00000019455,ENSG00000182898,48.451
ENSPPYG00000019455,ENSG00000260150,48.3015
ENSPPYG00000019453,ENSG00000151690,48.9104
ENSPPYG00000019453,ENSG00000173933,49.3116
ENSPPYG00000019451,ENSG00000162980,48.2253
ENSPPYG00000019449,ENSG00000263304,48.9775
ENSPPYG00000019447,ENSG00000159352,49.5169
ENSPPYG00000019445,ENSG00000115415,48.9911
ENSPPYG00000019443,ENSG00000138068,47.4147
ENSPPYG00000019441,ENSG00000115271,48.85
ENSPPYG00000019439,ENSG00000123612,44.8871
ENSPPYG00000019437,ENSG00000143375,49.3124
ENSPPYG00000019435,ENSG00000172932,48.8414
ENSPPYG00000019433,ENSG00000198471,48.6058
ENSPPYG00000019431,ENSG00000175634,48.3333
ENSPPYG00000019429,ENSG00000143379,48.9346
ENSPPYG00000019427,ENSG00000114354,48.0535
ENSPPYG00000019425,ENSG00000138386,49.0438
ENSPPYG00000019425,ENSG00000115808,49.4475
ENSPPYG00000019423,ENSG00000144395,48.4952
ENSPPYG00000019423,ENSG00000168386,48.69
ENSPPYG00000019421,ENSG00000115165,48.8557
ENSPPYG00000019419,ENSG00000257561,47.079
ENSPPYG00000019417,ENSG00000138386,49.4273
ENSPPYG00000019415,ENSG00000064989,48.3204
ENSPPYG00000019413,ENSG00000136541,48.3333
ENSPPYG00000019409,ENSG00000173020,49.1608
ENSPPYG00000019407,ENSG00000113838,49.3873
ENSPPYG00000019407,ENSG00000113838,49.2238
ENSPPYG00000019405,ENSG00000163882,49.0659
ENSPPYG00000019403,ENSG00000260178,49.1704
ENSPPYG00000019401,ENSG00000262562,47.311
ENSPPYG00000019399,ENSG00000260753,49.3097
ENSPPYG00000019397,ENSG00000175463,48.5699
ENSPPYG00000019395,ENSG00000260703,49.0069
ENSPPYG00000019393,ENSG00000261155,47.7064
ENSPPYG00000019391,ENSG00000143365,49.1283
ENSPPYG00000019389,ENSG00000224420,48.3926
ENSPPYG00000019387,ENSG00000260770,47.9303
ENSPPYG00000019383,ENSG00000261042,47.6858
ENSPPYG00000019383,ENSG00000157005,47.9167
ENSPPYG00000019381,ENSG00000260164,49.9757
ENSPPYG00000019379,ENSG00000136541,48.9832
ENSPPYG00000019377,ENSG00000080200,48.4939
ENSPPYG00000019375,ENSG00000144395,48.166
ENSPPYG00000019375,ENSG00000144395,48.166
ENSPPYG00000019373,ENSG00000263079,48.3696
ENSPPYG00000019371,ENSG00000136560,48.8558
ENSPPYG00000019371,ENSG00000143398,49.6124
ENSPPYG00000019369,ENSG00000261180,48.2026
ENSPPYG00000019367,ENSG00000143889,49.1667
ENSPPYG00000019365,ENSG00000138449,49.3376
ENSPPYG00000019363,ENSG00000257921,48.1013
ENSPPYG00000019361,ENSG00000187238,44.5333
ENSPPYG00000019359,ENSG00000144395,49.3088
ENSPPYG00000019359,ENSG00000073803,49.5713
ENSPPYG00000019357,ENSG00000261539,48.3498
ENSPPYG00000019355,ENSG00000003436,49.0486
ENSPPYG00000019355,ENSG00000156931,50
ENSPPYG00000019353,ENSG00000175634,47.7308
ENSPPYG00000019351,ENSG00000163918,47.7583
ENSPPYG00000019349,ENSG00000262972,47.5682
ENSPPYG00000019347,ENSG00000156931,48.8024
ENSPPYG00000019345,ENSG00000136527,48.4848
ENSPPYG00000019343,ENSG00000138068,53.7879
ENSPPYG00000019341,ENSG00000036054,47.9508
ENSPPYG00000019339,ENSG00000181458,48.703
ENSPPYG00000019337,ENSG00000091140,49.069
ENSPPYG00000019335,ENSG00000003436,49.5455
ENSPPYG00000019333,ENSG00000144366,48.5169
ENSPPYG00000019331,ENSG00000061676,49.8931
ENSPPYG00000019331,ENSG00000073849,49.9281
ENSPPYG00000019329,ENSG00000115252,49.3506
ENSPPYG00000019327,ENSG00000138381,49.5397
ENSPPYG00000019327,ENSG00000143363,49.1913
ENSPPYG00000019325,ENSG00000115267,48.2557
ENSPPYG00000019325,ENSG00000168386,48.6667
ENSPPYG00000019323,ENSG00000188452,49.1349
ENSPPYG00000019323,ENSG00000182389,49.2007
ENSPPYG00000019321,ENSG00000115165,49.1921
ENSPPYG00000019321,ENSG00000091140,49.1817
ENSPPYG00000019321,ENSG00000115165,49.1607
ENSPPYG00000019317,ENSG00000156931,51.938
ENSPPYG00000019315,ENSG00000143409,49.0902
ENSPPYG00000019315,ENSG00000143409,48.8803
ENSPPYG00000019315,ENSG00000143409,48.8803
ENSPPYG00000019315,ENSG00000163218,49.0632
ENSPPYG00000019315,ENSG00000143412,48.9835
ENSPPYG00000019313,ENSG00000143452,48.9642
ENSPPYG00000019311,ENSG00000144395,48.1481
ENSPPYG00000019309,ENSG00000144366,48.7015
ENSPPYG00000019307,ENSG00000238035,47.7185
ENSPPYG00000019305,ENSG00000003436,48.9571
ENSPPYG00000019305,ENSG00000169855,49.1927
ENSPPYG00000019303,ENSG00000136541,48.2993
ENSPPYG00000019301,ENSG00000260383,48.4942
ENSPPYG00000019301,ENSG00000257961,48.6478
ENSPPYG00000019299,ENSG00000115267,49.1302
ENSPPYG00000019299,ENSG00000135655,48.8421
ENSPPYG00000019299,ENSG00000115263,48.5201
ENSPPYG00000019297,ENSG00000263079,45.9829
ENSPPYG00000019295,ENSG00000156931,49.3604
ENSPPYG00000019295,ENSG00000156931,49.4139
ENSPPYG00000019293,ENSG00000198130,48.3189
ENSPPYG00000019291,ENSG00000144290,49.4751
ENSPPYG00000019289,ENSG00000105835,48.935
ENSPPYG00000019289,ENSG00000128699,49.0446
ENSPPYG00000019287,ENSG00000128641,49.569
ENSPPYG00000019285,ENSG00000073803,49.3404
ENSPPYG00000019285,ENSG00000143379,49.2136
ENSPPYG00000019285,ENSG00000143379,49.2116
ENSPPYG00000019285,ENSG00000143379,49.2175
ENSPPYG00000019285,ENSG00000138068,48.9886
ENSPPYG00000019283,ENSG00000064933,48.0307
ENSPPYG00000019281,ENSG00000257679,49.0053
ENSPPYG00000019279,ENSG00000064989,49.4987
ENSPPYG00000019277,ENSG00000261657,48.7066
ENSPPYG00000019275,ENSG00000215853,48.8234
ENSPPYG00000019273,ENSG00000258865,48.528
ENSPPYG00000019269,ENSG00000136536,49.3801
ENSPPYG00000019267,ENSG00000260383,48.8919
ENSPPYG00000019265,ENSG00000113966,48.1364
ENSPPYG00000019265,ENSG00000113966,47.6619
ENSPPYG00000019265,ENSG00000144366,48.4621
ENSPPYG00000019263,ENSG00000143442,50.7246
ENSPPYG00000019261,ENSG00000143393,47.6827
ENSPPYG00000019259,ENSG00000260873,48.3986
ENSPPYG00000019257,ENSG00000115170,48.3622
ENSPPYG00000019255,ENSG00000262773,48.497
ENSPPYG00000019253,ENSG00000143367,48.823
ENSPPYG00000019249,ENSG00000119787,49.2109
ENSPPYG00000019247,ENSG00000197938,45.6049
ENSPPYG00000019245,ENSG00000113966,48.5467
ENSPPYG00000019243,ENSG00000136536,48.2801
ENSPPYG00000019241,ENSG00000262249,48.7541
ENSPPYG00000019239,ENSG00000168386,48.5507
ENSPPYG00000019239,ENSG00000213953,58.5859
ENSPPYG00000019239,ENSG00000213953,52
ENSPPYG00000019237,ENSG00000163206,48.4536
ENSPPYG00000019235,ENSG00000144290,49.0458
ENSPPYG00000019233,ENSG00000138449,49.0196
ENSPPYG00000019231,ENSG00000128694,48.3895
ENSPPYG00000019229,ENSG00000255738,48.6998
ENSPPYG00000019227,ENSG00000257745,48.4146
ENSPPYG00000019225,ENSG00000114859,49.26
ENSPPYG00000019223,ENSG00000138068,48.913
ENSPPYG00000019221,ENSG00000187238,48.6726
ENSPPYG00000019219,ENSG00000170035,48.9758
ENSPPYG00000019217,ENSG00000172155,47.9167
ENSPPYG00000019215,ENSG00000138068,51.462
ENSPPYG00000019213,ENSG00000143889,48.3234
ENSPPYG00000019211,ENSG00000054219,49.2893
ENSPPYG00000019211,ENSG00000156931,49.3695
ENSPPYG00000019211,ENSG00000156931,49.2776
ENSPPYG00000019209,ENSG00000075790,48.2759
ENSPPYG00000019207,ENSG00000196504,48.749
ENSPPYG00000019205,ENSG00000168386,48.4689
ENSPPYG00000019203,ENSG00000073803,49.0909
ENSPPYG00000019201,ENSG00000061676,48.6734
ENSPPYG00000019199,ENSG00000261577,48.2117
ENSPPYG00000019199,ENSG00000238035,48.0839
ENSPPYG00000019197,ENSG00000263290,48.9831
ENSPPYG00000019195,ENSG00000153250,48.8372
ENSPPYG00000019193,ENSG00000262771,49.1741
ENSPPYG00000019189,ENSG00000136560,47.9381
ENSPPYG00000019187,ENSG00000151687,48.8346
ENSPPYG00000019185,ENSG00000184330,48.227
ENSPPYG00000019183,ENSG00000263040,49.2754
ENSPPYG00000019181,ENSG00000064225,48.3245
ENSPPYG00000019179,ENSG00000115252,48.8134
ENSPPYG00000019177,ENSG00000064225,47.4427
ENSPPYG00000019175,ENSG00000261042,48.1481
ENSPPYG00000019171,ENSG00000115271,48.703
ENSPPYG00000019169,ENSG00000263079,46.3602
ENSPPYG00000019167,ENSG00000170854,48.6469
ENSPPYG00000019167,ENSG00000173715,48.913
ENSPPYG00000019165,ENSG00000143442,50.5618
ENSPPYG00000019163,ENSG00000156931,50.2415
ENSPPYG00000019161,ENSG00000119787,48.3013
ENSPPYG00000019159,ENSG00000262249,47.7852
ENSPPYG00000019159,ENSG00000262249,47.7778
ENSPPYG00000019157,ENSG00000156931,48.8132
ENSPPYG00000019155,ENSG00000259816,48.7179
ENSPPYG00000019153,ENSG00000123612,49.4783
ENSPPYG00000019151,ENSG00000138449,52.3148
ENSPPYG00000019149,ENSG00000064933,48.5241
ENSPPYG00000019147,ENSG00000257318,46.4853
ENSPPYG00000019145,ENSG00000156931,49.326
ENSPPYG00000019145,ENSG00000135241,49.3376
ENSPPYG00000019141,ENSG00000075790,48.2278
ENSPPYG00000019139,ENSG00000080822,48.1203
ENSPPYG00000019137,ENSG00000262249,47.3071
ENSPPYG00000019135,ENSG00000135454,48.4848
ENSPPYG00000019133,ENSG00000172508,48.3223
ENSPPYG00000019131,ENSG00000261473,27.4123
ENSPPYG00000019127,ENSG00000090534,48.5316
ENSPPYG00000019125,ENSG00000073803,49.5678
ENSPPYG00000019123,ENSG00000173621,46.7939
ENSPPYG00000019121,ENSG00000172830,49.3734
ENSPPYG00000019121,ENSG00000262972,47.3292
ENSPPYG00000019119,ENSG00000138068,50.6494
ENSPPYG00000019117,ENSG00000173020,48.4735
ENSPPYG00000019115,ENSG00000173621,48.0278
ENSPPYG00000019113,ENSG00000260119,46.1279
ENSPPYG00000019111,ENSG00000238035,48.1149
ENSPPYG00000019109,ENSG00000226894,47.5845
ENSPPYG00000019107,ENSG00000262595,48.1132
ENSPPYG00000019107,ENSG00000163141,47.8947
ENSPPYG00000019107,ENSG00000163141,48.0496
ENSPPYG00000019105,ENSG00000261631,48.7815
ENSPPYG00000019103,ENSG00000173227,48.5884
ENSPPYG00000019101,ENSG00000260789,48.6369
ENSPPYG00000019099,ENSG00000135241,49.631
ENSPPYG00000019097,ENSG00000260716,47.9882
ENSPPYG00000019097,ENSG00000163207,48.6346
ENSPPYG00000019095,ENSG00000258865,48.1481
ENSPPYG00000019093,ENSG00000260334,47.2081
ENSPPYG00000019091,ENSG00000260383,49.4328
ENSPPYG00000019091,ENSG00000260384,49.0833
ENSPPYG00000019089,ENSG00000260178,48.6772
ENSPPYG00000019087,ENSG00000172830,49.2378
ENSPPYG00000019085,ENSG00000261577,48.3844
ENSPPYG00000019083,ENSG00000257961,48.7106
ENSPPYG00000019081,ENSG00000143375,48.4076
ENSPPYG00000019079,ENSG00000262666,48.1291
ENSPPYG00000019073,ENSG00000145012,48.1481
ENSPPYG00000019071,ENSG00000228804,48.8172
ENSPPYG00000019071,ENSG00000228804,48.8172
ENSPPYG00000019069,ENSG00000123297,48.5881
ENSPPYG00000019065,ENSG00000115252,48.5174
ENSPPYG00000019063,ENSG00000175182,47.92
ENSPPYG00000019061,ENSG00000218739,46.8037
ENSPPYG00000019059,ENSG00000138068,53.2051
ENSPPYG00000019057,ENSG00000143393,48.8055
ENSPPYG00000019055,ENSG00000115415,48.0676
ENSPPYG00000019053,ENSG00000080822,48.5459
ENSPPYG00000019051,ENSG00000123427,49.3214
ENSPPYG00000019047,ENSG00000163918,48.9431
ENSPPYG00000019045,ENSG00000262562,44.2857
ENSPPYG00000019043,ENSG00000136527,48.5564
ENSPPYG00000019041,ENSG00000105856,49.0879
ENSPPYG00000019039,ENSG00000263163,49.1342
ENSPPYG00000019037,ENSG00000260178,49.6537
ENSPPYG00000019037,ENSG00000090539,49.9025
ENSPPYG00000019037,ENSG00000105856,49.9821
ENSPPYG00000019035,ENSG00000261577,47.3778
ENSPPYG00000019031,ENSG00000138068,51.8018
ENSPPYG00000019031,ENSG00000213953,60.6838
ENSPPYG00000019029,ENSG00000064933,48.3461
ENSPPYG00000019027,ENSG00000169469,48.8095
ENSPPYG00000019025,ENSG00000185962,48.0702
ENSPPYG00000019023,ENSG00000064933,49.061
ENSPPYG00000019017,ENSG00000260789,48.7973
ENSPPYG00000019015,ENSG00000143416,47.7322
ENSPPYG00000019011,ENSG00000144278,48.294
ENSPPYG00000019005,ENSG00000185962,48.0702
ENSPPYG00000019003,ENSG00000228804,47.619
ENSPPYG00000019001,ENSG00000263079,48.4848
ENSPPYG00000018997,ENSG00000262942,41.7277
ENSPPYG00000018997,ENSG00000163206,48.4076
ENSPPYG00000018997,ENSG00000138378,48.0057
ENSPPYG00000018995,ENSG00000138411,47.7037
